,Tipo,Título,Año de estreno,Mes de estreno,ID
0,Short,Menace Commune,2018,10.0,tt10004294
1,Short,Kadogo,2018,10.0,tt10004232
2,Short,Neon Passion,2018,1.0,tt10004384
3,Short,Brotherly Love,2018,12.0,tt10005518
4,Short,A Bloc,2018,6.0,tt10006406
5,Short,Form 1,2018,5.0,tt10002400
6,Short,Fragments,2018,5.0,tt10006220
7,Short,At the Crossroads Down Yonder,2018,6.0,tt10010676
8,Short,Selflove,2018,7.0,tt10010502
9,Short,The Day Dreams,2018,,tt10010672
10,Short,Half the Battle,2018,11.0,tt10007932
11,Short,C/o Krishnanagar,2018,11.0,tt10010378
12,Short,Akif,2018,7.0,tt10010330
13,Short,Dream Expo,2018,,tt10010638
14,Short,Past Due,2018,10.0,tt10010994
15,Short,Flamboyante,2018,3.0,tt10011656
16,Short,22,2018,9.0,tt10010772
17,Short,Asphalt Saints,2018,,tt10009344
18,Short,M Like Mobius,2018,12.0,tt10013176
19,Short,Endgame,2018,11.0,tt10014878
20,Short,The Cherry Orchard,2018,1.0,tt10015376
21,Short,The Greener the Grass,2018,,tt10014612
22,Short,B-167-980-098,2018,7.0,tt10014890
23,Short,Honey,2018,3.0,tt10014710
24,Short,Turn the Switch Off,2018,,tt10014556
25,Short,Day Out,2018,11.0,tt10016858
26,Short,Forget Me Not,2018,12.0,tt10021210
27,Short,Open House,2018,5.0,tt10021786
28,Short,Perfekte vegger,2018,,tt10021610
29,Short,The Guide,2018,11.0,tt10026128
30,Short,My Brother,2018,9.0,tt10023224
31,Short,The Other Side,2018,2.0,tt10026098
32,Short,Rupkothar Kahini,2018,11.0,tt10026376
33,Short,I Love When You Sing to Me,2018,2.0,tt10022338
34,Short,Young Grandpa,2018,5.0,tt10026668
35,Short,100 Inscritos,2018,7.0,tt10022852
36,Short,Eddy,2018,11.0,tt10026970
37,Short,The Veil,2018,6.0,tt10026096
38,Short,A Story Told From The End,2018,12.0,tt10025230
39,Short,Clout,2018,9.0,tt10028230
40,Short,Runner,2018,12.0,tt10028626
41,Short,Shed,2018,9.0,tt10029026
42,Short,Treasure,2018,,tt10028464
43,Short,Father 'n' Son,2018,,tt10030282
44,Short,Beautiful World,2018,3.0,tt10031466
45,Short,Outfox,2018,12.0,tt10032238
46,Short,The Woman at the Other End of the Line,2018,12.0,tt10032780
47,Short,Cycle,2018,,tt10037162
48,Short,The Accusation,2018,12.0,tt10037668
49,Short,La última oportunidad,2018,3.0,tt10037600
50,Short,The Best Man,2018,9.0,tt10042048
51,Short,The Drifting Post,2018,5.0,tt10037910
52,Short,Worship Me,2018,9.0,tt10039390
53,Short,Battue,2018,,tt10040972
54,Short,Inertia,2018,,tt10044994
55,Short,Bingo Night,2018,8.0,tt10042840
56,Short,Confessional,2018,,tt10042006
57,Short,Incoming Calls,2018,6.0,tt10039134
58,Short,Sand. Rock. Palm.,2018,,tt10042194
59,Short,Barco de Papel,2018,12.0,tt10041944
60,Short,Assunta,2018,8.0,tt10045172
61,Short,Audition,2018,12.0,tt10043400
62,Short,Picture Day,2018,,tt10042008
63,Short,Believe Her,2018,3.0,tt10044544
64,Short,Land of Flat Dirt,2018,,tt10048344
65,Short,Kindling,2018,2.0,tt10048330
66,Short,Blink,2018,7.0,tt10049944
67,Short,Alone Together,2018,6.0,tt10050036
68,Short,La cáscara,2018,4.0,tt10050784
69,Short,Odds & Ends,2018,8.0,tt10050096
70,Short,Journey of Three Worlds,2018,7.0,tt10054256
71,Short,The Man Behind the Glass,2018,5.0,tt10054306
72,Short,Due Date,2018,10.0,tt10050272
73,Short,Man,2018,6.0,tt10048730
74,Short,Searching,2018,11.0,tt10051290
75,Short,Gatita,2018,7.0,tt10055686
76,Short,L'intermediaire,2018,6.0,tt10052910
77,Short,They Live Outside,2018,11.0,tt10054606
78,Short,À bout de ressources,2018,10.0,tt10055142
79,Short,It's Who You Know,2018,10.0,tt10058854
80,Short,Affinity - The Series,2018,10.0,tt10055152
81,Short,Her Water Drum,2018,10.0,tt10061588
82,Short,She's Not for Me,2018,11.0,tt10060072
83,Short,Fever,2018,2.0,tt10062058
84,Short,Ajay,2018,,tt10060776
85,Short,One More Meal,2018,5.0,tt10064004
86,Short,Woodside,2018,,tt10063816
87,Short,You,2018,12.0,tt10066390
88,Short,From the Other Side,2018,10.0,tt10065230
89,Short,Les jours heureux,2018,7.0,tt10071600
90,Short,A Tap At The Window,2018,8.0,tt10071592
91,Short,Red Velvet,2018,4.0,tt10066102
92,Short,When I've Wanted to Die,2018,10.0,tt10068734
93,Short,Madal pilvelõhkuja/The Low Skyscraper,2018,5.0,tt10068142
94,Short,Emily's Hands,2018,11.0,tt10069254
95,Short,BÓXERS,2018,9.0,tt10072074
96,Short,Anhedonia,2018,12.0,tt10071200
97,Short,I'm Sorry Mum'ma,2018,9.0,tt10073524
98,Short,Whisper,2018,,tt10073642
99,Short,4:13,2018,9.0,tt10074162
100,Short,Out in the Woods,2018,11.0,tt10074248
101,Short,Flow,2018,,tt10074654
102,Short,Desiree,2018,5.0,tt10074682
103,Short,Green Dust,2018,6.0,tt10077038
104,Short,Ban Cùng Phòng,2018,10.0,tt10076854
105,Short,Última Noite em Viena,2018,11.0,tt10075034
106,Short,A Good Day,2018,7.0,tt10075046
107,Short,Triple Talaq,2018,1.0,tt10075048
108,Short,Miss Ella,2018,5.0,tt10078518
109,Short,Skewed Conception,2018,8.0,tt10078560
110,Short,Remember,2018,11.0,tt10078770
111,Short,My Megan,2018,,tt10079754
112,Short,Mary's Wise Men,2018,,tt10081990
113,Short,Kat,2018,,tt10084828
114,Short,9 Am,2018,7.0,tt10085392
115,Short,Wake Up Girl,2018,,tt10086848
116,Short,Billy's Restaurant,2018,11.0,tt10082838
117,Short,The Ghost of Hamlet's Father,2018,11.0,tt10086124
