,Tipo,Título,Año de estreno,Mes de estreno,ID
0,Movie,The Other Side of the Wind,2018,11.0,tt0069049
1,Movie,Reverse Heaven,2018,11.0,tt0192528
2,Movie,To Chase a Million,2018,,tt0276568
3,Movie,Aamaar Bhuvan,2018,12.0,tt0328810
4,Movie,Fahrenheit 451,2018,5.0,tt0360556
5,Movie,Nappily Ever After,2018,9.0,tt0365545
6,Movie,A Million Little Pieces,2018,12.0,tt0427543
7,Movie,Back Roads,2018,12.0,tt0972544
8,Movie,When I Became a Butterfly,2018,12.0,tt10004396
9,Movie,Turtle,2018,7.0,tt10010814
10,Movie,Forced Marriage,2018,2.0,tt10014042
11,Movie,Skvoznyye Shagi,2018,,tt10016254
12,Movie,Lost Einstein,2018,,tt10017502
13,Movie,Anuttara,2018,,tt10022684
14,Movie,Saboa,2018,10.0,tt10027174
15,Movie,Stay,2018,4.0,tt10028708
16,Movie,A Short History of a Few Bad Things,2018,10.0,tt10035120
17,Movie,Oblepikhovoe leto,2018,11.0,tt10043732
18,Movie,Pur laine,2018,11.0,tt10049152
19,Movie,Thing I Don't Get,2018,11.0,tt10050722
20,Movie,The Age of Sebastian,2018,,tt10050592
21,Movie,Tian Shang De Hai Zi,2018,,tt10050404
22,Movie,Das Bürgermeistermädchen,2018,11.0,tt10056070
23,Movie,Antropofaga Makumba,2018,,tt10063078
24,Movie,Agaton,2018,,tt10066646
25,Movie,Taste of Friend Daughters,2018,6.0,tt10071262
26,Movie,Good Girlfriend,2018,12.0,tt10071230
27,Movie,Brother's Good Wife,2018,9.0,tt10075748
28,Movie,11 Niêm Hy Vong,2018,5.0,tt10078138
29,Movie,O Dây Có Nang,2018,1.0,tt10078822
30,Movie,Amalu,2018,2.0,tt10081380
31,Movie,The Secret of the River,2018,9.0,tt10085818
32,Movie,5 PM (Lima Penjuru Masjid),2018,5.0,tt10086164
33,Movie,MacGuffin,2018,12.0,tt10086764
34,Movie,Emilie,2018,8.0,tt10093086
35,Movie,Aim,2018,,tt10093094
36,Movie,Terrolun and Lunlun,2018,8.0,tt10096224
37,Movie,Vremeto e nashe,2018,11.0,tt10102408
38,Movie,Double Twisting Double Back,2018,10.0,tt10107882
39,Movie,Hospicio,2018,10.0,tt10111576
40,Movie,Krymskaya Istoriya X,2018,12.0,tt10116482
41,Movie,Wasted Eggs,2018,11.0,tt10126230
42,Movie,Don't Tell Me You Can't Sing,2018,9.0,tt10141736
43,Movie,Chuzhaya zhizn,2018,9.0,tt10140912
44,Movie,Krocken,2018,3.0,tt10140138
45,Movie,Sacavém,2018,,tt10153730
46,Movie,Parade,2018,1.0,tt10165168
47,Movie,DSPGaming: The Movie,2018,1.0,tt10166750
48,Movie,Han Guang,2018,9.0,tt10178258
49,Movie,Loro,2018,10.0,tt10182822
50,Movie,The Prison of Silence,2018,11.0,tt10196778
51,Movie,Ikinci pärdä,2018,11.0,tt10197354
52,Movie,The Come Up,2018,8.0,tt10198952
53,Movie,Me and Mrs. Jones,2018,12.0,tt10203806
54,Movie,El Año del Leon,2018,9.0,tt10203276
55,Movie,Shwe Kyar,2018,3.0,tt10204300
56,Movie,Wiren,2018,12.0,tt10217930
57,Movie,Fever...,2018,,tt10224896
58,Movie,Aamrityu,2018,,tt10224738
59,Movie,Feminin,2018,,tt10233502
60,Movie,Abbas Abbas Send Help!,2018,,tt10233504
61,Movie,Dangerous Dancing,2018,4.0,tt10235786
62,Movie,"Kakuga, mama",2018,11.0,tt10240752
63,Movie,The Land,2018,,tt10243656
64,Movie,Dr. Huang Danian,2018,12.0,tt10250578
65,Movie,The Compact Density of Stone,2018,8.0,tt10255170
66,Movie,One without the other,2018,,tt10263026
67,Movie,Aggrieved,2018,,tt10285208
68,Movie,Il codice del babbuino,2018,5.0,tt10281564
69,Movie,Mujeres infieles 5,2018,,tt10289196
70,Movie,The Outsider,2018,10.0,tt10289896
71,Movie,Scrapper,2018,12.0,tt10299658
