,Tipo,Título,Año de estreno,Mes de estreno,ID
0,Movie,Mugen ryûkyû tsuru Henrî,2021,5.0,tt0228802
1,Movie,'77,2021,5.0,tt0326716
2,Movie,Zamaanat: And Justice for All,2021,,tt0346172
3,Movie,Z,2021,,tt0818543
4,Movie,Cosmic Radio,2021,2.0,tt0840306
5,Movie,A Journal for Jordan,2021,12.0,tt0995854
6,Movie,Kelti,2021,12.0,tt10003618
7,Movie,Preman,2021,4.0,tt10011002
8,Movie,The Little Things,2021,1.0,tt10016180
9,Movie,The Humans,2021,11.0,tt10023286
10,Movie,Everything I Ever Wanted to Tell My Daughter About Men,2021,10.0,tt10022782
11,Movie,Pure White,2021,6.0,tt10032574
12,Movie,Cosas imposibles,2021,6.0,tt10032342
13,Movie,Fear of Rain,2021,2.0,tt10037014
14,Movie,Promises,2021,11.0,tt10042788
15,Movie,"Virgen de San Juan, cuatro siglos de milagros",2021,2.0,tt10038660
16,Movie,Sans soleil,2021,10.0,tt10051000
17,Movie,Famous,2021,12.0,tt10054778
18,Movie,Sombra,2021,10.0,tt10062628
19,Movie,Earwig,2021,9.0,tt10062338
20,Movie,Bhuj: The Pride of India,2021,8.0,tt10062556
21,Movie,Let Me Be Frank,2021,9.0,tt10068716
22,Movie,Il materiale emotivo,2021,10.0,tt10072662
23,Movie,Twist,2021,6.0,tt10077034
24,Movie,Ba yue wei yang,2021,4.0,tt10080086
25,Movie,The Wasteland of Education,2021,10.0,tt10079796
26,Movie,Bole Chudiyan,2021,,tt10083868
27,Movie,Nomad,2021,,tt10084832
28,Movie,Ouistreham,2021,5.0,tt10088984
29,Movie,The Tragedy of Macbeth,2021,12.0,tt10095582
30,Movie,Mi mi fang ke,2021,5.0,tt10097384
31,Movie,Animals,2021,10.0,tt10098452
32,Movie,Range Roads,2021,12.0,tt10102080
33,Movie,Lavinya,2021,,tt10108062
34,Movie,The Diary: An Untold Story,2021,,tt10115874
35,Movie,Paul Keller - Stille im Schrei,2021,9.0,tt10121222
36,Movie,Reflection,2021,5.0,tt10127464
37,Movie,The Exchange,2021,7.0,tt10126040
38,Movie,Perspectiva,2021,12.0,tt10127964
39,Movie,Wish You Were Here,2021,4.0,tt10151074
40,Movie,Thalaivi,2021,9.0,tt10152736
41,Movie,Alia's Birth,2021,8.0,tt10156216
42,Movie,Love Songs Weren't Meant to Make You Cry,2021,9.0,tt10161612
43,Movie,Vera andrron detin,2021,9.0,tt10166880
44,Movie,Moloko ptitsy,2021,11.0,tt10171848
45,Movie,A Boy Called Christmas,2021,11.0,tt10187208
46,Movie,My True Fairytale,2021,3.0,tt10192704
47,Movie,Eugénie Grandet,2021,9.0,tt10196108
48,Movie,Highway 1,2021,11.0,tt10195722
49,Movie,Woman in Car,2021,3.0,tt10197632
50,Movie,Black Parthenope,2021,6.0,tt10198698
51,Movie,Así Te Vas a Despedir,2021,11.0,tt10217402
52,Movie,Madison Baker Was Here,2021,11.0,tt10221732
53,Movie,Knockout Girls,2021,8.0,tt10223850
54,Movie,The Tenth Lodge,2021,1.0,tt10223100
55,Movie,Birdie,2021,4.0,tt10229068
56,Movie,Recital,2021,12.0,tt10229984
57,Movie,Beckett,2021,8.0,tt10230994
58,Movie,Buran,2021,12.0,tt10232096
59,Movie,Triangle Love,2021,1.0,tt10230400
60,Movie,Three Legged Horse,2021,,tt10241130
61,Movie,The Perfect Mistress V: Happy Ending,2021,9.0,tt10247646
62,Movie,Nobel Peace,2021,10.0,tt10262112
63,Movie,Land,2021,6.0,tt10265034
64,Movie,Hytti nro 6,2021,1.0,tt10262648
65,Movie,"Lucia, Lucia",2021,5.0,tt10265764
66,Movie,Not a Slave,2021,3.0,tt10268316
67,Movie,¿Qué hicimos mal?,2021,11.0,tt10271638
68,Movie,Dusty to Meet Rusty,2021,12.0,tt10270250
69,Movie,Aelay,2021,2.0,tt10275546
70,Movie,Sardar Udham,2021,10.0,tt10280296
71,Movie,La señora no está,2021,12.0,tt10285624
72,Movie,Spring,2021,8.0,tt10287908
73,Movie,Il cattivo poeta,2021,5.0,tt10290352
74,Movie,The Power of the Dog,2021,11.0,tt10293406
75,Movie,Shershaah,2021,8.0,tt10295212
76,Movie,La Flamme Rouge,2021,11.0,tt10298870
77,Movie,Laabam,2021,9.0,tt10300450
78,Movie,Kadaisi Vivasayi,2021,2.0,tt10300570
79,Movie,The Hostage,2021,3.0,tt10303994
80,Movie,Madame Claude,2021,4.0,tt10307724
81,Movie,An Intrusion,2021,9.0,tt10308502
82,Movie,True Things,2021,3.0,tt10310074
83,Movie,Okul Tirasi,2021,10.0,tt10311018
84,Movie,Chehre,2021,8.0,tt10309902
85,Movie,Esther & Maude,2021,10.0,tt10313738
86,Movie,Heart of Champions,2021,10.0,tt10314548
87,Movie,Reunion of Champions,2021,6.0,tt10318096
88,Movie,Soul Eclipse,2021,3.0,tt10327130
89,Movie,Después de Ti,2021,4.0,tt10329022
90,Movie,Bliss,2021,2.0,tt10333426
91,Movie,Boîte noire,2021,9.0,tt10341034
92,Movie,Dougley,2021,,tt10337974
93,Movie,Best Sellers,2021,10.0,tt10339052
94,Movie,Tales of the Natchez Trace,2021,10.0,tt10342492
95,Movie,Spiral: From the Book of Saw,2021,6.0,tt10342730
96,Movie,Narco Sub,2021,2.0,tt10342228
97,Movie,La scuola cattolica,2021,10.0,tt10345782
98,Movie,A Biography of Great Proportions,2021,5.0,tt10344404
99,Movie,Things Worth Weeping For,2021,9.0,tt10360860
100,Movie,Mijn beste vriendin Anne Frank,2021,9.0,tt10360772
101,Movie,CODA,2021,8.0,tt10366460
102,Movie,Red Sandra,2021,9.0,tt10367074
103,Movie,The Exorcism of God,2021,10.0,tt10362566
104,Movie,Noche de fuego,2021,9.0,tt10366574
105,Movie,Eiffel,2021,10.0,tt10366514
106,Movie,Below the Fold,2021,11.0,tt10368680
107,Movie,The Worst Person in the World,2021,2.0,tt10370710
108,Movie,Blindsided,2021,4.0,tt10375916
109,Movie,Inni ludzie,2021,3.0,tt10376078
110,Movie,Clodagh,2021,,tt10375112
111,Movie,Love Bug,2021,3.0,tt10373728
112,Movie,Petite Solange,2021,2.0,tt10376800
113,Movie,Petrov's Flu,2021,1.0,tt10380900
114,Movie,Silent River,2021,9.0,tt10384534
115,Movie,The War Below,2021,9.0,tt10381014
116,Movie,General Admission,2021,4.0,tt10386790
117,Movie,Tunnel To The Inferno,2021,11.0,tt10394176
118,Movie,Karmalink,2021,9.0,tt10396450
119,Movie,The Great Traveller,2021,6.0,tt10396036
120,Movie,I Am Zlatan,2021,1.0,tt10400028
121,Movie,The Truth Has Changed,2021,3.0,tt10402840
122,Movie,You Are Not My Mother,2021,3.0,tt10406596
123,Movie,Man Under Table,2021,2.0,tt10409102
124,Movie,Hope's Legacy,2021,1.0,tt10413092
125,Movie,American Cherry,2021,11.0,tt10414276
126,Movie,Hasadék,2021,9.0,tt10415684
127,Movie,Awake,2021,6.0,tt10418662
128,Movie,The Raven and the Rowan Tree,2021,,tt10430030
129,Movie,Untitled Walking Distance Horror Project,2021,,tt10431556
130,Movie,Road of Dreams,2021,1.0,tt10427830
131,Movie,We Burn Like This,2021,4.0,tt10426580
132,Movie,Rushed,2021,8.0,tt10430850
133,Movie,The Bertelli's,2021,9.0,tt10431414
134,Movie,La ruche,2021,10.0,tt10438512
135,Movie,A Mesma Parte de Um Homem,2021,1.0,tt10441878
