,Tipo,Título,Año de estreno,Mes de estreno,ID
0,Movie,Istota,2000,,tt0102362
1,Movie,For the Cause,2000,5.0,tt0113092
2,Movie,Florentino y el diablo,2000,4.0,tt0113086
3,Movie,Karobaar: The Business of Love,2000,9.0,tt0116748
4,Movie,Gang,2000,4.0,tt0116391
5,Movie,Consequence,2000,,tt0115937
6,Movie,Fa yeung nin wah,2000,3.0,tt0118694
7,Movie,Beyond the Pale,2000,9.0,tt0118710
8,Movie,Chinese Coffee,2000,9.0,tt0118852
9,Movie,Passionnément,2000,5.0,tt0119866
10,Movie,Love 101,2000,2.0,tt0119495
11,Movie,Pushing the Envelope,2000,4.0,tt0119966
12,Movie,Way Past Cool,2000,,tt0120485
13,Movie,State and Main,2000,7.0,tt0120202
14,Movie,Vulgar,2000,9.0,tt0120467
15,Movie,Bruno,2000,4.0,tt0123003
16,Movie,Lured Innocence,2000,2.0,tt0122161
17,Movie,Shikari,2000,10.0,tt0120117
18,Movie,Capitães de Abril,2000,4.0,tt0120626
19,Movie,Sånger från andra våningen,2000,9.0,tt0120263
20,Movie,The Million Dollar Hotel,2000,5.0,tt0120753
21,Movie,Chicken Run,2000,9.0,tt0120630
22,Movie,The Highwayman,2000,4.0,tt0120698
23,Movie,Foiled,2000,,tt0120673
24,Movie,Return to Me,2000,6.0,tt0122459
25,Movie,Waking the Dead,2000,3.0,tt0127349
26,Movie,Flamingo Dreams,2000,,tt0129095
27,Movie,Dinosaur,2000,6.0,tt0130623
28,Movie,Duets,2000,9.0,tt0134630
29,Movie,Fallen Arches,2000,1.0,tt0133752
30,Movie,Wind River,2000,6.0,tt0135707
31,Movie,Cement,2000,1.0,tt0138353
32,Movie,Waterproof,2000,8.0,tt0138927
33,Movie,Mothman,2000,,tt0137115
34,Movie,The Yards,2000,6.0,tt0138946
35,Movie,The Hiding Place,2000,6.0,tt0138818
36,Movie,No Quarto da Vanda,2000,3.0,tt0139500
37,Movie,Isn't She Great,2000,1.0,tt0141399
38,Movie,Knockout,2000,2.0,tt0143344
39,Movie,Committed,2000,4.0,tt0144142
40,Movie,American Psycho,2000,9.0,tt0144084
41,Movie,Thirteen Days,2000,4.0,tt0146309
42,Movie,High Fidelity,2000,8.0,tt0146882
43,Movie,The Legend of Bagger Vance,2000,5.0,tt0146984
44,Movie,Looking for an Echo,2000,11.0,tt0148421
45,Movie,All the Pretty Horses,2000,12.0,tt0149624
46,Movie,Where the Money Is,2000,4.0,tt0149367
47,Movie,Josh,2000,6.0,tt0151150
48,Movie,The Thief & the Stripper,2000,10.0,tt0153012
49,Movie,Time of Her Time,2000,9.0,tt0153100
50,Movie,Up at the Villa,2000,4.0,tt0153464
51,Movie,A Good Baby,2000,12.0,tt0155723
52,Movie,Ricky 6,2000,4.0,tt0156020
53,Movie,I'll Remember April,2000,4.0,tt0155754
54,Movie,Secrets of a Chambermaid,2000,4.0,tt0155150
55,Movie,Yup Yup Man,2000,1.0,tt0157202
56,Movie,The Next Best Thing,2000,6.0,tt0156841
57,Movie,Rave,2000,10.0,tt0156942
58,Movie,Daddy Tell Me a Story...,2000,,tt0157500
59,Movie,My Dog Skip,2000,8.0,tt0156812
60,Movie,Mad About Mambo,2000,7.0,tt0156757
61,Movie,Trolösa,2000,10.0,tt0157122
62,Movie,Nora,2000,4.0,tt0158033
63,Movie,Coping,2000,3.0,tt0159371
64,Movie,Lennon,2000,,tt0158721
65,Movie,På fremmed mark,2000,3.0,tt0158871
66,Movie,Luckytown,2000,4.0,tt0160495
67,Movie,More Dogs Than Bones,2000,7.0,tt0160547
68,Movie,Moskva,2000,3.0,tt0160550
69,Movie,Blast,2000,4.0,tt0160663
70,Movie,Passion of Mind,2000,6.0,tt0160644
71,Movie,Four Dogs Playing Poker,2000,6.0,tt0160289
72,Movie,Takedown,2000,3.0,tt0159784
73,Movie,Steal This Movie,2000,6.0,tt0161216
74,Movie,Respirar (Debaixo D'água),2000,2.0,tt0160759
75,Movie,Lost Souls,2000,4.0,tt0160484
76,Movie,Rules of Engagement,2000,11.0,tt0160797
77,Movie,The Redemption,2000,,tt0160751
78,Movie,Red Dirt,2000,3.0,tt0160749
79,Movie,Train Ride,2000,,tt0161003
