,name,link
0,Gal Gadot,"('Gal Gadot', 'https://www.imdb.com/name/nm2933757/?ref_=tt_cl_t_1')"
1,Chris Pine,"('Chris Pine', 'https://www.imdb.com/name/nm1517976/?ref_=tt_cl_t_2')"
2,Robin Wright,"('Robin Wright', 'https://www.imdb.com/name/nm0000705/?ref_=tt_cl_t_3')"
3,Lucy Davis,"('Lucy Davis', 'https://www.imdb.com/name/nm0205063/?ref_=tt_cl_t_4')"
4,Connie Nielsen,"('Connie Nielsen', 'https://www.imdb.com/name/nm0001567/?ref_=tt_cl_t_5')"
5,Danny Huston,"('Danny Huston', 'https://www.imdb.com/name/nm0396812/?ref_=tt_cl_t_6')"
6,David Thewlis,"('David Thewlis', 'https://www.imdb.com/name/nm0000667/?ref_=tt_cl_t_7')"
7,Saïd Taghmaoui,"('Saïd Taghmaoui', 'https://www.imdb.com/name/nm0846548/?ref_=tt_cl_t_8')"
8,Ewen Bremner,"('Ewen Bremner', 'https://www.imdb.com/name/nm0001971/?ref_=tt_cl_t_9')"
9,Eugene Brave Rock,"('Eugene Brave Rock', 'https://www.imdb.com/name/nm4726999/?ref_=tt_cl_t_10')"
10,Michael Peña,"('Michael Peña', 'https://www.imdb.com/name/nm0671567/?ref_=tt_cl_t_1')"
11,Dax Shepard,"('Dax Shepard', 'https://www.imdb.com/name/nm1009277/?ref_=tt_cl_t_2')"
12,Vincent D'Onofrio,"(""Vincent D'Onofrio"", 'https://www.imdb.com/name/nm0000352/?ref_=tt_cl_t_3')"
13,Rosa Salazar,"('Rosa Salazar', 'https://www.imdb.com/name/nm4023073/?ref_=tt_cl_t_4')"
14,Jessica McNamee,"('Jessica McNamee', 'https://www.imdb.com/name/nm2537621/?ref_=tt_cl_t_5')"
15,Adam Brody,"('Adam Brody', 'https://www.imdb.com/name/nm0111013/?ref_=tt_cl_t_6')"
16,Isiah Whitlock Jr.,"('Isiah Whitlock Jr.', 'https://www.imdb.com/name/nm0926086/?ref_=tt_cl_t_7')"
17,Richard T. Jones,"('Richard T. Jones', 'https://www.imdb.com/name/nm0429114/?ref_=tt_cl_t_8')"
18,Ryan Hansen,"('Ryan Hansen', 'https://www.imdb.com/name/nm1218621/?ref_=tt_cl_t_9')"
19,Jane Kaczmarek,"('Jane Kaczmarek', 'https://www.imdb.com/name/nm0434223/?ref_=tt_cl_t_10')"
20,Ben Affleck,"('Ben Affleck', 'https://www.imdb.com/name/nm0000255/?ref_=tt_cl_t_1')"
21,Jason Momoa,"('Jason Momoa', 'https://www.imdb.com/name/nm0597388/?ref_=tt_cl_t_3')"
22,Ezra Miller,"('Ezra Miller', 'https://www.imdb.com/name/nm3009232/?ref_=tt_cl_t_4')"
23,Henry Cavill,"('Henry Cavill', 'https://www.imdb.com/name/nm0147147/?ref_=tt_cl_t_5')"
24,Amy Adams,"('Amy Adams', 'https://www.imdb.com/name/nm0010736/?ref_=tt_cl_t_6')"
25,Ray Fisher,"('Ray Fisher', 'https://www.imdb.com/name/nm3570321/?ref_=tt_cl_t_7')"
26,Jeremy Irons,"('Jeremy Irons', 'https://www.imdb.com/name/nm0000460/?ref_=tt_cl_t_8')"
27,Diane Lane,"('Diane Lane', 'https://www.imdb.com/name/nm0000178/?ref_=tt_cl_t_9')"
28,Mateo d'Amato,"(""Mateo d'Amato"", 'https://www.imdb.com/name/nm7625740/?ref_=tt_cl_t_1')"
29,Al Patrick Jo,"('Al Patrick Jo', 'https://www.imdb.com/name/nm6807022/?ref_=tt_cl_t_2')"
30,William Perry,"('William Perry', 'https://www.imdb.com/name/nm6432262/?ref_=tt_cl_t_3')"
31,Teddy Valdes,"('Teddy Valdes', 'https://www.imdb.com/name/nm2706286/?ref_=tt_cl_t_4')"
32,Olivia Washington,"('Olivia Washington', 'https://www.imdb.com/name/nm3463325/?ref_=tt_cl_t_5')"
33,Kingsley Yeboah,"('Kingsley Yeboah', 'https://www.imdb.com/name/nm6666547/?ref_=tt_cl_t_6')"
34,Yash Kadam,"('Yash Kadam', 'https://www.imdb.com/name/nm10971590/?ref_=tt_cl_t_1')"
35,Sanjay Khapre,"('Sanjay Khapre', 'https://www.imdb.com/name/nm2587401/?ref_=tt_cl_t_2')"
36,Upendra Limaye,"('Upendra Limaye', 'https://www.imdb.com/name/nm1822342/?ref_=tt_cl_t_3')"
37,Savita Malpekar,"('Savita Malpekar', 'https://www.imdb.com/name/nm1276538/?ref_=tt_cl_t_4')"
38,Triyug Mantri,"('Triyug Mantri', 'https://www.imdb.com/name/nm4434008/?ref_=tt_cl_t_5')"
39,Priyanka Nagare,"('Priyanka Nagare', 'https://www.imdb.com/name/nm10551410/?ref_=tt_cl_t_6')"
40,Vijay Nikam,"('Vijay Nikam', 'https://www.imdb.com/name/nm5052988/?ref_=tt_cl_t_7')"
41,Neha Pendse,"('Neha Pendse', 'https://www.imdb.com/name/nm1429271/?ref_=tt_cl_t_8')"
42,Sayaji Shinde,"('Sayaji Shinde', 'https://www.imdb.com/name/nm0793851/?ref_=tt_cl_t_9')"
43,Sunil Tawade,"('Sunil Tawade', 'https://www.imdb.com/name/nm7144361/?ref_=tt_cl_t_10')"
44,Liam,"('Liam', 'https://www.imdb.com/name/nm10537550/?ref_=tt_cl_t_1')"
45,The Man,"('The Man', 'https://www.imdb.com/name/nm10537551/?ref_=tt_cl_t_2')"
46,Mario,"('Mario', 'https://www.imdb.com/name/nm10537552/?ref_=tt_cl_t_3')"
47,Michael,"('Michael', 'https://www.imdb.com/name/nm10537553/?ref_=tt_cl_t_4')"
48,Kenpachiro,"('Kenpachiro', 'https://www.imdb.com/name/nm10537554/?ref_=tt_cl_t_5')"
49,Jake,"('Jake', 'https://www.imdb.com/name/nm10537555/?ref_=tt_cl_t_6')"
50,Willis,"('Willis', 'https://www.imdb.com/name/nm10537556/?ref_=tt_cl_t_7')"
51,Andrew,"('Andrew', 'https://www.imdb.com/name/nm10537557/?ref_=tt_cl_t_8')"
52,Catherine,"('Catherine', 'https://www.imdb.com/name/nm10537558/?ref_=tt_cl_t_9')"
53,Ben Markwart,"('Ben Markwart', 'https://www.imdb.com/name/nm10566763/?ref_=tt_cl_t_10')"
54,Mouni,"('Mouni', 'https://www.imdb.com/name/nm10597472/?ref_=tt_cl_t_1')"
55,Taraka Ratna Nandamuri,"('Taraka Ratna Nandamuri', 'https://www.imdb.com/name/nm2501850/?ref_=tt_cl_t_2')"
56,Harshita Panwar,"('Harshita Panwar', 'https://www.imdb.com/name/nm10893303/?ref_=tt_cl_t_3')"
57,Katta Rambabu,"('Katta Rambabu', 'https://www.imdb.com/name/nm6176297/?ref_=tt_cl_t_4')"
