,name,link
0,Zachary Levi,"('Zachary Levi', 'https://www.imdb.com/name/nm1157048/?ref_=tt_cl_t_1')"
1,Mark Strong,"('Mark Strong', 'https://www.imdb.com/name/nm0835016/?ref_=tt_cl_t_2')"
2,Asher Angel,"('Asher Angel', 'https://www.imdb.com/name/nm4755508/?ref_=tt_cl_t_3')"
3,Jack Dylan Grazer,"('Jack Dylan Grazer', 'https://www.imdb.com/name/nm6244013/?ref_=tt_cl_t_4')"
4,Adam Brody,"('Adam Brody', 'https://www.imdb.com/name/nm0111013/?ref_=tt_cl_t_5')"
5,Djimon Hounsou,"('Djimon Hounsou', 'https://www.imdb.com/name/nm0005023/?ref_=tt_cl_t_6')"
6,Faithe Herman,"('Faithe Herman', 'https://www.imdb.com/name/nm7919715/?ref_=tt_cl_t_7')"
7,Meagan Good,"('Meagan Good', 'https://www.imdb.com/name/nm0328709/?ref_=tt_cl_t_8')"
8,Grace Caroline Currey,"('Grace Caroline Currey', 'https://www.imdb.com/name/nm1534201/?ref_=tt_cl_t_9')"
9,Michelle Borth,"('Michelle Borth', 'https://www.imdb.com/name/nm1218924/?ref_=tt_cl_t_10')"
10,Douglas Booth,"('Douglas Booth', 'https://www.imdb.com/name/nm3150488/?ref_=tt_cl_t_1')"
11,Iwan Rheon,"('Iwan Rheon', 'https://www.imdb.com/name/nm3701064/?ref_=tt_cl_t_2')"
12,Colson Baker,"('Colson Baker', 'https://www.imdb.com/name/nm0446622/?ref_=tt_cl_t_3')"
13,Daniel Webber,"('Daniel Webber', 'https://www.imdb.com/name/nm3206486/?ref_=tt_cl_t_4')"
14,Erin Ownbey,"('Erin Ownbey', 'https://www.imdb.com/name/nm4950947/?ref_=tt_cl_t_5')"
15,Aaron Jay Rome,"('Aaron Jay Rome', 'https://www.imdb.com/name/nm2473806/?ref_=tt_cl_t_6')"
16,Alyssa Marie Stilwell,"('Alyssa Marie Stilwell', 'https://www.imdb.com/name/nm9923628/?ref_=tt_cl_t_7')"
17,Brittany Furlan,"('Brittany Furlan', 'https://www.imdb.com/name/nm3571490/?ref_=tt_cl_t_8')"
18,Trace Masters,"('Trace Masters', 'https://www.imdb.com/name/nm6778538/?ref_=tt_cl_t_9')"
19,Matthew Underwood,"('Matthew Underwood', 'https://www.imdb.com/name/nm4054025/?ref_=tt_cl_t_10')"
20,Resham Firiri,"('Resham Firiri', 'https://www.imdb.com/name/nm9931078/?ref_=tt_cl_t_1')"
21,Surendra K.C.,"('Surendra K.C.', 'https://www.imdb.com/name/nm9069675/?ref_=tt_cl_t_2')"
22,Simpal Kharel,"('Simpal Kharel', 'https://www.imdb.com/name/nm10539240/?ref_=tt_cl_t_3')"
23,Dipen Shah,"('Dipen Shah', 'https://www.imdb.com/name/nm10539241/?ref_=tt_cl_t_4')"
24,Mahadev Tripathi,"('Mahadev Tripathi', 'https://www.imdb.com/name/nm10539239/?ref_=tt_cl_t_5')"
25,Mille Dinesen,"('Mille Dinesen', 'https://www.imdb.com/name/nm1738477/?ref_=tt_cl_t_1')"
