,Nombre,Nacimiento,Conocido,Que hace,Premios,Oscar
0,Bob Brindley,Desconocido,"[""Blood Will Tell: Tezuka Osamu's Dororo"", 'Unflinching Triumph: The Philip Rockhammer Story', 'The Wrath of John', 'Mortuary']","['Actor', 'Producer', 'Additional Crew']",Desconocido,--
1,Mark Decena,Desconocido,"['Dopamine', 'Not Without Us', 'e2: The Economies of Being Environmentally Conscious', 'The Light']","['Writer', 'Director', 'Producer']",3 wins & 1 nomination,--
2,Joe Mandragona,Desconocido,"['Unflinching Triumph: The Philip Rockhammer Story', 'Grassroots', 'The Bigtop', ""Valley of the Heart's Delight""]",['Actor'],Desconocido,--
3,Greg Ayers,Desconocido,"['Gantz', 'Unflinching Triumph: The Philip Rockhammer Story', 'Surprise', 'Mondays']","['Actor', 'Writer']",Desconocido,--
4,Gabriella Mutia,Desconocido,"['Malooned', 'Formula X']",['Actress'],Desconocido,--
5,Godfrey Odhiambo,Desconocido,"['Malooned', 'From a Whisper', 'Nairobi Half Life', 'Crime and Justice']",['Actor'],2 nominations,--
6,Charles Bukeko,Desconocido,"['The Constant Gardener', 'The Captain of Nakara', 'Malooned', 'Project Daddy']","['Actor', 'Additional Crew']",Desconocido,--
7,Patrick Joe Mbugua,Desconocido,['Malooned'],['Actor'],Desconocido,--
8,Dan 'Churchill' Ndambuki,Desconocido,"['The First Grader', 'Malooned', 'E! VIP Africa']",['Actor'],1 win,--
9,Mwaka Mwinyi Nguti,Desconocido,['Malooned'],['Actress'],Desconocido,--
10,Juan Carlos Mesa,Desconocido,"['Brigada en acción', 'Mesa de noticias', 'Dr. Amor', 'Las hormigas']","['Writer', 'Actor', 'Producer']",Desconocido,--
11,Jorge Guinzburg,Desconocido,"['Sex a pilas', 'Chabonas', 'Caramelito en barra', 'Extra Tato']","['Writer', 'Actor', 'Producer']",Desconocido,--
12,Mariana Fabbiani,1975,"['I Married a Dumbass', 'Montaña rusa, otra vuelta', 'El Host', 'Luis Miguel: Suave']",['Actress'],Desconocido,--
13,Alejandro Fantino,1971,"[""Noah's Ark"", 'Todo x 2 pesos', 'Back to the Siam', 'Tiempo de pensar']","['Actor', 'Writer', 'Producer']",Desconocido,--
14,Magdalena Ruiz Guiñazú,Desconocido,"['Antigua vida mía', 'Esperando al mesías', 'Estela', 'La Argentina de Tato']","['Additional Crew', 'Actress', 'Producer']",Desconocido,--
15,Alejandro Dolina,1944,"['Recordando el show de Alejandro Molina', 'Las puertitas del señor López', 'Tinta Argentina', 'Balada del primer amor']","['Actor', 'Writer', 'Composer']",Desconocido,--
16,Diego Topa,1975,"['Hermanitos del fin del mundo', 'Causa efecto', 'Poné a Francella', 'Los simuladores']","['Actor', 'Soundtrack']",Desconocido,--
17,Carolina Ibarra,Desconocido,[],[],Desconocido,--
18,David Rotemberg,Desconocido,"[""Noah's Ark"", 'Grandiosas', 'Premios Martín Fierro 2003', 'Mejor de noche']",['Actor'],Desconocido,--
19,Ak Adams,Desconocido,['The Bridge'],['Actor'],Desconocido,--
20,Gordon Timothy,Desconocido,"['Fine Lines', 'The Enemy and the Victim', 'Endless Summer', 'The Wire']","['Actor', 'Additional Crew', 'Director']",Desconocido,--
21,Simone Girma,Desconocido,['The Bridge'],['Actress'],Desconocido,--
22,Charlie Abel,Desconocido,['The Bridge'],['Actor'],Desconocido,--
23,Michael Simonsen,Desconocido,['The Bridge'],['Actor'],Desconocido,--
24,Stephanie Nevin,Desconocido,"['Chicks 101', 'The Bridge', 'Diagnosis: Unknown', ""Dawson's Creek""]",['Actress'],Desconocido,--
25,Dwayne Winstead,1971,"['A Pocket Full of Bullets', 'Crowne Royale Street King', 'Coca Cola Spec Ad', 'Land of the Free?']","['Actor', 'Composer', 'Producer']",Desconocido,--
26,Suwanun Kongying,1978,"['Dao Pra Sook', 'Busaba Bold & Beautiful', 'E som somwang', 'Sai Lohit']",['Actress'],Desconocido,--
27,Yodrak Salakjai,Desconocido,"['Monpleng luktung F.M.', 'E som somwang']",['Actor'],Desconocido,--
28,Jeab Chern-Yim,Desconocido,"['Sound from the Field of Love', 'This Girl Is Bad-Ass!!', 'My Lovely Bodyguard', 'Chinatown Chacha']",['Actor'],Desconocido,--
29,Annie Brooks,Desconocido,"['Yern Peh Lay semakute', 'The Perfect Couple', 'Sherry Ann', 'In Country Melody 2']",['Actress'],Desconocido,--
30,Placrap Chernyim,Desconocido,['E som somwang'],['Actor'],Desconocido,--
31,Tao Chernyim,Desconocido,['E som somwang'],['Actor'],Desconocido,--
32,Shompoonuch Klinjampa,Desconocido,"['5 taew', ""Teng's Angel"", 'E som somwang']",['Actress'],Desconocido,--
