,Puntuacion_IMDB,Dirección,Guionistas,Argumento,Duración,Nombre de la película
0,6.7,['Dean Shek'],DESCONOCIDO,"To get their parents back together, two clever siblings team up with their grandpa in a series of mischievous antics.",1h 37m,A Family Affair
1,6.5,DESCONOCIDO,"['Pía Rey', 'Raúl Ruiz']","The film revolves around the concept of soap opera. Its structure is based on the assumption that Chilean reality does not exist, but rather is an ensemble of soap operas.",1h 20m,The Wandering Soap Opera
2,8.5,['Anthony Harrison'],DESCONOCIDO,Simple-minded Joseph Briteman breaks a golden rule of his 'life skills' program when he walks away unsupervised to rescue his long lost baby sister.,1h 23m,Joe Finds Grace
3,4.8,['Louis Ross'],DESCONOCIDO,"Travis and Whitney visit their grandparents and stumble upon the evil plan of a greedy land developer. Travis falls through a magical portal which transports him to the world of American hero, Paul Bunyan and his pet ox, Babe.",1h 24m,Bunyan and Babe
4,5.8,['George Clooney'],DESCONOCIDO,"As a 1950s suburban community self-destructs, a home invasion has sinister consequences for one seemingly normal family.",1h 45m,Suburbicon
5,6.0,['Dax Shepard'],"['Rick Rosner', 'Dax Shepard']",An inexperienced rookie is teamed up with a hardened pro at the California Highway Patrol in Los Angeles; the newbie officer soon learns his partner is really an undercover Fed investigating a heist which may involve some crooked cops.,1h 40m,CHIPS
6,8.4,['Gladys Florence'],DESCONOCIDO,"Caravaggio's tortured life, his murder and the journey of his soul.",1h 30m,Caravaggio and My Mother the Pope
7,5.5,['William H. Macy'],DESCONOCIDO,A young man living a sheltered life develops a crush on an ex-stripper and joins her Alcoholics Anonymous group just so he can be in the same room with her.,1h 30m,Krystal
8,5.3,['Greg Lindsay'],DESCONOCIDO,"When detective reality show loser, Nick Knight, is paid good money to try to find who killed the show's successful producer, Charles Forsythe Carrington, he teams up with the producer's gorgeous daughter and a fellow contestant to find out who killed him and why in this comedic romp! Throughout this hilarious slapstick journey, he's reminded of his shortcomings from h... Read all",1h 36m,Joe Dick
9,--,['Chandrakant Dudhgaokar'],DESCONOCIDO,"a village where an honest and noble couple have been working for the welfare of the villagers and are respected deeply by the village head and others. Lately, the villagers have gone into severe losses after getting lured by a scheme that promised to double their money. The village head asks the couple to bail them out of trouble. When they contact Anna (Avtar Gill), ... Read all",--,Dhingana
10,--,['Zhenhao Zhao'],DESCONOCIDO,,1h 3m,Shao nv tian shi
11,--,['R.P. Singh'],DESCONOCIDO,,--,Kaun Mera Kaun Tera
12,--,['Qing Wu'],DESCONOCIDO,"It is a film directed by Wu Qin.The film is about the trials and tribulations of adolescence.Angel, who smuggles from future 71Y2 back to 20X7, disguises her space-time passport as a 2B pencil. But she loses it accidently and is locked in a summer exam campus in 20X7. Time from 8:45 to 18:45 of June 8 is compulsively repeated. Angel has only 30 days to look for her sp... Read all",1h 38m,The Girl From Future
13,5.0,DESCONOCIDO,DESCONOCIDO,"Sequel to the movie '49 Days'. The film revolves around a guy named Huy who lost his memory due to an accident, more tragically he was stalked by a beautiful ghost who lost her memory.",1h 35m,49 Days 2
14,--,DESCONOCIDO,DESCONOCIDO,,--,The Neighborhood Roadshow
15,6.1,['Sakar Raut'],"['Sakar Raut', 'Nilesh Zope']","Shivya explores the life of a carefree and young Mumbai lad, who happens to use abusive language on a day-to-day basis. However, he plans on mending his ways after this habit of using foul language topples his life upside down.",3h 17m,Ti Dete To Deto Te Detat Saglech Detat Shivya
16,--,DESCONOCIDO,DESCONOCIDO,,1h 39m,The War of Godzilla 2
17,7.2,['Cameron B. Smith'],DESCONOCIDO,Amber has a doctor's appointment.,1h,Zygote
18,4.0,['Bao Mi'],DESCONOCIDO,"Zhang Shengli left his wife and daughter fifteen years ago and went to Hong Kong to achieve success. Now Zhang is rich, and his daughter Ni Xiaoman plans to hold him accountable for his fifteen-year absence.",1h 35m,"Daddy, Be with Me"
19,--,['Rahul Kapoor'],DESCONOCIDO,,--,Ulta Seedha
20,--,['Yogesh Varma'],DESCONOCIDO,,2h 26m,Golmaal Kids
21,--,['Kashif Saleem'],DESCONOCIDO,Newly weds Ahmed and Shama are still learning the intricacies of a married life when Shama's sister Uzma and Ahmed's friend Rajab intervene posing as relationship experts. Soon it becomes clear that something is not right.,1h 20m,Aitebaar
22,--,['Mohammad Iftikhar Iffi'],DESCONOCIDO,,--,Huway Hum Jin Kay Liye Barbaad
23,--,['Syed Muhammad Khurram'],DESCONOCIDO,"Nani and Dadi's close-knit family suffers some financial constraints. And with two unmarried granddaughters, their future appears bleak. But all is about to change when their brother-in-law calls to informs them that his son Ali, is visiting Pakistan to look for a life mate! Originally aired on GEO Entertainment in Pakistan. This is an Urdu language tele-film with Eng... Read all",1h 12m,Tu Mera Chaand
