,Puntuacion_IMDB,Dirección,Guionistas,Argumento,Duración,Nombre de la película
0,--,DESCONOCIDO,DESCONOCIDO,"After being disqualified, the championship becomes personal.",--,Sailing Lessons 2
1,--,['Miras Toleukhanov'],"['Amangeldy Aubakirov', 'Miras Toleukhanov']","Amir, had everything he wanted in life handed to him on a silver platter - money, fame, women. When he loses it all he must find how to regain his life through true human connection and the Inner strength only his father believed he had.",--,The Dream Map
2,--,['Ralitza Dimitrova'],DESCONOCIDO,One's absence can bring much more significance to our lives than the presence of many others.,--,What Colour Is This World
3,7.2,['Maryam Touzani'],DESCONOCIDO,"Abla runs a modest local bakery from her home in Casablanca where she lives alone with her 8-year-old daughter, Warda. When Samia, a young pregnant woman, knocks on their door, Abla is far from imagining that her life will change forever.",1h 38m,Adam
4,--,['Philip Pratt'],DESCONOCIDO,,2h 24m,Blue
5,6.7,['Mati Diop'],"['Mati Diop', 'Olivier Demangel']","In a popular suburb of Dakar, workers on the construction site of a futuristic tower, without pay for months, decide to leave the country by the ocean for a better future. Among them is Souleiman, the lover of Ada, promised to another.",1h 46m,Atlantics
6,5.1,['Christophe Beaucourt'],DESCONOCIDO,"A desperate photographer who suffers from a degenerative eye disease and a husband who wants to kill his dying wife, plot to recover her life insurance.",1h 30m,Mirage
7,4.5,['Albert Serra'],DESCONOCIDO,"Madame de Dumeval, the Duke de Tesis and the Duke de Wand, libertines expelled from the court of Louis XVI, seek the support of the Duc de Walchen, German seducer and freethinker, lonely in a country where hypocrisy and false virtue reign.",2h 18m,Liberté
8,6.7,['Nicolas Boukhrief'],DESCONOCIDO,"Christmas 1999, in a peaceful little village in the Ardennes. The life of a young boy named Antoine will soon be devastated by three tragic events : the death of a dog, the vanishing of a child, and a big ravaging storm.",2h,Three Days and a Life
9,5.6,['Larry Yang'],"['Jianan Ran', 'Larry Yang']",Star-studded holiday ensemble comedy about pets and their owners lives.,1h 48m,Adoring
10,--,['Gabriel Gambetta'],"['Gabriel Gambetta', 'Stuart Selesnick']",A chronic underachiever and his troubled therapist must face the sudden end of their working relationship.,1h 21m,The Last Session
11,7.3,['Nicolas Vanier'],DESCONOCIDO,"Based on the real story of Christian, a specialist on wild goose migrations, and the adventure he and his son embarked.",1h 53m,Spread Your Wings
12,4.5,['Kei Watanabe'],DESCONOCIDO,"Warlord Oda Nobunaga has lost the battle in sixteenth century Japan and is currently being pursued by Ujinori Kanbara who was Yoshimoto Imagawa's vassal. Yoshimoto was slayed by Nobunaga and the former vassal is burning with the fires of revenge. Yet, success is seemingly tripled when he captures not one but three Nobunagas. Each prisoner claims to be the warlord.",1h 46m,Three Nobunagas
13,6.0,['Shintarô Sugawara'],DESCONOCIDO,"Kota is employed at a frozen food factory and plant. his school-mate and friend Shinji died while leaping to the aid of Sennichi for whom they both had admiration. It was a sacrifice and a dismal moment at the same time. Ten years have passed and it should all be in the rear view mirror now, but then Kota and Snnichi run into one another.",1h 54m,Ichigo no uta
14,6.2,['Kôjirô Hashimoto'],DESCONOCIDO,"Inspired by a hit song by Mongol800, there is a small town in Okinawa where the US occupation forces are stationed and have fenced off their base. A popular high school band is scouted by a Tokyo-based record company. The band is involved in a car accident, however, shattering many hopes. The band receives a demo tape from a girl who lives on the navy base. They are r... Read all",2h 3m,Little Love Song
15,--,['Ladon Whitmire'],DESCONOCIDO,"Who would have thought that love, compassion and the unthinkable would happen when Miles and Lee meet for the first time.",--,Waste
16,6.7,['Werner Herzog'],DESCONOCIDO,A man is hired to impersonate the missing father of a young girl.,1h 29m,"Family Romance, LLC"
17,6.4,['John Stimpson'],DESCONOCIDO,A woman needs a miracle in order to save her family's farm and her father's legacy in time for a happy Christmas.,1h 27m,Christmas a la Mode
