,name,link
0,Ève Francis,"('Ève Francis', 'https://www.imdb.com/name/nm0290157/?ref_=tt_cl_t_1')"
1,Gabriel Gabrio,"('Gabriel Gabrio', 'https://www.imdb.com/name/nm0300388/?ref_=tt_cl_t_2')"
2,Jean Toulout,"('Jean Toulout', 'https://www.imdb.com/name/nm0869559/?ref_=tt_cl_t_3')"
3,Gaston Modot,"('Gaston Modot', 'https://www.imdb.com/name/nm0595321/?ref_=tt_cl_t_4')"
4,Anna Gay,"('Anna Gay', 'https://www.imdb.com/name/nm0310735/?ref_=tt_cl_t_5')"
5,Robert Delsol,"('Robert Delsol', 'https://www.imdb.com/name/nm11828528/?ref_=tt_cl_t_6')"
6,Shanshan Chang,"('Shanshan Chang', 'https://www.imdb.com/name/nm0151812/?ref_=tt_cl_t_1')"
7,Bichuan Guo,"('Bichuan Guo', 'https://www.imdb.com/name/nm0348435/?ref_=tt_cl_t_2')"
8,Yunhui Jiang,"('Yunhui Jiang', 'https://www.imdb.com/name/nm0422647/?ref_=tt_cl_t_3')"
9,Ping Li,"('Ping Li', 'https://www.imdb.com/name/nm0508494/?ref_=tt_cl_t_4')"
10,Jun Lu,"('Jun Lu', 'https://www.imdb.com/name/nm0523722/?ref_=tt_cl_t_5')"
11,Geraldine O'Rawe,"(""Geraldine O'Rawe"", 'https://www.imdb.com/name/nm0642374/?ref_=tt_cl_t_1')"
12,Eva Marie Saint,"('Eva Marie Saint', 'https://www.imdb.com/name/nm0001693/?ref_=tt_cl_t_2')"
13,Alex Appel,"('Alex Appel', 'https://www.imdb.com/name/nm0032185/?ref_=tt_cl_t_3')"
14,Nancy Beatty,"('Nancy Beatty', 'https://www.imdb.com/name/nm0064229/?ref_=tt_cl_t_4')"
15,Rutger Hauer,"('Rutger Hauer', 'https://www.imdb.com/name/nm0000442/?ref_=tt_cl_t_5')"
16,John Mahoney,"('John Mahoney', 'https://www.imdb.com/name/nm0001498/?ref_=tt_cl_t_6')"
17,Mary McDonnell,"('Mary McDonnell', 'https://www.imdb.com/name/nm0001521/?ref_=tt_cl_t_7')"
18,Cara Pifko,"('Cara Pifko', 'https://www.imdb.com/name/nm0682999/?ref_=tt_cl_t_8')"
