,name,link
0,Cary-Hiroyuki Tagawa,"('Cary-Hiroyuki Tagawa', 'https://www.imdb.com/name/nm0846480/?ref_=tt_cl_t_1')"
1,Quinton 'Rampage' Jackson,"(""Quinton 'Rampage' Jackson"", 'https://www.imdb.com/name/nm1961693/?ref_=tt_cl_t_2')"
2,Hector Echavarria,"('Hector Echavarria', 'https://www.imdb.com/name/nm0248373/?ref_=tt_cl_t_3')"
3,Isaac C. Singleton Jr.,"('Isaac C. Singleton Jr.', 'https://www.imdb.com/name/nm0802280/?ref_=tt_cl_t_4')"
4,Eric Laciste,"('Eric Laciste', 'https://www.imdb.com/name/nm2362572/?ref_=tt_cl_t_5')"
5,Garret Sato,"('Garret Sato', 'https://www.imdb.com/name/nm0756830/?ref_=tt_cl_t_6')"
6,Kylee Lehe,"('Kylee Lehe', 'https://www.imdb.com/name/nm1464529/?ref_=tt_cl_t_7')"
7,Rigan Machado,"('Rigan Machado', 'https://www.imdb.com/name/nm0532498/?ref_=tt_cl_t_8')"
8,Sam Sarpong,"('Sam Sarpong', 'https://www.imdb.com/name/nm0765493/?ref_=tt_cl_t_9')"
9,Nicole Sherwin,"('Nicole Sherwin', 'https://www.imdb.com/name/nm0792780/?ref_=tt_cl_t_10')"
10,Sean Gray,"('Sean Gray', 'https://www.imdb.com/name/nm1453324/?ref_=tt_cl_t_1')"
11,Chris Blasman,"('Chris Blasman', 'https://www.imdb.com/name/nm0087756/?ref_=tt_cl_t_2')"
12,Renee Dorian,"('Renee Dorian', 'https://www.imdb.com/name/nm1792165/?ref_=tt_cl_t_3')"
13,Michael Buffo,"('Michael Buffo', 'https://www.imdb.com/name/nm2495458/?ref_=tt_cl_t_4')"
14,Amanda Wing,"('Amanda Wing', 'https://www.imdb.com/name/nm1255153/?ref_=tt_cl_t_5')"
15,Matt Lasky,"('Matt Lasky', 'https://www.imdb.com/name/nm2359377/?ref_=tt_cl_t_6')"
16,Mike Saad,"('Mike Saad', 'https://www.imdb.com/name/nm0754241/?ref_=tt_cl_t_7')"
17,Buddy Daniels Friedman,"('Buddy Daniels Friedman', 'https://www.imdb.com/name/nm0199854/?ref_=tt_cl_t_8')"
18,Holt Boggs,"('Holt Boggs', 'https://www.imdb.com/name/nm0091773/?ref_=tt_cl_t_9')"
19,Matthew Prater,"('Matthew Prater', 'https://www.imdb.com/name/nm1056990/?ref_=tt_cl_t_10')"
20,Michael Peña,"('Michael Peña', 'https://www.imdb.com/name/nm0671567/?ref_=tt_cl_t_1')"
21,Maggie Q,"('Maggie Q', 'https://www.imdb.com/name/nm0702572/?ref_=tt_cl_t_2')"
22,Lucy Hale,"('Lucy Hale', 'https://www.imdb.com/name/nm1423955/?ref_=tt_cl_t_3')"
23,Austin Stowell,"('Austin Stowell', 'https://www.imdb.com/name/nm3271473/?ref_=tt_cl_t_4')"
24,Jimmy O. Yang,"('Jimmy O. Yang', 'https://www.imdb.com/name/nm4497202/?ref_=tt_cl_t_5')"
25,Portia Doubleday,"('Portia Doubleday', 'https://www.imdb.com/name/nm0234668/?ref_=tt_cl_t_6')"
26,Ryan Hansen,"('Ryan Hansen', 'https://www.imdb.com/name/nm1218621/?ref_=tt_cl_t_7')"
27,Michael Rooker,"('Michael Rooker', 'https://www.imdb.com/name/nm0740264/?ref_=tt_cl_t_8')"
28,Parisa Fitz-Henley,"('Parisa Fitz-Henley', 'https://www.imdb.com/name/nm1406792/?ref_=tt_cl_t_9')"
29,Mike Vogel,"('Mike Vogel', 'https://www.imdb.com/name/nm1036181/?ref_=tt_cl_t_10')"
30,Lucie Debay,"('Lucie Debay', 'https://www.imdb.com/name/nm3580372/?ref_=tt_cl_t_1')"
31,Arieh Worthalter,"('Arieh Worthalter', 'https://www.imdb.com/name/nm3581007/?ref_=tt_cl_t_2')"
32,Ciaran O'Brien,"(""Ciaran O'Brien"", 'https://www.imdb.com/name/nm0639473/?ref_=tt_cl_t_3')"
33,Ryan Brodie,"('Ryan Brodie', 'https://www.imdb.com/name/nm3859747/?ref_=tt_cl_t_4')"
34,Simone Milsdochter,"('Simone Milsdochter', 'https://www.imdb.com/name/nm1334979/?ref_=tt_cl_t_5')"
35,Mikael Sladden,"('Mikael Sladden', 'https://www.imdb.com/name/nm4892618/?ref_=tt_cl_t_6')"
