,Puntuacion_IMDB,Dirección,Guionistas,Argumento,Duración,Nombre de la película
0,7.1,['Bejoy Nambiar'],DESCONOCIDO,A grief-stricken cop and an amputee grandmaster are brought together by a peculiar twist of fate as part of a wider conspiracy that has darkened their lives.,1h 43m,Wazir
1,7.1,['Kader Kashmiri'],DESCONOCIDO,A police officer enlists help of a dancer and a jailed comrade to stop an evil mastermind to destroy India apart.,2h 17m,Aman Ke Farishtey
2,4.4,['Tod Williams'],DESCONOCIDO,"When a mysterious cell phone signal causes apocalyptic chaos, an artist is determined to reunite with his young son in New England.",1h 38m,Cell
3,6.7,['Duncan Jones'],"['Charles Leavitt', 'Duncan Jones']","As an Orc horde invades the planet Azeroth using a magic portal, a few human heroes and dissenting Orcs must attempt to stop the true evil behind this war.",2h 3m,Warcraft
4,3.6,['Jay Martin'],"['James Patterson', 'Angelique Hanus', 'Jesse Spears']",A flock of winged children mount a rescue plan when wolf-boys abduct their youngest member and return her to the militarized institution that created them all.,1h 28m,Maximum Ride
5,6.2,['David Yates'],DESCONOCIDO,"Tarzan, having acclimated to life in London, is called back to his former home in the jungle to investigate the activities at a mining encampment.",1h 50m,The Legend of Tarzan
6,8.5,DESCONOCIDO,DESCONOCIDO,A title for testing IMDbPro Stay informed features.,--,SIUAT Sumanth 3
7,--,['Pablo Martínez'],DESCONOCIDO,,--,Mercenarios en acción
8,--,['Premashu Singh'],DESCONOCIDO,,--,Doodh Ka Karz
9,5.2,['Michael Chuah'],DESCONOCIDO,,1h 28m,Special Forces
10,--,['Nitesh Pawar'],"['Deepak Angewar', 'Nitesh Pawar', 'Hemant Salve']",the lives of two rich children who lose their ways and end up commiting a serious offense while having fun.,2h 8m,Made In Maharashtra
11,3.4,['Roy Krishnan'],DESCONOCIDO,"Amir, Rosham and Megat are best friends and each of them has big dreams. But things turn upside down when one of them finds a jewelry box that belongs to mafias King and Kong. Their lives are threatened when they become the target of the mafias who want their jewelry back.",1h 40m,Lu Mafia Gua Gangster
12,--,['Toto Natividad'],"['Toto Natividad', 'Willy Laconsay', 'Michael Bernaldez']","A father learns that his teenage son is heading down to the same path he treaded. In order to stop his son from being a criminal, he returns to his old ways so that his son may live.",1h 39m,Resbak
13,7.7,['Charles Gozali'],"['Thjai Edwin', 'Charles Gozali', 'Hilman Hariwijaya']","Bisma, a teenager with natural martial arts talent, has a crush on Bella, a girl at his college. But her boyfriend, Attar, always annoys Bhishma, until a mysterious man trains him to fight back.",1h 46m,Juara
14,--,['Shailesh Leuva'],DESCONOCIDO,,--,Shootout
