,Puntuacion_IMDB,Dirección,Guionistas,Argumento,Duración,Nombre de la película
0,--,['Frank Howson'],DESCONOCIDO,A lonely man on the run is trapped inside a house. He reflects on the mistakes in his life as those who wish him harm close in.,1h 15m,A Thin Life
1,6.4,['Haifaa Al-Mansour'],"['Adam Brooks', 'Gina Prince-Bythewood', 'Trisha R. Thomas']","Violet Jones tired of waiting for her longtime boyfriend to propose, breaks up with him. But old feelings, and heaps of jealousy, no doubt, arise when he promptly begins dating another woman.",1h 38m,Nappily Ever After
2,6.0,['Jay Chandrasekhar'],DESCONOCIDO,"When a border dispute arises between the U.S. and Canada, the Super Troopers are tasked with establishing a Highway Patrol station in the disputed area.",1h 39m,Super Troopers 2
3,--,['Bebe Pix'],DESCONOCIDO,"After her family found her talking to neighbor's son Lubani, young Emelia was humiliated by her family and then forced to marry him, but Lubani's family refuses. Thrown out of the house she was found in the bushes by a fellow villager, hungry and with injured ankle. The village chief takes after her, and arranges reconciliation of two families.",--,Forced Marriage
4,--,['Kiyoto Naruse'],DESCONOCIDO,,--,Night of the Dead Geisha
5,--,['Alexander Cruz'],DESCONOCIDO,"When Roy, an elderly Quebecois, suddenly keels over after an afternoon of hard drinking, his Filipina wife Ruby is left to figure out how she and her son Levi are going to survive.",1h 28m,Pur laine
6,--,['Ulrich Laven'],DESCONOCIDO,,--,Das Bürgermeistermädchen
7,--,['William Stancik'],DESCONOCIDO,"A man goes with his friends to bury his dog in the woods, where they encounter a malevolent resident.",1h 23m,Jeremiah's Woods
8,--,['Chaithanya Acharya'],DESCONOCIDO,A couple who get married against the wish of their family starts living in a farmhouse where they face weird ghost experiences. What consequences does this lead to and how will they survive is the rest of the story of Dr Prasad C/o Sitara.,1h 37m,Dr Prasad c/o sitara
9,6.0,['Ernesto Santisteban'],DESCONOCIDO,"In a countryside house located in the Ecuadorean Andes Mountains lives Christine, a paralytic old woman who has decided to be isolated from the world. In that place, she found refuge in old memories of her first love, Manuel. Years after getting married and widowed from another man, Christine and her daughter, Julia, decide to put together a plan in order to reunite t... Read all",2h,Verano No Miente
10,5.4,['Ahmed Zain'],DESCONOCIDO,"Local rivals gear up to compete in a traditional game that tests their physical strength and endurance, but complications disrupt their training.",1h 40m,Freej Al Taibeen
11,5.2,['Van Cong Vien'],DESCONOCIDO,A chance meeting turns into a fiery love story between a shy student and a determined girl who keeps a distance from him to hide her secret past.,1h 40m,Yêu Em Bât Châp
12,6.5,['Pravin Raja Karale'],DESCONOCIDO,Ramesh is offered help from his boss to impress the girl he loves with the only condition that he acts more responsibly at work.,--,Hrudayat Something Something
13,5.0,['Henry Secchiaroli'],"['Henry Secchiaroli', 'Ermanno Simoncelli']",,--,Fate vobis
14,--,['Rotem Kapelinsky'],DESCONOCIDO,,1h 7m,Grutarally: The Return of 'Kid's Eating Trash'
15,7.5,['Rod Singh'],DESCONOCIDO,"A transgender sex worker in her late 40s along Fields Avenue whose only aspiration is to have breast implants for her profession unexpectedly assumes the role of a mother to her orphaned niece, a transgender youth who is only beginning to discover her own sexuality. As she works more shifts to save for her implants, troubles arise when she begins to feel the weight of... Read all",2h 2m,Mamu: And a Mother Too
16,3.7,['Raynier Brizuela'],"['Carl Joseph Papa', 'Raynier Brizuela', 'Lawrence Nicodemus']","""Asuang"", the God of Sins, was once a ruthless and fickle God of Bicol, but now he is a loner and a loser who has no place in the world that is overrun by sinful human beings. He resorted to social media to regain his former glory and fame but to no avail. On his track to retirement, he was approached by the Seers to help them stop Armageddon. Along with a group of si... Read all",1h 56m,Asuang
17,5.5,['Gray Hofmeyr'],"['Gray Hofmeyr', 'Geoff Newton', 'Leon Schuster']","The killing of Reini's mother by poachers sets these four on an ill-advised, sometimes funny, and deeply moving journey through the wild African bush to an equally-wild African city. Their purpose: to kidnap the ambassador of a South-East Asian country to force an end to the trade in rhino-horn and the slaughter of these wonderful animals.",1h 37m,Frank & Fearless
18,--,['Axel Loh'],DESCONOCIDO,"""The Adventures of Tiberius von Hadern"" is a funny silent movie with mysterious witches and quirky types in black and white. Scotland in 1520: Tiberius of Hadern deals with magic fixings. One day, however, a magic accident and the rich Auguste turns into a swan. Tiberius goes in search of the ingredients for a potion, which is to transform the poor woman back again. H... Read all",1h,Die Abenteuer des Tiberius von Hadern
19,5.2,['Dmitriy Suvorov'],DESCONOCIDO,Office plankton is a dangerous animal if pissed off. Three unsuccessful managers unite in an almost criminal gang in an attempt to overthrow the insolent boss who shamelessly rob the company.,1h 25m,Vse ili nichego
20,--,['Khyler Vick'],DESCONOCIDO,,--,blockheaDs 3
21,3.9,['Lena Koppel'],"['Lena Koppel', 'Otto Runmark']","A middle-aged couple decide to go to a councilor to fix their relationship, but it turns out the councilor has other intentions entirely for their appointment.",1h 22m,Krocken
22,7.1,['Nino Zhvania'],DESCONOCIDO,"Three middle aged friends, a criminal, a painter, and an actor with badly arranged lives reunited to hit the road in a search for new assemblies, joys, and sorrows.",1h 27m,Parade
23,4.5,['Antonio Chavez'],DESCONOCIDO,"The man, the myth, the legend. Get to know Phillip Burnell a.k.a. DSP Gaming as you have never before in this bio-pic and follow his journey from fan-favorite YouTube gamer to the epitome of cancer of the gaming community.",--,DSPGaming: The Movie
24,6.8,['Terry Leung'],DESCONOCIDO,A group of a$$holes hanging around a lemonade stand but instead of lemons it's mangos are too self-absorbed in each of their individual angst and miss out on each other.,1h 44m,Mangoshake
25,--,['Evgeniy Mishukhin'],DESCONOCIDO,,--,Robbers 3: Saved in Time
26,--,DESCONOCIDO,"['Zachary Bray', 'Travis Gray']","Journalist major, Brian Purge, documents two best friends that willingly take a class which has a record of being the worst course on campus. Tasked with a video blog assignment, the two friends begin to turn a simple project into a war that will test their friendship.",1h 21m,Vlog Wars-Very Loosely Based On Some True Events Sort Of
27,--,['David M. Dawson'],DESCONOCIDO,,--,Do Not Disturb
28,6.3,DESCONOCIDO,"['Kevin Derrick Gentry', 'Ashei Khan', 'Quinell May']",Everything is good when you're making money but what happens when illegal gains turn into prison time? Follow an ex-felon as he fights temptation after temptation in an attempt to become successful in an environment set up for him to fail.,1h 36m,The Come Up
29,--,['Derrick Williams'],"['Cedric Esg Hill', 'Keir Sylvester', 'Derrick Williams']","This is a story about a Mississippi native Dre (Kalum Johnson), visits Houston for the first time to attend a funeral and gets into trouble in the hood with his cousin Tray (Cedric ""ESG"" Hill)",--,Sunday in Houston
30,--,DESCONOCIDO,DESCONOCIDO,,--,Aladdin and the Magic Lamp
31,--,DESCONOCIDO,DESCONOCIDO,,--,Little Mermaid
32,--,DESCONOCIDO,DESCONOCIDO,,--,Jack and the Beanstalk
33,5.2,['Kashif Saleem'],DESCONOCIDO,,--,Rok Sako to Rok Lo
34,--,['Juanjo Martínez'],DESCONOCIDO,"The story of Rodrigo, a city boy, who comes to the town of Costa del Sur and falls in love with Alejandra.",1h 6m,Surfeando tu Mundo
35,5.2,['Kashif Saleem'],DESCONOCIDO,,--,Rok Sako to Rok Lo
36,4.4,['Nguyen Hoang Anh'],DESCONOCIDO,"Broke and anxious, two sibling bus drivers take a wealthy customer to the countryside for Tet when four fuzzy passengers suddenly join the ride.",1h 20m,Going Home for Tet
37,--,['Marcus Shepherd'],DESCONOCIDO,"One Saturday someone steals Grandad's antique red tricycle, who is the thief and can 9 year old Audrey get it back?",--,The Tricycle Thief
38,--,DESCONOCIDO,"['Crystal Ellis', 'Tyrell Ellis']",A hard-knock hustler encourages his fall-for-everything younger brother to partner with him and open a restaurant in a run-down Los Angeles neighborhood. Along comes a pair of high-profile sisters who try to take ownership of the property by any means necessary.,1h 2m,The Flavor
39,9.0,DESCONOCIDO,DESCONOCIDO,"It is a Story of three Mischievous Pranky Frands, Who love to call girls and irritate them over the phone but one call made by them becomes a nightmare for their life and changes their life forever during this comedy journey.",2h 28m,Befaam
40,9.1,['Travis Morningstar'],"['Ben Kissel', 'Marcus Parks', 'Henry Zebrowski']",,--,Last Podcast on the Left: Live in Chicago
41,--,['Antonio Farisi'],DESCONOCIDO,"After the referendum on divorce in 1974, in a little village in the south of Italy. Michele the barber - whom everyone calls ""quaffer"" - believes that he can divorce from his wife just by changing his Identity Card, easily as a change of address. He will find out that it is more complicated than he thinks. Michele's choice to separate from his wife upsets the small ru... Read all",1h 28m,Quaffer
42,5.9,DESCONOCIDO,"['Conor Lastowka', 'Michael J. Nelson', 'Sean Thomason']","When a weird millionaire launches a virtual game, nerds come out of the woodwork to play. Only Mike Nelson, Bill Corbett, and Kevin Murphy can make sense of this atrocity that is based on a work of Ernest Cline.",1h 25m,RiffTrax: Ready Player One
