,Puntuacion_IMDB,Dirección,Guionistas,Argumento,Duración,Nombre de la película
0,6.7,['Orson Welles'],"['Orson Welles', 'Oja Kodar']","At a media-swamped party to celebrate his 70th birthday and screen his avant-garde film-in-progress, a legendary but jaded Hollywood director is faced both with voracious fans and unsettling questions about what became of his lead actor.",2h 2m,The Other Side of the Wind
1,3.0,['Stuart Paul'],DESCONOCIDO,"In 1990s Los Angeles, danger lurks around the corner after a freak accident leaves an undercover cop with supernatural abilities while also unleashing a horror that he must destroy before it destroys everything.",1h 44m,Heaven & Hell
2,6.6,['Pat Jackson'],DESCONOCIDO,"A lone shark bounty hunter pits himself against secret agents from three countries. The prize: a million bucks in cash for vital state secrets. A little talky in spots, but overall not bad. Color. 16mm.",1h 37m,To Chase a Million
3,7.8,['Mrinal Sen'],"['Afsar Ahmed', 'Mrinal Sen', 'H. Banerjee']","A triangle love story between viz Meher (Kaushik Sen), Noor (Saswato Chaterjee) and Sakina (Nandita Das).",1h 42m,Aamaar Bhuvan
4,5.0,['Ramin Bahrani'],"['Ray Bradbury', 'Ramin Bahrani', 'Amir Naderi']","In a terrifying care-free future, a young man, Guy Montag, whose job as a fireman is to burn all books, questions his actions after meeting a young woman - and begins to rebel against society.",1h 40m,Fahrenheit 451
5,6.4,['Haifaa Al-Mansour'],"['Adam Brooks', 'Gina Prince-Bythewood', 'Trisha R. Thomas']","Violet Jones tired of waiting for her longtime boyfriend to propose, breaks up with him. But old feelings, and heaps of jealousy, no doubt, arise when he promptly begins dating another woman.",1h 38m,Nappily Ever After
6,6.2,['Sam Taylor-Johnson'],"['Aaron Taylor-Johnson', 'Sam Taylor-Johnson', 'James Frey']",A drug-dependent young man faces his past and his inner demons after he is interned in an institution for the addicted.,1h 53m,A Million Little Pieces
7,6.3,['Alex Pettyfer'],DESCONOCIDO,"In 1993, Harley's dad is shot dead and his mom goes to prison. He has to earn money and look after his 3 kid sisters. No college. Over 2 years, family secrets are slowly revealed. Will a good therapist be enough?",1h 41m,Back Roads
8,4.9,['Arash Zaree'],"['Mehrdad Jafarian', 'Arash Zaree']","A simple kind woman leads a hard, unsatisfactory life with her husband. She unintentionally caused her husband's death. But she begins a new life with his dead body.",1h 42m,When I Became a Butterfly
9,7.1,['Dinesh S. Yadav'],DESCONOCIDO,"The film is a metaphorical depiction of the turtle where in a drought struck village of Rajasthan, Sanjay Mishra (as Ramkaran Choudhary), is churning the parched, sun baked earth, to extract water and the common folk indulged in a tug of war, rotating on his shell, desperate to quench their thirst.",1h 15m,Turtle
10,--,['Bebe Pix'],DESCONOCIDO,"After her family found her talking to neighbor's son Lubani, young Emelia was humiliated by her family and then forced to marry him, but Lubani's family refuses. Thrown out of the house she was found in the bushes by a fellow villager, hungry and with injured ankle. The village chief takes after her, and arranges reconciliation of two families.",--,Forced Marriage
11,--,['Valentina Ponomarenko'],DESCONOCIDO,,--,Skvoznyye Shagi
12,6.2,['Pannu Gande'],DESCONOCIDO,Lost Einstein is about Doomsday. A black hole is approaching our earth in 500yrs which will wipe out the complete solar system. A young kid - Santhosh shows extraordinary Intelligence and Worlds Top physicists and Scientists give him a name - Young Einstein. He grows up developing a theory of harnessing gravity. It is the only hope everyone has for saving earth from c... Read all,--,Lost Einstein
13,8.0,['Gharge Karehaklu'],DESCONOCIDO,Kannada Feature Film based on a short story by Nidasale Puttaswamaiah,1h 26m,Anuttara
14,--,['Tola Olatunji'],"['Tina Chukwura', 'Damilola Yakubu']","When a son is charged for selling narcotics, a father must learn the power of forgiveness, even when the family reputation is on the line.",1h,Saboa
15,--,['Hellene Alabi-Williams'],"['Hellene Alabi-Williams', 'Neils Williams']",An American one-hit wonder finds love in a Nigerian gospel singer.,1h 27m,Stay
16,--,['Keith Deligero'],DESCONOCIDO,"In the southern Philippine city of Cebu a troubled detective struggles to solve a series of grisly killings, while a deep conspiracy works to keep the truth just out of his reach.",1h 27m,A Short History of a Few Bad Things
