,Puntuacion_IMDB,Dirección,Guionistas,Argumento,Duración,Nombre de la película
0,6.1,['Mircea Daneliuc'],DESCONOCIDO,"Young Doina has a car accident. In intensive care, the doctor, Vali, calls her time of death but discovers that the child she was carrying is still alive. Wishing to save its life, the doctor puts the mother on artificial life support.",1h 33m,Fed Up
1,6.6,['Luis Aller'],DESCONOCIDO,"Passers-by is a constructivist, multiple, fragmented and cosmic film... a cinematographic Big Bang resulting from a thorough conception and edition work by Director Luis Aller. Passers-by exposes us to ephemeralness inside hundreds of human beings' lives in their particular evolutions, and allows us to watch them as though we open a wide window over the city of Barcel... Read all",1h 41m,Transeúntes
2,7.2,['Peyton Reed'],DESCONOCIDO,"Armed with a super-suit with the astonishing ability to shrink in scale but increase in strength, cat burglar Scott Lang must embrace his inner hero and help his mentor, Dr. Hank Pym, pull off a plan that will save the world.",1h 57m,Ant-Man
3,6.6,['Jeremy Garelick'],"['Jeremy Garelick', 'Jay Lavender']","Two weeks shy of his wedding, a socially awkward guy enters into a charade by hiring the owner of a company that provides best men for grooms in need.",1h 41m,The Wedding Ringer
4,--,['Henry Secchiaroli'],"['Henry Secchiaroli', 'Ermanno Simoncelli']",,2h 5m,Gli sbancati 2
5,5.4,['Ly Hai'],DESCONOCIDO,"When he discovers a fortune in diamonds in the jungle, a man must flee the criminal gang with the help of a chance acquaintance.",1h 38m,Face Off
6,6.1,['David Gordon Green'],"['Rachel Boynton', 'Peter Straughan']","A battle-hardened American political consultant is sent to help re-elect a controversial president in Bolivia, where she must compete with a long-term rival working for another candidate.",1h 47m,Our Brand Is Crisis
7,2.5,['Salar Shaikh'],DESCONOCIDO,,2h 5m,Hai Golmaal in White House
8,--,['Neels Clasen'],"['Neels Clasen', 'Hannes Brummer', 'Christopher Steenkamp']",,1h 39m,Land of Milk & Money
9,--,DESCONOCIDO,"['Draz De Marco', 'Muza Del Rey']",,--,A Punny Tale
10,--,DESCONOCIDO,DESCONOCIDO,DESCONOCIDO,--,Error nombre para la pelicula con id: tt10299856
11,--,['Ying-Ting Tseng'],DESCONOCIDO,"Trying to save his high school love from an unhappy marriage, Weida ask voice actor Wu for help. But their feelings might get in the way of their mission and start a hole new problem.",1h 21m,Double Date
12,--,['Barry Rivers'],DESCONOCIDO,"Summer on Menorca. Young Olivia has lost all understanding for the world. She just ended an affair in order to begin a real relationship, but no sooner had it started than this also ends. She is comforted and receives prosaic advice from her sculptor mother Nuria. When retired advertisement filmmaker Fernando moves into their guesthouse, a fresh wind blows over the is... Read all",1h 41m,Isla Bonita
13,6.3,['Rob Letterman'],DESCONOCIDO,"A teenager teams up with the daughter of young-adult horror author R.L. Stine after the writer's imaginary demons are set free on the town of Madison, Delaware.",1h 43m,Goosebumps
14,--,['Piotr Matwiejczyk'],DESCONOCIDO,,1h 35m,Gimbaza. Gimby nie znajo!
15,--,['Piotr Matwiejczyk'],DESCONOCIDO,,1h 25m,Welcome Homo
16,7.3,['Dexter Fletcher'],DESCONOCIDO,"The story of Eddie Edwards, the notoriously tenacious British underdog ski jumper who charmed the world at the 1988 Winter Olympics.",1h 46m,Eddie the Eagle
17,7.7,['Raja Vannem Reddy'],DESCONOCIDO,A professor adopts a dog who quickly becomes a member of the family and helps them during a pivotal moment in their lives.,1h 45m,Tommy
18,4.9,['Jason P. Schumacher'],"['Jason P. Schumacher', 'Wes Tank']","The Telephone Game is an indie drama/comedy about the chaos of trying to put a play together and about a relationship that develops amidst that chaos, between Marco the director, and Zelphia the lead actress.",1h 33m,The Telephone Game
19,7.0,['Nina Frifelt'],DESCONOCIDO,Fuhlendorff shares observations about becoming a family man.,1h 35m,Christian Fuhlendorff: For at gøre en kort historie lang
20,--,['Simon Harris'],"['Nick Clark', 'Simon Harris']",,1h 30m,Flavian: Essence of an Idiot
21,--,['Cecilia Engels'],DESCONOCIDO,"The Bahian Nazaré goes to São Paulo for the first time to visit her brother Natanael, who has lived in the city for eight years. Natanael has a work-oriented lifestyle, while Nazaré lives a healthy relationship with people, nature and food. Gradually bringing his axé and growing food in the apartment, Nazaré germinates the transformation in the environment of Natanael... Read all",--,Apart Horta
22,--,DESCONOCIDO,DESCONOCIDO,DESCONOCIDO,--,Error nombre para la pelicula con id: tt11046732
23,6.7,['Frank Lotito'],DESCONOCIDO,"In 1979, an Indian family moves to America with hopes of living the American Dream. While their 10-year-old boy Smith falls head-over-heels for the girl next door, his desire to become a ""good old boy"" propels him further away from his family's ideals than ever before.",1h 42m,Growing Up Smith
24,--,['Louis Delisle'],DESCONOCIDO,,--,Mike Ward Le Docu
25,--,DESCONOCIDO,"['Nuzaira Imam', 'Gul Zaib Shakeel']","Nazar ke Samnay is the story of Saleem, a young mechanic living in the neighborhood of Burns Road. He has had a massive crush on Hanna since forever - forever being when she moved to the neighborhood four years ago. Hanna is an orphan living with her aged spinster Khala and hands down, the prettiest girl on the block. Saleem enjoys admiring Hanna from afar. He feels l... Read all",1h 18m,Nazar Kay Samnay
26,--,['Tran Trung Dung'],DESCONOCIDO,,1h 25m,Siêu Quây Lên Chùa
27,7.5,['Feroz Kader'],"['Feroz Kader', 'Syamnuriezmil']","Aleeya Azmeen willingly went to London with her boyfriend five years ago only to get dumped by him in the end. Things became worse when she was thrown out of London's college. Left with nothing, she had no choice but to return to Malaysia. But how will she explain what has happened to her family and friends? A fated meeting at Heaththrow airport with Zariel Daniel, wh... Read all",2h 4m,Suamiku Encik Perfect 10!
28,7.0,DESCONOCIDO,"['K.C. Amos', 'Dale Stelly']",,--,Tamales and Gumbo
29,--,['Artem Markov'],DESCONOCIDO,"Womanizer Stepan Frolov died a military hero. As an atheist, he is surprised to meet Peter and Paul at the gates. Before he can enter heaven, he has 15 final days on Earth to make at least one woman truly happy. However, three woman all set their sights on him, make his chances slimmer and slimmer.",--,15 Days
30,4.1,['David O. Russell'],DESCONOCIDO,"A small town waitress gets a nail accidentally lodged in her head causing unpredictable behavior that leads her to Washington, D.C., where sparks fly when she meets a clueless young senator who takes up her cause - but what happens when love interferes with what you stand for?",1h 40m,Accidental Love
31,--,['Ernie Brown'],DESCONOCIDO,,--,The LittleBigPlanet Movie
32,3.7,['Byeong-Ha No'],DESCONOCIDO,,1h 25m,Mission: Kidnap the Top Star
33,--,['Swapan Saha'],DESCONOCIDO,,--,Cocktail
34,--,DESCONOCIDO,DESCONOCIDO,,--,Bagta barýan ýollar
35,--,['Peter Watkins-Hughes'],DESCONOCIDO,"When a low-level cocaine dealer has his stash stolen and is forced into debt, he finds himself befriending a cocky and naive teenager to help pay off his overheads and shift a new batch of product.",1h,The Good Drug Dealer
36,6.1,['Ardy Octaviand'],"['Nataya Bagya', 'Ardy Octaviand']",Three men have something in common: womanizer and no respect for women. Their lives change when they meet with a woman who condemned their behavior. They search for redemption that brings them to the reality that they have never imagined.,1h 26m,Three Ladies
37,5.5,['Cuk Fk'],"['Dhamoo Punjabi', 'Eric Satyo']",The new detective has to investigate the affair of the husband from his boarding house's madam.,1h 35m,Komedi Moderen Gokil
38,7.4,['Fajar Bustomi'],DESCONOCIDO,"Mae and Rendy celebrate their wedding anniversary. Rendy also wants to make a party for the good fortune of their family, but instead, Mae often ponders. He was ashamed because he was never doing prayer at all.",1h 31m,99% Muhrim: Get Married 5
39,7.2,['Raymond Handaya'],"['Raymond Handaya', 'Away Martianto', 'Hilman Mutasi']","After rescuing a nursing home from bomb threats, Gito (Deddy Mahendra Desta) and Rojak (Judika Sihotang) became acquainted with Abdur (Abdur Arsyad). They met again when they were given the task of fostering prospective firefighters, under the leadership of Commander Dicky (Bucek Depp).",1h 39m,Si Jago Merah 2: Air & Api
40,--,['Nikesh Khadka'],DESCONOCIDO,,2h 20m,Zindagi Rocks
41,7.0,['Jean-Marc Vallée'],DESCONOCIDO,"A successful investment banker struggles after losing his wife in a tragic car crash. With the help of a customer service rep and her young son, he starts to rebuild, beginning with the demolition of the life he once knew.",1h 41m,Demolition
