,id,time_sec
0,tt0369610,3
1,tt0478970,4
2,tt10085492,2
3,tt10118134,2
4,tt10168674,2
5,tt10217308,3
6,tt10403902,4
7,tt10624616,2
8,tt10887776,3
9,tt10907990,3
10,tt11117398,2
11,tt11202174,3
12,tt11202108,3
13,tt11296358,1
14,tt11296440,1
15,tt11369684,4
16,tt11433556,3
17,tt11646308,4
18,tt11658440,4
19,tt11671066,3
20,tt11848936,2
21,tt11958160,2
22,tt11960074,3
23,tt12053122,3
24,tt12064898,3
25,tt12206996,2
26,tt1232828,4
27,tt1236254,4
28,tt12656088,1
29,tt12701934,2
30,tt12702012,1
31,tt12775338,3
32,tt12839586,1
33,tt12846196,1
34,tt12887258,60
35,tt12905998,3
36,tt12914376,3
37,tt12922404,3
38,tt1293805,3
39,tt12975634,2
40,tt1321390,4
41,tt1321869,5
42,tt13247670,2
43,tt13275834,3
44,tt13276500,3
45,tt13393900,1
46,tt13394100,1
47,tt1340138,4
48,tt13471910,2
49,tt13504668,2
50,tt1363134,3
51,tt1365458,4
52,tt1379712,4
53,tt1390411,4
54,tt1392190,4
55,tt13985940,3
56,tt14111120,2
57,tt14565530,60
58,tt14758364,3
59,tt1494817,3
60,tt14992794,3
61,tt1502712,4
62,tt15043976,2
63,tt15067436,3
64,tt1512222,4
65,tt15421154,2
66,tt15440968,4
67,tt15496402,2
68,tt15568978,2
69,tt15618484,2
70,tt15655068,2
71,tt15672114,2
72,tt1573475,4
73,tt1612319,5
74,tt1618442,4
75,tt1617661,4
76,tt1638355,4
77,tt1663202,4
78,tt1683919,4
79,tt1694021,3
80,tt1706625,4
81,tt1727776,4
82,tt1731701,4
83,tt1757901,4
84,tt1764355,3
85,tt1781922,4
86,tt1798684,4
87,tt1823672,5
88,tt1830848,4
89,tt1848834,3
90,tt1856057,4
91,tt1869348,19
92,tt1894486,3
93,tt1927086,3
94,tt1934172,3
95,tt1941478,4
96,tt1951266,4
97,tt1964418,5
98,tt1991199,6
99,tt2002868,3
100,tt2040534,3
101,tt2048865,4
102,tt2057392,60
103,tt2058673,5
104,tt2065868,3
105,tt2066900,3
106,tt2072230,4
107,tt2084957,4
108,tt2091935,4
109,tt2094769,3
110,tt2100613,4
111,tt2111292,4
112,tt2120120,4
113,tt2118662,3
114,tt2126355,4
115,tt2140379,4
116,tt2140037,3
117,tt2149598,4
118,tt2157103,4
119,tt2170369,3
120,tt2186848,4
121,tt2199571,5
122,tt2197895,3
123,tt2202086,4
124,tt2215673,4
125,tt2229201,4
126,tt2229952,2
127,tt2231253,4
128,tt2236358,4
129,tt2250418,60
130,tt2261983,4
131,tt2271563,4
132,tt2274284,3
133,tt2279199,3
134,tt2282390,3
135,tt2293626,4
136,tt2293638,4
137,tt2293060,4
138,tt2298240,3
139,tt2302966,3
140,tt2308583,4
141,tt2310918,4
142,tt2313306,4
143,tt2315144,3
144,tt2319456,4
145,tt2322932,4
146,tt2321602,2
147,tt2342266,4
148,tt2365166,3
149,tt2375581,3
150,tt2379713,4
151,tt2381249,4
152,tt2385189,4
153,tt2393827,3
154,tt2395427,5
155,tt2396671,3
156,tt2401097,4
157,tt2418196,4
158,tt2422440,3
159,tt2424988,5
160,tt2433040,3
161,tt2445248,4
162,tt2457324,4
163,tt2461684,3
164,tt2465308,4
165,tt2470102,3
166,tt2477218,4
167,tt2480794,3
168,tt2479478,4
169,tt2493486,4
170,tt2486856,5
171,tt2488496,5
172,tt2495944,3
173,tt2503954,4
174,tt2515034,4
175,tt2526048,3
176,tt2531120,4
177,tt2538778,5
178,tt2544624,4
179,tt2544766,4
180,tt2545692,3
181,tt2557258,4
182,tt2558022,4
183,tt2577308,3
184,tt2618920,3
185,tt2628430,3
186,tt2630992,4
187,tt2631186,4
188,tt2639514,5
189,tt2637906,3
190,tt2638048,4
191,tt2656880,20
192,tt2679042,4
193,tt2717822,4
194,tt2718440,4
195,tt2719024,3
196,tt2724532,5
197,tt2719848,5
198,tt2730134,4
199,tt2740676,3
200,tt2748060,4
201,tt2746728,3
202,tt2747722,3
203,tt2748630,4
204,tt2780664,2
205,tt2781254,4
206,tt2790220,4
207,tt2797352,4
208,tt2802854,4
209,tt2807410,4
210,tt2805976,3
211,tt2819130,4
212,tt2820852,5
213,tt2825240,4
214,tt2826124,3
215,tt2861132,4
216,tt2888046,4
217,tt2908446,5
218,tt2905674,4
219,tt2909932,4
220,tt2911674,4
221,tt2917388,4
222,tt2924352,5
223,tt2932530,4
224,tt2938956,5
225,tt2940482,3
226,tt2943352,4
227,tt2948606,4
228,tt2953530,3
229,tt2967224,4
230,tt2976182,4
231,tt2974726,4
232,tt2979920,5
233,tt3014454,5
234,tt3020986,4
235,tt3040708,4
236,tt3040638,4
237,tt3037082,4
238,tt3045616,5
239,tt3055402,5
240,tt3054798,5
241,tt3058674,4
242,tt3060698,4
243,tt3063336,4
244,tt3076658,4
245,tt3072482,5
246,tt3079380,4
247,tt3090208,4
248,tt3096900,3
249,tt3104656,4
250,tt3105978,4
251,tt3108954,4
252,tt3108662,4
253,tt3109188,4
254,tt3117504,4
255,tt3120314,4
256,tt3118370,4
257,tt3120960,4
258,tt3127372,4
259,tt3130640,4
260,tt3130336,4
261,tt3147312,5
262,tt3152166,4
263,tt3150574,4
264,tt3159708,5
265,tt3163224,4
266,tt3164754,4
267,tt3169770,4
268,tt3170910,4
269,tt3171176,4
270,tt3178992,4
271,tt3181776,4
272,tt3184212,3
273,tt3189862,4
274,tt3197766,5
275,tt3201722,6
276,tt3205376,60
277,tt3214416,3
278,tt3216086,4
279,tt3220192,4
280,tt3220528,4
281,tt3223338,3
282,tt3226440,3
283,tt3229648,3
284,tt3231390,3
285,tt3240562,3
286,tt3246600,2
287,tt3247714,4
288,tt3250576,10
289,tt3251306,4
290,tt3263816,2
291,tt3268668,20
292,tt3273738,3
293,tt3276924,4
294,tt3289606,4
295,tt3296800,1
296,tt3300572,4
297,tt3304610,3
298,tt3310896,5
299,tt3312936,4
300,tt3316948,4
301,tt3314486,4
302,tt3317750,3
303,tt3321300,4
304,tt3323638,6
305,tt3325766,3
306,tt3330774,4
307,tt3350436,4
308,tt3345474,4
309,tt3350058,4
310,tt3354306,4
311,tt3354302,4
312,tt3367250,3
313,tt3367686,4
314,tt3369676,4
315,tt3375286,3
316,tt3381014,3
317,tt3385354,4
318,tt3393762,4
319,tt3398048,5
320,tt3396166,5
321,tt3397884,4
322,tt3398252,4
323,tt3397948,5
324,tt3400150,4
325,tt3401338,4
326,tt3402594,4
327,tt3408826,5
328,tt3413104,4
329,tt3416492,3
330,tt3417382,2
331,tt3418972,4
332,tt3425216,3
333,tt3433996,4
334,tt3437514,4
335,tt3446906,4
336,tt3447364,5
337,tt3450650,5
338,tt3455128,4
339,tt3460084,4
340,tt3465074,4
341,tt3469244,3
342,tt3469284,5
343,tt3468566,4
344,tt3471472,5
345,tt3470676,5
346,tt3479316,5
347,tt3478232,4
348,tt3478226,3
349,tt3480796,4
350,tt3487994,5
351,tt3488328,4
352,tt3486782,2
353,tt3488710,5
354,tt3499498,4
355,tt3501416,5
356,tt3501492,4
357,tt3503840,4
358,tt3508840,5
359,tt3510480,6
360,tt3511596,5
361,tt3515632,4
362,tt3520290,4
363,tt3529052,4
364,tt3540136,4
365,tt3544326,5
366,tt3551400,4
367,tt3555634,4
368,tt3557988,4
369,tt3557446,2
370,tt3559258,2
371,tt3559570,5
372,tt3560464,4
373,tt3562852,4
374,tt3564722,3
375,tt3564200,5
376,tt3565708,3
377,tt3569584,3
378,tt3569732,6
379,tt3573412,3
380,tt3576728,4
381,tt3573136,1
382,tt3579158,3
383,tt3585004,3
384,tt3589408,4
385,tt3598130,4
386,tt3592172,4
387,tt3592082,4
388,tt3594826,4
389,tt3595298,4
390,tt3602106,5
391,tt3608646,21
392,tt3611280,3
393,tt3615044,2
394,tt3614922,4
395,tt3616916,4
396,tt3619710,4
397,tt3620174,4
398,tt3620418,5
399,tt3622332,4
400,tt3628704,4
401,tt3626364,2
402,tt3625516,3
403,tt3633016,4
404,tt3646946,6
405,tt3651652,4
406,tt3659162,3
407,tt3672742,4
408,tt3672840,4
409,tt3675748,6
410,tt3678782,4
411,tt3686630,3
412,tt3686776,2
413,tt3685022,4
414,tt3688612,3
415,tt3691974,4
416,tt3698118,4
417,tt3696192,4
418,tt3700822,4
419,tt3705412,4
420,tt3714582,3
421,tt3721082,4
422,tt3721630,4
423,tt3727202,4
424,tt3727690,4
425,tt3730518,4
426,tt3735246,5
427,tt3737650,4
428,tt3735554,4
429,tt3742284,4
430,tt3747512,4
431,tt3746298,5
432,tt3756838,4
433,tt3763358,2
434,tt3766370,3
435,tt3764048,3
436,tt3774236,4
437,tt3775202,4
438,tt3775086,4
439,tt3779028,3
440,tt3779300,4
441,tt3779828,4
442,tt3781616,4
443,tt3790218,3
444,tt3790250,3
445,tt3802576,4
446,tt3800520,3
447,tt3803860,4
448,tt3801934,5
449,tt3809492,4
450,tt3816458,4
451,tt3817652,4
452,tt3819668,4
453,tt3822410,4
454,tt3821960,3
455,tt3825274,3
456,tt3825272,9
457,tt3833474,5
458,tt3835152,2
459,tt3835612,4
460,tt3845122,4
461,tt3848538,3
462,tt3849692,4
463,tt3848892,4
464,tt3848938,5
465,tt3846972,4
466,tt3853452,4
467,tt3853946,3
468,tt3854574,2
469,tt3858956,4
470,tt3856100,3
471,tt3863542,4
472,tt3863552,4
473,tt3864024,5
474,tt3874556,5
475,tt3877406,2
476,tt3878118,2
477,tt3882366,3
478,tt3885742,3
479,tt3885704,3
480,tt3889100,4
481,tt3889312,4
482,tt3890270,2
483,tt3895838,3
484,tt3899822,3
485,tt3902698,5
486,tt3901962,4
487,tt3903172,2
488,tt3903990,4
489,tt3916754,4
490,tt3915354,3
491,tt3917044,21
492,tt3919208,3
493,tt3922880,4
494,tt3922790,3
495,tt3949936,4
496,tt3951190,4
497,tt3951724,4
498,tt3955078,4
499,tt3955808,4
500,tt3957956,5
501,tt3958016,3
502,tt3959690,4
503,tt3960818,3
504,tt3961964,5
505,tt3962210,3
506,tt3975286,3
507,tt3986860,4
508,tt4006044,4
509,tt4006718,3
510,tt4007328,3
511,tt4011008,4
512,tt4008758,4
513,tt4015250,4
514,tt4023852,4
515,tt4024906,4
516,tt4025594,4
517,tt4024944,4
518,tt4030302,4
519,tt4034452,4
520,tt4035592,4
521,tt4040670,4
522,tt4045380,4
523,tt4046784,4
524,tt4054678,3
525,tt4054570,3
526,tt4058210,4
527,tt4059112,4
528,tt4070162,2
529,tt4073890,5
530,tt4074228,2
531,tt4076980,5
532,tt4076760,4
533,tt4076756,4
534,tt4082506,4
535,tt4076538,3
536,tt4089612,3
537,tt4103538,3
538,tt4107858,4
539,tt4112250,3
540,tt4115932,4
541,tt4121500,3
542,tt4126936,3
543,tt4132210,4
544,tt4136846,3
545,tt4141024,4
546,tt4142364,3
547,tt4144156,3
548,tt4144206,4
549,tt4146350,5
550,tt4145836,4
551,tt4147562,4
552,tt4151212,2
553,tt4152148,4
554,tt4162580,4
555,tt4162472,4
556,tt4160208,4
557,tt4165920,4
558,tt4170472,3
559,tt4175960,4
560,tt4176776,4
561,tt4187590,4
562,tt4191712,4
563,tt4198250,1
564,tt4201928,2
565,tt4206100,3
566,tt4208710,4
567,tt4209084,5
568,tt4209186,3
569,tt4219304,3
570,tt4224460,3
571,tt4219130,6
572,tt4225226,4
573,tt4232610,4
574,tt4242158,3
575,tt4246818,4
576,tt4245244,5
577,tt4254046,4
578,tt4258292,4
579,tt4265568,9
580,tt4263868,3
581,tt4272866,4
582,tt4277518,4
583,tt4276520,3
584,tt4276752,4
585,tt4281184,5
586,tt4279250,5
587,tt4282466,5
588,tt4287348,4
589,tt4293004,4
590,tt4294052,5
591,tt4295858,21
592,tt4296186,3
593,tt4299616,3
594,tt4306116,5
595,tt4307880,5
596,tt4310772,4
597,tt4312676,5
598,tt4319382,4
599,tt4320560,4
600,tt4321248,3
601,tt4323976,4
602,tt4323504,4
603,tt4328890,5
604,tt4332794,4
605,tt4328798,4
606,tt4331400,60
607,tt4337072,4
608,tt4340720,4
609,tt4341912,3
610,tt4345150,2
611,tt4342506,4
612,tt4347932,4
613,tt4351486,3
614,tt4355100,4
615,tt4353308,3
616,tt4367542,2
617,tt4369076,3
618,tt4382872,4
619,tt4383294,2
620,tt4384242,4
621,tt4386684,4
622,tt4400602,2
623,tt4402074,3
624,tt4401890,60
625,tt4401944,2
626,tt4415326,4
627,tt4410798,3
628,tt4412218,2
629,tt4411688,3
630,tt4415068,3
631,tt4416518,4
632,tt4417502,4
633,tt4421344,4
634,tt4428728,3
635,tt4431250,3
636,tt4430958,3
637,tt4435628,3
638,tt4438594,5
639,tt4439120,3
640,tt4442114,3
641,tt4442758,5
642,tt4445948,3
643,tt4446318,3
644,tt4445964,4
645,tt4446348,3
646,tt4446374,3
647,tt4450602,4
648,tt4451324,3
649,tt4452206,3
650,tt4452274,3
651,tt4452440,3
652,tt4454732,4
653,tt4463780,3
654,tt4467202,4
655,tt4471858,2
656,tt4472020,4
657,tt4475992,4
658,tt4483100,4
659,tt4483692,2
660,tt4485182,1
661,tt4483492,3
662,tt4483424,2
663,tt4487952,2
664,tt4490778,3
665,tt4489798,2
666,tt4494702,2
667,tt4501276,4
668,tt4503906,5
669,tt4503510,2
670,tt4503190,3
671,tt4504922,4
672,tt4504638,3
673,tt4505170,4
674,tt4504934,4
675,tt4505260,4
676,tt4506208,2
677,tt4512230,6
678,tt4514084,66
679,tt4509762,3
680,tt4510398,4
681,tt4510882,3
682,tt4511460,4
683,tt4515698,4
684,tt4515226,3
685,tt4511566,4
686,tt4517608,2
687,tt4510858,3
688,tt4519680,3
689,tt4523622,3
690,tt4522924,3
691,tt4527698,20
692,tt4527268,3
693,tt4530832,3
694,tt4533898,2
695,tt4531412,4
696,tt4535650,4
697,tt4535872,4
698,tt4536606,3
699,tt4537722,3
700,tt4539114,4
701,tt4540180,3
702,tt4542660,3
703,tt4546024,4
704,tt4547458,4
705,tt4553980,3
706,tt4553504,4
707,tt4558362,4
708,tt4561568,1
709,tt4562630,3
710,tt4566574,5
711,tt4565982,4
712,tt4562474,3
713,tt4565774,3
714,tt4565796,3
715,tt4567486,5
716,tt4566480,3
717,tt4568268,4
718,tt4580054,3
719,tt4580694,3
720,tt4588714,2
721,tt4596814,4
722,tt4595198,3
723,tt4597454,4
724,tt4596784,4
725,tt4605030,3
726,tt4607976,3
727,tt4608574,5
728,tt4611942,3
729,tt4612924,3
730,tt4618398,4
731,tt4621470,5
732,tt4625282,4
733,tt4627104,61
734,tt4637028,4
735,tt4637864,4
736,tt4642044,4
737,tt4641706,2
738,tt4647186,2
739,tt4645414,3
740,tt4644382,4
741,tt4643328,2
742,tt4649946,2
743,tt4651380,2
744,tt4654864,3
745,tt4654606,3
746,tt4655628,3
747,tt4661408,3
748,tt4665906,4
749,tt4669574,3
750,tt4668834,4
751,tt4669580,3
752,tt4669698,2
753,tt4674528,3
754,tt4675670,4
755,tt4678788,4
756,tt4683346,4
757,tt4683676,2
758,tt4682598,2
759,tt4685626,3
760,tt4685968,4
761,tt4691348,4
762,tt4693440,3
763,tt4696670,4
764,tt4695714,3
765,tt4697026,3
766,tt4700230,4
767,tt4699624,3
768,tt4697076,4
769,tt4701702,5
770,tt4699498,3
771,tt4701630,3
772,tt4704768,3
773,tt4718762,3
774,tt4718440,3
775,tt4717202,3
776,tt4718746,3
777,tt4722786,3
778,tt4721148,3
779,tt4727512,4
780,tt4731580,4
781,tt4731504,5
782,tt4728338,4
783,tt4733536,5
784,tt4738466,4
785,tt4738892,3
786,tt4751680,3
787,tt4765808,2
788,tt4766960,2
789,tt4768812,4
790,tt4768764,4
791,tt4769576,21
792,tt4769500,4
793,tt4776878,1
794,tt4773642,3
795,tt4776596,4
796,tt4780542,3
797,tt4781308,1
798,tt4786606,3
799,tt4788602,5
800,tt4789150,4
801,tt4791546,4
802,tt4801682,4
803,tt4806856,4
804,tt4807730,2
805,tt4810358,4
806,tt4817828,3
807,tt4817458,4
808,tt4818928,2
809,tt4819498,4
810,tt4819560,5
811,tt4820704,3
812,tt4820708,6
813,tt4829150,4
814,tt4829486,3
815,tt4832378,3
816,tt4833824,4
817,tt4833384,3
818,tt4835410,3
819,tt4837232,5
820,tt4836336,1
821,tt4840206,4
822,tt4838472,4
823,tt4842270,5
824,tt4838422,4
825,tt4839184,2
826,tt4838342,4
827,tt4846176,4
828,tt4844130,2
829,tt4844344,4
830,tt4851640,5
831,tt4853318,3
832,tt4852794,4
833,tt4851054,4
834,tt4853188,2
835,tt4854110,2
836,tt4859324,3
837,tt4859246,4
838,tt4861048,4
839,tt4862824,3
840,tt4874006,5
841,tt4876928,2
842,tt4876276,4
843,tt4882700,5
844,tt4881242,4
845,tt4884540,3
846,tt4885976,3
847,tt4886284,5
848,tt4889154,5
849,tt4892994,4
850,tt4893184,4
851,tt4895910,6
852,tt4896340,5
853,tt4896734,3
854,tt4901338,3
855,tt4901222,3
856,tt4905732,3
857,tt4905880,4
858,tt4906854,2
859,tt4910790,3
860,tt4908742,3
861,tt4909448,4
862,tt4917642,3
863,tt4916078,2
864,tt4920274,5
865,tt4920152,2
866,tt4921860,4
867,tt4922678,3
868,tt4920116,3
869,tt4930814,4
870,tt4932408,3
871,tt4937812,4
872,tt4944352,4
873,tt4942268,3
874,tt4945918,2
875,tt4961868,3
876,tt4958386,4
877,tt4964568,2
878,tt4958666,3
879,tt4965092,4
880,tt4971424,4
881,tt4971824,4
882,tt4974684,4
883,tt4973826,3
884,tt4975908,3
885,tt4974356,4
886,tt4979652,4
887,tt4982920,3
888,tt4978728,3
889,tt4984868,4
890,tt4987572,3
891,tt4991660,20
892,tt4987556,3
893,tt4991556,3
894,tt4995748,3
895,tt4995784,3
896,tt4994210,3
897,tt4991652,4
898,tt4991850,4
899,tt4991828,3
900,tt4998860,60
901,tt5000968,3
902,tt5008786,2
903,tt5009728,3
904,tt5009058,2
905,tt5009072,2
906,tt5024448,3
907,tt5024512,3
908,tt5024572,2
909,tt5028166,3
910,tt5032818,4
911,tt5033000,4
912,tt5034276,4
913,tt5033860,1
914,tt5037922,3
915,tt5038448,4
916,tt5045776,3
917,tt5044244,3
918,tt5051512,3
919,tt5057126,4
