,id,time_sec
0,tt0297400,1
1,tt0337926,3
2,tt0346045,4
3,tt0420293,5
4,tt0462335,5
5,tt0787524,6
6,tt0790770,5
7,tt0810819,5
8,tt0977643,3
9,tt10007824,3
10,tt10047128,4
11,tt10075438,3
12,tt10075508,17
13,tt10081028,2
14,tt10092762,2
15,tt10092508,2
16,tt10098112,60
17,tt10101904,3
18,tt10107482,2
19,tt1014763,4
20,tt10167938,1
21,tt10167868,1
22,tt10168764,2
23,tt10173962,2
24,tt1018765,4
25,tt10210636,3
26,tt10240726,2
27,tt10256776,2
28,tt10262510,1
29,tt10288256,2
30,tt10300622,2
31,tt10299856,2
32,tt10307716,3
33,tt10331574,2
34,tt10352214,2
35,tt10356040,2
36,tt10409744,2
37,tt10545212,2
38,tt10556308,3
39,tt10677102,2
40,tt10722542,3
41,tt10787402,2
42,tt10794496,1
43,tt10833146,3
44,tt1083452,4
45,tt10845528,3
46,tt10847722,3
47,tt10848188,3
48,tt10852336,2
49,tt10856420,2
50,tt1090693,4
51,tt10912640,3
52,tt10957752,3
53,tt10970518,2
54,tt10973970,3
55,tt11011658,3
56,tt11012326,2
57,tt11012468,2
58,tt11012334,2
59,tt11012352,2
60,tt11012490,60
61,tt11012390,2
62,tt11012302,2
63,tt11012568,2
64,tt11012222,2
65,tt11012374,2
66,tt11012438,2
67,tt11012366,2
68,tt1105355,4
69,tt11091804,2
70,tt11102352,2
71,tt11107896,3
72,tt11110572,2
73,tt11120720,2
74,tt11122188,2
75,tt11123618,2
76,tt11137824,1
77,tt11151648,3
78,tt11151640,2
79,tt11157430,3
80,tt11151642,2
81,tt11199300,3
82,tt11202174,3
83,tt11212918,2
84,tt1125931,3
85,tt11295976,1
86,tt11317534,2
87,tt11321422,3
88,tt11337868,2
89,tt1135989,4
90,tt11427292,3
91,tt11428338,2
92,tt11432384,3
93,tt11435266,3
94,tt11452700,2
95,tt11487704,2
96,tt11487646,2
97,tt11487732,1
98,tt11519590,2
99,tt11610704,2
100,tt11618320,3
101,tt11634350,3
102,tt11633108,2
103,tt11644516,2
104,tt11644484,2
105,tt11644582,3
106,tt11646308,3
107,tt11646202,3
108,tt11658440,3
