,Puntuacion_IMDB,Dirección,Guionistas,Argumento,Duración,Nombre de la película
0,7.6,DESCONOCIDO,"['William Alves', 'Zefel Coff']",,1h 30m,A Roda da Vida
1,--,['Om Sri Kannaji'],DESCONOCIDO,,--,Maya Bhavanam
2,--,['Mulaiyur A. Sonai'],DESCONOCIDO,Bruce (himself) lives in a village area close to the mountain ranges with his mother. He acts as a single warrior when it comes to dealing with the crisis and other issues that his village faces and he single handedly manages to rescue his village from threats. Most of the people in the village also seek Bruce for assistance when they face problematic situations. On o... Read all,1h 57m,Puthiya Bruce Lee
3,--,['Goutham'],DESCONOCIDO,,1h 43m,Roja Maaligai
4,--,['Ranjith Parijatham'],DESCONOCIDO,,2h 5m,Pei Irukka Illaya
5,--,['Bharani'],DESCONOCIDO,"A wafer-thin plot, coupled with an amateurish making make the watching experience a terrible one.",2h 13m,Ondikatta
6,4.1,['Amir Shawkey'],DESCONOCIDO,"Story revolves around the interaction of people in their lives and the circumstances they face, as well as the role and impact of friendship in facing these circumstances. The events show us the true concept of friendship and the value of its ties.",--,The Cave
7,7.3,['Mike Newell'],DESCONOCIDO,"In the aftermath of World War II, a writer forms an unexpected bond with the residents of Guernsey Island when she decides to write a book about their experiences during the war.",2h 4m,The Guernsey Literary and Potato Peel Pie Society
8,--,['Yamin Messika'],"['Yarmi Kadoshi', 'Yamin Messika', 'Eli Tavor']","Yu-Ya, a fighter in an elite unit, wants to marry. A problem arises in the rabbinate: his father is not registered on his identity card and therefore Yu-Ya cannot marry. With the help of his army commander, he sets out on a search for his parents' roots and identity.",1h 14m,The Onkelos Case
9,--,['Prabhas Nimmala'],DESCONOCIDO,,2h 14m,Satya Gang
10,--,DESCONOCIDO,DESCONOCIDO,,--,Middonaito janaru kieta yukai-han o oe! Nanatoshi-me no shinjitsu
11,--,['Guna Apparao'],DESCONOCIDO,,1h 55m,Student Power
12,--,['J.P. Sravan Kumar'],DESCONOCIDO,,1h 36m,Sainyam
13,--,['Karthick Sivan'],DESCONOCIDO,,1h 55m,Thiru
14,--,['Narra Sivanageswararao'],DESCONOCIDO,A conversation between a Psychologist and a Patient. The Patient reveals that her dreams are becoming true which rotates her husband. The Drama unveils when the patient starts explaining the dreams.,1h 53m,Junction Lo Jayamalini
15,--,['Haribabu'],DESCONOCIDO,,2h 23m,Soda Goli Soda
16,--,['Naga'],DESCONOCIDO,,2h 5m,Vanmurai Paguthi
17,--,['Vinoth Thangavel'],DESCONOCIDO,,2h,Yaagan
18,--,['A.V. Giri'],DESCONOCIDO,The film revolves around a visually challenged person who is actually the master mind of a well planned kidnapping case.,1h 54m,Moonavathu Kann
19,--,['R. Selvanathan'],DESCONOCIDO,,2h 11m,Adanga Pasanga
20,7.9,['M.A. Bala'],DESCONOCIDO,,1h 57m,Karthikeyanum Kaanamal Pona Kadhaliyum
21,--,['Sathish Subramaniam'],DESCONOCIDO,,2h 16m,Semmari Aadu
22,--,['R. Thirupathy Rajan'],DESCONOCIDO,,1h 44m,Raaga Thaalangal
23,--,['Ravi Rahul'],DESCONOCIDO,,1h 53m,Kalavani Sirukki
24,--,['S. Thomas Newton'],DESCONOCIDO,,--,Sagavaasam
25,--,['Rajesh Venoor'],DESCONOCIDO,"Her search for someone brings Sherlin to Karnataka from Finland. Although she seeks help from Raghava and Sandhya, she must fight her battle alone. Will she be able to overcome all the hurdles and succeed in her mission?",2h 14m,Asathoma Sadhgamaya
26,7.6,DESCONOCIDO,DESCONOCIDO,"Ranadakanta Nagchowdhuri, a renowned businessman's Son Saikat who obtains a degree in mining engineering and a grand party is organized to celebrate the occasion. Things go wrong when Saikat's friend is murdered at the party.",1h 46m,Rahashyavedi Basab
27,6.0,DESCONOCIDO,DESCONOCIDO,"The measured life of a provincial town is shaken by terrible news: the body of a 32-year-old woman has been found. There is a suspicion that the deceased is the sister of the investigator of the local police department, Rita Tikhonova, who disappeared 14 years ago. An investigation begins, during which Rita is faced with very strange circumstances and understands that... Read all",--,Rusalki
28,--,DESCONOCIDO,DESCONOCIDO,,1h 22m,Big-chested Sisters
29,--,['Martinz Nnaji Jr.'],DESCONOCIDO,"A young police officer wants to make it by any means, but when he ends up killing an innocent man, the man's daughter promises to avenge her father's death.",1h 36m,Unlove Me
30,--,['Austin Nnaemeka Soundmind'],DESCONOCIDO,Queen of the Sun is a story that traces the journey of an aspiring hunter from the rustic lanes of Lucknow to the glitz and glamour of a Kingdom. A Princess left her fathers' palace and a white man arranged for married by her father the King for a village hunter. LOVE IS REALLY.,2h 38m,Queen of the Sun
31,--,['Fabio Mascia'],DESCONOCIDO,"The La Torre Camorra clan is led by the feared and respected Don Carmelo, the boss who runs a northern city. Alongside Carmelo there are many trusted men, including Rosario D'anzio, the boss's right hand man, who at first is sent to negotiate a sale with Giannino, boss of La Zarra affiliated with the La Torre clan. Giannino threatens Rosario to pass to the Tommasino f... Read all",--,Dove tutto ebbe inizio
