,Nombre,Nacimiento,Conocido,Que hace,Premios,Oscar
0,James Neely,Desconocido,"['Moonlight Sonata', 'Reacher', 'Asalto final', 'El gabinete de curiosidades de Guillermo del Toro']",['Reparto'],Desconocido,--
1,Christine L. Nguyen,Desconocido,"['The Bold Type', 'Star Trek: Discovery', 'Zahara: The Return', 'Nurses']",['Reparto'],Desconocido,--
2,Reece Presley,1989,"['In a Violent Nature', 'Can I Get A Witness', 'Psycho Goreman', 'Resident Evil 4']","['Reparto', 'Especialistas', 'Vestuario']",1 premio y 2 nominaciones,--
3,Mark Ramjohn,Desconocido,"['The Endeavor', '101 Thugs', 'Seeds of Prime', 'Time Slinger']","['Reparto', 'Producción']",Desconocido,--
4,Rachel Sellan,Desconocido,"['Two for the Win', 'We Came to Wreck Everything', 'The Glorification of the Antihero', 'The Sublet']","['Reparto', 'Producción']",Desconocido,--
5,Kosa Akaraiwe,Desconocido,"['Cracked', 'Makeup: The Musical', 'Lleyton', 'Thanks for the Room']","['Reparto', 'Guion', 'Producción']",1 premio,--
6,Malaika Hennie-Hamadi,Desconocido,"['El cuento de la criada', 'Bria Mack Gets A Life', 'Fresh Meat', 'Penny']",['Reparto'],Desconocido,--
7,Dani Mariathas,Desconocido,[],[],Desconocido,--
8,Savannah Haye,Desconocido,['Cracked'],['Reparto'],Desconocido,--
9,Sandra Dorélas,Desconocido,"['The Color of the Heart', 'Discussions Avec Mes Parents', 'Before Grace', 'Cracked']",['Reparto'],Desconocido,--
10,David Akinyemi,Desconocido,"['The Campus Queen', 'Cracked']",['Reparto'],Desconocido,--
11,Richard Okolo,Desconocido,"['Temerás a tu vecino', 'If I Should Die', 'Encounter: UFO', 'Cracked']",['Reparto'],Desconocido,--
12,Amy Holden,Desconocido,['Emotional Distancing'],['Reparto'],Desconocido,--
13,Duncan McLellan,Desconocido,"['The Demolisher', 'Arrow', 'El hombre en el castillo', 'Sobrenatural']","['Reparto', 'Especialistas']",Desconocido,--
14,Raymond Lee,febrero,"['Quantum Leap', 'Que te den, Kevin', 'Top Gun: Maverick', 'Mozart in the Jungle']","['Reparto', 'Producción', 'Guion']",1 premio y 1 nominación,--
