,Puntuacion_IMDB,Dirección,Guionistas,Argumento,Duración,Nombre de la película
0,"5,9",['Barnabás Tóth'],"['Barnabás Tóth', 'Frank Rizzo', 'Dániel Hamvas']","To escape the oppressive hyperactivity of his gynecologist father, Dani, 19-year-old student at the Medical University of Budapest, travels to France to his musician uncle. A vision of adolescence and father-son-women relationship filled with humour and human touches. This movie is spoken in Hungarian and French and subtitled in English.",1h 33min,Rózsaszín sajt
1,"6,0",['Alejandro Basile'],DESCONOCIDO,,--,El reino de los cielos
2,"5,4",['Zoltan Paul'],"['Uli Brée', 'Zoltan Paul']","A comedy about relationships. A just-divorced couple, the wife's lover; a convicted criminal, his pregnant wife and his best friend; the economy minister and his secret lover; all parties are under stress in a hostage situation and surrounded by uncoordinated police troops.",1h 21min,Unter Strom
3,"7,7",['Ryan Fox'],['Ryan Fox'],"""Railed"" blurs the line between reality and fiction, taking place on a cross-country train trip from Los Angeles to New York. Passengers, unaware, become the stars and plot of the film.",1h 18min,Railed
4,"5,3",['Peter Van Lengen'],"['Talina Tinoco', 'Peter Van Lengen']","After finding his grandfather's Shaolin medallion, Braulio gets mixed up with Mexican gangsters whom end his peace, he'll handle this mess the old fashioned way - Yet his greatest rival is also the deadliest Kung Fu beauty in all of China.",1h 30min,Chinango
5,"5,7",['Ángel de la Cruz'],['Ángel de la Cruz'],,1h 44min,Los muertos van deprisa
6,"5,0","['Kris Arnold', 'Dan De Luca']",DESCONOCIDO,"Slacker Dino Rado, and his uptight partner, Steven Scheere made a bad investment. They borrowed money to fund a ""B"" movie that flopped big time and now the Jamaican Mob wants it's money back. As a last resort they steal and idea from a screenplay to cast unsuspecting actors to pull off a real heist. Their plan is flawless, until they put it into action. Dino and Steve... Leer todo",1h 30min,Two-Minute Heist
7,"6,2",['David Bowers'],DESCONOCIDO,"Cuando un androide réplica de un niño es rechazado por su afligido creador, sale a buscar su propia identidad en una aventura que lo convertirá en el mayor héroe de su tiempo.",1h 34min,Astro Boy
8,"6,2",['Jeff Orgill'],"['Hector Maldonado', ""B. Scott O'Malley"", 'Jeff Orgill']",A junkie nurse rules the night shift at a convalescent hospital.,1h 22min,Boppin' at the Glue Factory
9,"6,4",['Miguel Arteta'],"['Gustin Nash', 'C.D. Payne']","Mientras sus horribles padres se tambalean al borde del divorcio, Nick Twisp pone su mirada en la chica de sus sueños Sheeni Saunders, con la esperanza de que ella sea la que le quite la virginidad.",1h 30min,Rebelión adolescente
