,Puntuacion_IMDB,Dirección,Guionistas,Argumento,Duración,Nombre de la película
0,--,['Pia Storck'],['Pia Storck'],"One day when Danny, a middle-aged man in a midlife crisis, starts to talk to himself in the mirror, his mirror image suddenly comes to life.",12min,Dream Woman
1,"6,7",['Beate Kunath'],DESCONOCIDO,,--,Im Sommer sitzen die Alten
2,--,['Claudio Figari'],['Claudio Figari'],A nine year old boy ask's his father for some money to buy cookies. In the way to the store he encounters with different kinds of poor people that make him reflect on how to spend the money.,10min,En uno mismo
3,--,['Thomas Barber'],['Julie Gourinchas'],"A detective story of desperate measures in desperate times. A mysterious widow comes in to Detective Jones' office looking for revenge, and just when everything seems clear, its not. How far would you go for freedom?",10min,Eleanor
4,--,['Anthony J. Gomez'],DESCONOCIDO,"After inheriting her grandmother's house, a young woman writes to a long lost love for a reunion, but when he finally returns, he brings a little more than just baggage.",7min,It Only Fits Two
5,--,['Jessyca Quercia'],['Jessyca Quercia'],,1min,5 A.M.
6,--,['Sae Imai'],['Sae Imai'],Not being able to communicate puts the bond of a young couple to the test. Will daily problems make Josh and Sarah forget how important they are to each other?,5min,Where Are You?
7,--,['Marie-Elsa Sgualdo'],['Marie-Elsa Sgualdo'],,16min,Bam Tchak
8,"9,0",DESCONOCIDO,"['Erenik Beqiri', 'Geris Filipi', 'Jim Uhls']",,12min,Filma te shkurter 2010/2
9,"10,0",DESCONOCIDO,"['Fabio Bego', 'Kelmend Karuni']",,19min,Filma te shkurter 2010/1
10,"7,3",['Jesper Isaksen'],"['Jesper Isaksen', 'Tommy Oksen']","When a young gang member is caught dealing drugs on the side, it tests the loyalty of his friend Sami.",12min,No Exit
11,--,['Jurii Kirnev'],['Jurii Kirnev'],An Eastern-European wedding goes wrong - really wrong.,14min,Bitter
12,--,['Jon Berasategui'],"['Oliver Escobar', 'Alex Hernandez', 'Marcos Rueda']",,--,The Road Ahead
13,"9,0",DESCONOCIDO,"['Erenik Beqiri', 'Geris Filipi', 'Jim Uhls']",,12min,Filma te shkurter 2010/2
14,--,['Naomi de Groot'],DESCONOCIDO,,1min,Dromend over Tuschinski
15,--,['Sumantra Chattopadhyay'],['Sumantra Chattopadhyay'],Plight of a young man and woman in recession hit times.,--,Mandakranto
16,--,['Jan Bolender'],['Florian Alschweig'],,6min,Gefunden
17,--,['Brock Mullins'],['Brock Mullins'],This is a story about a man who loses his job. He heads to the wilderness to determine his place between the corporate life and the outdoor world. Winner of the Best Narrative Short Film Award at the Columbia Gorge International Film Festival.,22min,Letting Him Go
18,--,['Cooper Stimson'],['Cooper Stimson'],A young woman struggles to deal with her cancer diagnosis by escaping into her imagination.,7min,Chemo
19,--,['Robert Kellner'],['Florian Kuhn'],,6min,Einen Schritt weiter
20,--,['Zachary Klein'],['Zachary Klein'],,--,Mascot Massacre
21,--,['Paul Skidmore'],['Jessica Adducci'],,30min,Sleepwalking
22,--,['Erica Watson'],"['Erica Watson', 'Erica Watson']",,--,Brothers
