,Puntuacion_IMDB,Dirección,Guionistas,Argumento,Duración,Nombre de la película
0,"1,3",['Lawrence Kasanoff'],DESCONOCIDO,The evil Brand X joins a supermarket that becomes a city after closing time.,1h 31min,Foodfight!
1,"3,6",['Tony Vitale'],['Tony Vitale'],"Darren Fields (Darren Geare) gets stood up on the day of his wedding and uses his vacation tickets with his best friend, R.J. (R.J. Knoll), to spend his ""honeymoon"" at a Club Med-style resort.",1h 40min,Life's a Beach
2,"5,1","['Bobby Farrelly', 'Peter Farrelly']","['Mike Cerrone', 'Bobby Farrelly', 'Peter Farrelly']","Mientras intentan salvar el orfanato de su infancia, Moe, Larry y Curly se topan sin querer con un complot de asesinato y terminan protagonizando un reality show televisivo.",1h 32min,Los tres chiflados
3,"5,7",['Michael Hoffman'],"['Joel Coen', 'Ethan Coen', 'Sidney Carroll']","Un catalogador de arte decide vengarse de su jefe abusivo engañándolo para que compre un Monet falso, pero su plan requiere la ayuda de una excéntrica e impredecible reina de los rodeos de Texas.",1h 29min,Un plan perfecto (Gambit)
4,"5,9",['Julio Bove'],"['Julio Bove', 'Fabiana Medici']",A government's decree to freeze all bank accounts leaves a retired man with no alternative but to devise a sly way to get his money to survive.,1h 20min,Acorralados
5,"5,3",['Andrucha Waddington'],DESCONOCIDO,Marcos and Beto meet when crashing a private New Year's Eve party and subsequently go on a three-day adventure.,1h 28min,Os Penetras
6,--,['Rebecca Heck'],['Andy Cannistra'],"Rowan Vittles is an average American Teenager with a problem: his family is hooked on eating people! With the help of best friend Seth, and girlfriend Rellie, Rowan tries to detox off his Mom's high protein diet and escape the family 'business', but falls prey to the town Mortician, Mr. Ghoulden, who has other plans for Rowan...",1h 33min,Persona Au Gratin
7,"6,3",['Carsten Fiebeler'],"['Jens-Frederik Otto', 'Elke Weigelt']","One evening in the mid-sixties, Rolf Anschütz, a chef who runs a small restaurant in a town called Suhl in the middle of the East German province of Thuringen offers his guests a unique and exotic meal - Japanese Sukiyaki. It was intent to be a surprise for some of his best customers and it became a great success. Even the local paper wrote about it - and this should ... Leer todo",1h 40min,Sushi in Suhl
8,"5,8",['Brian Robbins'],['Steve Koren'],"Después de estirar la verdad en un trato con un gurú espiritual, el agente literario Jack McCall encuentra un árbol Bodhi en su propiedad. Su aparición contiene una valiosa lección sobre las consecuencias de cada palabra que pronuncia.",1h 31min,Mil palabras
9,"5,8",['Cal Brunker'],DESCONOCIDO,"Scorch Supernova, el máximo héroe del planeta Baab, es atrapado por fuerzas enemigas. Ahora, su no tan valiente hermano deberá salvarlo.",1h 29min,Operación escape
10,"6,1",['Terracino'],['Terracino'],"Two stages of a Dominican-American's life; first as a boy trying to bond with his young mother, then a 21-year-old looking for love in New York City.",1h 32min,Elliot Loves
11,"6,0","['Jay Duplass', 'Mark Duplass']","['Jay Duplass', 'Mark Duplass']",Two brothers compete in their own private 25-event Olympics.,1h 30min,The Do-Deca-Pentathlon
12,"5,0",['Jay Chandrasekhar'],"['Peter Gaulke', 'Gerry Swallow']","Después de no poder embarazar a su esposa, un hombre recluta a sus amigos para robar el depósito que dejó en un banco de esperma hace años.",1h 35min,Los babymakers
13,"7,0",['Genndy Tartakovsky'],DESCONOCIDO,"Drácula, que dirige un complejo turístico de alto nivel alejado del mundo humano, se pone en modo sobreprotector cuando un chico descubre el complejo y se enamora de su hija adolescente.",1h 31min,Hotel Transilvania
14,"3,1",['Mark Jeavons'],['Mark Jeavons'],A poignant yet humorous tale about the plight of a man stuck in a mid-life crisis and trying to rebuild his life again.,1h 34min,Whatever Happened to Pete Blaggit?
15,"2,9",['Sascha Hartmann'],['Tessa Hartmann'],"Un veterinario jubilado en una remota isla escocesa conoce a una cabra que cree que es un perro, a un almirante con miedo al agua, y a un castor que fue criado por conejos.",1h 16min,Sir Billi
16,"5,7",['Declan Reynolds'],['Declan Reynolds'],"Every weekend the streets surge with crowds looking for love, music and oblivion. ""Social Work"" is about the people who provide it to them - those faceless heroes whose Monday morning is other people's Friday night. It's a dirty job but someone's got to do it. The film takes place over one Saturday night shift in a seedy nightclub and centres on Lee and Andy, who work... Leer todo",--,The Nightclub Days
17,"4,5",['Bryan Fogel'],"['Bryan Fogel', 'Sam Wolfson']",Comedia romántica acerca de dos amigos de la infancia que se reúnen despues de muchos años. Uno de ellos le pide al otro que finja ser judío para conquistar a una chica judía.,1h 30min,Una novia muy especial
18,"5,8",['Charles Matthau'],"['Elmore Leonard', 'Charles Matthau']","Set in 1974, a pair of '60s radicals rely on their bomb-making skills on their way to becoming capitalists.",1h 30min,Freaky Deaky
19,"5,0",['Paul Sorvino'],['Amanda Sorvino'],,--,The Trouble with Cali
20,"7,7",['Shalene Portman'],['Shalene Portman'],"When operating a Bed and Breakfast it's better to be married? Or is it? Clara will find that her fictitious husband may cost her the love of her life. Her first guest, Rick, is gorgeous, sweet and single but he thinks she's married. Clara doesn't know how to tell him that she's not really married, and after running into her ""husband"" with his male lover, Rick doesn't ... Leer todo",1h 30min,The Significant Other
21,--,DESCONOCIDO,DESCONOCIDO,DESCONOCIDO,--,Error nombre para la pelicula con id: tt10075088
22,--,['Cameron B. Smith'],DESCONOCIDO,Cameron Smith pursues the challenge of becoming a stand-up comedian for his high school senior project.,2h 16min,Rise To Stand-Up
23,--,['Cameron B. Smith'],['Cameron B. Smith'],"After convincing himself that his videos have taken a turn for the worse, Cameron decides to bring the crew together for one last movie.",1h 21min,Weekend Movie
24,--,['Johnny Terris'],DESCONOCIDO,A meek and timid housewife extracts revenge on her abusive husband.,54min,Darlene's Revenge
25,"4,8",['Quentin Lee'],['Koji Steven Sakai'],A promiscuous woman tries to find out who got her pregnant so she can get married and live a normal life.,1h 29min,The People I've Slept With
26,--,['Matt Enos'],['Matt Enos'],"Independent narrative/pseudo-documentary shot in Waldo County, Maine, between the years 2010 and 2012. An experiment in white trash excess and violence.",45min,Last Days In Waldo County
