,Puntuacion_IMDB,Dirección,Guionistas,Argumento,Duración,Nombre de la película
0,"5,7",['Vladimir Paskaljevic'],['Vladimir Paskaljevic'],"A series of interconnected stories taking place in Belgrade during the course of one day. A teenage girl from a poor family wants to accompany her well-off friend in her tennis lessons, but she can't afford it. A man recently returned after many years abroad finds it difficult to conduct business in his native country. A rich young man doesn't accept that his girlfrie... Leer todo",1h 22min,Djavolja varos
1,"3,6",['Garrett Batty'],['Garrett Batty'],"The Fire Dragon patrol, with their ever-supportive scoutmaster, is headed to Camp Rakhouta for what should be the best week of their lives. But when the ""Team Spirit Stick"" of the camp goes missing, the entire tradition of the camp is threatened.",1h 24min,Scout Camp
2,"4,5",['Andrew R. Boyce'],"['Jimmy Borto', 'Andrew R. Boyce']",,1h 17min,Ballbusters
3,"3,2",['Xavier Leret'],['Xavier Leret'],"Jimmy Loveit, born with shortened arms due to thalidomide, is a talented kick boxer despite his handicap. Ably coached by Ron, Jimmy is a formidable opponent for anyone in the ring. One night, whilst snuggling up with his wife and daughter, their apartment is attacked by two gangsters who've mistaken their flat for someone else's. With his wife injured and his daughte... Leer todo",1h 30min,Unarmed But Dangerous
4,"7,8",['David Gueringer'],"['David Gueringer', 'Master P', 'Britt O. Wynn']",,1h 41min,The Mail Man
5,"8,6",['Mike Pasley'],['Mike Pasley'],"The Stevie Wondershow is a dark comedy about Stevie, a lonely, strange, and quiet middle manager. To his employees he's spineless but in his apartment he's the star of the craziest, most off-the-wall TV show imaginable. Stevie keeps his show all to himself, but when the office show-boat, King, finds out about Stevie's show, he sees it as a chance to re-establish himse... Leer todo",1h 58min,The Stevie Wondershow
6,--,"['Tucker Bennett', 'Zach Shipko']","['Tucker Bennett', 'Zach Shipko']",A pretentious art school performance artist looks for love while following his creative path.,1h 29min,Why Are You Weird?
7,"8,7",['Gregory Croteau'],"['Gregory Croteau', 'Richard Stack']",,--,The Aristocrat
8,"6,2","['Javier Chapa', 'Steve Garcia']","['Javier Chapa', 'Steve Garcia', 'Greg Pohl']","Pepe travels to America with Santo (The Patron Saint of Immigrants) in search of his grandmother's dying wish...""The Mexican Dream.""",1h 35min,Pepe & Santo vs. America
9,"5,9",['Tom Reeve'],"[""Michael O'Mahony""]","La ciudad de Kilcoulin's Leap nunca volverá a ser la misma, luego de que un cartero desafortunado, falla en su plan para hacerse rico rápidamente.",1h 34min,Holy Water
10,"6,0","['Cliff Bogart', 'Kyle Bogart']","['Cliff Bogart', 'Kyle Bogart']",Lab technician Virgil Gurdies struggles to choose between his truelove Angie and his newfound quest to create the greatest goat cheese the world has ever known.,1h 50min,Artois the Goat
11,--,DESCONOCIDO,DESCONOCIDO,,--,Party Animals 3: Willkommen Auf Der Uni
