titulo,puntuacion
I Viceré,29%
Hermano,78%
Awake,Valoración: 23%
Partition,Valoración: 38%
Death and Taxis,No existe puntuacion
Terra Sonâmbula,No existe puntuacion
Hitler Meets Christ,17%
Brooklyn Rules,45%
Universal Groove,No existe puntuacion
Before the Devil Knows You're Dead,89%
The Stonecutter,No existe puntuacion
Along the Way,Valoración: 80%
Romantik,No existe puntuacion
Rising Shores,No existe puntuacion
Die Unerzogenen,20%
Cuando ella saltó,No existe puntuacion
La loma... no todo es lo que aparenta,No existe puntuacion
La peli,No existe puntuacion
Bala perdida,No existe puntuacion
Broke Sky,Valoración: 58%
The Last New Yorker,40%
Lucky You,28%
Machine,Valoración: 8%
Fighting Words,No existe puntuacion
Regresados,No existe puntuacion
Susan Hero,No existe puntuacion
Light and the Sufferer,0%
Stompin',Valoración: 27%
Playas Ball,63%
I'm Not There,77%
Hannibal Rising,Valoración: 16%
The Devil's Muse,78%
AFR,No existe puntuacion
D-War,29%
Crossing,No existe puntuacion
32A,No existe puntuacion
Beyond Baklava: The Fairy Tale Story of Sylvia's Baklava,No existe puntuacion
Red Is the Color of,Valoración: 62%
Savage Grace,38%
Melech Shel Kabzanim,No existe puntuacion
Battle for Finland: Tali-Ihantala 1944,No existe puntuacion
Tijuana Makes Me Happy,"Valoración: 6,1/10"
3:10 to Yuma,89%
For Pete's Wake!,No existe puntuacion
Dolina,No existe puntuacion
Black August,Valoración: 75%
Bell Witch: The Movie,67%
Santouri,Valoración: 70%
13 French Street,No existe puntuacion
Sicko,91%
Say It in Russian,Valoración: 92%
King of California,63%
Bee Movie,50%
Go Go Tales,70%
Viva,60%
Meet the Robinsons,67%
Blood and Chocolate,11%
Bad Blood,Valoración: 100%
Bridge to Terabithia,Valoración: 85%
Trade,Valoración: 33%
The Diving Bell and the Butterfly,94%
Breach,Valoración: 84%
Gardener of Eden,33%
The Fall of Night,No existe puntuacion
El invierno de Gunter,No existe puntuacion
Signs of Undoing,No existe puntuacion
Sweeney Todd: The Demon Barber of Fleet Street,86%
Le quatrième morceau de la femme coupée en trois,No existe puntuacion
88 Minutes,Valoración: 5%
The Blue Rose,No existe puntuacion
Mama's Boy,8%
Martian Child,35%
It's All in a Nights Work,No existe puntuacion
Elizabeth: The Golden Age,35%
Mongol,Valoración: 87%
Hounddog,Valoración: 15%
Resurrecting the Champ,61%
A londoni férfi,No existe puntuacion
Tournament of Dreams,100%
Dark Matter,41%
Becoming Jane,58%
Mattie Fresno and the Holoflux Universe,No existe puntuacion
Dangerous Parking,72%
From Wharf Rats to Lords of the Docks,No existe puntuacion
Koreatown,No existe puntuacion
Jacquou le croquant,61%
The Kite Runner,Valoración: 65%
The Cake Eaters,64%
The Hit,Valoración: 67%
Corazón marchito,No existe puntuacion
S. O. S. - Spasite nase duse,No existe puntuacion
In the Land of Women,44%
True Love,Valoración: 67%
Control,Valoración: 88%
P.O.E.,Valoración: 88%
Pusinky,No existe puntuacion
Music Within,Valoración: 33%
Les fourmis rouges,No existe puntuacion
Moroz po kozhe,No existe puntuacion
Charlie Bartlett,Valoración: 58%
Too Much Too Young,No existe puntuacion
Noise,Valoración: 83%
Ghosts of the Heartland,20%
The Messengers,Valoración: 11%
August Rush,37%
Hairspray,92%
Anka Kusu,No existe puntuacion
I Believe in America,No existe puntuacion
The Great Debaters,80%
The Lookout,No existe puntuacion
Suburban Girl,50%
The Kingdom,52%
P.S. I Love You,25%
Clubland,No existe puntuacion
Não Por Acaso,"Valoración: 6,9/10"
Vacas gordas,No existe puntuacion
Real Premonition,Valoración: 8%
Whisper,42%
The Invisible,Valoración: 20%
Everything or Nothing,No existe puntuacion
The Memory Thief,80%
Une vieille maîtresse,77%
All the Days Before Tomorrow,62%
Goodbye Bafana,Valoración: 44%
La part animale,Valoración: 22%
The Dead One,Valoración: 28%
Gracie,Valoración: 62%
Death Without Consent,No existe puntuacion
Pathfinder: Legend of the Ghost Warrior,9%
Pars vite et reviens tard,Valoración: 39%
Across the Universe,53%
Zodiac,Valoración: 90%
Du levande,98%
"Have Dreams, Will Travel",No existe puntuacion
Liebesleben,Valoración: 100%
Milk and Fashion,No existe puntuacion
The Assassination of Jesse James by the Coward Robert Ford,77%
Living Luminaries: On the Serious Business of Happiness,No existe puntuacion
Los Andes no creen en Dios,No existe puntuacion
Nightwatching,75%
Coquelicots,No existe puntuacion
Lezioni di volo,"Valoración: 6,2/10"
Full of It,Valoración: 6%
The Sandpiper,21%
Si j'étais toi,Valoración: 44%
The All Together,Valoración: 0%
Serial,Valoración: 100%
Broken Arrows,No existe puntuacion
Zone libre,No existe puntuacion
Concursante,No existe puntuacion
California Dreamin' (Nesfarsit),89%
The Final Season,Valoración: 25%
La Vie En Rose,Valoración: 74%
Brothers Three: An American Gothic,24%
"Días de mucho, vísperas de nada",No existe puntuacion
Then She Found Me,51%
Outlanders,22%
Lucky Miles,80%
Gone Baby Gone,94%
The Home Song Stories,100%
Dustclouds,No existe puntuacion
The Hunting Party,55%
Black Irish,31%
Snow Angels,67%
Caótica Ana,50%
La antena,60%
"Ma fille, mon ange",No existe puntuacion
Næste skridt,No existe puntuacion
Baby,Valoración: 94%
Paruthiveeran,Valoración: 93%
"Teresa, el cuerpo de Cristo",58%
Eklavya,Valoración: 75%
Boy s tenyu II. Revansh,"Valoración: 5,8/10"
Don't Stop Dreaming,Valoración: 22%
"Gandhi, My Father",Valoración: 47%
Georg,No existe puntuacion
Import Export,84%
The Moon and the Stars,44%
Ghost Son,15%
Chaos Theory,Valoración: 30%
Intervention,18%
"Romulus, My Father",55%
White Air,Valoración: 18%
Jake's Closet,32%
