,id,time_sec
0,tt1341730,12
1,tt1342411,5
2,tt1342394,4
3,tt1342940,5
4,tt1343362,5
5,tt1343101,3
6,tt1343324,4
7,tt1343755,4
8,tt1343717,5
9,tt1344024,4
10,tt1344430,3
11,tt1344808,4
12,tt1345488,5
13,tt1345507,4
14,tt1345486,5
15,tt13458396,2
16,tt1345728,4
17,tt1346302,3
18,tt1346281,4
19,tt1347093,4
20,tt1347182,3
21,tt1347149,4
22,tt1347509,3
23,tt1347441,4
24,tt1348324,4
25,tt1349448,4
26,tt1349484,2
27,tt1349657,3
28,tt1349856,6
29,tt1350484,4
30,tt1350624,4
31,tt1351208,2
32,tt1350940,4
33,tt1351187,3
34,tt1351177,4
35,tt1351753,3
36,tt1352712,60
37,tt13524572,3
38,tt1352852,4
39,tt1353040,3
40,tt1353125,3
41,tt1353157,3
42,tt1353108,3
43,tt1353785,2
44,tt1354087,2
45,tt1353804,3
46,tt1353937,3
47,tt13540142,2
48,tt1354547,3
49,tt1354572,3
50,tt1354564,3
51,tt1355612,3
52,tt1355608,3
53,tt1355599,3
54,tt1355236,3
55,tt1355627,4
56,tt1356394,3
57,tt1356801,3
58,tt1356839,2
59,tt1357414,3
60,tt1357041,3
61,tt1358254,3
62,tt13583010,3
63,tt1358616,2
64,tt1358852,3
65,tt1358996,3
66,tt1359442,3
67,tt1359421,3
68,tt1359585,3
69,tt1359586,3
70,tt13606408,2
71,tt1361541,6
72,tt13612770,18
73,tt1361845,3
74,tt1362559,4
75,tt1362443,3
76,tt1363140,5
77,tt1362542,3
78,tt1364289,5
79,tt1365051,5
80,tt1365493,4
81,tt1365471,7
82,tt1365649,6
83,tt1365637,6
84,tt1366245,4
85,tt1366419,5
86,tt1366687,6
87,tt1366920,3
88,tt1367414,3
89,tt1368068,4
90,tt1368499,2
91,tt1368460,2
92,tt1368448,3
93,tt1369642,3
94,tt1370135,3
95,tt1370179,3
96,tt1370188,3
97,tt1370439,3
98,tt1370427,3
99,tt1370429,3
100,tt1370885,11
101,tt1370884,5
102,tt1370867,5
103,tt1370705,5
104,tt1370797,4
105,tt1370897,3
106,tt1370898,3
107,tt1371573,2
108,tt1371640,3
109,tt1371623,5
110,tt1372282,5
111,tt1372306,5
112,tt1372732,3
113,tt1372742,5
114,tt1372692,6
115,tt1373205,3
116,tt1373215,6
117,tt1373273,4
118,tt1374838,3
119,tt1374958,3
120,tt1376451,3
121,tt1376780,2
122,tt1377124,2
123,tt1377259,3
124,tt1377682,2
125,tt1378175,3
126,tt1378281,3
127,tt1378665,3
128,tt1378627,4
129,tt1378720,4
130,tt1378378,3
131,tt1378248,3
132,tt1378274,2
133,tt1378778,3
134,tt1379169,3
135,tt1379200,2
136,tt1379665,5
137,tt1379184,3
138,tt1379734,3
139,tt1380039,3
140,tt1380224,3
141,tt1381065,3
142,tt1381416,3
143,tt1381530,3
144,tt1381582,3
145,tt1381700,3
146,tt1381512,4
147,tt1382695,60
148,tt1382687,3
149,tt1383604,3
150,tt1384768,2
151,tt1385492,3
152,tt1385919,3
153,tt1385912,3
154,tt1385992,2
155,tt1385998,2
156,tt1385921,2
157,tt1385908,3
158,tt1386486,3
159,tt1386941,3
160,tt1387492,2
161,tt1387525,2
162,tt1387252,2
163,tt1387312,3
164,tt1387440,2
165,tt1387421,2
166,tt1388325,3
167,tt1388419,3
168,tt1388402,4
169,tt1389124,2
170,tt1389116,3
171,tt1389086,2
172,tt1389136,3
173,tt1388912,3
174,tt1389373,3
175,tt1389748,2
176,tt1390405,3
177,tt1390404,3
178,tt1390849,2
179,tt1391032,2
180,tt1391121,2
181,tt1391100,3
182,tt1391106,3
183,tt1391110,3
184,tt1391722,2
185,tt1391544,4
186,tt1391834,2
187,tt1391562,2
188,tt1391578,3
189,tt1391778,2
190,tt1392158,3
191,tt1392232,2
192,tt1392743,2
193,tt1393841,2
194,tt1394246,2
195,tt1394258,2
196,tt1394272,2
197,tt1395253,2
198,tt1396557,3
199,tt1397082,2
200,tt1397492,11
201,tt1397500,3
202,tt1399011,2
203,tt1399178,4
204,tt1399210,3
205,tt1399161,2
