,Puntuacion_IMDB,Dirección,Guionistas,Argumento,Duración,Nombre de la película
0,"6,2",['Roberto Faenza'],DESCONOCIDO,"Story in set in Sicily, 1800. The Uzeda family fights to remain in control of its power against the new regime, both on political and personal side, leading to intricate love affairs, difficult parental relashionship and obstacles on their way to the top.",2h,I Viceré
1,"7,3",['Giovanni Robbiano'],"['Riccardo Aprile', 'Marcello Olivieri', 'Giovanni Robbiano']",,1h 34min,Hermano
2,"6,5",['Joby Harold'],['Joby Harold'],Un joven adinerado que se somete a una operación de trasplante de corazón descubre que el equipo quirúrgico pretende asesinarle.,1h 24min,Despierto
3,"6,9",['Vic Sarin'],"['Patricia Finn', 'Vic Sarin']","During the turmoil and violence of Partition, a Sikh ex-soldier, haunted by war, offers shelter to a young Muslim woman who has been separated from her family.",1h 56min,Pasión sin fronteras
4,"8,3",['Kevin Mukherji'],['Nick Pullia'],"Take a fascinating journey in Death And Taxis where the journey is the destination, and the next world might be just a cab ride away. Hugging the double-yellow line between this life and the next, one big city taxi carries the stories of several drivers and passengers, each contending with intensely psychological and sometimes supernatural brushes with death. Whether ... Leer todo",1h 29min,Death and Taxis
5,"6,7",['Teresa Prata'],"['Mia Couto', 'Teresa Prata']","In the midst of Mozambique's devastating civil war, Muidinga, an orphaned refugee, wanders the countryside in search of his mother. His only companion is an elderly storyteller, and the only guide to finding his mother is a dead man's diary. This transporting drama underscores the power of imagination in surviving, and ultimately overcoming, the catastrophe of war.",1h 37min,Terra Sonâmbula
6,"4,6",['Brendan Keown'],DESCONOCIDO,"Two men meet in a train station. One believes he's Hitler, the other, Christ. Their unusual pairing brings together two of the most controversial figures in human history.",1h 16min,Hitler Meets Christ
7,"6,3",['Michael Corrente'],['Terence Winter'],"Brooklyn, 1985. With the mob world as a backdrop, three life-long friends struggle with questions of love, loss and loyalty.",1h 39min,La ley de Brooklyn
8,"5,5",['François Garcia'],['Sandeep Panesar'],A quick trip through the underground party scene as seen through the memories of eight people coming back to reality.,1h 14min,Universal Groove
9,"7,3",['Sidney Lumet'],['Kelly Masterson'],"Cuando dos hermanos organizan un atraco en la joyería de sus padres, el trabajo sale terriblemente mal, desencadenando una serie de eventos que los conducen, junto a su padre y la esposa de uno de los hermanos, hacia un clímax demoledor.",1h 57min,Antes que el diablo sepa que has muerto
10,"6,1",['Daniel Zirilli'],['Aad Van Der Heyde'],"The STONECUTTER is an inspirational Fairy Tale set in the tropical islands of French Polynesia with its shimmering turquoise waters, palm fronds, and white sandy beaches. A story about a stonecutter who struggles to support his family. With the help of an angelic young girl, he learns to appreciate what is most valuable possession in life: not money or power -but the ... Leer todo",1h 20min,The Stonecutter
11,"6,1",['Andrew Bowen'],"['Andrew Bowen', 'John McLoughlin']",A powerful memoir of the summer of 1996 and the events that shattered the lives of four close friends.,1h 51min,Along the Way
12,"4,4",['Sinan Çetin'],['Sinan Çetin'],"The friendship of Gökhan and Ömer is challenged when Ömer falls in love with beautiful Yasemin. Gökhan frames his best friend Ömer for a murder, subsequently Ömer must leave the country. Yasemin, grieving over the loss of her love Ömer, gets closer to Gökhan, who works in her cruel father's shady business.",1h 40min,Romantik
13,"9,1",['Kavi Raz'],"['Kavi Raz', 'Parvin Syal', 'Harshi Syal-Gill']",,--,Rising Shores
14,"6,3",['Pia Marais'],"['Horst Markgraf', 'Pia Marais', 'Malin Schwerdtfeger']",,1h 35min,Die Unerzogenen
15,"5,3",['Sabrina Farji'],"['Lucía Ercasi', 'Sabrina Farji']","Buenos Aires, a few days before the Millennium Eclipse. By chance Ramiro witnesses the suicide of a beautiful young woman, Angela. She left her backpack with her artwork and an enigmatic recording message. Ramiro tries to contact her family, but when he goes to her house the story has an amazing turn when he sees her coming out the door alive. He tries to understand t... Leer todo",1h 37min,Cuando ella saltó
16,"3,2",['Roberto Luis Garay'],['Roberto Luis Garay'],,1h 25min,La loma... no todo es lo que aparenta
17,"6,2",['Gustavo Postiglione'],['Gustavo Postiglione'],"Diego Simonney is a lonely man living by the sea, once a famed film director, thence fallen into decadence and oblivion, having lost control of his movie and, subsequently, his life. Through flashbacks we're shown Simonney's crescent indifference towards the movie he is trying to make, with camera-shy, third-rate actors ""Calandra and Stuart"" and an even a worse script... Leer todo",2h,La peli
18,"5,0",['Pau Martínez'],['Jorge de Juan'],Una película llena de intensidad donde la venganza abre el camino a un desenlace imprevisto.,1h 38min,Bala perdida
19,"6,0",['Thomas L. Callaway'],DESCONOCIDO,"Two friends work by removing animal bones, one day they find a disturbing finding that will change the way they see themselves and their friendship.",1h 37min,Broke Sky
20,"5,8",['Harvey Wang'],['Adam Forgash'],"Lenny (Chianese) is a small-time investor who's always managed by rolling the dice on Wall Street, but he just can't keep up with the times. When his luck finally runs out, his best friend Ruben (Latessa) hatches a plan to get them both out of town. But Lenny's not going anywhere. He's got two last rolls of the dice: one for the money, and one for the love of a beauti... Leer todo",1h 30min,The Last New Yorker
21,"5,9",['Curtis Hanson'],DESCONOCIDO,"Un jugador de póquer famoso intenta ganar un torneo en Las Vegas, sin embargo está librando una batalla perdida con sus problemas personales.",2h 4min,Lucky You
22,"2,8",['Michael Lazar'],['Michael Lazar'],"Two pounds of pressure on a trigger pays really well... Ex special forces mercenary and now hardened criminal Vic, lives in a world of cons, double crosses, crooked cops, mob bosses and drug dealing crime lords. Playing by his own rules, Vic and his partner Frank work both sides of the street, caring only about where they can score and take down the most cash. After a... Leer todo",1h 30min,Machine
23,"4,5",['E. Paul Edwards'],['E. Paul Edwards'],Sometimes we fight with fists and sometimes we kill with words.,1h 29min,Fighting Words
24,"6,9","['Cristian Bernard', 'Flavio Nardini']","['Cristian Bernard', 'Flavio Nardini']",Three stories that take place in a single night from a meeting of graduates. The former schoolmates meet again after twenty years and all these stories will have something in common: second chances.,1h 35min,Regresados
25,"7,1",['Jason Rosette'],['Jason Rosette'],"Accompanied by her illegal immigrant companion, a woman desperate to clone her deceased child steals cash and heads across country in search of a maverick animal cloning expert who says he can help her.",1h 25min,Susan Hero
26,"4,7",['Christopher Peditto'],"['Jonathan Lethem', 'Christopher Peditto']","Realism and fantasy collide in Jonathan Lethem's genre-bending coming-of-age story, which follows two estranged brothers as they try to leave New York City for a new life in California only to find their plans--and lives--being forever changed by the appearance of a mysterious alien. We follow Paul--fresh from dropping out of college and living unhappily at home with ... Leer todo",1h 10min,Light and the Sufferer
27,"4,2",['Nate Thomas'],"['Danielle Porter', 'Jeffery Taylor', 'Deon Reid']",The coming of age story about two brothers who struggle to mend their estranged relationship as their college campus gears up for a major Stepshow competition.,1h 25min,Stompin'
28,"4,9",['Jennifer Harper'],DESCONOCIDO,Cedric Tinsel (Allen Payne) is a 27-year-old professional basketball player. He is on a verge of signing a lucrative endorsment contract and proposing to his girlfriend Jill Hamlin (Chelsi Smith).,1h 28min,Playas Ball
29,"6,8",['Todd Haynes'],DESCONOCIDO,Reflexiones sobre la vida de Bob Dylan en que seis personajes distintos representan diferentes facetas de la vida y el trabajo del artista.,2h 15min,I'm Not There
30,"6,1",['Peter Webber'],DESCONOCIDO,"Tras la muerte de sus padres en la guerra, el joven Hannibal Lecter se muda con su tía y empieza a planear su venganza contra los bárbaros responsables de la muerte de su hermana.",2h 1min,"Hannibal, el origen del mal"
31,"3,9",['Ramzi Abed'],['Ramzi Abed'],"A stark look at one of Hollywood's darkest mysteries, The Black Dalia (Elizabeth Short) Murder.",1h 39min,The Devil's Muse
32,"5,3",['Morten Hartz Kaplers'],"['Allan Milter Jakobsen', 'Morten Hartz Kaplers']","A mockumentary where reality and fiction are combine to create drama. The director has deceived and manipulated leading world politicians, as well as politicians in his own country, for satirical effect.",1h 23min,AFR
