,Puntuacion_IMDB,Dirección,Guionistas,Argumento,Duración,Nombre de la película
0,"5,7",['Tyler Perry'],['Tyler Perry'],"Businessman Wesley Deeds is jolted out of his scripted life when he meets Lindsey, a single mother who works on the cleaning crew in his office building.",2h 9min,Good Deeds
1,"6,6",['Davide Manuli'],"['Giuseppe Genna', 'Davide Manuli']","Al llegar a una playa desierta en el mar Mediterráneo, en una época y un lugar no especificados, Kaspar Hauser se ve obligado a enfrentarse a una malvada Gran Duquesa que se siente amenazada por el poder que ejerce sobre la comunidad.",1h 35min,La leggenda di Kaspar Hauser
2,"6,5",['Miroslav Terzic'],"['Gordan Kicic', 'Djordje Milosavljevic', 'Nikola Pejakovic']","It has been years since the war ended. A young deputy prosecutor, Dusan, handling the investigation of war crimes, is assigned to investigate the formation of a paramilitary group. Quickly he comes to learn that this is a branch of the ""First Pioneer's"", a group which was operating on the battlefields in Croatia, Bosnia and Kosovo, after which they disappeared without... Leer todo",1h 31min,Ustanicka ulica
3,"5,1",['Andrew Brotzman'],['Andrew Brotzman'],"When an abducted boy mysteriously returns to his island home, a young priest discovers how far he must go to keep a secret.",1h 26min,Nor'easter
4,"5,4",['Javier Rebollo'],"['Lola Mayo', 'Javier Rebollo', 'Salvador Roselli']",Un asesino a sueldo español ingresado en un hospital de Buenos Aires se da cuenta de que está a punto de morir. Entonces decide escapar con un cargamento de morfina y dirigirse al norte del país por carreteras secundarias.,1h 32min,El muerto y ser feliz
5,"5,6",['Sebastián Hofmann'],"['Julio Chavezmontes', 'Sebastián Hofmann']","Alberto is dead and can no longer hide it. Make-up and perfume can no longer conceal his quickly decomposing body. Dismayed, he decides to withdraw from the world.",1h 24min,Halley
6,"7,2",['Jean-Christophe Dessaint'],"['Jean-François Beauchemin', 'Amandine Taffin']","Boy lives in the heart of the forest, raised by his father Courge, a tyrannical giant who reigns triumphant and prevents his son from exploring beyond limited boundaries. Ignorant about the ways of men, the boy grows up wild, with the placid ghosts who haunt the forest his only company. That is until the day that he is forced to go to the nearest village, where he met... Leer todo",1h 36min,El día de los cuervos
7,"6,7",['Daniele Ciprì'],DESCONOCIDO,"In 1970s, the Ciraulos are modest scrap-dealers whose uneventful lives are turned upside-down the day their youngest daughter is accidentally killed by clumsy killers. Their immense grief is alleviated by a huge sum of money allotted by the government. This is their chance of a lifetime to improve their conditions. What to do with all that money? The father decides to... Leer todo",1h 33min,È stato il figlio
8,"6,0",['Dick Maas'],['Dick Maas'],A famous game show host is being harassed in a restaurant by a strange man who claims to have kidnapped his wife and daughter. A morbid game ensues in which the game show host turns out to be the contestant.,1h 25min,Quiz
9,"6,5",['Takashi Miike'],"['Takeharu Sakurai', 'Sachiko Ôguchi', 'Shu Takumi']","Following the murder of his mentor, rookie Defense Attorney Phoenix Wright must find the truth behind not only her death, but that of an unsolved case from 15 years prior.",2h 15min,Phoenix Wright: Ace Attorney
10,"6,7",['Olivier van Malderghem'],['Olivier van Malderghem'],,1h 30min,Rondo
11,"3,8",['Daniel J. Gillin'],"['Daniel J. Gillin', 'Michael Adam Hamilton']","TROPHY tells the story of men's obsession with power and how far they will go to claim the ""PRIZE"". Two rival gangs in Los Angeles and Las Vegas, led by Gino (Robert Miano) and Cole (Michael Madsen), are vying for control. Danny (Michael Masini), an LAPD undercover police detective, goes deep into gangland to infiltrate one gang to bring down both. Along the way, he b... Leer todo",1h 39min,Beyond the Trophy
12,"6,1",['Robbie Moffat'],['Robbie Moffat'],An aging villain double deals his associates but is outsmarted by his lying daughter.,1h 32min,Villains
13,"6,6",['Stefano Sollima'],DESCONOCIDO,"A look at the controversial riot cops unit, told through the stories of three veteran cops and a young recruit.",1h 52min,Todos los policías son unos bastardos
14,"5,1",['Thomas Makowski'],"['Christopher James Miller', 'Kevan Otto', 'Sean Stearley']","Luke Rogers was the ideal ""Christian"". Now in his mid-twenties, Luke has found himself far from the good Christian life he used to lead.",1h 38min,Lukewarm
15,"6,1",['Juan Sebastian Jacome'],"['Irina Caballero', 'Juan Sebastian Jacome', 'Rocco Melillo']","Tito, a lonely albino decides to travel across Central America to participate in a bowling tournament. His stubborn and ill father insists on accompanying and supporting him for the first time in decades. The journey will force the father and son to confront the reasons behind why they have not talked to or seen each other for so many years.",1h 20min,Ruta de la luna
16,"6,1",['Timothy Armstrong'],"['Timothy Armstrong', 'Stephan Blinn']","Ida Clayton nunca ha conocido a su padre, que es jinete de rodeos. Durante su búsqueda, conoce a los Dulces Corazones del Rodeo, un grupo de talentosas jinetes femeninas capitaneadas por una antigua estrella de los rodeos Terence Parker",1h 32min,Cowgirls y ángeles
17,"6,2",['Daric Loo'],['Daric Loo'],"Alex's dreary life is reignited when he meets Rachel, the woman of his dreams. The only thing that stands in the way of their perfect, serendipitous relationship is that Rachel has recently passed away.",1h 35min,Awaken
18,"5,5",['Takako Imai'],['Takako Imai'],A statue of Venus with a human mind falls in love with a statue of David. Eros jealously controls the sculptor's mind to destroy her. Libera's songs and Tempei's piano lead the story in a poetic way. Libera play the Angels to comfort her.,1h 23min,Venus in Eros
19,"8,5",['Lily Mariye'],['Lily Mariye'],A 16-year-old half-Japanese teen's life spirals out of control after her parents divorce.,1h 34min,Model Minority
20,"4,3",['Renzo Martinelli'],DESCONOCIDO,"In the summer of 1683, 300,000 warriors of the Ottoman Empire began the siege of Vienna. The fall of the city would have opened the way to conquer Europe. On September 11. was the main battle between the Polish cavalry and the Turks.",1h 54min,11 settembre 1683
21,"3,4",['Jay Anania'],['Jay Anania'],A playwright who begins to mentally unravel cannot decide if she is at the center of a manipulative plot or simply losing her grip on reality.,1h 32min,The letter
22,"7,1",['Craig Freimond'],DESCONOCIDO,"Cassim is a young Muslim man who works in his father's fabric shop in Johannesburg. However, Cassim wants to be a stand-up comedian, which his father disproves of. When he gets a gig at a local bar, he has to find a way of keeping it a secret.",1h 34min,Material
23,"6,0",['Krsto Papic'],['Mate Matisic'],An obscure actor is hired by the police to get a confession out of a dying mafioso.,1h 45min,Cvjetni trg
