,id,time_sec
0,tt0196186,9
1,tt0206806,2
2,tt0211933,2
3,tt0213985,3
4,tt0218140,2
5,tt0242029,3
6,tt0243649,2
7,tt0283503,3
8,tt0287075,2
9,tt0292963,3
10,tt0299160,2
11,tt0306947,3
12,tt0314589,3
13,tt0314579,2
14,tt0315236,3
15,tt0318379,2
16,tt0323099,2
17,tt0323609,2
18,tt0326749,3
19,tt0337899,2
20,tt0338187,2
21,tt0338216,3
22,tt0345601,2
23,tt0354578,3
24,tt0362080,2
25,tt0362209,2
26,tt0362822,3
27,tt0362691,2
28,tt0368151,2
29,tt0368794,3
30,tt0367959,3
31,tt0372005,2
32,tt0369878,2
33,tt0372873,3
34,tt0370433,2
35,tt0370242,2
36,tt0371407,2
37,tt0373263,2
38,tt0379976,2
39,tt0378345,2
40,tt0378848,2
41,tt0381704,2
42,tt0381849,2
43,tt0382036,2
44,tt0383064,2
45,tt0383929,2
46,tt0385543,2
47,tt0385277,2
48,tt0385488,2
49,tt0386032,2
50,tt0384683,2
51,tt0386693,2
52,tt0388182,2
53,tt0389790,2
54,tt0393329,2
55,tt0393956,2
56,tt0396555,2
57,tt0397044,2
58,tt0397907,60
59,tt0398808,2
60,tt0399095,2
61,tt0401383,2
62,tt0401997,2
63,tt0403057,2
64,tt0404034,2
65,tt0405051,2
66,tt0405321,1
67,tt0408236,2
68,tt0408469,2
69,tt0411061,2
70,tt0412519,2
71,tt0415141,2
72,tt0415965,2
73,tt0415483,2
74,tt0414055,2
75,tt0416044,2
76,tt0415856,2
77,tt0416185,2
78,tt0415127,3
79,tt0416263,2
80,tt0416675,2
81,tt0416508,2
82,tt0416966,2
83,tt0417586,2
84,tt0417694,2
85,tt0417875,2
86,tt0418758,2
87,tt0419887,2
88,tt0418586,2
89,tt0419168,3
90,tt0419656,2
91,tt0419083,2
92,tt0419843,2
93,tt0420974,2
94,tt0421082,2
95,tt0420055,1
96,tt0422981,2
97,tt0422783,2
98,tt0425990,2
99,tt0426114,2
100,tt0423977,9
101,tt0425546,2
102,tt0425308,2
103,tt0425063,2
104,tt0425430,2
105,tt0426931,3
106,tt0427327,2
107,tt0426899,2
108,tt0427370,2
109,tt0427309,2
110,tt0427470,2
111,tt0428579,3
112,tt0431197,2
113,tt0431308,2
114,tt0432264,2
115,tt0432988,2
116,tt0433118,2
117,tt0433438,2
118,tt0435528,2
119,tt0435670,2
120,tt0436288,2
121,tt0437250,2
122,tt0437526,2
123,tt0439115,2
124,tt0438859,2
125,tt0438944,2
126,tt0441022,3
127,tt0441007,2
128,tt0442084,3
129,tt0446013,2
130,tt0446707,2
131,tt0445922,2
132,tt0443706,2
133,tt0445336,2
134,tt0446802,2
135,tt0443570,2
136,tt0446403,2
137,tt0443680,2
138,tt0447431,2
139,tt0446273,2
140,tt0446750,2
141,tt0447614,2
142,tt0447659,3
143,tt0446752,2
144,tt0448106,4
145,tt0446463,3
146,tt0450238,3
147,tt0450323,2
148,tt0447879,2
149,tt0450890,2
150,tt0447907,2
151,tt0449573,2
152,tt0449018,2
153,tt0450188,2
154,tt0450962,2
155,tt0451711,2
156,tt0455805,2
157,tt0452661,2
158,tt0452644,2
159,tt0452623,3
160,tt0452631,2
161,tt0453472,60
162,tt0455782,3
163,tt0455915,2
164,tt0453548,3
165,tt0456340,2
166,tt0454065,2
167,tt0456521,2
168,tt0454517,2
169,tt0457286,2
170,tt0458050,2
171,tt0458500,3
172,tt0459605,3
173,tt0459759,3
174,tt0459652,2
175,tt0459293,3
176,tt0459913,2
177,tt0459102,2
178,tt0460873,2
179,tt0460808,2
180,tt0460745,3
181,tt0462302,2
182,tt0462023,2
183,tt0462611,2
184,tt0463536,2
185,tt0463027,2
186,tt0462155,3
187,tt0462283,2
188,tt0462951,2
189,tt0462059,2
190,tt0462601,2
191,tt0462298,2
192,tt0462540,2
193,tt0462400,2
194,tt0465375,2
195,tt0465737,2
196,tt0465461,3
197,tt0465538,2
198,tt0464141,2
199,tt0463998,2
200,tt0465436,9
201,tt0466445,2
202,tt0464118,3
203,tt0466456,3
204,tt0467959,2
205,tt0467406,3
206,tt0466816,2
207,tt0467811,2
208,tt0466839,2
209,tt0468536,2
210,tt0468534,2
211,tt0471005,2
212,tt0471725,3
213,tt0469184,2
214,tt0468965,2
215,tt0469067,2
216,tt0469623,3
217,tt0469976,2
218,tt0469748,2
219,tt0470087,2
220,tt0469966,2
221,tt0470761,2
222,tt0469876,2
223,tt0469151,2
224,tt0470372,2
225,tt0472179,2
226,tt0473360,2
227,tt0469494,2
228,tt0471037,2
229,tt0472102,1
230,tt0472046,2
231,tt0471359,2
232,tt0472096,3
233,tt0473229,2
234,tt0472477,3
235,tt0472071,2
236,tt0470737,3
237,tt0469913,2
238,tt0472062,2
239,tt0470865,2
240,tt0472562,2
241,tt0472196,2
242,tt0473700,2
243,tt0473464,3
244,tt0473697,2
245,tt0475278,2
246,tt0475268,2
247,tt0475244,2
248,tt0473308,3
249,tt0473356,3
250,tt0473351,3
251,tt0474979,2
252,tt0475286,3
253,tt0475243,3
254,tt0475355,3
255,tt0475255,3
256,tt0475567,3
257,tt0475431,3
258,tt0476007,2
259,tt0475984,3
260,tt0476847,60
261,tt0476964,3
262,tt0476461,2
263,tt0476762,3
264,tt0477348,2
265,tt0477340,2
266,tt0477071,3
267,tt0477078,3
268,tt0478126,3
269,tt0478813,3
270,tt0479289,3
271,tt0478705,3
