,id,time_sec
0,tt4523694,8
1,tt4523208,1
2,tt4525388,1
3,tt4525584,1
4,tt4527610,2
5,tt4526216,1
6,tt4527572,2
7,tt4528724,2
8,tt4528872,1
9,tt4528592,1
10,tt4531250,1
11,tt4530678,1
12,tt4532016,1
13,tt4532116,1
14,tt4531328,1
15,tt4532762,1
16,tt4536502,3
17,tt4537402,1
18,tt4533124,1
19,tt4533894,1
20,tt4533428,1
21,tt4535696,1
22,tt4537526,1
23,tt4541094,2
24,tt4541758,1
25,tt4541230,1
26,tt4546172,1
27,tt4545740,1
28,tt4546506,1
29,tt4547730,1
30,tt4547158,1
31,tt4549724,1
32,tt4550962,1
33,tt4549834,1
34,tt4550964,1
35,tt4550660,1
36,tt4550250,1
37,tt4550950,2
38,tt4550954,3
39,tt4554126,1
40,tt4553846,1
41,tt4553546,1
42,tt4555128,1
43,tt4558386,1
44,tt4558046,2
45,tt4557258,1
46,tt4560448,1
47,tt4561036,2
48,tt4561618,2
49,tt4561992,1
50,tt4562800,1
51,tt4566914,1
52,tt4564926,2
53,tt4565872,1
54,tt4572168,1
55,tt4571986,1
56,tt4569580,1
57,tt4569166,2
58,tt4569616,2
59,tt4572354,1
60,tt4573954,1
61,tt4572492,1
62,tt4575530,1
63,tt4575730,1
64,tt4576652,2
65,tt4577190,1
66,tt4576842,1
67,tt4579200,1
68,tt4582266,1
69,tt4582228,1
70,tt4582092,2
71,tt4584710,1
72,tt4589300,1
73,tt4588056,1
74,tt4591814,1
75,tt4589264,1
76,tt4594048,1
77,tt4589722,1
78,tt4592024,1
79,tt4592106,1
80,tt4596204,1
81,tt4593410,2
82,tt4593534,1
83,tt4593858,1
84,tt4597204,1
85,tt4605088,1
86,tt4606716,1
87,tt4607716,2
88,tt4607860,2
89,tt4614310,2
90,tt4613698,1
91,tt4618980,1
92,tt4620846,1
93,tt4622468,1
94,tt4624200,1
95,tt4622732,2
96,tt4623266,1
97,tt4625308,1
98,tt4627296,1
99,tt4627588,1
100,tt4631014,7
101,tt4632990,2
102,tt4634426,1
103,tt4633088,1
104,tt4634252,2
105,tt4632730,1
106,tt4633216,1
107,tt4633302,1
108,tt4634734,3
109,tt4637204,2
110,tt4640700,1
111,tt4644760,60
112,tt4641830,1
113,tt4641720,1
114,tt4642056,1
115,tt4641810,1
116,tt4643760,1
117,tt4648860,1
118,tt4653858,1
119,tt4658050,1
120,tt4660296,1
121,tt4658548,1
122,tt4660234,3
123,tt4662980,1
124,tt4663542,1
125,tt4665044,1
126,tt4664928,1
127,tt4668254,1
128,tt4667796,1
129,tt4667694,1
130,tt4668376,1
131,tt4668346,2
132,tt4668824,1
133,tt4668308,1
134,tt4667678,1
135,tt4673796,1
136,tt4673858,1
137,tt4673534,2
138,tt4676934,1
139,tt4677494,1
140,tt4680776,2
141,tt4677714,2
142,tt4679322,1
143,tt4681158,1
144,tt4683360,1
145,tt4680508,2
146,tt4679884,1
147,tt4680412,1
148,tt4681090,1
149,tt4681576,2
150,tt4681228,1
151,tt4682758,2
152,tt4686484,1
153,tt4690750,1
154,tt4692846,1
155,tt4693710,1
156,tt4693804,1
157,tt4695156,2
158,tt4694900,1
159,tt4695162,1
160,tt4695168,1
161,tt4695148,3
162,tt4696354,1
163,tt4696450,1
164,tt4699518,1
165,tt4697912,1
166,tt4698354,1
167,tt4701386,2
168,tt4702932,1
169,tt4704030,1
