,Puntuacion_IMDB,Dirección,Guionistas,Argumento,Duración,Nombre de la película
0,"7,5",['Shyam Benegal'],DESCONOCIDO,"Ghazala (Shabana Azmi) has been married to Munirmiya (Srivallabh Vyas) for several years, and has given birth to a daughter, Salma (Rajeshwari Sachdev) Munir is unhappy that Ghazala has been unable to bear him any sons, and is forced to face his abuse, and then is subsequently thrown out of the house, in order to make way for him to marry again; Hasina (Surekha Sigri-... Leer todo",2h 14min,Hari-Bhari
1,"2,1",['Eduardo Spagnuolo'],['Eduardo Spagnuolo'],,1h 28min,Sin reserva
2,"5,8",['Fernando Huertas'],DESCONOCIDO,,1h 38min,Terca vida
3,"6,5",['Sang-il Lee'],['Sang-il Lee'],Comedy-Drama about Korean high school students growing up in Japan.,54min,Chong
4,"6,2",['Ka-Fai Wong'],['Alex Pao'],"True friendships and old romances never die as friends Rock and a hitman Ace both romance Fung, an old flame. She pines for the love of Ace who's profession crosses paths with two young police officers that hide out on their little island from the authorities. One of them is framed by a fellow colleague. When these two parties collide and a vengeful pack of hired kill... Leer todo",1h 28min,Oi ngo bit jow
5,"7,2","[""Mario O'Hara""]",DESCONOCIDO,"A story about young lovers, rich girl Nena and Jose, a poor boy who works in the fishponds owned by Nena's family. The film traces their relationship as it develops, from prosperity into recession, from a time of peace into a time of political turmoil.",1h 40min,Pangarap ng puso
6,"6,0",['Tirupati Swamy'],DESCONOCIDO,"Anjali is a journalist who lives a middle-class lifestyle with her widower dad in Hyderabad, Andhra Pradesh. One day while traveling by State Transport bus with her dad and her camera, their bus meets with an accident. She survives and witnesses a group of armed men killing a government official. She takes photographs and approaches her Editor and asks him to publish ... Leer todo",2h 30min,Azaad
7,"5,4",['Aman Chang'],['Jing Wong'],"Nameless is an orphan and falls for blind model Bitter. He mastered the technique of gambling and becomes famous. However, his buddy Chun set him up.",1h 33min,Du sheng wu ming xiao zi
8,"6,0",['Martin Rengel'],"['Martin Rengel', 'Lukas B. Suter']","For Sandra, a woman in her late teens, life is wonderful. She has recently fallen in love with Daniel, a member of the group of young men she hangs around with frequently. Daniel is flattered by Sandra's affection for him and they begin to spend more time together, apart from the rest of the gang. Their relationship remains diffuse and directionless, provoking tension... Leer todo",1h 30min,Joy Ride
9,"6,8","['Wieland Speck', 'Andrea Weiss']",DESCONOCIDO,"Documentary with dramatised episodes about the lives of Erika and Klaus Mann, children of German writer Thomas Mann.",1h 25min,Escape to Life: The Erika and Klaus Mann Story
10,"6,6",['Takahisa Zeze'],['Kishû Izuchi'],,1h 50min,Hysteric
11,"7,1",['Xiaogang Feng'],DESCONOCIDO,A mid-aged writer struggles keeping life in one piece between when his wife find out about the mistress .,1h 51min,Yi sheng tan xi
12,"6,7",['Jose Javier Reyes'],['Jose Javier Reyes'],,1h 50min,Live Show
13,"2,4",['Donald Farmer'],"['Maurice J. Fagan', 'Donald Farmer']",,4h 33min,Blood and Honor
14,"7,0",['John Riber'],"['John Riber', 'Andrew Whaley']",A teenage soccer star learns some tough lessons about the consequences of unprotected sex.,1h 30min,Yellow Card
15,"6,3",['Ali Özgentürk'],['Isil Özgentürk'],"On a misty morning, an old bus leaves Batum to go to Istanbul. As the bus stops at various places on the way, Russian women of all ages and professions, each with a unique tale, board. In this bus full of women, there are three Turkish men. Three brothers who have come together after many years to carry their father's last wish.",1h 56min,Balalayka
16,"6,1",['Masud Kimiai'],['Masud Kimiai'],Amir who was in jail for a murder gets free after twelve years behind bars and finds that now there is a huge gap between his generation and his brothers'.,1h 32min,Eteraz
17,"7,2",['Gustavo Postiglione'],['Gustavo Postiglione'],"A group of friends meets to eat a barbecue on the terrace of Tito's house. The celebration takes place between talks about women, cars, football, politics, movies and also revealing hidden grudges and betrayals that come to light.",1h 11min,El asadito
18,"6,6",['Shaji Kailas'],['Ranjith'],"After losing their ancestral home to Arackal Madhavanunni, Shivaraman Nair seeks the help of his trusted lieutenant, Nedungadi, in order to kill Arackal and get their house back.",2h 51min,Valliettan
19,"7,8",['Riri Riza'],"['Mira Lesmana', 'Jujur Prananto']",Adventure of a little girl who just moved to a new town and meet a new friends.,1h 52min,Los aventuras de Sherina
20,"7,6",['Shaji Kailas'],['Ranjith'],"Induchoodan is wrongly implicated in a murder case. Later, his father is imprisoned for murdering his daughter and Induchoodan vows to prove his innocence.",2h 55min,Narasimham
21,"7,7",['Gnana Rajasekaran'],DESCONOCIDO,"Based on a true story of Tamil poet Subramania Bharati, who struggled hard for the freedom of India.",2h 29min,Bharathi
22,"6,6",['Fazil'],"['Fazil', 'Gokula Krishna']","Gautham, a man with special needs, comes to Pondicherry. Hema, a carefree woman, befriends him and with the help of her father, who is a psychologist, unravels his horrific past life.",2h 47min,Kannukkul Nilavu
23,"7,2",['Rintarô Mayuzumi'],['Yûki Shimizu'],,1h 42min,Suzuran - Shoujo Moe no monogatari
24,"6,9",['A.K. Lohithadas'],['A.K. Lohithadas'],"Teenage boy Ravindranath leaves his house after a quarrel. Eighteen years later, circumstances make him return home, but he finds that matters are not like what he had expected.",--,Arayannangalude Veedu
25,"6,9",['Satish Rajwade'],"['Prem Kumar Bhave', 'Satish Rajwade']","Mumbai-based Shantanu Joglekar weds his fellow-collegian, Sharmila, and they soon become parents of Meeta. After 8 years they re-locate to live in a bungalow in Pune where they enroll Meeta in a school. Their harmonious lifestyle will suddenly change after Meeta starts having nightmares, and Sharmila complains of being stalked by an unknown male.",--,Mrugjal... Ek Naslela Astitva
26,"5,8",['Sinan Çetin'],['Mesut Ceylan'],"After fainting in a school rehearsal, little Su is diagnosed with leukemia. As a result she is forced to give up the Snow White role she wanted so badly. Police Chief Cemil decides to stage the production of Snow White and the Seven Dwarves at his oppressive police station. He hopes to win a TV competition in order to save his dying daughter.",1h 53min,Komser Sekspir
27,"4,8",['Vinayan'],"['S. Suresh Babu', 'Vinayan']","Abubacker, a former Subedar and the son of a freedom fighter, tries to curb terrorist activities taking place in his village. However, in a turn of events, he ends up getting arrested for espionage.",2h 10min,Dada Sahib
28,"6,5",['Mahesh Manjrekar'],"['Gautam Joglekar', 'Mahesh Manjrekar', 'Marudhabharani']","Soumya Nadkarni lives a wealthy lifestyle in Mumbai along with her dad, Anirudh, and mom, Suhasini. She is a Science student in Second Year Junior with I.B. Institute, and is a fan of Bollywood actor, Sanjay Dutt. As a child she had her appendix removed, and as an adult is terrified of surgical needles. When her boyfriend, Ninad Kamat, participates in a blood donation... Leer todo",2h 26min,Nidaan
