,Nombre,Nacimiento,Conocido,Que hace,Premios,Oscar
0,John Pearson,Desconocido,"['Maximum Risk', 'Lexx', 'Shaken Not Stirred', 'Inevitable Grace']",['Actor'],Desconocido,--
1,Kristiina Elstelä,Desconocido,"['Sooloilua', 'Vallan miehet', 'Älywapaa palokunta', 'Lyrics and Lace']","['Actress', 'Script and Continuity Department', 'Soundtrack']",1 win,--
2,Frans Flander,Desconocido,['Noita'],['Actor'],Desconocido,--
3,Sari Havas,1962,"['Häjyt', 'Vapaa pudotus', 'Puhtaat valkeat lakanat', 'Hobitit']","['Actress', 'Writer', 'Soundtrack']",1 nomination,--
4,Roope Karisto,Desconocido,"['Tom of Finland', 'Viimeinen hääpäivä', 'Premiere', 'Risto']","['Actor', 'Producer', 'Additional Crew']",Desconocido,--
5,Heidi Lundberg,Desconocido,['Noita'],['Actor'],Desconocido,--
6,Jukka Pitkänen,1960,"['Vain muutaman huijarin tähden', 'Turvetta ja timantteja', 'Seitsemän', 'Hyvien ihmisten kylä']",['Actor'],Desconocido,--
7,Sophie Lee,1968,"[""Muriel's Wedding"", 'The Castle', 'Bootmen', 'Mental']",['Actress'],2 nominations,--
8,Aaron Pedersen,1970,"['Mystery Road', 'Goldstone', 'Mystery Road', 'Darklovestory']","['Actor', 'Producer', 'Additional Crew']",8 wins & 10 nominations,--
9,David Gulpilil,Desconocido,"['Rabbit-Proof Fence', 'Crocodile Dundee', 'Australia', 'Walkabout']","['Actor', 'Music Department', 'Writer']",13 wins & 8 nominations,--
10,Rachel Gordon,1976,"['The Moodys', 'Blue Heelers', 'Neighbours', 'Home and Away']","['Actress', 'Writer']",1 win & 1 nomination,--
11,Trisha Morton-Thomas,Desconocido,"['8MMM Aboriginal Radio', 'Occupation: Native', 'MaveriX', 'The Song Keepers']","['Actress', 'Producer', 'Additional Crew']",1 win & 2 nominations,--
12,Sarah Farooqui,Desconocido,"['Iron Man 3', 'Lost', 'British Hustle', 'Mile High']","['Actress', 'Stunts']",3 wins & 2 nominations,--
13,Hunter,Desconocido,['Hollywood Action Movie'],['Actor'],Desconocido,--
14,Michael Koltes,Desconocido,"['The Passport', 'Feng Zheng (kite)', 'Three-Body', 'Robin Hood']","['Actor', 'Writer', 'Producer']",6 wins & 3 nominations,--
15,Kai Maurer,1972,"['U-571', 'Splinter', 'Eldorado', 'Red Dwarf']","['Actor', 'Producer', 'Director']",Desconocido,--
16,Jason Simmons,Desconocido,['Hollywood Action Movie'],['Actor'],Desconocido,--
17,Eric Fensler,Desconocido,"['Tim and Eric Awesome Show, Great Job!', 'Flying Lotus: Parisian Goldfish', 'The Terrys', 'Tim and Eric Awesome Show Great Job! Awesome 10 Year Anniversary Version, Great Job?']","['Writer', 'Actor', 'Director']",Desconocido,--
18,Tim Nicola,Desconocido,[],[],Desconocido,--
19,Josh Smith,Desconocido,"['Moonrise Kingdom', 'The Consumed', 'Pandi', 'Stumble Down Stillwell']","['Editor', 'Director', 'Writer']",Desconocido,--
20,Martin Saytrib,Desconocido,['Stumble Down Stillwell'],"['Actor', 'Writer']",Desconocido,--
21,Crystal Pistol,Desconocido,['Stumble Down Stillwell'],['Actress'],Desconocido,--
22,Robert McCullar,Desconocido,"['Affairs in Order', 'That Guy', 'Go Faux']",['Actor'],Desconocido,--
23,Robert Baker Shaw,Desconocido,"['Like His Father', ""Eddie's Winning Date"", 'That Guy', 'Go Faux']","['Actor', 'Composer', 'Sound Department']",Desconocido,--
24,Murray Hill,1971,"['Somebody Somewhere', 'Life & Beth', 'Drag Me to Dinner', 'Welcome to Flatch']",['Actor'],2 nominations,--
25,Greg 'G-Spot' Siebel,Desconocido,"['Alvin and the Chipmunks', 'Terror Firmer', 'The Seduction of Dr. Fugazzi', 'CSI: Crime Scene Investigation']",['Actor'],Desconocido,--
26,Heidi Sjursen,Desconocido,"['A Potato Chip Tale', 'Citizen Toxie: The Toxic Avenger IV', 'Sell Out', 'Operation Midnight Climax']","['Actress', 'Director', 'Writer']",Desconocido,--
27,Gina Volpe,Desconocido,"['Sell Out', 'Nefertitty in Space', 'Prey for Rock & Roll', 'Fashion Trashin']","['Composer', 'Actress', 'Art Department']",Desconocido,--
28,The World Famous *BoB*,Desconocido,"['Shortbus', 'Paid in Full', 'Nefertitty in Space', 'Slim and Lena']","['Actor', 'Music Department']",Desconocido,--
29,Jim Carretta,Desconocido,"['A Thousand and One', 'First Time Female Director', 'Untitled the Weeknd & Trey Edward Shults Project', 'Deadpool 2']","['Editorial Department', 'Editor', 'Actor']",Desconocido,--
30,Johnny Davis,Desconocido,"['Fractalus', 'The Unwilling', 'Broken Program', 'Trannies']",['Actor'],Desconocido,--
31,Doug Farris,Desconocido,"['Fight Camp 360: Inside the Super Six World Boxing Classic', 'Official 2012 World Series Film', 'Seeker & Fetch', 'UFC 25 Years in Short']","['Sound Department', 'Camera and Electrical Department', 'Actor']",Desconocido,--
32,C. Ross Fetterman,Desconocido,['Coping'],['Actor'],Desconocido,--
33,Jeffrey Fleming,Desconocido,"['Dumbbells', 'Phoenix', ""It's Temporary"", 'Coping']","['Actor', 'Camera and Electrical Department', 'Casting Director']",Desconocido,--
34,Mike Hales,Desconocido,['Coping'],['Actor'],Desconocido,--
35,Jack Kelly,21,"['Beautifully Flawed', 'Lady Driver', 'Paper Dream', '7th Street Theater']","['Actor', 'Casting Department', 'Casting Director']",Desconocido,--
36,Dave Linden,Desconocido,"['Life on a Leash', 'General Hospital', 'Santiara', ""Accidents Don't Happen""]","['Actor', 'Additional Crew']",Desconocido,--
37,Chad Olson,Desconocido,"['Crucifix Wizard', 'Ornaments', 'Coping']",['Actor'],Desconocido,--
38,Christopher Parr,Desconocido,['Coping'],['Actor'],Desconocido,--
39,Brian Baldini,Desconocido,"[""Let's Spend Some Time with Gym"", 'Melody', 'Tide of Whispers', 'Trafficked']","['Actor', 'Writer', 'Producer']",Desconocido,--
40,Andy Forrest,1963,"['The Lempke Brothers', 'Pushing Daisies', 'Evolved', ""P.J. O'Rourke: The Movie""]","['Actor', 'Director', 'Producer']",Desconocido,--
41,Randy Kent,1972,"['Road King', 'Cafe in the Void', 'Life, Death and Mini-Golf', 'Chinese Speaking Vampires']","['Director', 'Producer', 'Editor']",15 wins & 5 nominations,--
42,Kristina Copeland,1973,"['88 Minutes', 'Savage Island', 'Stargate SG-1', 'Andromeda']","['Actress', 'Producer']",2 wins,--
43,Kristina Agosti,Desconocido,"['Chaos', 'Strange World', 'Locked in a Garage Band', 'Midnight Marathon']","['Actress', 'Casting Director', 'Producer']",Desconocido,--
