,Puntuacion_IMDB,Dirección,Guionistas,Argumento,Duración,Nombre de la película
0,3.0,DESCONOCIDO,DESCONOCIDO,"Sheer Qorma is a story of belonging and acceptance, identity and family told through courageous, queer women choose to embrace love that exists beyond their personal beliefs and social moralities.",--,Sheer Qorma
1,--,DESCONOCIDO,DESCONOCIDO,,--,Mind Games
2,--,DESCONOCIDO,DESCONOCIDO,The story of a man ready to sing (to someone).,--,Sing (to me)
3,--,DESCONOCIDO,DESCONOCIDO,,--,"In fata marii, sub glia temeteului"
4,--,DESCONOCIDO,DESCONOCIDO,"After surviving an attempt on his life, a disgraced police officer enlists the help of his partner to seek revenge.",--,A Blue Shroud
5,7.6,DESCONOCIDO,DESCONOCIDO,,--,Mustard
6,--,DESCONOCIDO,DESCONOCIDO,,--,Akvarium
7,--,DESCONOCIDO,DESCONOCIDO,"My Own Mecca is a story of a young man, Dre, and his relationship with his vessel. We learn how he must contort into different versions of himself in order to navigate through his world. The plot follows Dre living his day to day life in Oakland, California. Dre and his wife, Anyssa, are soon to be moving to a new location but are struggling to find the right spot due... Read all",--,My Own Mecca
8,--,DESCONOCIDO,DESCONOCIDO,,--,Who We Are
9,--,DESCONOCIDO,DESCONOCIDO,"Struggling with depression, a famous vlogger travels to Asia and documents his search for dopamine.",--,I Hope They Remember My Name
10,--,DESCONOCIDO,DESCONOCIDO,"May 2018, a small city in Southern China, hot and humid. Lila(27) is escaping from this sad place after having a fight with her violent boyfriend. Trees and electric poles are passing outside of the cabinet window. Lila is on the train to another city to visit her college best friend Lucas(27). After Lila arrives, Lucas accommodates her to his place to help her relax.... Read all",--,Heat
11,--,DESCONOCIDO,DESCONOCIDO,"Nimrod, the introverted and shy, is invited by his friend Dar that he secretly in love with to taste a world full of sexual passions, a wild world that will put his masculinity to test.",--,Beast Show
12,--,DESCONOCIDO,DESCONOCIDO,,--,Quiet Storms
13,--,DESCONOCIDO,DESCONOCIDO,,--,Alone
14,9.4,DESCONOCIDO,DESCONOCIDO,"A passionate artist (Torasidis) with a series of eye-catching and bestial works in the luggage, decides to do his last work of art. In the film we follow Torasidis as a passionate and innovative artist. After earlier provocative works, he now wants to go one step further.",--,Torasidis Last Masterpiece
15,6.4,DESCONOCIDO,DESCONOCIDO,"Marion has just moved to the German side of the French-German border to follow her boyfriend - Lukas - who recently got a job in a theater company. On the day of her 28th birthday, Lukas surprises Marion by proposing to her. Aged now 29 and 28, they have been together for three years and are the happy owners of a brand new house - all the ingredients are gathered to b... Read all",--,Adulting
16,--,DESCONOCIDO,DESCONOCIDO,,--,CheckMate
17,--,DESCONOCIDO,DESCONOCIDO,,--,Where I'll Stay
18,--,DESCONOCIDO,DESCONOCIDO,"Sara is in a state of mental adversity. Following the death of her father and the foreclosure of her childhood home, she experiences an internal breakdown that tangles her reality.",--,Gamut
19,8.5,DESCONOCIDO,DESCONOCIDO,A visual feast set in the imaginative mind of a heartbroken panda named Herbie who has recently broken up with his girlfriend Rice. Herbie is an illustrator and through his art we delve back through the memories of his relationship from the heartbreaking end to the beautiful beginning.,--,Glimpse
20,--,DESCONOCIDO,DESCONOCIDO,"The life of a retired, widowed professor is challenged when a young couple moves in next door. Burning to find answers and unearth the truth about his deceased wife, he follows them into the forest. What he finds there will change his life forever.",--,The Curious Woods
21,--,DESCONOCIDO,DESCONOCIDO,It's 3.15PM. A group of 5 women are in a room with 6 chairs a Tupperware box and half a sandwich.,--,Ex's Anonymous
22,8.5,DESCONOCIDO,DESCONOCIDO,,--,Close Ties to Home Country
23,--,DESCONOCIDO,DESCONOCIDO,"Three weeks prior to the biggest fight of her life, a young female boxer is left broken after tragedy floors her aspirations.",--,Powerless
24,--,DESCONOCIDO,DESCONOCIDO,"A slice of life portrait of a destructive relationship, detailing the 15 minute buildup of a domestic abuse incident in real time.",--,Attachment
25,--,DESCONOCIDO,DESCONOCIDO,"Two exiles who are more than just good friends are in search of one another, but their only means of communication is bottle messaging. Will they ever find each other?",--,Wayfarers
26,--,DESCONOCIDO,DESCONOCIDO,"Sara expected to have a long happy life with her husband Doug. But cancer has other plains. Finally Sara has had enough. No medical treatment is or will help her, it is just helping cancer killer her slowly and very painfully. So she enlists the help of her husband to end her life. what we call the humane way out; if she where an animal.",--,Sarah's Choice
27,--,DESCONOCIDO,DESCONOCIDO,"S'ammuttadori es parte de nosu.* He knows us all. But how much do we know him? As much as we know ourselves. Anna and Las are both experiencing a busy night full of nightmares. Each of them fights with their ammuntadore, or rather, with their own perception of it. The ammuntadore, in Sardinian culture, represents the demon of the night. He assaults us while we sleep a... Read all",--,S'ammutadori
28,--,DESCONOCIDO,DESCONOCIDO,"Two homeless runaways spend a night sheltered from the cold, only to encounter more risk.",--,Night Hoppers
29,--,DESCONOCIDO,DESCONOCIDO,,--,Les piliers défaillants
30,9.4,DESCONOCIDO,DESCONOCIDO,Two monks on a mission choose very different paths.,--,Deliverance
31,6.9,DESCONOCIDO,DESCONOCIDO,A Mixed Martial Arts fighter wrestles with the news she is pregnant in the lead up to the most important fight of her career.,--,The Bends
32,7.4,DESCONOCIDO,DESCONOCIDO,"Two years after climbing Ben A'an, a once love struck couple return to repeat the steep hike, this time with a challenge that wasn't on the map.",--,Ben
33,--,DESCONOCIDO,DESCONOCIDO,"Grieving the suicide of her best friend, a young college student decides to take matters into her own hands and confront the perpetrator that caused her friends downward spiral.",--,Rose
34,7.6,DESCONOCIDO,DESCONOCIDO,Matt attends group therapy to open up about being raped.,--,Wrecked
35,--,DESCONOCIDO,DESCONOCIDO,A drug addict must choose between killing a man to get out of debt or being torn apart by the ruthless drug dealer he owes money to.,--,Under the Mercy
36,--,DESCONOCIDO,DESCONOCIDO,"Diminished chronicles a young, talented musician who must learn that failure and loss can be the catalysts that sparks our creativity and the foundation that anchors our magnum opus. Diminished in our modern vernacular means to make or become less. In regards to music, diminished is a particular chord which is not a commonly used because of its dissonant, unique sound... Read all",--,Diminished
37,--,DESCONOCIDO,DESCONOCIDO,"In downtown Las Vegas, Vic, a middle aged bartender searches for a young girl's father who neglectfully abandons her in a casino lounge.",--,All-In
38,--,DESCONOCIDO,DESCONOCIDO,"""Uncle"" captures the essence of an Indian-American father/son relationship told through three car rides over ten years.",--,Uncle
39,7.1,DESCONOCIDO,DESCONOCIDO,"Mariam goes to a public hospital with her husband and her daughter, bleeding and suffering from a severe pain in her abdomen.",--,What We Don't Know About Maryam
40,--,DESCONOCIDO,DESCONOCIDO,,--,Lennä
41,--,DESCONOCIDO,DESCONOCIDO,,--,Es Navidad
42,--,DESCONOCIDO,DESCONOCIDO,Two friends in search of an urban myth encounter a strange force beyond their control.,--,Fish Out of Water
43,--,DESCONOCIDO,DESCONOCIDO,"A single mom and her two kids think they've won a million dollars through the McDonald's Monopoly Game, but when a game piece goes missing- the family is thrown into disarray.",--,Monopoly Game
44,--,DESCONOCIDO,DESCONOCIDO,A high school pianist's entire world comes crashing down when he begins to lose his hearing,--,Making Beethoven Proud
45,--,DESCONOCIDO,DESCONOCIDO,A man's life in three vignettes as he navigates his sexual identity amidst tradition in Hong Kong's notorious Kowloon Walled City.,--,"No Law, No Heaven"
46,--,DESCONOCIDO,DESCONOCIDO,"Marlie, a dutiful assistant who dreams of being the theater's next star, struggles to wrangle a flamboyant cast of characters for a closing performance of ""The Bitter Tears of Petra von Kant"" their adaptation of Fassbinder's text. Along the way she learns that what she thought would bring her closer to her big break, is actually what is keeping her from her dreams. De... Read all",--,Petra
47,--,DESCONOCIDO,DESCONOCIDO,Two people from vastly different lives sharing a moment that could change each other's futures forever. One offers the other a choice which leads them to discover intimate details about themselves and each other.,--,Chasing Cars
48,--,DESCONOCIDO,DESCONOCIDO,,--,The Ghost of Something More
49,--,DESCONOCIDO,DESCONOCIDO,"In the fall out of a sexual experience marked by muddy lines of consent, Laia slips into a late-night diner where she finds unexpected solace.",--,Whalebone
50,9.1,DESCONOCIDO,DESCONOCIDO,"Wracked with guilt, Mark, young and unemployed, turns to alcohol to cope with his depression. However, he is forced to confront his dark past when he attends a house party and things take a dramatic turn.",--,Grey Sea
51,5.9,DESCONOCIDO,DESCONOCIDO,"Tyler, a young gay man who is HIV positive, must deal with the demons of his past when he is confronted by a mysterious woman.",--,Mummy Brown
52,--,DESCONOCIDO,DESCONOCIDO,"A woman tries to connect with her French mother, who suffers from dementia, by re-creating a delicious dish she remembers from her childhood. Food holds a special power in allowing us to access with our deepest memories and fondest love.",--,Cassoulet
53,--,DESCONOCIDO,DESCONOCIDO,"Years after being separated from his mother at the southern border, young Dominik is forgetting the details of her face. He must have to confront his darkest fears in order to draw an accurate portrait of his mother and save the memory.",--,Ink
54,--,DESCONOCIDO,DESCONOCIDO,DESCONOCIDO,--,Error nombre para la pelicula con id: tt11055560
55,--,DESCONOCIDO,DESCONOCIDO,Man frees his ego and learns a hard lesson of pure selflessness when the stranger asks for his help.,--,Breadcrumbs
56,--,DESCONOCIDO,DESCONOCIDO,A narrative film that touches on the issues of opiate orphans effected by the opiate crisis in southeast Ohio. The film was shot on location in the foothills of Appalachia.,--,The Fullest Day of Summer
57,--,DESCONOCIDO,DESCONOCIDO,Three young men accidentally sets fire to a hedgehog while make a fire.,--,Beneath the fire
58,--,DESCONOCIDO,DESCONOCIDO,"A teenage boxer tries to fill her idolised and abusive fathers space in the family, after his sudden passing.",--,Opal
59,--,DESCONOCIDO,DESCONOCIDO,"After a blowout fight, Julia's boyfriend is perfect but eerily unrecognizable.",--,A Good Couple
60,6.5,DESCONOCIDO,DESCONOCIDO,A small town girl with many aspirations has moved to a metro city to fulfill her dreams. Now what if she needs to choose between justice and her dreams?,--,Vikalp
61,--,DESCONOCIDO,DESCONOCIDO,,--,Gud
62,--,DESCONOCIDO,DESCONOCIDO,A homeless man spends his life surviving day to day in a monotonous cycle. Each day simply fades into the next. But one day he gets an idea that will transform his life. The only question is: what will he do with his newfound opportunities?,--,Greg
63,--,DESCONOCIDO,DESCONOCIDO,"After the sudden death of her older brother, Dezzy spends her summer break encountering mysterious creatures, including a doormat-stealing cousin and a beast in the woods.",--,Middle of Nowhere
64,--,DESCONOCIDO,DESCONOCIDO,An aspiring singer headed to LA learns a hard lesson about rest on the road of life in pursuit of her dreams.,--,The Long Haul
65,--,DESCONOCIDO,DESCONOCIDO,,--,Going Under
66,--,DESCONOCIDO,DESCONOCIDO,"As if Salvatore ""The Don"" Pazzarelli didn't have enough to deal with being investigated by law enforcement, now he has to worry about his daughter Alison going to jail over something found in her car. It's at this point The Don calls in an old family friend Detective Frank Sandstrom to assist in ""helping"" out his old friends.",--,The Don
67,--,DESCONOCIDO,DESCONOCIDO,,--,"Wanda, Do the Work"
68,--,DESCONOCIDO,DESCONOCIDO,"Rajan's relationship with his father fractures under the weight of his mother's illness, that has turned her into an undead zombie.",--,Mater Mortis
69,--,DESCONOCIDO,DESCONOCIDO,"His son's autism syndrome caused an emotional earthquake in the life of Sajmir which shook not only the foundations of the family, but also the love he has for his wife, Elsa. Sajmir became more introverted and the mask of the clown came to his help, whereas Elsa tries not to lose any of them. However, getting to know Alvin, his colleague's child with autism, made Saj... Read all",--,The Clown
70,7.9,DESCONOCIDO,DESCONOCIDO,,--,Vagabond
71,--,DESCONOCIDO,DESCONOCIDO,"In love with her best friend who has just married someone else, a young college student, still living at home, becomes confounded by faith and ultimately must risk telling her parents who she really is in order to save herself.",--,Moving Out
72,7.3,DESCONOCIDO,DESCONOCIDO,,--,Nagypapa
73,8.3,DESCONOCIDO,DESCONOCIDO,"A young woman's grand finale in her pursuit of artistry, and Dallas.",--,"I Wanna Make a Movie, or I Wanna Die Trying"
74,--,DESCONOCIDO,DESCONOCIDO,"Year 2025: the presence of God is a proven fact. A young painter has to get a permission from the Priest in order to leave this world. However, the reasons she states are not as obvious as they seem first.",--,Paintless
75,--,DESCONOCIDO,DESCONOCIDO,"In a world where everyone is so addicted to their phones that they are literally connected via a wire that stems into their spines, a man searches for connection.",--,Unplugged
76,--,DESCONOCIDO,DESCONOCIDO,An 8-year-old girl has to hold onto the image of a happy family after her father ran away from home.,--,Dolly
77,--,DESCONOCIDO,DESCONOCIDO,1970s Belfast. A newly-adopted kid lives in his Wild West imagination while trying to come to terms with his new parents - and they with him.,--,Coyote
78,--,DESCONOCIDO,DESCONOCIDO,"A 14-year-old boy babysitting for a single mom, struggles to hide his growing infatuation.",--,Corn
79,--,DESCONOCIDO,DESCONOCIDO,"When Judith finds Adam after his attempted suicide, they end up on a search for their childhood haunt in the Californian desert. Home Again is a darkly humorous story about two queer friends moving forward after life has fallen apart.",--,Home Again
80,5.3,DESCONOCIDO,DESCONOCIDO,"Silas becomes tormented by a cockroach that invades his thoughts, causing him to terrorize his girlfriend and sister. He must find a cure for his mental breakdown before it's too late.",--,Kakerlak
81,--,DESCONOCIDO,DESCONOCIDO,,--,A Glimpse Into Trauma
82,--,DESCONOCIDO,DESCONOCIDO,DESCONOCIDO,--,Error nombre para la pelicula con id: tt11192394
83,--,DESCONOCIDO,DESCONOCIDO,"Forced to attend group therapy, Nicole (Karen Summerton) begins to explore her relationship with loss and grief when she meets Ellis (Tamika Pettway) and James (Alec Wirth).",--,Good Grief
84,--,DESCONOCIDO,DESCONOCIDO,"Inner Calling is a bittersweet story about Benjamin, an 8 year old kid who is fighting for his dream of playing tennis against his father wishes.",--,Inner Calling
85,--,DESCONOCIDO,DESCONOCIDO,"Persuaded by a friend to come to the bar and perform, Levi, a transmasculine drag performer, finds himself in a compromising situation when he is outed by another jealous drag queen. Exploring the divides within the queer community, and the pain that lies within othering our own people.",--,Boysugar
