,id,time_sec
0,tt11246768,4
1,tt11247700,4
2,tt11252308,3
3,tt11251756,4
4,tt11256508,4
5,tt11259728,3
6,tt11274622,4
7,tt11281294,4
8,tt11282090,4
9,tt11290778,4
10,tt11291254,4
11,tt11296542,3
12,tt11304644,4
13,tt11306178,4
14,tt11305914,4
15,tt11306262,4
16,tt11307554,5
17,tt11306946,4
18,tt11306882,4
19,tt11311288,3
20,tt11313094,62
21,tt11317388,4
22,tt11321956,3
23,tt11323362,4
24,tt11322816,4
25,tt11333008,4
26,tt11336098,3
27,tt11337834,4
28,tt11344036,4
29,tt11343208,3
30,tt11348438,4
31,tt11352002,4
32,tt11355510,3
33,tt11359160,3
34,tt11363862,7
35,tt11378940,4
36,tt11378890,4
37,tt11378726,4
38,tt11384312,3
39,tt11383808,4
40,tt11399696,4
41,tt11401130,4
42,tt11410008,5
43,tt11409458,3
44,tt11417880,4
45,tt11429548,3
46,tt11427786,3
47,tt11435582,4
48,tt11437092,4
49,tt11440924,4
50,tt11442176,4
51,tt11448530,4
52,tt11459374,4
53,tt11453170,4
54,tt11462182,4
55,tt11464562,4
56,tt11464632,3
57,tt11472772,3
58,tt11471250,4
59,tt11474166,4
60,tt11471296,4
61,tt11471894,4
62,tt11473942,4
63,tt11505844,4
64,tt11512026,4
65,tt11524124,4
66,tt11527600,4
67,tt11526646,3
68,tt11529588,3
69,tt11536594,5
70,tt11552480,5
71,tt11554930,4
72,tt11558632,4
73,tt11563664,4
74,tt11570344,4
75,tt11570620,4
76,tt11575400,4
77,tt11578718,4
78,tt11581378,4
79,tt11590164,4
80,tt11591420,3
81,tt11604286,4
82,tt11608184,3
83,tt11611154,3
84,tt11616356,4
85,tt11613994,4
86,tt11620582,5
87,tt11621700,4
88,tt11628538,4
89,tt11626402,4
90,tt11627574,3
91,tt11638888,4
92,tt11640776,4
93,tt11644410,4
94,tt11644322,4
95,tt11651804,4
96,tt11651608,4
97,tt11656132,4
98,tt11662762,4
99,tt11662054,4
