,Nombre,Nacimiento,Conocido,Que hace,Premios,Oscar
0,R Rashid,Desconocido,['The Huanted House: Hasmat Film Production'],['Actor'],Desconocido,--
1,Joshua Angiano,Desconocido,"['No Greater Love', 'Thárros']",['Actor'],Desconocido,--
2,Filipp Artunian,Desconocido,"['Just A Boy', 'One Day', 'Thárros']",['Actor'],Desconocido,--
3,Ramsey Ghazzawi,Desconocido,['Thárros'],['Actor'],Desconocido,--
4,Michelle Shaay,Desconocido,"['Almost Vetted', 'The Birdwatcher', 'Unspoken Words', 'Blkmgc']","['Actress', 'Writer', 'Director']",Desconocido,--
5,Nada Novia,Desconocido,"['Glorious Days', 'Membicarakan Kejujuran Diana']",['Actress'],Desconocido,--
6,Maryam Supraba,Desconocido,"['Kisah 3 Titik', 'Drama Ratu Drama', 'Aruna & Her Palate', 'Negeri Tanpa Telinga']","['Actress', 'Writer']",1 nomination,--
7,Putri Ayudya,Desconocido,"['Homecoming', 'Kafir: A Deal with the Devil', 'High School Serenade', 'Gundala']","['Actress', 'Producer', 'Director']",1 win & 4 nominations,--
8,Rukman Rosadi,Desconocido,"['The Womb', 'Yuni', 'Skull', '13 Bombs']","['Actor', 'Additional Crew', 'Second Unit Director or Assistant Director']",2 nominations,--
9,Marsha Pical,Desconocido,"['Down Swan', 'Membicarakan Kejujuran Diana']",['Actress'],Desconocido,--
10,Calista Btari,Desconocido,"['Membicarakan Kejujuran Diana', 'Unstockholm']",['Actress'],Desconocido,--
11,Muzakki Ramdhan,Desconocido,"['Gundala', 'Preman', 'Perjalanan Pertama', 'Nussa: The Movie']","['Actor', 'Soundtrack']",1 win & 6 nominations,--
12,Ibnu Jamil,Desconocido,"['Homecoming', 'Scandal', 'Go Eight', 'Crazy, Stupid, Love']",['Actor'],2 nominations,--
13,Bhisma Prasetyo,Desconocido,"[""Udin's Inferno""]",['Actor'],Desconocido,--
14,Azam Al Aushafiy,Desconocido,"[""Udin's Inferno""]",['Actor'],Desconocido,--
15,Fiandra,Desconocido,"['What We Lose to Love', ""Udin's Inferno""]",['Actor'],Desconocido,--
16,Widhi Wicaksono,Desconocido,"['Balada Si Roy', 'Gangster', 'Sumpah Pocong di Sekolah', 'Yowis Band']","['Casting Director', 'Actor', 'Producer']",Desconocido,--
17,Anugrah Gege,Desconocido,"['Untung Ada Srimulat', 'The Womb', 'Sleep Call', ""Udin's Inferno""]","['Composer', 'Actor', 'Music Department']",Desconocido,--
18,Czarina Yecla,Desconocido,"['Kusina', 'City of Flowers', 'Entre medio del fin']",['Actress'],Desconocido,--
19,Ramli T. Abdurahim,Desconocido,"['Women of the Weeping River', 'City of Flowers']",['Actor'],Desconocido,--
20,Leszek Cygan,Desconocido,"['Afraid of Luke', 'Spencer', 'My Last Day on Earth', 'What Have You Done?']","['Actor', 'Editor', 'Director']",Desconocido,--
21,Ayse Erdil,Desconocido,['My Last Day on Earth'],['Actress'],Desconocido,--
22,Cheng-yung Liu,Desconocido,['Gong kiánn'],"['Director', 'Actor']",1 win,--
23,Jhih-Ciang Hu,Desconocido,"['Coo-Coo 043', 'Gong kiánn', 'Miss Shampoo', 'Waiting for My Cup of Tea']",['Actor'],2 wins & 3 nominations,--
24,Tai-chi Fan-Chiang,1970,"['Zhí jùchâng - jîmù zhî jiâ', 'A Sun', 'The Abandoned', 'Til Death Do Us Part']",['Actor'],Desconocido,--
25,Zong-Hua Yang,Desconocido,"['Ba chi men de bian hu ren', 'Goddamned Asura', 'Gong kiánn', 'Xiao wei hui lai guo zai ta li kai zhi hou']",['Actor'],Desconocido,--
26,Ignacio Gil-Toresano,Desconocido,"['Virgen y Marchita', 'Gangrena', 'Full of Grace', 'Elite']","['Actor', 'Director', 'Second Unit Director or Assistant Director']",Desconocido,--
27,César Tormo,Desconocido,"['Purasangre', 'Nivel Dios', 'Estribillo', 'Ciencia Ficción']","['Actor', 'Director', 'Writer']",2 wins & 2 nominations,--
28,Mfon Akpan,Desconocido,"['Line On Meadow', 'Take Me on a Date']",['Actress'],Desconocido,--
29,Oluchi Asiegbu,Desconocido,"['The Other Side of Green', 'Line On Meadow', 'Take Me on a Date']",['Actress'],Desconocido,--
30,Ann Boniface,Desconocido,['Line On Meadow'],['Actress'],Desconocido,--
31,Collins Micheal,Desconocido,"['Line On Meadow', 'Mr Akowe']",['Actor'],Desconocido,--
32,Marvel Phillips,Desconocido,['Line On Meadow'],['Actor'],Desconocido,--
33,Kunal Bose,Desconocido,"['Carpe Diem', 'Waiting Room']","['Actor', 'Writer']",Desconocido,--
34,Krishnakash Giri,Desconocido,"['Prey', 'Waiting Room', 'Felony']","['Actor', 'Producer']",Desconocido,--
35,Aditya Sadhukhan,Desconocido,"['Prey', 'Headphone', 'The Hottest Guy in the College', 'Felony']","['Actor', 'Writer', 'Music Department']",Desconocido,--
36,Edith Alibec,Desconocido,"['Rondul de noapte', 'Manor House', 'Carturan', 'Dislocat']","['Actress', 'Additional Crew']",Desconocido,--
37,Zsolt Bara,Desconocido,"['Valan: Valley of Angels', 'Memories of crossing']","['Actor', 'Casting Department', 'Production Manager']",Desconocido,--
38,Adrian Alexandru Bumbes,Desconocido,"['Rondul de noapte', 'Inve$titorii', '#dogpoopgirl', 'Memories of crossing']",['Actor'],Desconocido,--
39,Madalina Margareta Pavel,Desconocido,['Memories of crossing'],['Actress'],Desconocido,--
40,Gabriel Spahiu,1968,"['Charlie Countryman', 'Bunraku', 'Everybody in Our Family', 'War Dogs']",['Actor'],1 win & 1 nomination,--
41,Judith State,Desconocido,"['Sieranevada', 'Monsters.', 'Manor House', 'R.M.N.']",['Actress'],3 wins & 2 nominations,--
42,István Téglás,1981,"['The Whistlers', 'Luca', 'Manor House', 'Legacy']",['Actor'],1 win & 2 nominations,--
43,Giulia Boffa,Desconocido,"[""Ritratto di un'ossessione""]",['Actress'],Desconocido,--
44,Davide Campagna,Desconocido,"['Tale of Tales', 'Tre Storie straordinarie', 'Narcos Italia', 'Io non sono così']","['Actor', 'Director', 'Cinematographer']",Desconocido,--
45,Giuseppe Diano,Desconocido,"[""Ritratto di un'ossessione"", 'Agnus Day']",['Actor'],Desconocido,--
46,Filippo Giulini,Desconocido,"['Lubo', ""Ritratto di un'ossessione""]",['Actor'],Desconocido,--
47,Joyce Mhango Chavula,Desconocido,"['Nyasaland', 'Lilongwe', 'No More Tears', 'Submerged']","['Actress', 'Director', 'Producer']",1 nomination,--
48,Gloria Teeyah Kadam'manja,Desconocido,['Tsanzo'],['Actress'],Desconocido,--
49,Thoko Rachel Kamenya,Desconocido,"['Atsikana', 'Tsanzo']",['Actress'],Desconocido,--
