,Puntuacion_IMDB,Dirección,Guionistas,Argumento,Duración,Nombre de la película
0,--,DESCONOCIDO,"['Xavier Hale', 'Errol Parker II']",Two roommates have a disagreement about a Skillet,--,Skillet
1,--,['Mark Cheng'],"['Mark Cheng', 'Jean Goto']","Solar, a short film about a gang of guys who try and take solar power away from a couple of gals.",--,Solar
2,--,['Lilton Stewart III'],"['Kate Thurkle', 'Katherine M Tucker']",,--,Closet Case
3,--,['Marques Pardue'],['Marques Pardue'],"Mandatorily discharged from the Marines, James returns home to his ailing wife and an unfamiliar America. With a new wave of radical ideologies and the first female President - James quickly learns this is not the same country he fought for and must take up arms against what he once swore to protect.",--,The Betrayed
4,--,['Michael Rodriguez'],DESCONOCIDO,"When Max offers his roommate an awesome biodynamic EPX35 robot with integrated propulsion, he can't overestimate how tragic the consequences can be.",--,Chifoumi
5,8.5,['Noptira Phaungkhieo'],['Noptira Phaungkhieo'],"after the killing his parents, the boy want to be the famous serial killer likes the other killers.",--,Coming of Age
6,--,['Xin Liu'],['Xin Liu'],,--,The Keyboard Warrior
7,--,['Thomas John Jones'],['Thomas John Jones'],A wild night out ends in Johnathan waking up to a whole new world. He has joined the hunt and is now the hunted.,--,Hunted
8,--,['Samuel Anakwa'],['Patty Abbey'],What happens when a cyber-stalker comes knocking?,--,Hi Facebook
9,--,['Alix Sureda Sanchez'],['Samuel Lacoste'],,--,Reapers - First Strike
10,--,['Alan E Olivas'],['Alan E Olivas'],A Secret government agency uses ordinary citizens to carry out missions by using Nano Technology to control their subjects.,--,Nano
11,--,['Sarah Turi'],['Steve Boshear'],,--,Weird City: Beast Mode
12,--,['Harrison Derbyshire'],['Harrison Derbyshire'],"When Englands best spy and Spains best counterspy fall in love, loyalty to each other will be tested against their loyalty to their governments.",--,Duel of the Hearts
13,--,['Cornelius Koch'],['Cornelius Koch'],With no memories of his past the puppet Fredelius awakes in the film workshop of his creator. Fredelius - innocent and kind-hearted - soon has to realize that he was only built to play the role of a super villain. Will his new consciousness help him change the course of things?,--,Death of the Filmmaker
14,--,['Emma Kazarian'],['Devon Balsamo-Gillis'],"A group of female directors show up to a studio fellowship expecting a chance to direct the next big blockbuster, only to find out the fellowship is actually a fight to the death.",--,Fellowship
15,--,['Nahuel Srnec'],"['David Sacal', 'Nahuel Srnec']","Lobo is a fighter of clandestine boxing fights in the suburbs of Buenos Aires. Betrayed and presumed dead, seek answers and revenge.",--,Wolf on the Loose - Revenge
16,--,['Onome Egba'],"['Onome Egba', 'Tomiwa Ogunnika']","After years of human trafficking of women and children under the guise of being a maid allocation agency, QUBI corp gets flagged by the HPA (Househelp Protection Agency) and Agent X is commissioned to end their operation.",--,365 Seconds
17,7.6,DESCONOCIDO,['Jadey Duffield'],"Pressures of life, combined with a spilt coffee, causes all hell to break loose at the laundromat.",--,10 Minutes For A Pound
