,Puntuacion_IMDB,Dirección,Guionistas,Argumento,Duración,Nombre de la película
0,--,DESCONOCIDO,DESCONOCIDO,DESCONOCIDO,--,Error nombre para la pelicula con id: tt13135936
1,--,['Danene Montella'],"['Jacob Chattman', 'Danene Montella']",A woman struggling to cook mirepoix for the first time flies off the handle when her clueless boyfriend suggests attending his ex-girlfriend's birthday party.,--,Bear Trap
2,--,DESCONOCIDO,DESCONOCIDO,DESCONOCIDO,--,Error nombre para la pelicula con id: tt15770114
3,--,['Tommy Harvey'],['Tommy Harvey'],,--,Bilan de santé
4,--,DESCONOCIDO,DESCONOCIDO,DESCONOCIDO,--,Error nombre para la pelicula con id: tt17009170
5,--,['Vivienne Abitia'],['Stacey Ellis'],,--,Deli Meat
6,--,DESCONOCIDO,DESCONOCIDO,DESCONOCIDO,--,Error nombre para la pelicula con id: tt17422822
7,--,['Molly Vernon'],"['Bob Gunner', 'Molly Vernon']","When senior ladies who are members of a social media 'press on nail group' get into trouble using an online dating app it leads to disastrous, sinister, and rather humorous consequences.",--,Sexy Nails by Aunt Tootsie
8,--,DESCONOCIDO,DESCONOCIDO,DESCONOCIDO,--,Error nombre para la pelicula con id: tt17889486
9,--,['Hunter Logan'],['Hunter Logan'],"After their friend survives a suicide attempt, a group of straight-A students mount a protest against the stress of high school that jeopardizes their friendships, their futures, and their school's funding.",--,Shadows Fall Behind You
10,--,DESCONOCIDO,DESCONOCIDO,DESCONOCIDO,--,Error nombre para la pelicula con id: tt18394068
11,--,['Vivienne Abitia'],['Stacey Ellis'],,--,I Care
12,--,DESCONOCIDO,DESCONOCIDO,,--,3
13,--,['TobeyCareca'],DESCONOCIDO,,--,Liga dos Carecas Maguire'S Cut
14,--,['Sébastien Peret'],['Sébastien Peret'],The story of a young man ready to do anything to prevent the merging of his municipality with the neighboring one. His adventure will lead him to become a Mayor. This short is based on a true story and take place in a small village of Wallonia (Belgium).,--,Bardache
15,--,['Lakisha Avery Stewart'],['Lakisha Avery Stewart'],,--,Stuck with Friends
16,--,['Rob McLean'],"['Rob McLean', 'Tom Pappini']",,--,Catfish
17,--,['Andy Pett'],"['Christoffer Karlsen', 'Andy Pett']","Geir has had enough of life and decides to end his. But no matter how hard he tries, he can't seem to succeed at it.",--,Nesten død
18,--,DESCONOCIDO,DESCONOCIDO,3 half-sisters from the same Mr. gather to say goodbye to their deceased dead-beat dad Jack.,--,Absent Jack
19,--,['George K.'],['George K.'],A boy on his journey to find love through Thailand's traditional food.,--,Food Dating
20,--,['Owen Gudex'],['Owen Gudex'],"Set one year after the events of 'Spider-Man: Home Alone', Peter Parker finally can go on his first date with Gwen Stacy since before the pandemic started. However, as they are about to see the new hit movie, 'Spider-Man: No Way Home', a villain by the name of Electro plots to spoil the movie for the whole entire world. Spider-Man has to put aside his plans with Gwen ... Read all",--,Spider-Man 2: Electro Boogaloo
21,--,['Mark Spayne'],"['Barret Pete', 'Mark Spayne']",Diane tries to enjoy a nice relaxing walk on the beach. However her eccentric and paranoid sister interrupts this merrily meander with a briefcase holding mysterious contents.,--,Briefcase
22,--,['John-Paul Casella'],['John-Paul Casella'],"Bugbear II takes place a few weeks after the events of the first short and follows three teens who stumble upon the corpse of the Boy, only to then be hunted or ""haunted"" by someone new donning the Bugbear alias.",--,Bugbear II
23,--,['Dawson Bryant'],['Dawson Bryant'],"Simeon Plemans, a hardworking Toymaker, must cope with getting fired from the only job that made him happy after his hyper-organized schedule gets messed up. He travels through a strange night of encounters and ultimately wins the lottery and decides to move to Ecuador.",--,Simpleman
24,--,['Kevin Romano'],['Kevin Romano'],An anemic dishwasher fights for the admiration of a renowned food critic.,--,"Oh, Marie"
25,7.7,['Conor Dooley'],['Conor Dooley'],"A sprawling story of love and loss, as reflected on a single face.",--,Gold and Mud
26,--,['Jordan Chandler'],['Sam Hume'],A young artist lives in the shadow of his world renowned father. But does he have what it takes to step into his own spotlight?,--,The Phoney
27,--,['Thomas Pollock'],['Andrew McNeill'],,--,Flags and Emblems
28,8.2,['Rex Shannon'],DESCONOCIDO,A European man goes naked to an American beach. A clothed American beachgoer takes offense and a brawl ensues.,--,European Man... American Beach
29,--,['Garrett Brenneman'],['Garrett Brenneman'],A newly engaged couple Gather both of there family's together for dinner to share the news but secrets between family's lead to a very interesting night.,--,Dinner with the Inlaws
30,--,['Nick Westerlund'],"['Christopher Fung', 'Nick Westerlund']",,--,Love on Lock
31,--,['Brandon Tasker'],['Brandon Tasker'],"When Jacob returns home for his internet famous brother's celebration, he finds his mother on the floor screaming his brother is dead. But during his eulogy at the funeral he starts to believe this could be another one of his many viral pranks.",--,Gotcha!
32,7.9,['Viktor Granö'],['Viktor Granö'],"A love triangle between a programmer, her husband, and a virtual clone she's made of him behind his back.",--,Loading Love
33,--,['Drew Maxwell Weiss'],['Drew Maxwell Weiss'],,--,Always Tomorrow
34,--,['Jennifer Felts'],['Jennifer Felts'],A concerned citizen is convinced that there is something weird and possibly dangerous going on with her next-door neighbor and she is determined to get to the bottom of it or else,--,Concerned Citizen
35,--,['Joseph Price'],['Joseph Price'],A ghost who just lost his home goes on a search with a house haunting agent to find his new home to haunt.,--,House Haunting
36,--,['Molly Brown'],['Molly Brown'],,--,The Curse of Room 102
37,--,DESCONOCIDO,['Afton Alivia-McKeith'],,--,Faulty Newsroom
38,--,DESCONOCIDO,['Gillian McKeith'],,--,The London Gals
39,8.4,['Emma Morley'],"['Emma Morley', 'Mark Rowley']","Screenwriter Beth Cresswell (Leigh Quinn) reluctantly shares her home with Rhys Buxton (Mark Rowley), the lead fictional character of her hit TV drama, The Package.",--,Write Off
40,--,['Robert Stone Youngblood'],"['Robert Stone Youngblood', 'Sarah Youngblood']",A celebrity is kidnapped by a cult-like group of fans.,--,A Meeting of the Henry Chapel Fan Club
41,--,['Katie Otten'],['Jeremy Wade Rodman'],Two fan girls reminiscence about their childhoods spent playing with Sci-Fi toys as one makes hard life decisions.,--,Nostalgia
42,6.8,['Natasha Kinaru'],['Natasha Kinaru'],"In the future, when people are no longer able to experience emotions, a glamorous couple visits a fancy restaurant where they are served exactly what they are hungry for.",--,The Menu
43,--,['Laura Dutton'],"['Laura Dutton', 'Courtney Maitland-White']",Chaos and love ensues as a group of students struggle to wrap up their fantasy film production.,--,Spellbound
44,--,['Gregory Roberts'],['Gregory Roberts'],A woman on her wedding day gets cold feet and goes through an existential crisis while playing chess at a park.,--,Check
45,--,['Rafael Sanchez'],['Rafael Sanchez'],The Grim Reaper receives a notice that he has 24 hours off from job. Grim Reaper has the next 24 hours to enjoy his day off in Earth before he goes back to work for eternity.,--,Death's Day Off
46,--,['Christopher Deakin'],"['Suman Hanif', 'Eleanor Jessica Roberts']","Ms Lizzie Who's marriage would have been ideal if it wasn't for the orgasm gap. After 5 years of fifty shades of grey, the deflated wife decides to go spiritual but things take the worse turn when the husband mistakenly walks into the 'happy ending' massage room. Devastated Lizzie decides to call it an end on a reality court show 'out of order' Acclaimed Judge Hope, w... Read all",--,A Happy Ending
47,--,['Sean Morgan'],['Cailah Jade'],,--,Maybe Daddy?
48,--,['Craig Thorpe'],['Craig Thorpe'],"A dark comedy centring around Stuart, the 1 out of 10 dentists not recommending their company's latest product and the life of fear and persecution they face.",--,The Dentist's Tale
49,--,DESCONOCIDO,DESCONOCIDO,DESCONOCIDO,--,Error nombre para la pelicula con id: tt24178328
50,--,['Mike Timoney'],['Mike Timoney'],,--,Hope
51,4.8,['Harris Gurny'],DESCONOCIDO,,--,Day at the Zoo
52,--,['Nikki MacCallum'],"['Laura Cantwell', 'Bryan Mittelstadt']",Miscommunications and assumptions run amok when a young couple arrives on their romantic getaway with two VERY different missions for their vacation.,--,"Mission A, Plan B"
53,--,['Mark Datuin'],['Mark Datuin'],,--,Relatively Bad Date
54,--,['Terrence Taylor'],['Terrence Taylor'],"Three LGBTQIA friends (Wayne, Waves and Chico) meet on the noisiest street corner in town only to get invited to a party.",--,We Kray Kray
55,6.5,DESCONOCIDO,['Maziyar Khatam'],A middle-aged Iranian man makes a desperate bid to keep his apartment as his relationship with his son unravels,--,Baba
56,--,['Stephané Alexandre'],"['Stephané Alexandre', 'Kieran Bourne']","Alie is a hopeless romantic, with much emphasis on hopeless. Her friend sets her up on a blind date in what turns out to be a surprisingly perfect night.",--,The Perfect Knight
57,--,['Summer Vaughan'],['Summer Vaughan'],"""Letter Eight"" is a dark comedy that channels the inner neurosis of Alan, an endearing but washed-up late 30's aspiring professional clown. Set against the backdrop of a very one sided therapy session, we explore Alan's inner misadventures that have led him astray... right back to his mom's house.",--,Letter Eight
58,7.1,['Osman Cerfon'],['Osman Cerfon'],"The tumultuous school day is filled with cries of ""Aaaah!"": cries of anger, of boredom, of joy and surprise - in short, the full spectrum of young emotions.",--,Aaaah!
59,7.0,['Dayan D. Oualid'],['Dayan D. Oualid'],"Like every Saturday, Yoel goes to the synagogue with his son.",--,"Le Père, le Fils et le Rav Kalmenson"
60,--,DESCONOCIDO,"['Koosje Docter', 'Eefje Suijkerbuijk']","After a relapse in her illness, Jildou is forced to live at home again. Her mother tries, under the guise of ""care"", to control the life of her daughter, who is confined to a wheelchair. Jildou however, is tired of being kept small.",--,Brodeo
61,--,['Duane Lyons'],"['Eric Gallivan', 'Duane Lyons']","Slippin' [The Movie] is a dark Comedy-Drama short film inspired by movies like Friday, Boyz n tha hood and Menace 2 Society.",--,Slippin'
62,--,['Vincent Spinella'],['Vincent Spinella'],,--,Oh Deer!
63,--,['Mark Spayne'],['Mark Spayne'],Doris's Audition quickly goes from odd to bad to bizarre in this short comedy,--,Audition
64,--,['Anchel Bober'],DESCONOCIDO,,--,A Yzp reunion
65,--,DESCONOCIDO,['J.S. Cooper'],"A stubborn man denies his wayward brother's attempt to reconnect, escalating their couples date into a drunken ping pong match that's about more than it seems.",--,Rematch
66,--,['Trevor Wilde'],"['Cassius Griesbach', 'Trevor Wilde']",,--,Love and Marriage
67,--,['Olivia Rubin'],['Grace Rucci'],"Follow along for a day in the life with ""Influencer"" Cali Cook. From morning routines to fashion show invites, Cali is living her dream. But what happens when you're actually not as influential as you thought you were?",--,Influence
68,--,['Renee J. Vaca'],['Renee J. Vaca'],,--,Inland Empire
69,--,['Owen Parz'],['Nick Gambino'],"While working late at the office, an employee discovers that a trash can has the ability to disrupt their monotonous corporate environment.",--,The Trash Can
70,--,['Rebecca Sills'],['Rebecca Sills'],Christmas is a magical time especially in the Dearne Valley where everything comes to life. Each year Barry the bauble and his tree friends put the world to rights and hope for a better future.,--,The World According to Barry the Bauble
71,8.5,['Drayon Blackett'],DESCONOCIDO,Following years of being a virgin; Tyler flies to New York to meet dating coach Mr. Locario in hopes of receiving game lessons to help him achieve his most outlandish goal ever; hooking up with 2 women a day.,--,Game Lessons
72,--,['Colin Mader'],"['Colin Mader', 'Jared Mongeau', 'Nathan Sylvester']",After hearing his girlfriend's pregnant a man decides to take psychedelics with his best friend one last time.,--,Baby Shrooms
73,--,['Salim Souami'],['Salim Souami'],"Less than an hour before the results of an election, François Gras' campaign team discovers a compromising video of the candidate. They must find a solution quickly in order to avoid scandal.",--,Juste Avant 20 Heures
74,--,['Josh Kirk'],['Josh Kirk'],"In 1872 Oklahoma, two cowboys entertain themselves with a nightly routine.",--,Amigos Tontos
75,--,['Josh Kirk'],['Josh Kirk'],A suburban couple clash over a mysterious product.,--,The Orb
76,--,['David Sick'],"['Franz Rügamer', 'David Sick']",,--,CookedFellas
77,--,DESCONOCIDO,"['Cristina Narata', 'Melanie Schnaidt']",An innocent meter maid finds her strength when facing a century's old curse and it's descendent.,--,After Hours
78,--,['Jay Karales'],"['Hans Lam Barboza', 'Jerry Jensen']",,--,Closing Up Shop
79,--,['Rodrig Andrisan'],['Rodrig Andrisan'],"Being a polyglot is a rare gift. Only elevated initiates like Furculision Fourchette possess the grace of the language gods, he, The French Teacher, speaks impeccably the language of Shakespeare and Byron, the language of Moliere and Corneille, plus other Latin and non-Latin languages. And, one of the special Latin languages, the language of infinite beauty, is the Ro... Read all",--,The French Teacher
80,--,['Justin Hollobaugh'],['Ron Fernandez'],,--,Donald Duck in Too Late for Christmas
81,7.2,DESCONOCIDO,['Lucy McKendrick'],"Recovering from a broken leg, a romance-obsessed loner finds herself swept up in a passionate long-distance love affair. Richard is perfect in every way, except that he may be a scammer.",--,"Fuck Me, Richard"
82,--,['BeautifulDiz'],['BeautifulDiz'],"After 10 years of a toxic marriage, Diz (BeautifulDiz) wants out. This comedy short follows the story of a married couple who, despite their best efforts, can't seem to find happiness. Accidental murder seems to be the only answer.",--,I Love Diz
83,--,['Vignesh'],['Vignesh'],,--,Yarrumilla Thaniaaraiyil
84,--,['Zoé Henriques'],['Zoé Henriques'],"A mockumentary about a male interviewee in his mid-30s who is a very careless and irresponsible person, living in squalid home conditions which don't seem to bother him at all.",--,Leaving the Dream
85,--,DESCONOCIDO,['Karen Scobie'],,--,Bad with Kids
86,--,['Danielle Swanson'],['Christy St. John'],"A gender-swapped Workaholics, this workplace comedy features two gal pals avoiding work by gossiping about Charlie's latest one night stand with nerdy Kabir, who mistakes their sloppy sex for a Casablanca-level romance.",--,Work-Life Balance
87,--,['Matthew Poole'],['Matthew Poole'],,--,"With Love, from Ray Bradbury"
88,--,['Tarik Begic'],['Tarik Begic'],A jogger stops a crosswalk and finds a pair of mysterious earbuds on the ground. Something about them draws him to it.,--,ScarePods
89,--,['Max Davies'],['Max Davies'],,--,Night Lights
90,--,['Simon Frith'],['Tyler Rigby'],"An idealistic apple is given a rude awakening after he is thrown away instead of being eaten, where he discovers just how dire his situation truly is.",--,What A Waste!
91,--,['Shereen Lani Younes'],['Shereen Lani Younes'],,--,How Can I Be Present when Photographs Exist
92,--,['Syed Mujtaba Ali'],['Syed Mujtaba Ali'],,--,Dost Gaya Karachi Ka Mujtaba
93,--,DESCONOCIDO,"['Owen Armbruster', 'James Glac', 'Matthew Natareno']",,--,The Treasure of Monty's Grove
94,--,['Kat Silva'],['Kat Silva'],,--,The Seduction of Randy Winters
95,--,['Peter Boiadzhieff'],['Peter Boiadzhieff'],Brad the Reporter is delivering the news in different style.,--,The Reporter from Chattanooga with Love
96,--,['Kyle Sauer'],['Alli Brown'],"Engaged couple, Dave and Alice, stumble home from a late night out determined to break their five month dry spell.",--,Dave & Alice Want to Have Sex
97,--,['Alex Michel'],['Alex Michel'],"A strange dream. Favors for friends. The end of the world. It's just one of those days for Alex as he runs errands he never needed to, all while making sense of a recurring deja vu throughout the journey of his day.",--,MiND MY GOOFiNESS: the Self Portrait
98,--,['Filipe Anjos'],"['Filipe Anjos', 'Henrique Sungo']",,--,Love and a Virus
99,--,DESCONOCIDO,DESCONOCIDO,,--,Sonic vs Rule 34 Collection (Volume 2)
100,--,['Demetre Nebula'],['Demetre Nebula'],"HARRY (25), a lawyer, is on his morning run and comes across a dead body in the park. Confronted by the situation he turns apathetic toward all things that can go wrong.",--,A Viewfinder and White Sneakers
101,--,['Harmen Van Andel'],['Harmen Van Andel'],A aging anxiety riddled man navigates his personal struggles in pursuit of a long time love.,--,Walter's Leap
102,--,['Kandice Martellaro'],['Drew Landry'],"Stand-up comic Drew Landry tells stories about his two childhood best friends, Tucker and Ellie, and reflects on their untimely deaths while exploring topics like grief, trauma, and mental illness in this mini stand-up special/ tribute. Filmed at The LA Connection Comedy Theater.",--,Drew Landry: All My Friends Are Dead
103,--,['Terry Tang'],['Terry Tang'],"3 archangels, Michael, Jophiel, and Raphael, try to save the world by stopping GOD from creating all the natural disasters. They come up with a plan to divert GOD's attention from creating disasters to answer people's prayers. However, getting people to pray to GOD is not an easy task since everyone is so preoccupied with their cell phones and getting all their answer... Read all",--,Love Potion
104,--,['Foster Wilson'],['Brian Leahy'],"After losing both her job and her cat in the course of a week, a young woman in mourning continues her killing spree in the hopes of ending her grief cycle.",--,5 Stages of Grief
105,--,['Omid Iranikhah'],['Omid Iranikhah'],"An Iranian-American twenty-something and his father meet for coffee, only to find themselves clashing over their differing worldviews.",--,Coffee with Baba
106,--,['Joaquín Bravo'],['Joaquín Bravo'],,--,Terapia de pareja
107,6.6,DESCONOCIDO,['Rita Hostt'],,--,Complejo de algo
108,--,['Joel Green'],"['Andrew Evans', 'Joel Green']",,--,Blowing Up (Or: How I Learned to Stop Worrying and Love the TikTok Challenge)
109,--,['Jan Jakubas'],"['Abbas Alakparow', 'Jan Jakubas']",,--,Chroniki Piekla
110,--,['Luis Dion-Dussault'],['Luis Dion-Dussault'],"Eugénie is a nurse working in Montréal. For the holidays, she decides to return to Québec City to visit her family. Will she be able to get her holiday spirit back in time for Christmas?",--,Miracle sur la 3e Avenue
111,--,['Russell Coker'],['Grace Asakura'],,--,Homewrecker
112,--,DESCONOCIDO,['Rianna Grace Morgan'],A group of unexpected friends are partnered up together for a group project.,--,Group Project
113,--,['Vinith Bejugam'],['Vinith Bejugam'],A physicist thinks he has bad luck but turns out it's because of coffee. He goes about exploring the idea of how a simple coffee could affect our life and questions whether we have free will.,--,Addiction
114,--,['Steven Emerson'],['Steven Emerson'],"Lola returns after a two year unexplained disappearance. When she arrives on Nicolas' doorstep he lets her in, although he's not sure why. And so their low romance resumes just where it ended. The apartment is exactly the same as when she left - same pictures, same furniture, Nicolas is wearing the same T-shirt. Time has stood still, or at least it seems to in Nicolas... Read all",--,Second Person
115,6.8,['Alexandra Greenspan'],['Alexandra Greenspan'],"Our short film follows Kirby (he/him), a trans man in his mid-twenties who, over his first few months on testosterone, heads to the local convenience store in San Francisco to pick up tampons each month he still has his period. During his first trip to the corner store, he meets Phoebe (she/her), the sociable cashier who is pleasantly surprised and intrigued at the sc... Read all",--,(In)convenience
116,--,['Anthony Tallarico'],['Anthony Tallarico'],"Percy's parents leave him and his friends alone for his first 'Big Boy' Birthday Party. The evening's typical tidings of presents and cake are flushed away, leaving a mystery to unroll, ""Can a toilet really pee on a person?""",--,"No Way, Bidet"
117,--,['Balu Mahendra'],['Balu Mahendra'],Nithya gets to know that her sister is getting married to her school crush.,--,When Your Sister Is Getting Married to Your Crush
118,--,['Gonzalo Pintado'],['Gonzalo Pintado'],,--,Noches de Abril
119,--,['Jack Henry Calverley'],DESCONOCIDO,A naïve yet enthusiastic young man finds himself in an unfamiliar world after mistaking his blind date's desertion for her being lost and needing rescued.,--,The Worst Day of My Life in Detroit
120,--,['Monnelle Britt'],"['Monnelle Britt', 'Alexander Hinojosa']",A down-on-his-luck comedian schemes a way to turn his fortunes around.,--,Scam Up Comedy
121,--,['Kevin Veatch'],"['Birke Duncan', 'Jason Marc Harris']","Dolly Jefferson has worked as the English Department secretary for thirty-seven years. She was reading a horror novel written by her favorite professor, Jason Marc Harris. The book made her tremble in fear. Then Mrs. Jefferson's cat, Mister Tabby, attacked the novel and tore it to pieces. She consults a vet, to find out what caused the feline's reaction.",--,The Offended Cat
122,--,['Victor Hampson'],"['John Dredge', 'Victor Hampson']","Comedy short about a man's regret for a very awkward situation. After Andy bumps into a woman and causes her to drop her bag, he tries to apologize, but his embarrassed rambling only makes the situation worse.",--,Splorry
123,--,['Cody McHan'],['Cody McHan'],"A misguided father forces his unwilling son to spend a day with him learning to play the family pastime of baseball. A tradition that goes back further than he could imagine. With the help of an old family bat, both sides learn more about each other and what a relationship means between a father and son.",--,Baseball with Dad
124,--,['Troy Burbank'],"['Michele Burbank', 'Troy Burbank']",,--,Garage Sale
125,--,['Cat BC'],['Cat BC'],A Roblox comedy short about new players.,--,Short Comedy 2
126,6.4,['Sebastian Johansson-Micci'],"['Manne Indahl', 'Sebastian Johansson-Micci']","A final feedback meeting is being held prior to the release of Fläderholmen Art School's new commercial. Everyone is happy, but then a thought arises as to whether the commercial can be perceived as too white. The meeting escalates to a debate about how it happened, if it can be solved and above all - whose fault it is.",--,Filmen känns för vit
127,--,['Grady Fiorio'],"['Grady Fiorio', 'Chris Rose']","When a stranger asks a pizza delivery driver for a ride, they find themselves in a race against the clock to deliver a pizza and save the delivery driver's job.",--,It's Not Delivery
128,6.9,['Onur Yagiz'],['Onur Yagiz'],"This Saturday is a Turkish wedding day at Espace Venise. Huddled in a car in the parking lot, Fatih, 21, wants to get married. He has set his sights on Ipek, Recep's sister. But neither Murat, his best friend, nor Recep, nor even Ipek are aware of this yet.",--,Fatih le Conquérant
129,7.1,['Sandy Honig'],"['Annabel Meschke', 'Sabina Meschke', 'Sandy Honig']",Pennies from Heaven is a short comedy about two eccentric twin sisters who stumble upon a pickup truck full of pennies and follow the adventure wherever it takes them.,--,Pennies from Heaven
130,--,['Anna Margaret Hollyman'],['Anna Margaret Hollyman'],"It follows Bennett, a nonbinary new parent, who arrives late to their postpartum ""Mamas Group"" at a place called ""Wüm"" with 3-month-old daughter, Edie.",--,Wüm
131,--,DESCONOCIDO,['Ajay Pal'],"A group of four must find out who's been killing everyone, before it's to late",--,Don't Blink
132,--,['Arturs Zeps'],"['Toms Upitis', 'Toms Zarans']","Frosty Night is a tale set in modern-day post-soviet city suburbs about a teenage boy who gets a surprise visit from the anthropomorphic, dark, and crude character Krampus due to a wish gone wrong. The night spirals into a nightmare unraveling the bad, the worse, and the wishes one should not wish because they just might come true.",--,Frosty Night
133,--,['Jude Harris'],"['Krista Fatka', 'Jude Harris']","Funny Face follows Sophie as she arrives home from 10 hours surgery in a haze of pain and anesthesia. As Sophie recovers, Morgan and Randy unite against an unhelpful home nurse, their common enemy on a difficult night.",--,Funny Face
134,--,['Xavier Banks'],DESCONOCIDO,A student writes an essay when his future self tries to stop him.,--,Pearadox
135,--,['Evan Dawson'],['Evan Dawson'],"After finishing a film, the protagonist ventures through his various options debating on what to watch next.",--,Choices
136,5.0,['Abhishek Roy Sanyal'],"['Sangharsh Mane', 'Prashant Pandey', 'Akshay Parvatkar']","Two police officers, Salunke and Thakkar, shot local gang leader Baba Fanse. Only one of them, however, will receive a medal for killing him. The question of who shot him first has now pitted Salunke and Thakkar against each other.",--,Gunchakkar
137,--,['Francis Wu'],DESCONOCIDO,"An unsatisfied college student, who returns home determined to persuade his parents of his new career plans, is met with resistance when they don't find the humor in his actions or jokes.",--,Clown Orthodontist
138,--,DESCONOCIDO,['Naomi Christie'],,--,Richie Rich Hustla
139,--,['Scott Lazer'],DESCONOCIDO,Behind the scenes of the US Open Ball Crew tryouts,--,Ball People
140,7.1,['Sean Wang'],DESCONOCIDO,"A personal love letter from director Sean Wang to his Nai Nai and Wài Pó, a grandma super team that dances, stretches, and farts their sorrows away.",--,Nai Nai & Wài Pó
141,7.4,['David Fidalgo'],['David Fidalgo'],"David lives alone with his kitty, Sandwich Cat. It seemed like an ordinary day, but an unexpected visit will lead him to a crucial reflection to humanity",--,Sandwich Cat
142,--,['Ashleigh Ramirez'],"['Ashleigh Ramirez', 'Shanay Warren']","After another fight, Eden and Kai have made it official. Recapping the night to her roommate, Eden's imagination and reality cross paths and nothing is matching up.",--,It'll Pass
143,--,['Mateusz Miroslaw Lis'],"['Mateusz Miroslaw Lis', 'Stefano Pellizzari']",,--,Supermercati Infiniti
144,6.7,DESCONOCIDO,"['Conor Murphy', 'Fidel Ruiz-Healy', 'Tyler Walker']","A disaffected gas station clerk finds out why they call it the ""graveyard shift"" after oil drillers set loose an ancient race of mind-controlling parasites.",--,Dead Enders
145,7.0,['Nick Roney'],"['Ed Leer', 'Nick Roney']","Fleeing a long term relationship, a young man seeks refuge with his best friends. After discovering their strange instruments, he'll learn the bachelor lifestyle is not as sweet as it sounds.",--,The Flute
146,7.2,DESCONOCIDO,"['Nicole Daddona', 'Adam Wilder']","Follows a faceless suburban family with an unusual appetite, known as The Mundanes.",--,The Mundanes
147,2.8,['Carolina Lebensmühlbacher'],['Carolina Lebensmühlbacher'],,--,WG-Frieden
148,--,['Todor Begenisic'],['Todor Begenisic'],"The story follows Slavko, and his final night before moving to another country and leaving his beloved childhood town.",--,Selidba
149,8.5,DESCONOCIDO,['Haley Alea Erickson'],"Follows Inga, a pedantic pregnant woman who hires Annie, an out-of-work actor, to role play as her daughter-to-be.",--,Call Me Mommy
150,--,['Bethiael Alemayoh'],['Bethiael Alemayoh'],Follows a former bride-to-be as she tries to sell her wedding dress.,--,Dressed
151,--,DESCONOCIDO,DESCONOCIDO,"In an insect food farm, millions of crickets are being bred, frozen, packaged, and fried. Ordinary, everyday process in the farm is a one-time catastrophe for the crickets and usually ends with their certain death.",--,Remove Hind Legs Before Consumption
152,--,DESCONOCIDO,DESCONOCIDO,DESCONOCIDO,--,Error nombre para la pelicula con id: tt26227264
153,--,['Georges Rottier'],['Georges Rottier'],"Desperate to impress the love of his life and leave with her to a tropical getaway, Rocky, a deranged alpha-male, tries to delve into the illicit realm of animal trafficking as he attempts to sell a Tibetan Mastiff in Antwerp's Chinatown.",--,Rocky Meets Lucy
154,--,DESCONOCIDO,['Cyril Meyer'],,--,Coming Out
155,--,['Chelsea Smith'],"['Benjamin Christopher', 'Chelsea Smith']","Courtship goes to court. As a trial relationship ends, two lovers go to court to determine - was their romance was sabotaged, or doomed from the start?",--,The Trial
156,7.1,['Axel Ramirez'],DESCONOCIDO,,--,I porno-astronauti XXX
157,--,DESCONOCIDO,"['Clentonium', 'Merseer']","A Gmod Machinima about a man who must save the world from the tyranny brought on by a fascist dictator who threatens to ""Unify The World.""",--,The Standoff
158,--,['Destin Freeman'],['Destin Freeman'],"On a rainy and stormy night, this little girl can't sleep, and to add more to it there's a monster under her bed, what can her dad do to protect her?",--,A Monster Under My Bed
159,--,['Simon Magnifico'],['Simon Magnifico'],"Jack, a kind hearted knucklehead, is asked to house-sit for a friend. While helping, a group of robbers break into the house and take him hostage. Jack attempts to get rid of the robbers with the help of a special coach.",--,And a Happy New Year
160,--,['Denzel Noylander'],['Dylan Felato'],"Scoops, Toronto's iconic ice cream parlour, is failing since the death of the company founder. When Kira joins the shop, she takes it upon herself to rejuvenate the business but receives pushback from her lazy co-worker Dez, and her conspiracy-obsessed manager, Rollins. After Rollins blows an important meeting with a powerful ice cream supplier Steve, it's up to Kira ... Read all",--,Scoops
161,7.3,['Jacob Kau'],"['Alexander Goena', 'Jacob Kau']","Lily resorts to camping in the backyard after being fed up with her older brother, Jasper. While camping outside Lily notices that there are two intruders inside the house with Jasper.",--,A Laughing Matter
162,--,['Walter DuRant'],"['Walter DuRant', 'Todd Forester']",A sinner at the gates of Hell may have found a loophole to escape eternal flames.,--,The Lost Verse
163,--,DESCONOCIDO,"['Nora Rios', 'Anton Clements Stål']",The boundaries between reality and fantasy become blurred when a boyfriend tries to find the right words to describe his jealousy towards his girlfriend and her colleague.,--,Tänk om
164,--,DESCONOCIDO,['Amir Ahmed Badreldeen'],An unusual game of chess between two rivals.,--,The Game of Kings
165,6.8,DESCONOCIDO,DESCONOCIDO,"In the village, they say that Denis and Céline have a little couple problem. Touched in his virility, Denis then decides to register for a marriage race in the hope of regaining esteem and respect.",--,La charge mentale
166,--,['Justin Hollobaugh'],['Stefan Printz-Påhlson'],,--,Donald Duck in New Years Daze
167,--,['Rodja Martin Tröscher'],['Rodja Martin Tröscher'],"Company owner Joe Welsh is desperate to find employees. When his last employee quits just before Christmas, job applicant Vince King surprisingly shows up at the company's headquarters in New York. Joe is determined to win him over. But after rolling out the red carpet and holding out a finger, the potential employee snatches the whole hand.",--,Work for Nobody
168,--,['Owen Oswald'],['Owen Oswald'],"In this thrilling sequel, the ever feared Demojordan returns for revenge on a surviving victim and his friend",--,The Demojordan Strikes Back
169,--,['Hayley Tucker'],['Paula Haskell'],,--,Silver Alert (Alerte Argent)
