,id,time_sec
0,tt15077488,3
1,tt18271544,1
2,tt18285490,1
3,tt18797620,2
4,tt19539550,2
5,tt19759382,3
6,tt19816152,2
7,tt20852264,2
8,tt21941516,2
9,tt22796716,8
10,tt23131232,3
11,tt24072316,2
12,tt22083024,1
13,tt25000442,1
14,tt25154062,2
15,tt25165514,2
16,tt25406638,3
17,tt25434578,2
18,tt25574520,2
19,tt25602778,2
20,tt25964474,2
21,tt26082058,2
22,tt26229120,4
23,tt26230284,3
24,tt26242114,2
25,tt26248680,2
26,tt26250152,2
27,tt26254894,3
28,tt26257372,2
29,tt26341389,2
30,tt26345868,2
31,tt26350757,2
32,tt26353328,2
33,tt26424088,1
34,tt26432356,1
35,tt26439701,3
36,tt26441879,3
37,tt26448876,2
38,tt26453383,2
39,tt26457659,2
40,tt26459167,2
41,tt26537239,2
42,tt26537440,2
43,tt26548980,3
44,tt26591235,2
45,tt26593606,2
46,tt26654413,2
47,tt26655820,2
48,tt26658921,3
49,tt26685380,2
50,tt26697266,2
51,tt26731051,2
52,tt26732370,3
53,tt26732808,2
54,tt26736605,2
55,tt26736939,2
56,tt26742543,3
57,tt26742609,2
58,tt26738839,2
59,tt26749149,3
60,tt26750382,2
61,tt26756173,2
62,tt26767867,2
63,tt26771286,2
64,tt26770704,2
65,tt26772542,1
66,tt26775841,4
67,tt26786496,2
68,tt26787235,2
69,tt26796297,2
70,tt26834853,3
71,tt26895227,2
72,tt26908381,4
73,tt26910925,5
74,tt26915305,2
75,tt26920738,2
76,tt26934979,2
77,tt26935760,2
78,tt26936402,2
79,tt26935718,5
80,tt26966203,2
81,tt27031881,2
82,tt27036709,2
83,tt27044108,2
84,tt27047009,3
85,tt27047276,3
86,tt27053946,2
87,tt27078782,2
88,tt27109880,1
89,tt27116294,1
90,tt27116627,3
91,tt27116814,60
92,tt27122280,2
93,tt27122552,2
94,tt27122725,2
95,tt27123692,2
96,tt27128847,2
97,tt27136829,2
98,tt27148244,3
99,tt27156204,4
100,tt27160100,3
101,tt27170866,3
102,tt27172292,7
103,tt27189518,2
104,tt27192010,2
105,tt27194105,2
106,tt27211241,2
107,tt27217796,2
108,tt27232815,2
109,tt27235175,10
110,tt27241498,2
111,tt27244876,2
112,tt27260680,2
113,tt27262301,1
114,tt27302448,2
115,tt27304463,2
116,tt27300797,2
117,tt27324690,2
118,tt27368273,2
119,tt27371611,2
120,tt27372081,2
121,tt27417218,2
122,tt27420123,2
123,tt27426087,2
124,tt27426688,4
125,tt27468137,2
126,tt27470716,2
127,tt27481564,3
128,tt27496889,2
129,tt27499414,3
130,tt27505086,1
131,tt27505327,1
132,tt27517411,2
133,tt27518266,2
134,tt27518509,2
135,tt27519385,3
136,tt27524400,3
137,tt27526865,2
138,tt27529397,2
139,tt27540002,2
140,tt27542429,2
141,tt27559902,2
142,tt27563069,2
143,tt27565550,3
144,tt27566064,2
145,tt27571890,2
146,tt27578438,2
147,tt27579578,4
148,tt27590074,3
149,tt27590598,2
150,tt27598132,60
151,tt27610777,2
152,tt27619894,2
153,tt27625771,2
154,tt27626402,2
155,tt27628950,2
156,tt27629200,3
157,tt27631045,2
158,tt27627655,2
159,tt27620906,2
160,tt27645064,2
161,tt27646872,2
162,tt27648491,2
163,tt27650080,2
164,tt27656458,2
165,tt27658542,2
166,tt27661240,2
167,tt27663080,2
168,tt27663660,2
169,tt27665775,3
170,tt27663967,2
171,tt27670710,2
172,tt27674933,2
173,tt27676293,2
174,tt27676542,1
175,tt27678569,2
176,tt27701474,2
177,tt27711132,2
178,tt27718190,2
179,tt27713940,2
180,tt27728208,2
181,tt27730211,2
182,tt27730369,3
183,tt27453213,2
184,tt27735981,2
185,tt27739054,2
186,tt27743600,2
187,tt27763579,1
188,tt27785058,2
