,Puntuacion_IMDB,Dirección,Guionistas,Argumento,Duración,Nombre de la película
0,--,DESCONOCIDO,DESCONOCIDO,"In November of 2012, a young couple deals with the aftermath of a tragedy during a time of national panic before the impending Mayan Apocalypse.",--,The Argument
1,--,DESCONOCIDO,DESCONOCIDO,A documentary crew inadvertently captures the declining success of a children's theatre duo.,--,Cactus & Mime
2,7.2,DESCONOCIDO,DESCONOCIDO,"When fourteen-year-old Maggie and her two best friends hang out with older guys they meet on Facebook, a crush on a complicated boy unravels into a twisted trance fueled by Four Lokos and naive infatuation.",--,Monkey Bars
3,--,DESCONOCIDO,DESCONOCIDO,"A humanist portrayal of the Iraq War and its aftermath as experienced by Rosa, a half-Latina, half-Arab U.S. Marine.",--,Broken Layers
4,--,DESCONOCIDO,DESCONOCIDO,"A sensual tale of two souls becoming one. Inspired by Carl Jung's theory, Anima and Animus.",--,Anima Us
5,--,DESCONOCIDO,DESCONOCIDO,,--,Just A Girl
6,--,DESCONOCIDO,DESCONOCIDO,"A susceptible preteen and her younger sister embark on a weekend trip with their manipulative nanny only to discover that she is not who they thought, and their return is uncertain.",--,Hijas Mías
7,--,DESCONOCIDO,DESCONOCIDO,DESCONOCIDO,--,Error nombre para la pelicula con id: tt11685090
8,--,DESCONOCIDO,DESCONOCIDO,"'Don't go yellin' he said and shook her; and her body flopped like a fish. And then she was still, for Lennie had broken her neck.' John Steinbeck, Of Mice and Men",--,Semi-Detached
9,--,DESCONOCIDO,DESCONOCIDO,,--,Lovers language
10,--,DESCONOCIDO,DESCONOCIDO,"On their way to their father's funeral, two estranged siblings rekindle their relationship through a visit to their old, family-owned roller rink.",--,West Park
11,--,DESCONOCIDO,DESCONOCIDO,"Poker Night is a coming-of-age story about a college senior who is put in a position he never imagined would happen to him. Looking for a way out, he plans to swindle his friends in a game of poker. What he receives at the end of the game is a new perspective on his current situation.",--,Poker Night
12,--,DESCONOCIDO,DESCONOCIDO,"When a new book club member starts to notice eerie similarities between the novel's creepy, cat-loving protagonist and the group's creepy, cat-loving host, things take a dark turn. But has she blurred the line between truth and fiction?",--,Chapter Two
13,9.4,DESCONOCIDO,DESCONOCIDO,"Paralysed with guilt and obsessed with expiating the sin of adultery Jimmy decides to open a mosque to save him from hell. But when Fazil, the mosque's Imam, has a disagreement, they fall out and Jimmy must go it alone.",--,Expiation
14,--,DESCONOCIDO,DESCONOCIDO,"A journey is taken to see the various rivers, ponds, lakes, streams, reservoirs, and waterfalls of Massachusetts. Vivid speculations of the water are ventured throughout the western, central, and eastern part of this great New England state. Each and every one of these magnificent aquatic quarters are keys that enrich the soul.",--,Keys to the Soul
15,--,DESCONOCIDO,DESCONOCIDO,"A young, drug-addicted girl videotapes herself, giving thanks to her best friend who helped change her life for the better.",--,Thank You for Stopping By
16,--,DESCONOCIDO,DESCONOCIDO,DESCONOCIDO,--,Error nombre para la pelicula con id: tt11703776
17,--,DESCONOCIDO,DESCONOCIDO,Identical twin sisters who haven't spoken in years reunite for a road trip after one of them tries to take her own life.,--,Bloom
18,9.1,DESCONOCIDO,DESCONOCIDO,"Ruth, an elderly lady with dementia, becomes lost within her own home. As she tries to find answers, she ends up losing herself further, confusing reality with memories of her past self.",--,Ruth
19,--,DESCONOCIDO,DESCONOCIDO,"A couple's love is tragically cut short when cancer takes the life of a man's young bride, leaving him in the depths of despair and grief to search for meaning, and the will to live.",--,Sunset in Winter
20,--,DESCONOCIDO,DESCONOCIDO,"Somewhere in Latin America, a young woman joins a guerrilla army when her entire family is massacred by government troops. She initially thrives, finding strength and independence as a deadly sniper. But her newfound sense of purpose and self-respect come with a high price.",--,The War Within
