,name,link
0,Josh Brolin,"('Josh Brolin', 'https://www.imdb.com/name/nm0000982/?ref_=tt_cl_t_1')"
1,George Clooney,"('George Clooney', 'https://www.imdb.com/name/nm0000123/?ref_=tt_cl_t_2')"
2,Alden Ehrenreich,"('Alden Ehrenreich', 'https://www.imdb.com/name/nm2403277/?ref_=tt_cl_t_3')"
3,Ralph Fiennes,"('Ralph Fiennes', 'https://www.imdb.com/name/nm0000146/?ref_=tt_cl_t_4')"
4,Scarlett Johansson,"('Scarlett Johansson', 'https://www.imdb.com/name/nm0424060/?ref_=tt_cl_t_5')"
5,Tilda Swinton,"('Tilda Swinton', 'https://www.imdb.com/name/nm0842770/?ref_=tt_cl_t_6')"
6,Channing Tatum,"('Channing Tatum', 'https://www.imdb.com/name/nm1475594/?ref_=tt_cl_t_7')"
7,Frances McDormand,"('Frances McDormand', 'https://www.imdb.com/name/nm0000531/?ref_=tt_cl_t_8')"
8,Jonah Hill,"('Jonah Hill', 'https://www.imdb.com/name/nm1706767/?ref_=tt_cl_t_9')"
9,Veronica Osorio,"('Veronica Osorio', 'https://www.imdb.com/name/nm4088280/?ref_=tt_cl_t_10')"
10,Joey Cummings,"('Joey Cummings', 'https://www.imdb.com/name/nm2185259/?ref_=tt_cl_t_1')"
11,Ty Paige,"('Ty Paige', 'https://www.imdb.com/name/nm2109026/?ref_=tt_cl_t_2')"
12,Clarence Phillpot,"('Clarence Phillpot', 'https://www.imdb.com/name/nm5535741/?ref_=tt_cl_t_3')"
13,Chris Elwood,"('Chris Elwood', 'https://www.imdb.com/name/nm0255902/?ref_=tt_cl_t_1')"
14,Linda Shing,"('Linda Shing', 'https://www.imdb.com/name/nm0793927/?ref_=tt_cl_t_2')"
15,Eddie Daniels,"('Eddie Daniels', 'https://www.imdb.com/name/nm0199920/?ref_=tt_cl_t_3')"
16,Jenni Pulos,"('Jenni Pulos', 'https://www.imdb.com/name/nm0700480/?ref_=tt_cl_t_4')"
17,Sarah Maria Newman,"('Sarah Maria Newman', 'https://www.imdb.com/name/nm1217434/?ref_=tt_cl_t_5')"
18,Stephanie L. Moore,"('Stephanie L. Moore', 'https://www.imdb.com/name/nm1610874/?ref_=tt_cl_t_6')"
19,Peter Abbay,"('Peter Abbay', 'https://www.imdb.com/name/nm0007850/?ref_=tt_cl_t_7')"
20,Vincent Foster,"('Vincent Foster', 'https://www.imdb.com/name/nm0288106/?ref_=tt_cl_t_8')"
21,Cheryl David,"('Cheryl David', 'https://www.imdb.com/name/nm2277081/?ref_=tt_cl_t_9')"
22,Cherish Alexander,"('Cherish Alexander', 'https://www.imdb.com/name/nm1933700/?ref_=tt_cl_t_10')"
23,Allie Marie Evans,"('Allie Marie Evans', 'https://www.imdb.com/name/nm7334437/?ref_=tt_cl_t_1')"
24,Patrick Johnson,"('Patrick Johnson', 'https://www.imdb.com/name/nm3416247/?ref_=tt_cl_t_2')"
25,Lyliana Wray,"('Lyliana Wray', 'https://www.imdb.com/name/nm7153803/?ref_=tt_cl_t_3')"
26,Luke Gregory Crosby,"('Luke Gregory Crosby', 'https://www.imdb.com/name/nm4376572/?ref_=tt_cl_t_4')"
27,Gavin Lewis,"('Gavin Lewis', 'https://www.imdb.com/name/nm6349873/?ref_=tt_cl_t_5')"
28,Tetona Jackson,"('Tetona Jackson', 'https://www.imdb.com/name/nm4798965/?ref_=tt_cl_t_6')"
29,Zayne Emory,"('Zayne Emory', 'https://www.imdb.com/name/nm3513898/?ref_=tt_cl_t_7')"
30,Carrie Alexander,"('Carrie Alexander', 'https://www.imdb.com/name/nm4965088/?ref_=tt_cl_t_8')"
31,Jacobs Lillie,"('Jacobs Lillie', 'https://www.imdb.com/name/nm4804876/?ref_=tt_cl_t_9')"
32,Zander Faden,"('Zander Faden', 'https://www.imdb.com/name/nm5869614/?ref_=tt_cl_t_10')"
33,Paul Reubens,"('Paul Reubens', 'https://www.imdb.com/name/nm0000607/?ref_=tt_cl_t_1')"
34,Jordan Black,"('Jordan Black', 'https://www.imdb.com/name/nm0085359/?ref_=tt_cl_t_2')"
35,Doug Cox,"('Doug Cox', 'https://www.imdb.com/name/nm0185003/?ref_=tt_cl_t_3')"
