,name,link
0,Luis Alarcón,"('Luis Alarcón', 'https://www.imdb.com/name/nm0016013/?ref_=tt_cl_t_1')"
1,Patricia Rivadeneira,"('Patricia Rivadeneira', 'https://www.imdb.com/name/nm0728971/?ref_=tt_cl_t_2')"
2,Francisco Reyes,"('Francisco Reyes', 'https://www.imdb.com/name/nm0721280/?ref_=tt_cl_t_3')"
3,Consuelo Castillo,"('Consuelo Castillo', 'https://www.imdb.com/name/nm1415193/?ref_=tt_cl_t_4')"
4,Roberto Poblete,"('Roberto Poblete', 'https://www.imdb.com/name/nm0687825/?ref_=tt_cl_t_5')"
5,Liliana García,"('Liliana García', 'https://www.imdb.com/name/nm0306279/?ref_=tt_cl_t_6')"
6,Mauricio Pesutic,"('Mauricio Pesutic', 'https://www.imdb.com/name/nm0676125/?ref_=tt_cl_t_7')"
7,Leticia Garrido,"('Leticia Garrido', 'https://www.imdb.com/name/nm0308312/?ref_=tt_cl_t_8')"
8,Marcial Edwards,"('Marcial Edwards', 'https://www.imdb.com/name/nm0250185/?ref_=tt_cl_t_9')"
9,Fernando Bordeu,"('Fernando Bordeu', 'https://www.imdb.com/name/nm0096201/?ref_=tt_cl_t_10')"
10,Anthony Harrison,"('Anthony Harrison', 'https://www.imdb.com/name/nm0365480/?ref_=tt_cl_t_1')"
11,C. Ernst Harth,"('C. Ernst Harth', 'https://www.imdb.com/name/nm0003210/?ref_=tt_cl_t_2')"
12,Ellie Harvie,"('Ellie Harvie', 'https://www.imdb.com/name/nm0367762/?ref_=tt_cl_t_3')"
13,Chilton Crane,"('Chilton Crane', 'https://www.imdb.com/name/nm0186322/?ref_=tt_cl_t_4')"
14,Ron Chartier,"('Ron Chartier', 'https://www.imdb.com/name/nm0153581/?ref_=tt_cl_t_5')"
15,Dmitry Chepovetsky,"('Dmitry Chepovetsky', 'https://www.imdb.com/name/nm0155726/?ref_=tt_cl_t_6')"
16,Bruce Dawson,"('Bruce Dawson', 'https://www.imdb.com/name/nm0206079/?ref_=tt_cl_t_7')"
17,Rheta Hutton,"('Rheta Hutton', 'https://www.imdb.com/name/nm0404661/?ref_=tt_cl_t_8')"
18,Ivan Krapic,"('Ivan Krapic', 'https://www.imdb.com/name/nm0469857/?ref_=tt_cl_t_9')"
19,Johannah Newmarch,"('Johannah Newmarch', 'https://www.imdb.com/name/nm0628329/?ref_=tt_cl_t_10')"
20,Callum Turner,"('Callum Turner', 'https://www.imdb.com/name/nm4360085/?ref_=tt_cl_t_1')"
21,Kate Beckinsale,"('Kate Beckinsale', 'https://www.imdb.com/name/nm0000295/?ref_=tt_cl_t_2')"
22,Pierce Brosnan,"('Pierce Brosnan', 'https://www.imdb.com/name/nm0000112/?ref_=tt_cl_t_3')"
23,Cynthia Nixon,"('Cynthia Nixon', 'https://www.imdb.com/name/nm0633223/?ref_=tt_cl_t_4')"
24,Jeff Bridges,"('Jeff Bridges', 'https://www.imdb.com/name/nm0000313/?ref_=tt_cl_t_5')"
25,Kiersey Clemons,"('Kiersey Clemons', 'https://www.imdb.com/name/nm4169922/?ref_=tt_cl_t_6')"
26,Tate Donovan,"('Tate Donovan', 'https://www.imdb.com/name/nm0004883/?ref_=tt_cl_t_7')"
27,Wallace Shawn,"('Wallace Shawn', 'https://www.imdb.com/name/nm0001728/?ref_=tt_cl_t_8')"
28,Anh Duong,"('Anh Duong', 'https://www.imdb.com/name/nm0243117/?ref_=tt_cl_t_9')"
29,Debi Mazar,"('Debi Mazar', 'https://www.imdb.com/name/nm0000529/?ref_=tt_cl_t_10')"
30,Alicia Vikander,"('Alicia Vikander', 'https://www.imdb.com/name/nm2539953/?ref_=tt_cl_t_1')"
31,Dane DeHaan,"('Dane DeHaan', 'https://www.imdb.com/name/nm2851530/?ref_=tt_cl_t_2')"
32,Jack O'Connell,"(""Jack O'Connell"", 'https://www.imdb.com/name/nm1925239/?ref_=tt_cl_t_3')"
33,Holliday Grainger,"('Holliday Grainger', 'https://www.imdb.com/name/nm0334441/?ref_=tt_cl_t_4')"
34,Tom Hollander,"('Tom Hollander', 'https://www.imdb.com/name/nm0390903/?ref_=tt_cl_t_5')"
35,Matthew Morrison,"('Matthew Morrison', 'https://www.imdb.com/name/nm1285162/?ref_=tt_cl_t_6')"
36,Kevin McKidd,"('Kevin McKidd', 'https://www.imdb.com/name/nm0571727/?ref_=tt_cl_t_7')"
37,Douglas Hodge,"('Douglas Hodge', 'https://www.imdb.com/name/nm0388061/?ref_=tt_cl_t_8')"
38,Joanna Scanlan,"('Joanna Scanlan', 'https://www.imdb.com/name/nm0768936/?ref_=tt_cl_t_9')"
39,Zach Galifianakis,"('Zach Galifianakis', 'https://www.imdb.com/name/nm0302108/?ref_=tt_cl_t_10')"
40,Matt Damon,"('Matt Damon', 'https://www.imdb.com/name/nm0000354/?ref_=tt_cl_t_1')"
41,Julianne Moore,"('Julianne Moore', 'https://www.imdb.com/name/nm0000194/?ref_=tt_cl_t_2')"
42,Oscar Isaac,"('Oscar Isaac', 'https://www.imdb.com/name/nm1209966/?ref_=tt_cl_t_3')"
43,Noah Jupe,"('Noah Jupe', 'https://www.imdb.com/name/nm7415871/?ref_=tt_cl_t_4')"
44,Steve Monroe,"('Steve Monroe', 'https://www.imdb.com/name/nm0598569/?ref_=tt_cl_t_5')"
45,Gavin Wilde,"('Gavin Wilde', 'https://www.imdb.com/name/nm8521013/?ref_=tt_cl_t_6')"
46,Landon Gordon,"('Landon Gordon', 'https://www.imdb.com/name/nm8420743/?ref_=tt_cl_t_7')"
