,Nombre,Nacimiento,Conocido,Que hace,Premios,Oscar
0,Sushil Singh,Desconocido,"['Hum Haiin Munna Bhaiya', 'Mahadev Ka Gorakhpur', 'Kaashi Amarnath', 'Sasural']",['Actor'],Desconocido,--
1,Manoj Tiger,Desconocido,"['Batla House', 'Majhdhar 2022', 'Deewana', 'Badaka Bhaiya']","['Actor', 'Writer', 'Soundtrack']",Desconocido,--
2,Dinesh Lal Yadav,1979,"['Saajan', 'Diler', 'Saat Saheliyan', 'Raja Babu']","['Actor', 'Music Department', 'Producer']",1 nomination,--
3,Grant Washburn,Desconocido,"[""Quest for Fear, the hunt for an African Maverick's""]","['Director', 'Writer', 'Cinematographer']",Desconocido,--
4,Audrey Abraham,Desconocido,"['Revenge Inc.', 'Speedbag', 'Water Closet', ""Girlfriends' Guide to Divorce""]","['Actress', 'Director', 'Writer']",Desconocido,--
5,Gerard Bechard,1965,"['On the Corner', 'Revenge Inc.']","['Additional Crew', 'Actor', 'Location Management']",Desconocido,--
6,Dalj Brar,Desconocido,"['Dil Rakh Gloves of Kin', 'Straight Up', 'Karma Inc.', 'Alien: Ore']","['Actor', 'Producer', 'Writer']",Desconocido,--
7,Glen Nabholz,Desconocido,"['Revenge Inc.', ""Memoirs of the Last Samurai's Geisha"", 'Making It Big']",['Actor'],Desconocido,--
8,Valerie Pauwels,Desconocido,"['The Judgement', 'Revenge Inc.', 'In the End', 'Blood Brothers: Reign of Terror']",['Actress'],Desconocido,--
9,Alexander Pfleger,1982,"['Volition', ""Vein's Appetite"", 'Bella Ciao!', 'Guess the Story']","['Additional Crew', 'Actor', 'Camera and Electrical Department']",Desconocido,--
10,Sheryl Thompson,Desconocido,"['Revenge Inc.', 'The End', 'Kayfabe', 'One with the Devil']",['Actress'],Desconocido,--
11,Syrie Wongkaew,Desconocido,"['Revenge Inc.', 'The Harvest Project', 'Miko']",['Actress'],Desconocido,--
12,Uli Lion,Desconocido,['KMPD - Krass Mann Police Department'],['Actor'],Desconocido,--
13,Tim Mälzer,1971,"['Kitchen Impossible', ""Schmeckt nicht gibt's nicht"", 'Zum Schwarzwälder Hirsch', 'KMPD - Krass Mann Police Department']","['Actor', 'Producer']",7 wins & 3 nominations,--
14,Mirja Mahir,1974,"['Storm of Love', 'KMPD - Krass Mann Police Department', 'Tatort', 'Noir']",['Actress'],Desconocido,--
15,Steffen Henssler,1972,"['KMPD - Krass Mann Police Department', 'Topfgeldjäger', 'Grill den Henssler - Die neue Kocharena', 'Coast Guard']",['Actor'],1 win & 2 nominations,--
16,Jasmin Wagner,1980,"['Driven', 't=E/x²', 'KMPD - Krass Mann Police Department', 'Randgruppe']","['Music Department', 'Actress', 'Composer']",Desconocido,--
17,Julia Casper,Desconocido,"['Horizon Zero Dawn', 'The Legend of Zelda: Breath of the Wild', 'KMPD - Krass Mann Police Department', 'Shut']",['Actress'],Desconocido,--
18,Daniel Schröckert,Desconocido,"['Steven liebt Kino!', 'KMPD - Krass Mann Police Department', 'Play!', 'Sean David TV']","['Actor', 'Director', 'Writer']",Desconocido,--
19,Suman Banerjee,Desconocido,"['Dotara', 'Bhalobasar Dibbi', 'Next', 'Ajante']",['Actor'],Desconocido,--
20,Modhumita Dutta,Desconocido,['Bhalobasar Dibbi'],['Actor'],Desconocido,--
21,Mukesh Khanna,1958,"['Mahabharat', 'Raazi', 'Hera Pheri', 'Kick']","['Actor', 'Producer', 'Writer']",3 nominations,--
22,Krishnendu,Desconocido,['Bhalobasar Dibbi'],['Actor'],Desconocido,--
23,Mrinal Mukherjee,Desconocido,"['Byomkesh O Chiriakhana', 'Ram Baloram', 'Megh Brishti Aalo', 'Ghar Jamai']",['Actor'],Desconocido,--
24,Anamika Saha,Desconocido,"['Borfi', 'Tomake Chai', 'Ghar Jamai', 'Shakti']",['Actress'],Desconocido,--
25,Vanness Wu,1978,"['Dragon Heat', 'The Princess Weiyoung', 'Meteor Garden', 'Ip Man 4: The Finale']","['Actor', 'Producer', 'Writer']",1 win & 1 nomination,--
26,Siu-Lung Leung,1948,"['Kung Fu Hustle', 'Deadly Hands of Kung Fu', 'Hapkido', 'Kidnap in Rome']","['Actor', 'Stunts', 'Second Unit Director or Assistant Director']",Desconocido,--
27,Danny Kwok-Kwan Chan,1975,"['Ip Man 4: The Finale', 'Kung Fu Hustle', 'Ip Man 3', 'Shaolin Soccer']",['Actor'],1 win & 1 nomination,--
28,Emme Wong,1981,"['Someday Isles', 'Sasori', 'Kung Fu Fighter', 'Lan Kwai Fong']","['Actress', 'Music Department', 'Soundtrack']",Desconocido,--
29,Stone Chan,Desconocido,"['The Substitute', 'Hero', 'Shi cheng shen tan', 'A Kid from Tibet']","['Actor', 'Stunts', 'Second Unit Director or Assistant Director']",Desconocido,--
30,Tinghui Chen,Desconocido,"['Beauty on Duty', 'Da ming ping yao zhuan', ""On His Majesty's Secret Service"", 'Kung Fu Fighter']","['Stunts', 'Actor']",Desconocido,--
31,Yongxia Chen,Desconocido,"['Feng chen nü xia lü si niang', 'Shen long jian xia lü si niang', 'Te bie gong ji dui', 'Heroes Among Heroes']",['Actress'],Desconocido,--
32,Man Kit Cheung,Desconocido,"['The Blood Bond', 'Kung Fu Jungle', 'Vampire Cleanup Department', 'Raging Fire']","['Actor', 'Stunts']",Desconocido,--
33,Tikhon Buznikov,2001,"['Potselui padshikh angelov', 'Eto ne navsegda', 'Moskva. Tri vokzala', 'What Men Talk About']",['Actor'],Desconocido,--
34,Yuliya Galkina,1984,"['Potselui padshikh angelov', 'Zakhvat', 'Londongrad', 'Ispanets']",['Actress'],Desconocido,--
35,Aleksey Ogurtsov,1969,"['Day Watch', 'Forbidden Empire', 'Paragraf 78', 'Bayker']","['Actor', 'Producer']",Desconocido,--
36,Evgeniy Sidikhin,1964,"['Never Look Away', 'Identity', 'Taksist: Krutye povoroty', 'Barak']",['Actor'],2 nominations,--
37,Lyubov Tolkalina,1978,"['Once Upon a Time in the Provinces', 'Antikiller', 'Antikiller 2: Antiterror', 'Interceptor']",['Actress'],1 win & 1 nomination,--
38,Nicoye Banks,Desconocido,"['Invincible', 'Green Zone', ""Brooklyn's Finest"", '12 Years a Slave']","['Actor', 'Stunts', 'Producer']",Desconocido,--
39,Nicole Clinkscales,Desconocido,['Ghetto Fabulous'],['Actress'],Desconocido,--
40,Jason Alward,Desconocido,['Bootlegger of the Damned'],['Actor'],Desconocido,--
41,William Ballum,Desconocido,['Bootlegger of the Damned'],['Actor'],Desconocido,--
42,Kim Bradford,Desconocido,['Bootlegger of the Damned'],['Actor'],Desconocido,--
43,Sacia Burton,Desconocido,['Bootlegger of the Damned'],['Actress'],Desconocido,--
44,Millie Clarkes,Desconocido,['Bootlegger of the Damned'],['Actress'],Desconocido,--
45,Dominick Cook,Desconocido,['Bootlegger of the Damned'],['Actor'],Desconocido,--
46,Chip Francis,Desconocido,['Bootlegger of the Damned'],['Actor'],Desconocido,--
47,Adam Gallant,Desconocido,['Bootlegger of the Damned'],['Actor'],Desconocido,--
48,Rob Gushue,Desconocido,['Bootlegger of the Damned'],['Actor'],Desconocido,--
49,Doga 2,Desconocido,"['Hercules: The Legendary Journeys - Blond You Out', 'Hercules: The Legendary Journeys - Die Yourself', 'Secrets and Mysteries: Strange Excavations']",['Actress'],Desconocido,--
50,Aleda,Desconocido,"['Hercules: The Legendary Journeys - Blond You Out', 'Hercules: The Legendary Journeys - Die Yourself']","['Actress', 'Editor', 'Cinematographer']",Desconocido,--
51,Blanche,Desconocido,"['Hercules: The Legendary Journeys - Blond You Out', 'Hercules: The Legendary Journeys - Die Yourself', 'Secrets and Mysteries: Strange Excavations']",['Actress'],Desconocido,--
52,Buchanka,Desconocido,"['Hercules: The Legendary Journeys - Blond You Out', 'Hercules: The Legendary Journeys - Die Yourself']",['Actress'],Desconocido,--
53,Dan,Desconocido,"['Hercules: The Legendary Journeys - Die Yourself', 'Hercules: The Legendary Journeys - Blond You Out']",['Actor'],Desconocido,--
54,Diegina,Desconocido,['Hercules: The Legendary Journeys - Blond You Out'],['Actress'],Desconocido,--
55,Art Garfield,Desconocido,"[""Mo' Money"", 'Bigger than Peanut Butter and Jelly', 'Lil Girlgone', 'Cosby']","['Actor', 'Writer', 'Director']",Desconocido,--
56,Lyta,Desconocido,"['Hercules: The Legendary Journeys - Blond You Out', 'Hercules: The Legendary Journeys - Die Yourself']",['Actress'],Desconocido,--
57,Olinka,Desconocido,"['Hercules: The Legendary Journeys - Blond You Out', 'Hercules: The Legendary Journeys - Die Yourself']",['Actress'],Desconocido,--
58,Anuja Iyer,Desconocido,"['Unnaipol Oruvan', 'Ko', 'Malare Mounama', 'Ninaithale Inikkum']",['Actress'],1 nomination,--
59,Puneet Vashisht,1976,"['Fanaa', 'Happy New Year', 'Adaalat', 'Josh']",['Actor'],Desconocido,--
60,Ajai Rohilla,Desconocido,"['Yours Emotionally!', 'Satya', 'Gangaajal', 'Black Friday']",['Actor'],Desconocido,--
61,Kazi Maruf,Desconocido,"['Itihaas', 'Love Story', 'Captain Maruf', 'Ondhokar']","['Actor', 'Producer']",1 win,--
62,Nodi,Desconocido,"['Captain Maruf', 'Poran Jai Jolia Re', 'Khuni Shikder', 'Khuni Chairman']",['Actress'],Desconocido,--
63,Mohammad Hossain Jamie,Desconocido,"['Bajaw Biyer Bajna', 'King Khan', 'Captain Maruf']","['Writer', 'Director', 'Actor']",Desconocido,--
64,Raka,Desconocido,['Captain Maruf'],['Actress'],Desconocido,--
65,Kala Aziz,Desconocido,"['Vondo Ojha: The Bad Man', 'Jabor Dakhol', 'Ammajan', 'Itihaas']",['Actor'],Desconocido,--
66,Dulari Chakraborty,Desconocido,"['City Terror', 'Prem Juddho', 'Mayer Samman', 'Itihaas']",['Actress'],Desconocido,--
67,Don,1971,"['Priyotoma', 'Moner Moto Manush Pailam Na', 'Tarzan Konna', 'Prem Juddho']",['Actor'],Desconocido,--
68,Kazi Hayat,Desconocido,"['Itihaas', 'Ammajan', 'Deshpremik', 'Chadabaz']","['Actor', 'Writer', 'Director']",8 wins,--
69,Habib Khan,Desconocido,"['Captain Maruf', 'Shooter']",['Actor'],Desconocido,--
70,Jolin Tsai,1980,"['Agent J', 'Jolin Tsai: Ugly Beauty', 'Marry My Dead Body', 'Hi Working Girl']","['Actress', 'Music Department', 'Producer']",1 win & 6 nominations,--
71,Kim Jae-won,1981,"['Splendid Politics', 'Can You Hear My Heart?', 'Agent J', '100 Days with Mr. Arrogant']",['Actor'],1 win & 1 nomination,--
72,Stephen Fung,1974,"['Wu Assassins', 'Into the Badlands', 'Tai Chi Zero', 'The Adventurers']","['Actor', 'Producer', 'Second Unit Director or Assistant Director']",6 nominations,--
73,Riana Parvin Poli,Desconocido,"['Rongila Maiya', 'Jaal', 'Action Lady', 'Dushmon Khotom']",['Actress'],Desconocido,--
74,Prince,Desconocido,"['Rongila Maiya', 'Champa Ranir Akhra']",['Actor'],Desconocido,--
75,Adil,Desconocido,"['Raj Dulari', 'Bazarer Coolie', 'Rongila Maiya', 'Bheja Chokh']",['Actor'],Desconocido,--
76,Harun Kisinger,Desconocido,"['Shoktir Lorai', 'Rongila Maiya', 'Moron Nishan', 'Kistimaat']",['Actor'],Desconocido,--
77,Nagma,Desconocido,"['Shoktir Lorai', 'Ondhokare Rajneeti', 'Lattu Koshai', 'Bhoyanok Songghorso']",['Actress'],Desconocido,--
78,Nazma,Desconocido,"['Bagher Thaba', 'Ondhokare Rajneeti', 'Rongila Maiya', 'Sahoshi Manush Chai']",['Actress'],Desconocido,--
79,Z.H. Pintu,Desconocido,['Rongila Maiya'],['Actor'],Desconocido,--
80,Sohel,Desconocido,"['Ondhokare Rajneeti', 'Bachao', 'System', 'Bhoyongkor Raja']",['Actor'],Desconocido,--
81,Lucas Chris,Desconocido,['Destiny'],['Actor'],Desconocido,--
82,Guevarar Vilbrun,Desconocido,['Destiny'],['Actress'],Desconocido,--
83,Ronald Théodore,Desconocido,['Destiny'],['Actor'],Desconocido,--
84,Stéphane Joachim,Desconocido,['Destiny'],['Actor'],Desconocido,--
85,Josué Coutia,Desconocido,['Destiny'],['Actor'],Desconocido,--
86,Ali Abdali,Desconocido,"['Arpachai, a song of separation', 'Riw', 'The Cookbook', 'Tehran']","['Actor', 'Director', 'Writer']",Desconocido,--
87,Abolfazl Aghili,Desconocido,['Kheshabe Khali'],['Actor'],Desconocido,--
