,Puntuacion_IMDB,Dirección,Guionistas,Argumento,Duración,Nombre de la película
0,7.0,['Germaine Dulac'],DESCONOCIDO,"Coveted by two different men, a woman turns to a third man instead.",1h 7m,La fête espagnole
1,6.6,['Nuanxing Zhang'],"['Tuo Li', 'Nuanxing Zhang']","Sha Ou is a volleyball player and works hard against her injuries resulting from training. In spite of her defeat in an international competition and the the death of her boyfriend, she insists on her training.",1h 24m,Sha Ou
2,7.3,['John Bailey'],DESCONOCIDO,Set in a turn-of-the-century religious community about a nun who has recently taken her vows.,1h 41m,Mariette in Ecstasy
3,5.9,['Junli Zheng'],"['Xiao Yemu', 'Junli Zheng']",Li Ke and Zhang Ying marry and overcome difficulties working in newly liberated Shanghai in 1947.,--,Husband and Wife
4,6.8,['Edward Norton'],"['Edward Norton', 'Jonathan Lethem']","In 1950s New York, Lionel, a private detective with Tourette syndrome, sets out to uncover the mystery behind his mentor and only friend Frank's murder. Scouring the jazz clubs and slums of Brooklyn, he soon uncovers a web of secrets.",2h 24m,Motherless Brooklyn
5,6.8,['Kriv Stenders'],DESCONOCIDO,"In August 1966, in a Vietnamese rubber plantation called Long Tan, 108 young and inexperienced Australian and New Zealand soldiers are fighting for their lives against 2500 North Vietnamese and Viet Cong soldiers.",1h 58m,Danger Close
6,6.8,['Todd Robinson'],DESCONOCIDO,"Thirty-four years after his death, Airman William H. ""Pits"" Pitsenbarger is awarded the nation's highest military honor for his actions on the battlefield.",1h 56m,The Last Full Measure
7,7.0,['Jeff Tremaine'],DESCONOCIDO,"Based on the bestselling autobiography from Mötley Crüe, the film is an unflinching tale of success and excess as four misfits rise from the streets of Hollywood to the heights of international fame.",1h 47m,The Dirt
8,5.3,['Gregor Jordan'],"['Jack Thorne', 'Tim Winton']",The stunning landscape of Western Australia is the backdrop for an impassioned tale of love and grief in Gregor Jordan's adaptation of the acclaimed novel by Tim Winton.,1h 45m,Dirt Music
9,5.6,['Dan Pritzker'],DESCONOCIDO,"A mythical account of the life of Buddy Bolden, the first Cornet King of New Orleans.",1h 48m,Bolden
10,--,['Fabio del Greco'],DESCONOCIDO,,--,Mistero di un Impiegato
11,--,['Dinesh Lingden'],DESCONOCIDO,,--,Adalat
12,--,['Dinesh Babu'],DESCONOCIDO,"Akshay, a young and handsome college student and a talented dancer, enjoys a colorful college life. Although very popular among his peers, Akshay, who is smitten by Radhika, feels dejected after she neglects him. To make matters worse, Akshay's life is turned upside down due to one unexpected incident. How he copes with it, forms the crux.",2h 8m,Krishnam
13,--,['Valeri Lilov'],DESCONOCIDO,"In an old caravan, a lone mentally ill mother tries to fight her own demons while her little daughter, never seen outside world, attempts to communicate and help her out.",--,Child of Wisdom
14,4.9,['Tilde Harkamp'],"['Claudia Boderke', 'Lars Mering']","Single mom Eva goes on a weekend of hotel, sauna, bikini wax and pheasant hunting with her ex's cute, young girlfriend, Bella, and their married friend, Marlene, so she can have an affair there. Nothing goes as planned.",1h 32m,Hunting Season
15,6.4,['Kannan Thamarakkulam'],DESCONOCIDO,It is the story of a warrior against food adulteration and challenges he faces because of that.,2h 19m,Pattabhiraman
