,Puntuacion_IMDB,Dirección,Guionistas,Argumento,Duración,Nombre de la película
0,--,['Hector Echavarria'],"['Brad Bode', ""Fuad C'Amanero"", 'Hector Echavarria']","1967 China, A young boy (Dax) is left to survive on his own in the middle of no were, after his missionary parents were murdered by rebels. He is found and Raised by a Shawling Temple Monk and becomes skilled in Martial arts. 25 Years later, in Los Angeles he meets a long time friend, that now works for the FBI, who asks for his help in solving a case revolving the tr... Read all",--,Duel of Legends
1,3.7,['Tito da Costa'],"['Larry Leahy', 'Tito da Costa']",A surf-skate action-thriller about five best friends who set out on a road trip that quickly turns into an epic battle for survival.,2h,Road to Red
2,4.9,['Jeff Wadlow'],DESCONOCIDO,"When the owner and operator of a luxurious island invites a collection of guests to live out their most elaborate fantasies in relative seclusion, chaos quickly descends.",1h 49m,Fantasy Island
3,5.3,['Vincent Paronnaud'],DESCONOCIDO,"""The company of wolves is better than that of man."" Once upon a frenzied time, Woman meets Man. Woman dances with Man. Man kisses Woman. Man grips Woman. Woman escapes Man. Man chases Woman - nothing new. Or is there?",1h 27m,Hunted
4,5.4,DESCONOCIDO,DESCONOCIDO,A guy from a small-town takes on a ruthless criminal lawyer for his friend and sister(s).,2h 3m,Seeru
5,5.4,['Mikhail Red'],DESCONOCIDO,"At a quarantined university, a disparate group of students must band together if they are going to survive during a deadly viral infection outbreak.",1h 41m,Block Z
6,6.0,['Derrick Borte'],DESCONOCIDO,"After a confrontation with an unstable man at an intersection, a woman becomes the target of his rage.",1h 30m,Unhinged
7,--,['Achyut Prashast Singh'],DESCONOCIDO,A young man starts to prank his masked archenemy with a fake sniper gun and runs into trouble when a man believing him to be an actual sniper assigns him a job.,--,Range of Sniper
8,5.2,['Julien Leclercq'],"['Julien Leclercq', 'Jérémie Guez', 'Matthieu Serveau']","Saïd owns a sawmill deep in the woods, which he decides to sell. Little does he know that one of his apprentices was cornered by his brother and forced to hide a large amount of cocaine inside the factory.",1h 20m,Earth and Blood
9,8.4,['Shaarath Vihari'],DESCONOCIDO,"After the mysterious death of Heena Siddiqui, an investigative journalist at Global Post News, her colleague Nick decides to take her investigation forward with help from his long-time friend Sasha, where they encounter incredibly powerful Super-Soldiers.",--,The Glint of Darkness: Revolution
10,5.1,['Henri Wong'],DESCONOCIDO,"Ji Mo is regarded as an outlier because she can see monsters. One day, she sees a monster in the supermarket and meets a monster hunter, Meng. She discovers that there really are monsters in the world, and she is involved in a new storm.",1h 44m,Monster Run
11,5.2,['Benjamin Galland'],"['Corey Fischer', 'Benjamin Galland', 'Donna Laemmlen']","Bret takes an inexperienced Rose rock climbing in the High Sierras, but then Bret falls and gets injured. With no way to retreat off the wall, the only way down is up and their fate is in Rose's hands. It's ""climb or die"".",1h 29m,Gripped: Climbing the Killer Pillar
12,4.0,['Matt Routledge'],DESCONOCIDO,"Elite military personnel Caitlin Ross retires from service after suffering from PTSD. Along with former team member and close friend Brad Johnson, they opted for the 'easy life' and now lead a small security firm. The company are hired by young, troublesome millionaire Richard Kenning to clear and secure the land and property he has recently inherited. Rumours and sto... Read all",1h 26m,Tribal Get Out Alive
13,6.1,['Olivier Marchal'],DESCONOCIDO,"Caught in the cross hairs of police corruption and Marseille's warring gangs, a loyal cop must protect his squad by taking matters into his own hands.",1h 56m,Rogue City
14,5.8,DESCONOCIDO,DESCONOCIDO,"Months after bloody combats leave behind thousands of dead in the trenches. Jan Lozano, Captain of the Fifth Brigade has fallen prisoner by an opponent's platoon along with a young driver while carrying out a mission that has been entrusted to him. The possibility of dying executed will soon be overtaken when a new unknown enemy arises. Both rival sides must unite and... Read all",1h 41m,Valley of the Dead
15,4.7,['Ben Mole'],DESCONOCIDO,A group of British soldiers retreating from the Germans toward Dunkirk during World War II are captured. A renowned British boxer among them is forced into the ring to fight an equally talented German boxer as the Brits plan to escape.,1h 27m,Behind the Line: Escape to Dunkirk
16,6.0,DESCONOCIDO,DESCONOCIDO,"An unyielding courage, to live and let die. Kit FOK (starring Zhen Feng SUN) is the hottest underground boxer, with his unbeatable records. His great success thanks to the outstanding tutor - Debo (starring Ken LOW). After few years, the business of the boxing studio went bad. Kit FOK must win this battle against Sholin (starring Zi Ping ZHENG) who is well-known as ""K... Read all",1h 25m,Unleashed
17,6.3,['Marvick Eduardo Núñez Aguilera'],DESCONOCIDO,"When his sister is kidnapped, Chema must recruit the starstruck, once-famous Mexican superheroes and form the ""League of 5"", and put a stop to the plans of a mastermind with pyrotechnic control.",1h 29m,The League of 5
18,--,['BenTinEz'],DESCONOCIDO,"A nightmare has arrived, the Invasion is here. Darkseid of Apokolips has set to Earth after a Mother Box is opened. Earth's heroes are soon to bring justice against Darkseid's inevitable strength.",--,Justice League: Invasion
19,6.5,DESCONOCIDO,"['Chad Bruns', 'Zane Hershberger']","Two kidnappers, a dealer, a group of college kids, and a killer converge in an abandoned school. Once they cross paths, chaos ensues, and it's a race to survive the night.",1h 17m,Force to Fear
20,2.2,['Asun Mawardi'],"['Matthew Ryan Fischer', 'Asun Mawardi']","Story of Max who haunted by the deeds of his criminal father, his family, and his closest friends, as they battle a local loan shark who wants revenge against Max and his father.",2h 39m,Once Upon a Time in Indonesia
21,--,['Juanjo Martínez'],DESCONOCIDO,A group of police officers close to being fired will try to solve the murder of a young model.,--,Unit 23
22,5.8,['Atul Sabharwal'],"['Abhijeet Shirish Deshpande', 'Atul Sabharwal']",The story of an upright policeman-turned-trainer whose wards deal with various complexities.,1h 38m,Class of '83
23,--,['Carlos Michael Hagene'],DESCONOCIDO,A battle rages between the Sith and Jedi Knights over an ancient artifact that holds consequences for the fate of the galaxy in the past and in the future.,--,Star Wars: Battle for the Holocrons
24,2.0,['Terry Spears'],DESCONOCIDO,A skilled young female agent is tasked with capturing a rogue former agent before she can unleash a biological weapon starting with the wealthy and powerful purveyors of the international sex trade.,1h 41m,Agent Jade Black
25,4.2,['David Dhawan'],"['Rumi Jaffery', 'Farhad Samji']","After being insulted by a rich businessman named Rosario, pandit Jai Kishen teaches him a lesson by getting his daughter married to Raju - a Coolie posing as a millionaire.",2h 14m,Coolie No. 1
26,3.7,['Anbarasan'],DESCONOCIDO,"A cop, who sets out to solve the mysterious death of infants in Kumbakonam, realises that a few bigwigs are behind the crime.",2h 13m,Walter
27,5.4,['Ka-Fai Wong'],"['Cherryyoko', 'Samson Sun']","Fuk Wor Triad member Ting (by Michael Tse Tin Wah) and Senior Inspector Tuen (by Pakho Chau) of the Regional Anti Triad Unit are moles that have been planted by the rival party. Within 10 years, Ting has risen through the ranks within the organization, but deep down he is fed-up with the dead-end job as an undercover cop. Whereas for Tuen - the soon-to-be youngest-eve... Read all",1h 30m,The Redeemers
28,4.0,['Matt Eskandari'],DESCONOCIDO,"A disgraced doctor and his family are held hostage at their home by criminals on the run, when a robbery-gone-awry requires them to seek immediate medical attention.",1h 30m,Survive the Night
29,7.9,['Chûji Mikasano'],"['Chûji Mikasano', 'Yoshihiro Togashi']","A delinquent teenager is killed in a car accident, and is resurrected as an investigator of the supernatural.",2h 6m,Butai Yu Yu Hakusho
30,6.0,['Patrice Laliberté'],"['Charles Dionne', 'Nicolas Krief', 'Patrice Laliberté']",A fatal accident at a remote survivalist training camp sends participants into a panic - and sets the stage for a chilling showdown.,1h 23m,The Decline
31,4.6,['Michael Polish'],DESCONOCIDO,A gang of thieves plan a heist during a hurricane and encounter trouble when a cop tries to force everyone in the building to evacuate.,1h 31m,Force of Nature
32,5.9,DESCONOCIDO,"['Ian Nelms', 'Eshom Nelms']","A rowdy, unorthodox Santa Claus is fighting to save his declining business. Meanwhile, Billy, a neglected and precocious 12 year old, hires a hit man to kill Santa after receiving a lump of coal in his stocking.",1h 40m,Fatman
33,6.0,DESCONOCIDO,"['Ruckus Skye', 'Lane Skye', 'Nick Morris']",A teenager's weekend at a lake house with her father takes a turn for the worse when a group of convicts wreaks havoc on their lives.,1h 33m,Becky
34,3.9,['Balázs Lóth'],"['Ákos Inotay', 'Mark Kis-Szabo', 'Balázs Lóth']","After their friend dies in an accident, Marcell, the rich but burnt-out architect and the rest of his loser childhood buddies decide to team up for the last time to fulfill their friend's last wish by smuggling his crappy painting into the most prestigious art auction of Budapest.",1h 44m,Budapest Heist
35,--,DESCONOCIDO,DESCONOCIDO,"'LEO' is about a guy who's the son of an Indian spy in South America. He was born with a Brazilian mother and brought up in Brazil . After his father has disappeared. The Indian government finds out about this and summons him to complete the mission, where he has the mission of killing world mafia leaders from all over the world. But somehow something goes wrong, and ... Read all",--,Leo
36,5.0,['Anna Mastro'],DESCONOCIDO,Follows Sam's adventures at a top-secret training program for a new class of second-born royals tasked with saving the world.,1h 39m,Secret Society of Second Born Royals
37,5.8,['Douglas Attal'],DESCONOCIDO,"While superheroes have assimilated into Parisian society, a new drug gives super powers to mere mortals.",1h 37m,How I Became a Super Hero
38,2.5,DESCONOCIDO,DESCONOCIDO,"Aasif visits his wife's parents' house and happens to go to a ground that is supposedly haunted. However, he is soon possessed by the spirit of a transgender who is out for revenge.",2h 21m,Laxmii
39,5.5,DESCONOCIDO,DESCONOCIDO,Inspired by the life of a fearless young officer who made history by becoming the first Indian female Air Force officer to fly in a combat zone during the 1999 Kargil War,1h 52m,Gunjan Saxena: The Kargil Girl
40,4.0,['Graham Abraham'],DESCONOCIDO,"When a whistle-blower has been found murdered, a state police detective named Karen investigates a suburban water supply pollution scandal that a chemical company is trying to cover up in New York state.",1h 10m,Trail to the Reservoir
41,--,DESCONOCIDO,DESCONOCIDO,DESCONOCIDO,--,One Way Out
