,name,link
0,Sam Spruell,"('Sam Spruell', 'https://www.imdb.com/name/nm0819874/?ref_=tt_cl_t_1')"
1,Sean Bean,"('Sean Bean', 'https://www.imdb.com/name/nm0000293/?ref_=tt_cl_t_2')"
2,James D'Arcy,"(""James D'Arcy"", 'https://www.imdb.com/name/nm0195439/?ref_=tt_cl_t_3')"
3,Charles Dance,"('Charles Dance', 'https://www.imdb.com/name/nm0001097/?ref_=tt_cl_t_4')"
4,Rupert Grint,"('Rupert Grint', 'https://www.imdb.com/name/nm0342488/?ref_=tt_cl_t_5')"
5,Jason Flemyng,"('Jason Flemyng', 'https://www.imdb.com/name/nm0002076/?ref_=tt_cl_t_6')"
6,Neil Maskell,"('Neil Maskell', 'https://www.imdb.com/name/nm0556453/?ref_=tt_cl_t_7')"
7,Dave Legeno,"('Dave Legeno', 'https://www.imdb.com/name/nm0499270/?ref_=tt_cl_t_8')"
8,Liam Neeson,"('Liam Neeson', 'https://www.imdb.com/name/nm0000553/?ref_=tt_cl_t_1')"
9,Dan Stevens,"('Dan Stevens', 'https://www.imdb.com/name/nm1405398/?ref_=tt_cl_t_2')"
10,David Harbour,"('David Harbour', 'https://www.imdb.com/name/nm1092086/?ref_=tt_cl_t_3')"
11,Boyd Holbrook,"('Boyd Holbrook', 'https://www.imdb.com/name/nm2933542/?ref_=tt_cl_t_4')"
12,Maurice Compte,"('Maurice Compte', 'https://www.imdb.com/name/nm0173997/?ref_=tt_cl_t_5')"
13,Patrick McDade,"('Patrick McDade', 'https://www.imdb.com/name/nm0567370/?ref_=tt_cl_t_6')"
14,Luciano Acuna Jr.,"('Luciano Acuna Jr.', 'https://www.imdb.com/name/nm5729373/?ref_=tt_cl_t_7')"
15,Hans Marrero,"('Hans Marrero', 'https://www.imdb.com/name/nm3450086/?ref_=tt_cl_t_8')"
16,Laura Birn,"('Laura Birn', 'https://www.imdb.com/name/nm1285342/?ref_=tt_cl_t_9')"
17,Adam David Thompson,"('Adam David Thompson', 'https://www.imdb.com/name/nm4311436/?ref_=tt_cl_t_10')"
18,Shahid Kapoor,"('Shahid Kapoor', 'https://www.imdb.com/name/nm1372788/?ref_=tt_cl_t_1')"
19,Prabhas,"('Prabhas', 'https://www.imdb.com/name/nm1659141/?ref_=tt_cl_t_2')"
20,Ajay Devgn,"('Ajay Devgn', 'https://www.imdb.com/name/nm0222426/?ref_=tt_cl_t_3')"
21,Yami Gautam,"('Yami Gautam', 'https://www.imdb.com/name/nm4417069/?ref_=tt_cl_t_4')"
22,Sonakshi Sinha,"('Sonakshi Sinha', 'https://www.imdb.com/name/nm3848064/?ref_=tt_cl_t_5')"
23,Prabhu Deva,"('Prabhu Deva', 'https://www.imdb.com/name/nm0222150/?ref_=tt_cl_t_6')"
24,Natasa Stankovic,"('Natasa Stankovic', 'https://www.imdb.com/name/nm5788330/?ref_=tt_cl_t_7')"
25,Manasvi Mamgai,"('Manasvi Mamgai', 'https://www.imdb.com/name/nm6466916/?ref_=tt_cl_t_8')"
26,Razak Khan,"('Razak Khan', 'https://www.imdb.com/name/nm0451299/?ref_=tt_cl_t_9')"
27,Rajesh Khattar,"('Rajesh Khattar', 'https://www.imdb.com/name/nm1279922/?ref_=tt_cl_t_10')"
28,Denzel Washington,"('Denzel Washington', 'https://www.imdb.com/name/nm0000243/?ref_=tt_cl_t_1')"
29,Marton Csokas,"('Marton Csokas', 'https://www.imdb.com/name/nm0190744/?ref_=tt_cl_t_2')"
30,Chloë Grace Moretz,"('Chloë Grace Moretz', 'https://www.imdb.com/name/nm1631269/?ref_=tt_cl_t_3')"
31,Haley Bennett,"('Haley Bennett', 'https://www.imdb.com/name/nm2247245/?ref_=tt_cl_t_5')"
32,Bill Pullman,"('Bill Pullman', 'https://www.imdb.com/name/nm0000597/?ref_=tt_cl_t_6')"
33,Melissa Leo,"('Melissa Leo', 'https://www.imdb.com/name/nm0502425/?ref_=tt_cl_t_7')"
34,David Meunier,"('David Meunier', 'https://www.imdb.com/name/nm1635108/?ref_=tt_cl_t_8')"
35,Johnny Skourtis,"('Johnny Skourtis', 'https://www.imdb.com/name/nm3495787/?ref_=tt_cl_t_9')"
36,Alex Veadov,"('Alex Veadov', 'https://www.imdb.com/name/nm0891514/?ref_=tt_cl_t_10')"
37,Mickey Rourke,"('Mickey Rourke', 'https://www.imdb.com/name/nm0000620/?ref_=tt_cl_t_1')"
38,Jessica Alba,"('Jessica Alba', 'https://www.imdb.com/name/nm0004695/?ref_=tt_cl_t_2')"
39,Josh Brolin,"('Josh Brolin', 'https://www.imdb.com/name/nm0000982/?ref_=tt_cl_t_3')"
40,Joseph Gordon-Levitt,"('Joseph Gordon-Levitt', 'https://www.imdb.com/name/nm0330687/?ref_=tt_cl_t_4')"
41,Rosario Dawson,"('Rosario Dawson', 'https://www.imdb.com/name/nm0206257/?ref_=tt_cl_t_5')"
42,Bruce Willis,"('Bruce Willis', 'https://www.imdb.com/name/nm0000246/?ref_=tt_cl_t_6')"
43,Eva Green,"('Eva Green', 'https://www.imdb.com/name/nm1200692/?ref_=tt_cl_t_7')"
44,Powers Boothe,"('Powers Boothe', 'https://www.imdb.com/name/nm0000959/?ref_=tt_cl_t_8')"
45,Dennis Haysbert,"('Dennis Haysbert', 'https://www.imdb.com/name/nm0371660/?ref_=tt_cl_t_9')"
46,Ray Liotta,"('Ray Liotta', 'https://www.imdb.com/name/nm0000501/?ref_=tt_cl_t_10')"
47,Dilip Tadeshwar,"('Dilip Tadeshwar', 'https://www.imdb.com/name/nm0998115/?ref_=tt_cl_t_1')"
48,Rakhi Sawant,"('Rakhi Sawant', 'https://www.imdb.com/name/nm1179156/?ref_=tt_cl_t_2')"
49,Donny Kapoor,"('Donny Kapoor', 'https://www.imdb.com/name/nm3838292/?ref_=tt_cl_t_3')"
50,Rakesh Bedi,"('Rakesh Bedi', 'https://www.imdb.com/name/nm0066075/?ref_=tt_cl_t_4')"
51,Javed Khan Amrohi,"('Javed Khan Amrohi', 'https://www.imdb.com/name/nm0451242/?ref_=tt_cl_t_5')"
52,Vishwajeet Pradhan,"('Vishwajeet Pradhan', 'https://www.imdb.com/name/nm0694986/?ref_=tt_cl_t_6')"
53,Raza Murad,"('Raza Murad', 'https://www.imdb.com/name/nm0613417/?ref_=tt_cl_t_7')"
54,Geeta Nishad,"('Geeta Nishad', 'https://www.imdb.com/name/nm6802397/?ref_=tt_cl_t_8')"
55,Shubhangi,"('Shubhangi', 'https://www.imdb.com/name/nm6802398/?ref_=tt_cl_t_9')"
56,Ramesh Goyal,"('Ramesh Goyal', 'https://www.imdb.com/name/nm0324744/?ref_=tt_cl_t_10')"
57,Blanche Baker,"('Blanche Baker', 'https://www.imdb.com/name/nm0048273/?ref_=tt_cl_t_1')"
58,Bo Svenson,"('Bo Svenson', 'https://www.imdb.com/name/nm0004149/?ref_=tt_cl_t_2')"
59,Christopher Mann,"('Christopher Mann', 'https://www.imdb.com/name/nm1104232/?ref_=tt_cl_t_3')"
60,Sal Mazzotta,"('Sal Mazzotta', 'https://www.imdb.com/name/nm0563687/?ref_=tt_cl_t_4')"
61,Maria Soccor,"('Maria Soccor', 'https://www.imdb.com/name/nm1391723/?ref_=tt_cl_t_5')"
62,Johnny Williams,"('Johnny Williams', 'https://www.imdb.com/name/nm0930971/?ref_=tt_cl_t_6')"
63,Jerry Lyden,"('Jerry Lyden', 'https://www.imdb.com/name/nm0527970/?ref_=tt_cl_t_7')"
64,Steve Giambattista,"('Steve Giambattista', 'https://www.imdb.com/name/nm2170609/?ref_=tt_cl_t_8')"
65,T.J. Glenn,"('T.J. Glenn', 'https://www.imdb.com/name/nm0006988/?ref_=tt_cl_t_9')"
66,Brian Anthony Wilson,"('Brian Anthony Wilson', 'https://www.imdb.com/name/nm0933096/?ref_=tt_cl_t_10')"
67,Luke Evans,"('Luke Evans', 'https://www.imdb.com/name/nm1812656/?ref_=tt_cl_t_1')"
68,Dominic Cooper,"('Dominic Cooper', 'https://www.imdb.com/name/nm1002641/?ref_=tt_cl_t_2')"
69,Sarah Gadon,"('Sarah Gadon', 'https://www.imdb.com/name/nm0300589/?ref_=tt_cl_t_3')"
70,Art Parkinson,"('Art Parkinson', 'https://www.imdb.com/name/nm3280686/?ref_=tt_cl_t_4')"
71,Diarmaid Murtagh,"('Diarmaid Murtagh', 'https://www.imdb.com/name/nm2846393/?ref_=tt_cl_t_6')"
72,Paul Kaye,"('Paul Kaye', 'https://www.imdb.com/name/nm0443373/?ref_=tt_cl_t_7')"
73,William Houston,"('William Houston', 'https://www.imdb.com/name/nm0396908/?ref_=tt_cl_t_8')"
74,Noah Huntley,"('Noah Huntley', 'https://www.imdb.com/name/nm0403168/?ref_=tt_cl_t_9')"
75,Ronan Vibert,"('Ronan Vibert', 'https://www.imdb.com/name/nm0895812/?ref_=tt_cl_t_10')"
76,Aaron Taylor-Johnson,"('Aaron Taylor-Johnson', 'https://www.imdb.com/name/nm1093951/?ref_=tt_cl_t_1')"
77,Elizabeth Olsen,"('Elizabeth Olsen', 'https://www.imdb.com/name/nm0647634/?ref_=tt_cl_t_2')"
78,Bryan Cranston,"('Bryan Cranston', 'https://www.imdb.com/name/nm0186505/?ref_=tt_cl_t_3')"
79,Ken Watanabe,"('Ken Watanabe', 'https://www.imdb.com/name/nm0913822/?ref_=tt_cl_t_4')"
80,CJ Adams,"('CJ Adams', 'https://www.imdb.com/name/nm2640264/?ref_=tt_cl_t_5')"
81,Carson Bolde,"('Carson Bolde', 'https://www.imdb.com/name/nm3395766/?ref_=tt_cl_t_6')"
82,Sally Hawkins,"('Sally Hawkins', 'https://www.imdb.com/name/nm1020089/?ref_=tt_cl_t_7')"
83,Juliette Binoche,"('Juliette Binoche', 'https://www.imdb.com/name/nm0000300/?ref_=tt_cl_t_8')"
84,David Strathairn,"('David Strathairn', 'https://www.imdb.com/name/nm0000657/?ref_=tt_cl_t_9')"
85,Richard T. Jones,"('Richard T. Jones', 'https://www.imdb.com/name/nm0429114/?ref_=tt_cl_t_10')"
86,Chloë Sevigny,"('Chloë Sevigny', 'https://www.imdb.com/name/nm0001721/?ref_=tt_cl_t_1')"
87,Patricia Arquette,"('Patricia Arquette', 'https://www.imdb.com/name/nm0000099/?ref_=tt_cl_t_2')"
88,Isabel Lucas,"('Isabel Lucas', 'https://www.imdb.com/name/nm1456970/?ref_=tt_cl_t_3')"
89,Christopher Lambert,"('Christopher Lambert', 'https://www.imdb.com/name/nm0000483/?ref_=tt_cl_t_4')"
90,Constance Wu,"('Constance Wu', 'https://www.imdb.com/name/nm2090422/?ref_=tt_cl_t_5')"
91,Kate Micucci,"('Kate Micucci', 'https://www.imdb.com/name/nm2177528/?ref_=tt_cl_t_6')"
