,name,link
0,Marco Ricca,"('Marco Ricca', 'https://www.imdb.com/name/nm0723142/?ref_=tt_cl_t_1')"
1,Andrea Beltrão,"('Andrea Beltrão', 'https://www.imdb.com/name/nm0069683/?ref_=tt_cl_t_2')"
2,Paulo Betti,"('Paulo Betti', 'https://www.imdb.com/name/nm0079343/?ref_=tt_cl_t_3')"
3,Letícia Sabatella,"('Letícia Sabatella', 'https://www.imdb.com/name/nm0754542/?ref_=tt_cl_t_4')"
4,Leandra Leal,"('Leandra Leal', 'https://www.imdb.com/name/nm0495075/?ref_=tt_cl_t_5')"
5,Gabriel Braga Nunes,"('Gabriel Braga Nunes', 'https://www.imdb.com/name/nm0103794/?ref_=tt_cl_t_6')"
6,Eliane Giardini,"('Eliane Giardini', 'https://www.imdb.com/name/nm0316394/?ref_=tt_cl_t_7')"
7,Zezé Polessa,"('Zezé Polessa', 'https://www.imdb.com/name/nm0688982/?ref_=tt_cl_t_8')"
8,Marcos Oliveira,"('Marcos Oliveira', 'https://www.imdb.com/name/nm0646706/?ref_=tt_cl_t_9')"
9,Ricardo Blat,"('Ricardo Blat', 'https://www.imdb.com/name/nm0087795/?ref_=tt_cl_t_10')"
10,Mireia Aixalà,"('Mireia Aixalà', 'https://www.imdb.com/name/nm1409703/?ref_=tt_cl_t_1')"
11,Martin Aslan,"('Martin Aslan', 'https://www.imdb.com/name/nm0039512/?ref_=tt_cl_t_2')"
12,Héctor Atienza,"('Héctor Atienza', 'https://www.imdb.com/name/nm4146416/?ref_=tt_cl_t_3')"
13,Anna Azcona,"('Anna Azcona', 'https://www.imdb.com/name/nm0044150/?ref_=tt_cl_t_4')"
14,Carlota Benet,"('Carlota Benet', 'https://www.imdb.com/name/nm4694027/?ref_=tt_cl_t_5')"
15,Nerea Blanco,"('Nerea Blanco', 'https://www.imdb.com/name/nm7713619/?ref_=tt_cl_t_6')"
