,Puntuacion_IMDB,Dirección,Guionistas,Argumento,Duración,Nombre de la película
0,5.6,['Arturo Carballo'],DESCONOCIDO,"Film based on variety shows of the 20s 'Arco Iris', 'La feria de las hermosas', and 'Las maravillosas', all of them created by Eulogio Velasco.",1h 20m,Frivolinas
1,3.4,['Michael Fischa'],DESCONOCIDO,"Windy Yee is a dimwitted actress desperately tries to land a big role in Director Martini's new movie, Hooker X.",1h 30m,Rice Girl
2,6.8,['Chris Evans'],DESCONOCIDO,Two strangers stuck in Manhattan for the night grow into each other's most trusted confidants when an evening of unexpected adventure forces them to confront their fears and take control of their lives.,1h 35m,Before We Go
3,6.3,['Pascal Chaumeil'],"['Nick Hornby', 'Jack Thorne']","Four people meet on New Year's Eve, and form a surrogate family to help one another with the difficulties of their lives.",1h 36m,A Long Way Down
4,6.4,['John Stockwell'],"['John Stockwell', 'Mark Binelli']",An eighteen year old high school drop out and his twenty-seven year old friend start trafficking marijuana across the border of Canada in order to make money and their lives are changed forever.,1h 50m,Kid Cannabis
5,6.8,DESCONOCIDO,DESCONOCIDO,A young orphaned boy raised by underground cave-dwelling trash collectors tries to save his friends from an evil exterminator.,1h 36m,The Boxtrolls
6,5.5,['Ryûhei Kitamura'],DESCONOCIDO,"The grandson of a legendary gentleman burglar assembles a team of thieves to steal a Cleopatran necklace from two parties - an ally-turned-rival, and an underworld tycoon.",2h 13m,Lupin the 3rd
7,6.8,['Rob Minkoff'],DESCONOCIDO,"Sherman, a young boy, misuses a time machine made by his scientist father Mr. Peabody and causes the world history to go haywire. It is now up to Mr. Peabody to rescue his son and the world.",1h 32m,Mr. Peabody & Sherman
8,6.1,DESCONOCIDO,"['Andrew Swant', 'Bobby Ciraldo', 'William Shakespeare']",Hamlet is an easily distracted prince who is challenged to kill his uncle Claudius by the ghost of his recently dead dad. This bizarre sci-fi comedy features live-action characters in a colorful cartoon world.,1h 40m,Hamlet A.D.D.
9,5.2,['Tristram Shapeero'],DESCONOCIDO,"Boyd Mitchler and his family must spend Christmas with his estranged family of misfits. Upon realizing that he left all his son's gifts at home, he hits the road with his dad in an attempt to make the 8-hour round trip before sunrise.",1h 28m,A Merry Friggin' Christmas
10,4.9,['John Herzfeld'],DESCONOCIDO,A self-help book changes the lives of different people in the LA area. Who is the reclusive writer?,1h 35m,Reach Me
11,3.5,['Brian Thompson'],DESCONOCIDO,A struggling and publicly disgraced Hollywood icon gets another shot at mega stardom when he is hired to star and direct an action movie in Uzbekistan.,1h 24m,The Extendables
12,--,['Manu Ochoa'],DESCONOCIDO,,1h 13m,Gafas de ver
13,7.7,['Susan Maljan'],DESCONOCIDO,"With good natured rage, comedian and professional trouble maker Andy Kindler ridicules popular culture, show business, and himself in this intimate stand-up comedy performance.",--,Andy Kindler: I Wish I Was Bitter
14,4.0,['Wan Hafiz'],"['Nurulsyahida Fadzil', 'Wan Hafiz', 'Louise Manjaji']","""Mat Tudung"" follows a Casanova by the name of Johari, a former Mat Rempit who has fallen in love at first sight with Zizie. Zizie is unlike any girl Johari has ever met as the hijab wearing beauty is known to give guys the cold shoulder. Unwilling to give up on his dream girl, Johari dresses up as a hijab wearing girl, Johanna, the 'sister' of Johari in order to get ... Read all",1h 22m,Mat Tudung
15,5.8,['Kenneth Hughes'],DESCONOCIDO,It is a Butch Cassidy and the Sundance Kid with a kick in the ass from Shakespeare and Dr. Suess musings. It is a Rosencrantz and Gildenstern with a Southpark twist. It is 2 Romeo's that meet one Juliet; the 2 Romeos live in a Willy-Wonka-World attempting to repair Juliet's (and everyone else they meet) tragic world of reality.,1h 12m,Bad Dog and Superhero
16,6.1,['Cindy Baer'],"['Cindy Baer', 'Matthew Irving']",A quirky dramedy about a woman who quits her steady job to become an actress.,1h 33m,Odd Brodsky
17,8.6,['Ernie Chen'],DESCONOCIDO,"Amir and Nayan are reality TV stars who are offered to act in a horror film. However they find that they are only capable to act in comedy films as they do not believe in ghosts. However, the duo then head back to their hometown to gain some spine-chilling experiences from Tok Mat, a medicine man who has a daughter named Julia.",1h 51m,Suatu Malam Kubur Berasap 2
18,--,['Jeffrey Hall'],"['Anthony Brenneman', 'Jeffrey Hall', 'Skip Schwink']","In this unique interactive move, viewers make choices for two employees of a roller coaster design company with an eccentric corporate culture. As the team prepares for a major design pitch to a major theme park conglomerate, employees encounter ethical challenges and viewers make decisions that lead to different humorous and/or moving outcomes.",2h,Common Ground Business
19,--,DESCONOCIDO,"['Juan Alves', 'Lucas Granero', 'Lucrecia Kelmansky']",,1h 1m,Acto de Fe
20,6.6,['Mamat Khalid'],DESCONOCIDO,"Amir and Loqman, two lowly criminals who are just not cut out for the life of crime, resort to trying their hands at robbing money changers upon learning that they must pay a whopping RM30,000 to exit the 'Brotherhood' they once so badly wanted to join. They now want only one thing - to set up a cafe by the sea and to spend the rest of their days serving drink to beau... Read all",1h 37m,Amir & Loqman Pergi ke Laut
21,--,DESCONOCIDO,DESCONOCIDO,"Horacio is a lonely magician. One day he meets Juan, a young boy who, moved by a secret plan of his grandmother Tita, comes to his life to help him. The child becomes the magician's apprentice.",1h 27m,Dos de Trébol
22,--,['Darryl Merpaw'],DESCONOCIDO,,--,Hybrid Moments: A Romantic Black Comedy
23,--,['Andrea Castoldi'],DESCONOCIDO,,--,Ti si legge in faccia
24,--,['Marek Rebacz'],DESCONOCIDO,,1h 30m,By milosc nie przeszla obok
25,4.8,['Ian Ray-White'],DESCONOCIDO,"A washed up former starship captain must risk all to save a long lost friend, taking him on a musical journey across the galaxy in search of the legendary Planet of the Baybes.",2h,Planet of the Baybes
26,--,['Alla Surikova'],DESCONOCIDO,,--,Polnyy vperyod!
27,--,['Michele Coppini'],DESCONOCIDO,,1h 15m,Zero bagget
28,2.0,['Tony Nabiah'],DESCONOCIDO,,--,A Girl from Dar Elsalam
29,6.5,['Frank Coraci'],"['Ivan Menchell', 'Clare Sera']","After a bad blind date, a man and woman find themselves stuck together at a resort for families, where their attraction grows as their respective kids benefit from the burgeoning relationship.",1h 57m,Blended
30,8.6,['Kostas Christias'],"['Kostas Christias', 'Andrew Davenport']",Evil little Teletubbies are starting to conquer the world after an experiment goes wrong. The only place still standing is a village called Ano Peukochori and now it has to fight back.,1h 29m,Fourtouna Sto Ano Peukochori
31,5.9,['Andrey Silkin'],DESCONOCIDO,,1h 19m,Dnevnik mamy pervoklassnika
32,--,DESCONOCIDO,DESCONOCIDO,,--,"The Grumpy, the Dopey and the Drunk"
33,--,['Afe Olumowe'],DESCONOCIDO,,2h 19m,When Love Comes Around
34,4.6,DESCONOCIDO,DESCONOCIDO,"The story starts when two boxes are switched mistakenly during a car accident, in the middle of a stormy night. Logger Vick retrieves a suitcase from the scene of the accident and reveals what is inside. Since he brings back this mysterious box, the forest is no longer peaceful and the Bear Brother's lives change dramatically. Vick and the Bear Brothers become super d... Read all",1h 35m,Boonie Bears: To the Rescue
35,7.3,['Paul King'],DESCONOCIDO,"A young Peruvian bear travels to London in search of a home. Finding himself lost and alone at Paddington Station, he meets the kindly Brown family, who offer him a temporary haven.",1h 35m,Paddington
36,--,['Daniel Malakai Cabrera'],DESCONOCIDO,Spoken Word & Poetics from Charlie E. Schmidt guide an array of fun and movement from the world's best.,--,The Masterpiece (Canon Vixia Presents)
37,4.6,DESCONOCIDO,DESCONOCIDO,"In a satirical comic framework, the movie revolves around a young man (Ramez Galal) who marries a girl interested in women's rights and faces the challenges that hinder her in achieving her dreams, but this means she isn't spending enough time with his husband, and her lack of interest in her marriage leads him to marry another woman. This plunges him into numerous tr... Read all",--,Meraty w Zawgaty
38,--,DESCONOCIDO,DESCONOCIDO,,2h,Fascinating Aida: Charm Offensive
39,--,['Andrey Krasavin'],DESCONOCIDO,,--,Novogodniy papa
40,5.4,['Sadhu Kokila'],DESCONOCIDO,,--,Super Ranga
41,--,DESCONOCIDO,DESCONOCIDO,DESCONOCIDO,--,Error nombre para la pelicula con id: tt11591452
