,Puntuacion_IMDB,Dirección,Guionistas,Argumento,Duración,Nombre de la película
0,6.6,['Pat Jackson'],DESCONOCIDO,"A lone shark bounty hunter pits himself against secret agents from three countries. The prize: a million bucks in cash for vital state secrets. A little talky in spots, but overall not bad. Color. 16mm.",1h 37m,To Chase a Million
1,--,['Erico Alessandro'],"['Erico Alessandro', 'Érico Alessandro de Munhoz']",,1h 30m,Stage 3
2,--,['Erico Alessandro'],DESCONOCIDO,,--,New Breed
3,5.3,['Kaarthikeya Varikallu'],DESCONOCIDO,"""Rangu"" movie shot based on the true life story of a Vijayawada student ""LARA"", who faced bitter experiences and their Severe consequences in his life.",2h 36m,Rangu
4,5.1,['Chad Ferrin'],DESCONOCIDO,Three friends find themselves lost on Skid Row and are captured by an angry homeless gang.,1h 20m,Attack in LA
5,--,['L. Ravi Kumar'],DESCONOCIDO,It is about the things that happen due to alcohol addiction. Raghuram joins army and gets killed by enemy army. His father then gets addicted to alcohol to kill his pain. But Raghuram shocks everyone as he returns home safe. His father then continues his rest of life spending with alcohol.,1h 38m,Amalu
6,--,['Khyler Vick'],DESCONOCIDO,,--,blockheaDs 3
7,--,['Augustus Omojowo Thomas'],DESCONOCIDO,,--,Jane Rambo Daughter of the Jungle
8,--,['Evgeniy Mishukhin'],DESCONOCIDO,,--,Robbers 3: Saved in Time
9,5.8,['Milan Chams'],DESCONOCIDO,"A guy is desperate to go to London to settle his life, and when he finally gets there, he starts to fall in love with a girl.",--,Happy Days
10,4.5,['Ümit Degirmenci'],"['Ümit Degirmenci', 'Yilmaz Gungor']","Umut Güneri is one who deals with trade. They have concentrated on drinking alcohol in the past with his Russian partner Sergey Krilenkov. Due to the introduction of mixed drink with drugs by Sergey Krilenkov Turkey market in Turkey, 25,000 people lost their lives. For this reason, Umut Güneri and Sergey Krilenkov's partnership was completed by Umut Güneri.",--,Zor Oyun: Kapanmayan Hesap
11,5.7,['Guohan Hu'],DESCONOCIDO,,1h 35m,Ji yao zhuan
12,--,['Aaron Gregson'],DESCONOCIDO,,--,Wolverine Chronicles
13,--,['Matthew Stalletti'],DESCONOCIDO,"Average teenage superhero, Bumbleboy, spends his days stopping crime and helping cats down from trees. A mysterious group of men with mysterious looking tech send Bumbleboy on a quest to prove that he is more than just kid. As things unravel, Bumbleboy realizes that it's not so easy to juggle life while trying to be a hero. Will he learn what it means to be a ""true"" h... Read all",--,Bumbleboy
14,6.8,['Duy Joseph'],DESCONOCIDO,,1h 39m,Fight Back to School
15,8.7,DESCONOCIDO,DESCONOCIDO,A young couple must overcome a bitter grudge or be consumed by hate when the souls of their tormentors are reincarnated in their newborn twins.,2h 12m,Clinging with Hate
16,6.3,['Joon-Hyeong Heo'],DESCONOCIDO,"In this Korean action comedy, seven people including a cop, a killer, gangsters and a delivery man all try to get their hands on a gun and a golf bag filled with cash.",1h 41m,Snatch Up
17,5.9,['Davaajargal Tserenchimed'],"['O. Erdene', 'Sumya Sonomdeleg']","The ruffles king forbids music for his kingdom and gets cursed for it. The king's right hand secretly wishes to take the throne and tries to kill the king, but the cursed king just would not die. Later when the king's right hand figures out how to kill the king and takes over the kingdom. The left-for-dead king gets local's support whom secretly kept practicing the ar... Read all",2h 38m,The Legend of Gobi
18,--,['Promise Shoyenka'],DESCONOCIDO,THE IMPOSIBLE MISSION. The quest to become mightier and greater in the Christian circle motivated a lot of pastors to join the Dark circle confraternity.,1h 3m,The Imposible Mission
19,--,['Rajesh Fernandes'],DESCONOCIDO,,--,Planning Devachem
20,--,['Yuehui Chen'],DESCONOCIDO,"The Doctor of Evil activated the time-space portal to cause time-space changes in various parts of the world. Human beings are ready to fight the invasion of alien monsters. The communication system of the X-Force sub-base in Kuala Lumpur, Malaysia was invaded by mysterious saboteurs. Bai Lu was assigned to Kuala Lumpur to carry out a reconnaissance mission. Lu sudden... Read all",1h 36m,Guang ying zhi zhan
21,5.6,['Mengxi Tao'],DESCONOCIDO,"During the reign of the Kangxi Emperor, when Wu Sangui died, the senior general Ma Bao begins to seek protection to escort Chen Yuanyuan and his grandson to live in seclusion. Qingping Escort Agency, the No. 1 Escort Agency, takes the heavy responsibility by accident. In the end, they make a narrow escape after going through bloody battles with various forces.",1h 30m,The Bravest Escort Group
