,Puntuacion_IMDB,Dirección,Guionistas,Argumento,Duración,Nombre de la película
0,7.3,['Patty Jenkins'],DESCONOCIDO,"When a pilot crashes and tells of conflict in the outside world, Diana, an Amazonian warrior in training, leaves home to fight a war, discovering her full powers and true destiny.",2h 21m,Wonder Woman
1,6.0,['Dax Shepard'],"['Rick Rosner', 'Dax Shepard']",An inexperienced rookie is teamed up with a hardened pro at the California Highway Patrol in Los Angeles; the newbie officer soon learns his partner is really an undercover Fed investigating a heist which may involve some crooked cops.,1h 40m,CHIPS
2,6.1,['Zack Snyder'],DESCONOCIDO,"Fueled by his restored faith in humanity and inspired by Superman's selfless act, Bruce Wayne enlists the help of his new-found ally, Diana Prince, to face an even greater enemy.",2h,Justice League
3,--,"[""John D'Amico""]",DESCONOCIDO,,--,Green Brothers
4,4.9,['Deepak Kadam'],"['Abhijit Kulkarni', 'Yogesh Markande', 'Bipin Shaygude']",its political journey of Malhar Shinde.,2h,Nagarsevak - Ek Nayak
5,--,DESCONOCIDO,DESCONOCIDO,,1h 39m,The War of Godzilla 2
6,--,['Bharat Parepalli'],DESCONOCIDO,"Khayyum Bhai (Ram Babu) joins people's war gang in his teenage and develops ego clashes with them. To take revenge, he becomes a police informer and starts doing illegal activities by using his cop background. How did the authorities put an end to his empire is the rest of the story.",2h 4m,Khayyum Bhai
7,--,['Mayur Karambalikar'],DESCONOCIDO,"The most precious, 720-carat diamond named VAJRA is owned by only the five richest people in this world. The owners have agreed to lock the chest and keep it turn by turn. An intelligent thief and the even more intelligent CBI officers make this film an entertaining suspense.",--,Vajra
8,--,['Philip Pratt'],DESCONOCIDO,,--,Grilled
9,--,['Juanjo Martínez'],DESCONOCIDO,A mafia organization tries to take revenge on a group of mercenaries retired years ago. This group must finish what they started a long time ago in order to continue with their lives away from problems.,--,Corazones en Llamas 3
10,--,['Mohammad Iftikhar Iffi'],DESCONOCIDO,"Amir has always dreamt of living a luxurious life in Dubai. All is about to change when he finds an unattended bag full of money. His wife warns him to return the bag as she can sense the lurking drama that's about to unfold. Chota Raees, an influential man, is the bag's rightful owner and he is determined to leave no stone unturned to find the bag. Will this find be ... Read all",1h 20m,Chalo Chalo Dubai Chalo
11,5.1,['Mark McQueen'],DESCONOCIDO,"After a London heist, Jack's dad's murdered and the money's gone. Jack wants revenge.",1h 35m,Gunned Down
12,6.1,DESCONOCIDO,DESCONOCIDO,,1h 32m,The King of the Drift
13,--,['Angel Rosario'],DESCONOCIDO,,--,Fatal Asset
14,--,['Alonso O. Lara'],DESCONOCIDO,,1h 26m,Zapatillas Ferragamo
15,--,['Takeshi Watanabe'],DESCONOCIDO,"Aberu Wagatsuma grew up as a troubled kid, but he now works a factory job related to cars. After work, Aberu makes deliveries involving illegal items. One night, a man is several beaten by the yakuza and suddenly gets into Aberu's car. Aberu is surprised, because the man that got into his car is his childhood friend Reo Akai. Reo got involved with a yakuza backed voic... Read all",1h 9m,Borderline
16,6.0,['Xavier Gens'],"['Jesús Olmo', 'Eron Sheean', 'Albert Sánchez Piñol']",A young man arrives at a remote island to take a post of weather observer only to find himself defending the watchtower from deadly creatures which live in the island shores.,1h 48m,Cold Skin
17,--,['Jason Morciglio'],DESCONOCIDO,Revival of Heroes and Villains from the past bringing chaos and order to a world that will not be the same again.,--,Tango Mask
18,--,['Bowie Lau'],"['Bowie Lau', 'Na Zhu']",,1h 26m,Xue zhan Tong Luo Wan 3
19,3.7,DESCONOCIDO,DESCONOCIDO,"Determined to relocate their missing September's Diamond, criminals Rang and Peng proceed to escape from the high security prison they are in. Once out, Rang rushes home to reunite with his family but is heartbroken when he discovers that he has been replaced by his wife's new boyfriend. Peng does not fare well with his own family reunion as he is chased away by his f... Read all",1h 45m,Saranae Love You
20,5.1,['Kamal Bansal'],"['Simon Jowett', 'Satyajit Ray']",Two young adventurers search to find their missing father who disappeared on a quest in search of a magical unicorn.,1h 32m,A Unicorn Adventure
21,5.6,['Alexandros Sipsidis'],"['Dimitris Evlampidis', 'Apollonia Tsanta']","A gang manages to steal the Blue Queen, one of the most precious gems in the world. But each member has his own plan for the future.",1h 28m,Blue Queen
22,6.5,['Anggy Umbara'],DESCONOCIDO,5 lifelong friends attempt to rescue a damsel in distress from gangsters and zombies in this action packed comedy.,1h 46m,5 Cowok Jagoan: Rise of the Zombies
23,--,DESCONOCIDO,DESCONOCIDO,,1h 30m,Liverpool vs Bournemouth
24,--,DESCONOCIDO,DESCONOCIDO,,1h 30m,West Bromwich Albion vs Liverpool
25,--,DESCONOCIDO,DESCONOCIDO,,1h 30m,Stoke City vs Liverpool
26,--,DESCONOCIDO,DESCONOCIDO,,1h 30m,Liverpool vs Everton
27,--,DESCONOCIDO,DESCONOCIDO,,1h 30m,Manchester United vs Chelsea
28,--,DESCONOCIDO,DESCONOCIDO,,1h 30m,Liverpool vs Crystal Palace
29,--,['Tekin Girgin'],DESCONOCIDO,,--,God Wars
30,5.8,DESCONOCIDO,"['S.U. Arun Kumar', 'Paruchuri Venkateswara Rao', 'Gopalakrishna Paruchuri']","Jayadev, an honest policeman, investigates the death of his colleague which leads him to a local goon, Mastan Babu. However, he goes up against him to get justice for his slain partner.",2h 15m,Jayadev
31,--,['Xinyu Bai'],DESCONOCIDO,,1h 13m,Xue ji chuan
32,--,['Furong Pan'],DESCONOCIDO,"A rich businessman hears tales of an ultra-rare tea and enlists a Hong Kong tea dealer to steal the tea for him. The dealer, in turn, hires Guwazai to travel to the ancient town of Huizhou, China where odd-ball characters and love interests await. Guwazai's arrival sets off a Kung-fu filled, humorous tale about the lengths people will go to for a good cup of tea.",--,Cha dao
33,--,['Victor Lopez'],DESCONOCIDO,,1h 7m,Harvey Johnson
34,--,['Daniel Malakai Cabrera'],DESCONOCIDO,"Three Beautiful Assassins are ""Called to Action.""",--,COLT.22 - Call to Action
35,--,DESCONOCIDO,DESCONOCIDO,,1h 30m,Tottenham Hotspur Football Club vs Chelsea Football Club
36,--,DESCONOCIDO,DESCONOCIDO,,1h 30m,Liverpool Football Club vs Tottenham Hotspur Football Club
37,--,DESCONOCIDO,DESCONOCIDO,,1h 30m,Tottenham Hotspur Football Club vs Liverpool Football Club
