,Puntuacion_IMDB,Dirección,Guionistas,Argumento,Duración,Nombre de la película
0,6.5,['Scott Frank'],"['Lawrence Block', 'Scott Frank']",Private investigator Matthew Scudder is hired by a drug kingpin to find out who kidnapped and murdered his wife.,1h 54m,A Walk Among the Tombstones
1,6.3,['Jane Spencer'],"['Jane Spencer', 'Lucy Shuttleworth']","THE NINTH CLOUD is a dark, existential comedy about a young woman trying to find answers to the meaning of existence ... who runs into a whole pack of strange characters in London, from bohemian struggling artistes, to monied British aristocrats, with all their varying agendas as she tries to help an impoverished immigrant child with a leg problem.",1h 33m,The Ninth Cloud
2,6.4,['Phillip Noyce'],"['Michael Mitnick', 'Robert B. Weide', 'Lois Lowry']","In a seemingly perfect community without war, pain, suffering, differences, or choices, a young boy is chosen to learn from an elderly man about the true pain and pleasure of the ""real"" world.",1h 37m,The Giver
3,6.8,['Chris Evans'],DESCONOCIDO,Two strangers stuck in Manhattan for the night grow into each other's most trusted confidants when an evening of unexpected adventure forces them to confront their fears and take control of their lives.,1h 35m,Before We Go
4,6.3,['Pascal Chaumeil'],"['Nick Hornby', 'Jack Thorne']","Four people meet on New Year's Eve, and form a surrogate family to help one another with the difficulties of their lives.",1h 36m,A Long Way Down
5,7.7,['Alex Garland'],DESCONOCIDO,A young programmer is selected to participate in a ground-breaking experiment in synthetic intelligence by evaluating the human qualities of a highly advanced humanoid A.I.,1h 48m,Ex Machina
6,5.3,['Lalji B. Yadav'],DESCONOCIDO,,2h 16m,Dil Ka Sauda
7,6.4,['John Stockwell'],"['John Stockwell', 'Mark Binelli']",An eighteen year old high school drop out and his twenty-seven year old friend start trafficking marijuana across the border of Canada in order to make money and their lives are changed forever.,1h 50m,Kid Cannabis
8,8.7,['Christopher Nolan'],"['Jonathan Nolan', 'Christopher Nolan']","When Earth becomes uninhabitable in the future, a farmer and ex-NASA pilot, Joseph Cooper, is tasked to pilot a spacecraft, along with a team of researchers, to find a new planet for humans.",2h 49m,Interstellar
9,6.2,['Gary Shore'],"['Matt Sazama', 'Burk Sharpless', 'Bram Stoker']","As his kingdom is being threatened by the Turks, young prince Vlad Tepes must become a monster feared by his own people in order to obtain the power needed to protect his own family, and the families of his kingdom.",1h 32m,Dracula Untold
10,4.6,['Tristan Patterson'],"['Timothy Ford', 'Tristan Patterson']",A chronicle of the life of furniture salesman turned bank robber Eddie Dodson.,1h 35m,Electric Slide
11,7.1,['Ravi Kumar'],DESCONOCIDO,"Interwoven stories of people in India and US as they face dilemmas of life time in the months leading to the biggest Industrial disaster in human history that claimed 10,000 innocent lives within a few hours. Inspired by real events.",1h 36m,Bhopal: A Prayer for Rain
12,7.0,['Saul Dibb'],"['Saul Dibb', 'Matt Charman', 'Irène Némirovsky']","During the early years of German occupation of France in World War II, romance blooms between Lucile Angellier (Michelle Williams), a French villager, and Lieutenant Bruno von Falk (Matthias Schoenaerts), a German soldier.",1h 47m,Suite Française
