,id,time_sec
0,tt0365907,4
1,tt0424859,4
2,tt0435651,5
3,tt0443465,4
4,tt0458413,4
5,tt0470752,4
6,tt0485535,3
7,tt0780548,4
8,tt0816692,4
9,tt0829150,5
10,tt0835775,6
11,tt0839742,9
12,tt0900387,5
13,tt0903657,4
14,tt0910885,5
15,tt0949872,4
16,tt0959306,4
17,tt0961036,4
18,tt10035404,3
19,tt10039008,3
20,tt10048070,3
21,tt10078810,1
22,tt10078844,1
23,tt10097458,2
24,tt10106844,4
25,tt1015471,4
26,tt10167934,2
27,tt10183622,3
28,tt10183654,4
29,tt10197886,2
30,tt1020072,5
31,tt10225036,3
32,tt10265840,4
33,tt10294126,2
34,tt1031658,4
35,tt10363350,4
36,tt10362526,3
37,tt10477926,2
38,tt10542054,3
39,tt10553836,3
40,tt10569508,1
41,tt10631062,3
42,tt10635372,4
43,tt1065073,5
44,tt10655796,2
45,tt10672678,2
46,tt10699914,4
47,tt10732464,4
48,tt10825282,4
49,tt10851580,5
50,tt10897468,4
51,tt10919020,4
52,tt10926650,5
53,tt10928152,5
54,tt10928616,3
55,tt10944106,2
56,tt10946200,3
57,tt1100089,8
58,tt11010082,5
59,tt11012580,3
60,tt11012612,2
61,tt11012544,4
62,tt11012594,2
63,tt11017716,3
64,tt11017702,2
65,tt11017708,3
66,tt11017724,4
67,tt11017776,4
68,tt11017720,4
69,tt11046716,4
70,tt11046752,5
71,tt11047264,3
72,tt11046816,4
73,tt11046952,2
74,tt11046672,5
75,tt11047106,4
76,tt11047030,2
77,tt11047176,4
78,tt11046764,3
79,tt11047134,4
80,tt11047074,4
81,tt11057910,2
82,tt11080296,5
83,tt11080488,4
84,tt11092000,2
85,tt11105424,6
86,tt11111168,5
87,tt11122174,4
88,tt11137818,5
89,tt11151636,4
90,tt11192758,5
91,tt11198430,5
92,tt11204476,5
93,tt11210184,5
94,tt11238066,3
95,tt1126590,7
96,tt11315892,5
97,tt1133511,6
98,tt11348898,5
99,tt1141702,25
100,tt11430022,3
101,tt1147681,7
102,tt11567836,4
103,tt11648708,5
104,tt11738452,4
105,tt1180316,5
106,tt11861196,4
107,tt11861154,2
108,tt11866704,5
109,tt11880638,6
110,tt1188982,10
111,tt11903728,4
112,tt11974496,4
113,tt1198156,6
114,tt1198336,7
115,tt1205537,7
116,tt12087846,3
117,tt12087688,3
118,tt12152770,2
119,tt12153836,3
120,tt12157298,3
121,tt12157352,3
122,tt1216491,5
123,tt12223734,3
124,tt1225834,4
125,tt12275114,4
126,tt12299920,3
127,tt12325842,6
128,tt12349948,5
129,tt12386566,6
