,id,time_sec
0,tt0011801,3
1,tt0437086,4
2,tt0441881,4
3,tt0448115,4
4,tt10004944,4
5,tt10008602,2
6,tt10008304,2
7,tt10011102,4
8,tt10015432,2
9,tt10017680,5
10,tt10022974,2
11,tt10038028,4
12,tt10037312,21
13,tt10041958,2
14,tt10052928,3
15,tt10050738,2
16,tt10060386,4
17,tt10064270,4
18,tt10070730,4
19,tt10073438,3
20,tt10076722,4
21,tt10075374,2
22,tt10086692,2
23,tt10086834,4
24,tt10087134,3
25,tt10086906,4
26,tt10091268,6
27,tt10092368,3
28,tt10092142,2
29,tt10096422,3
30,tt10098494,5
31,tt10101054,2
32,tt10101166,6
33,tt10121762,3
34,tt10127274,4
35,tt10133300,3
36,tt10151260,4
37,tt10152214,4
38,tt10151318,4
39,tt10151866,4
40,tt10161238,4
41,tt10162740,3
42,tt10172204,2
43,tt10195832,2
44,tt10198432,60
45,tt10202194,2
46,tt10204316,3
47,tt10208198,4
48,tt10207954,3
49,tt10208548,4
50,tt10212922,3
51,tt10215026,3
52,tt10217328,4
53,tt10218664,4
54,tt10218674,4
55,tt10218782,2
56,tt10218838,5
57,tt10223114,4
58,tt10228168,4
59,tt10234438,4
60,tt10238788,5
61,tt10239930,5
62,tt1025100,4
63,tt10253816,4
64,tt10254472,4
65,tt10259846,2
66,tt10262346,4
67,tt10264016,2
68,tt10264732,3
69,tt10274930,2
70,tt10275440,4
71,tt10276554,5
72,tt10278270,2
73,tt10280636,3
74,tt10279010,4
75,tt10288820,5
76,tt10295602,6
77,tt10295684,3
78,tt10300578,5
79,tt10298006,3
80,tt10299440,2
81,tt10300662,3
82,tt10300254,2
83,tt10300602,3
84,tt10300380,4
85,tt10300710,4
86,tt10305328,3
87,tt10305872,4
88,tt10305616,4
89,tt10313192,5
90,tt10313614,3
91,tt10316018,4
92,tt10319676,6
93,tt10323688,4
94,tt10327712,4
95,tt10328498,1
96,tt10329838,3
97,tt10329842,5
98,tt10334624,6
99,tt10332260,5
100,tt10334562,2
101,tt10334602,4
102,tt10337550,6
103,tt10340444,6
104,tt10340366,5
105,tt10342070,2
106,tt10349448,3
107,tt10344382,1
108,tt10351352,3
109,tt10363058,3
110,tt10366324,3
