,name,link
0,Amitabh Bachchan,"('Amitabh Bachchan', 'https://www.imdb.com/name/nm0000821/?ref_=tt_cl_t_1')"
1,Farhan Akhtar,"('Farhan Akhtar', 'https://www.imdb.com/name/nm1027719/?ref_=tt_cl_t_2')"
2,Aditi Rao Hydari,"('Aditi Rao Hydari', 'https://www.imdb.com/name/nm2390814/?ref_=tt_cl_t_3')"
3,John Abraham,"('John Abraham', 'https://www.imdb.com/name/nm1303433/?ref_=tt_cl_t_4')"
4,Manav Kaul,"('Manav Kaul', 'https://www.imdb.com/name/nm1964139/?ref_=tt_cl_t_5')"
5,Neil Nitin Mukesh,"('Neil Nitin Mukesh', 'https://www.imdb.com/name/nm1778703/?ref_=tt_cl_t_6')"
6,Anjum Sharma,"('Anjum Sharma', 'https://www.imdb.com/name/nm2776317/?ref_=tt_cl_t_7')"
7,Prakash Belawadi,"('Prakash Belawadi', 'https://www.imdb.com/name/nm1388463/?ref_=tt_cl_t_8')"
8,Murli Sharma,"('Murli Sharma', 'https://www.imdb.com/name/nm1302330/?ref_=tt_cl_t_9')"
9,Nasir Khan,"('Nasir Khan', 'https://www.imdb.com/name/nm1177893/?ref_=tt_cl_t_10')"
10,Ewan McGregor,"('Ewan McGregor', 'https://www.imdb.com/name/nm0000191/?ref_=tt_cl_t_1')"
11,Jennifer Connelly,"('Jennifer Connelly', 'https://www.imdb.com/name/nm0000124/?ref_=tt_cl_t_2')"
12,Dakota Fanning,"('Dakota Fanning', 'https://www.imdb.com/name/nm0266824/?ref_=tt_cl_t_3')"
13,Peter Riegert,"('Peter Riegert', 'https://www.imdb.com/name/nm0726200/?ref_=tt_cl_t_4')"
14,Rupert Evans,"('Rupert Evans', 'https://www.imdb.com/name/nm1140344/?ref_=tt_cl_t_5')"
15,Uzo Aduba,"('Uzo Aduba', 'https://www.imdb.com/name/nm2499064/?ref_=tt_cl_t_6')"
16,Molly Parker,"('Molly Parker', 'https://www.imdb.com/name/nm0662504/?ref_=tt_cl_t_7')"
17,Valorie Curry,"('Valorie Curry', 'https://www.imdb.com/name/nm2038170/?ref_=tt_cl_t_8')"
18,Hannah Nordberg,"('Hannah Nordberg', 'https://www.imdb.com/name/nm6288651/?ref_=tt_cl_t_9')"
19,Julia Silverman,"('Julia Silverman', 'https://www.imdb.com/name/nm0798931/?ref_=tt_cl_t_10')"
20,Gemma Arterton,"('Gemma Arterton', 'https://www.imdb.com/name/nm2605345/?ref_=tt_cl_t_1')"
21,Sophie Nélisse,"('Sophie Nélisse', 'https://www.imdb.com/name/nm4563869/?ref_=tt_cl_t_2')"
22,Elliott Gould,"('Elliott Gould', 'https://www.imdb.com/name/nm0001285/?ref_=tt_cl_t_3')"
23,Derek Jacobi,"('Derek Jacobi', 'https://www.imdb.com/name/nm0001394/?ref_=tt_cl_t_4')"
24,Torri Higginson,"('Torri Higginson', 'https://www.imdb.com/name/nm0383533/?ref_=tt_cl_t_5')"
25,Mark Rendall,"('Mark Rendall', 'https://www.imdb.com/name/nm0719321/?ref_=tt_cl_t_6')"
26,Alex Ozerov-Meyer,"('Alex Ozerov-Meyer', 'https://www.imdb.com/name/nm4495030/?ref_=tt_cl_t_7')"
27,Jamie Bloch,"('Jamie Bloch', 'https://www.imdb.com/name/nm2752910/?ref_=tt_cl_t_8')"
28,Julian Bailey,"('Julian Bailey', 'https://www.imdb.com/name/nm1060258/?ref_=tt_cl_t_9')"
29,Masa Lizdek,"('Masa Lizdek', 'https://www.imdb.com/name/nm5765981/?ref_=tt_cl_t_10')"
30,Yana Drouz,"('Yana Drouz', 'https://www.imdb.com/name/nm0238390/?ref_=tt_cl_t_1')"
31,Ashot Adamyan,"('Ashot Adamyan', 'https://www.imdb.com/name/nm0010648/?ref_=tt_cl_t_2')"
32,Karen Dzhanibekyan,"('Karen Dzhanibekyan', 'https://www.imdb.com/name/nm0246126/?ref_=tt_cl_t_3')"
33,Hrachya Harutyunyan,"('Hrachya Harutyunyan', 'https://www.imdb.com/name/nm1571704/?ref_=tt_cl_t_4')"
34,Heghine Hovhannisyan,"('Heghine Hovhannisyan', 'https://www.imdb.com/name/nm8446005/?ref_=tt_cl_t_5')"
35,Harutyun Movsisyan,"('Harutyun Movsisyan', 'https://www.imdb.com/name/nm1381033/?ref_=tt_cl_t_6')"
36,Vigen Stepanyan,"('Vigen Stepanyan', 'https://www.imdb.com/name/nm0826820/?ref_=tt_cl_t_7')"
37,Josh Brolin,"('Josh Brolin', 'https://www.imdb.com/name/nm0000982/?ref_=tt_cl_t_1')"
38,George Clooney,"('George Clooney', 'https://www.imdb.com/name/nm0000123/?ref_=tt_cl_t_2')"
39,Alden Ehrenreich,"('Alden Ehrenreich', 'https://www.imdb.com/name/nm2403277/?ref_=tt_cl_t_3')"
40,Ralph Fiennes,"('Ralph Fiennes', 'https://www.imdb.com/name/nm0000146/?ref_=tt_cl_t_4')"
41,Scarlett Johansson,"('Scarlett Johansson', 'https://www.imdb.com/name/nm0424060/?ref_=tt_cl_t_5')"
42,Tilda Swinton,"('Tilda Swinton', 'https://www.imdb.com/name/nm0842770/?ref_=tt_cl_t_6')"
43,Channing Tatum,"('Channing Tatum', 'https://www.imdb.com/name/nm1475594/?ref_=tt_cl_t_7')"
44,Frances McDormand,"('Frances McDormand', 'https://www.imdb.com/name/nm0000531/?ref_=tt_cl_t_8')"
