,Nombre,Nacimiento,Conocido,Que hace,Premios,Oscar
0,Allison McCormack,Desconocido,"['Thoughtless', 'Love Birds', 'The Veil', 'Caught in the Middle-Anthologies']",['Reparto'],Desconocido,--
1,Marian Melancon,Desconocido,"['A Fatal Friend', 'Creep Van', 'Love Birds', 'Nuclear Shreds']","['Reparto', 'Maquillaje']",Desconocido,--
2,Travis Seaborn,Desconocido,[],[],Desconocido,--
3,Tommy Tallarino,Desconocido,"['Sin City Psycho', 'The Big House', 'Mob Men', 'The Sport Jerks']","['Guion', 'Producción', 'Reparto']",Desconocido,--
4,Michael Vitiello,Desconocido,"['Banished', 'The Bronx Bull', 'The Journeys', 'The Cell Mate']",['Reparto'],Desconocido,--
5,Leo Solomon,Desconocido,"['Veep', 'Homeland', 'Blue Bloods', 'Miénteme']","['Reparto', 'Guion', 'Equipo ejecutivo']",3 premios y 2 nominaciones,--
6,Siraj Huda,Desconocido,"['Postcard from Tahiti', 'La Garrapata', 'King Lahiri', 'Torn Pages']","['Reparto', 'Guion', 'Producción']",Desconocido,--
7,Liza Ramdeen,Desconocido,['Mater Mortis'],['Reparto'],Desconocido,--
8,Nazario Agramonte,Desconocido,"['Yes', 'Mater Mortis']",['Reparto'],Desconocido,--
9,Morgan Booker,Desconocido,"['Mater Mortis', 'April 21']","['Reparto', 'Producción']",Desconocido,--
10,Gregory Grage,Desconocido,['Mater Mortis'],['Reparto'],Desconocido,--
11,Sofiya Lopez,Desconocido,['Mater Mortis'],['Reparto'],Desconocido,--
12,Ruth Mirra,Desconocido,['Mater Mortis'],['Reparto'],Desconocido,--
13,Natalie Sena Murray,Desconocido,"['In the Dark', 'No Standing', 'A Good Assistant', 'Mater Mortis']","['Producción', 'Reparto']",Desconocido,--
14,Rebecca Nyahay,Desconocido,"['Blackwell Summers Mysteries', 'Cry', 'The Ribbon', 'America Adrift']","['Reparto', 'Producción', 'Dirección de la segunda unidad o asistencia a dirección']",Desconocido,--
15,Anila Balla,Desconocido,"['The News', 'Tirana 100 Km', 'Waterdrop', 'Revirgination']","['Reparto', 'Producción', 'Guion']",Desconocido,--
16,Visar Luli,Desconocido,['The Clown'],['Reparto'],Desconocido,--
17,Edon Petani,Desconocido,['The Clown'],['Reparto'],Desconocido,--
18,Kastriot Shehi,Desconocido,"['Piovono mucche', 'Zë', 'Hije', 'Amore pensaci tu']",['Reparto'],Desconocido,--
19,Marcos de la Rosa,Desconocido,"['Vagabond', 'Cold Light', 'El Peyero Enmascarado', 'Kill or Die']","['Reparto', 'Especialistas', 'Dirección']",1 premio,--
20,Elisabeth Angulo,Desconocido,"['Des...', 'Vagabond', 'León', 'Ángel o demonio']","['Reparto', 'Especialistas']",Desconocido,--
21,José Fopiani,Desconocido,"['La dama del bosque maldito', 'Cold Light', 'Cambio de sentido', 'Vagabond']","['Reparto', 'Especialistas', 'Producción']",1 premio,--
22,Pau Blanch,Desconocido,"['Vagabond', 'La chica del pañuelo rosa', 'El Vigía', 'El Ultimo Baile de Dunas Mitchell']",['Reparto'],Desconocido,--
23,Iris Cirvian Morena,Desconocido,"['Vagabond', 'Por H o por B', 'El cumple']",['Reparto'],Desconocido,--
24,Kenji Shimohira,Desconocido,"['Cold Light', 'Kill or Die', 'Vagabond', 'SUNFAIA: Escandalosa']","['Reparto', 'Especialistas']",Desconocido,--
25,Alexander Torres,Desconocido,"['Cold Light', 'Rough Dog', 'Kill or Die', 'Vagabond']","['Reparto', 'Especialistas']",Desconocido,--
26,Carolyn Grundman,Desconocido,"['Unidentified', 'A Thousand Little Cuts', 'A Christmas Frequency', 'NCIS: Los Ángeles']",['Reparto'],Desconocido,--
27,Valerie Gould,Desconocido,"['Moving Out', 'Mental Barriers', 'Survival Jobs', 'The World Next Door']",['Reparto'],1 nominación,--
28,Milda Dacys,Desconocido,"['American Crime Story', 'Larry David (Curb Your Enthusiasm)', 'Anatomía de Grey', 'Cheers']","['Reparto', 'Guion', 'Equipos adicionales']",Desconocido,--
29,Vitaly Gk,Desconocido,"['Brawny Comedy Show', 'Playing the Crease', 'Miracle: The Milagro in Tafticopa', 'Destiny']","['Reparto', 'Guion', 'Producción']",Desconocido,--
30,Paul Keating,Desconocido,"['1 Night in San Diego', 'Last Daze of Summer', 'Ready to Mingle', 'Dumble Fumble']",['Reparto'],Desconocido,--
31,Karenssa LeGear,Desconocido,"['Veronica Mars', 'Melodia de Navidad', 'Killer Contractor', 'Sister Mercy']","['Reparto', 'Producción', 'Dirección de casting']",4 premios y 5 nominaciones,--
32,Adam Noble,Desconocido,"['Spanish Fly', 'Beyond Belief: Fact or Fiction', 'Rey de las hormigas', 'New World Order']",['Reparto'],Desconocido,--
33,Erzsébet Ecsedi,1954,"['A meg nem érintett', 'Kabala', 'Térmetszés', 'Régimódi történet']",['Reparto'],Desconocido,--
34,Adél Jordán,1980,"['Isteni müszak', '9 citas y media', 'Nyitva', 'Akik maradtak']","['Reparto', 'Equipos adicionales']",1 nominación,--
35,Andor Lukáts,1943,"['Prima Primavera', 'Mázli', 'Portugál', 'A három növér']","['Reparto', 'Dirección', 'Guion']",3 premios,--
36,Maya Vágó,Desconocido,['Nagypapa'],['Reparto'],Desconocido,--
37,Pony Nicole Herauf,Desconocido,"['I Wanna Make a Movie, or I Wanna Die Trying', 'Breaking Up for the Modern Girl', 'Bananas Stand Up Straight', 'Art Baby']","['Reparto', 'Guion', 'Dirección']",6 premios,--
38,Mattie Driscoll,Desconocido,"['Breaking Up for the Modern Girl', 'Temerás a tu vecino', 'I Wanna Make a Movie, or I Wanna Die Trying', 'Art Baby']",['Reparto'],1 premio,--
39,Dante Emmanuel,Desconocido,"['I Wanna Make a Movie, or I Wanna Die Trying']",['Reparto'],Desconocido,--
40,Anna Greene,Desconocido,"['Vindicator', 'Down Below', 'Terrible Children']","['Reparto', 'Producción']",1 premio y 1 nominación,--
41,Graham Jenkins,Desconocido,"['Clay Dragons', 'Madness: Project Nexus Cinematic', 'The Box', 'Paintless']","['Reparto', 'Guion', 'Producción']",2 premios,--
42,Joy Del Valle,Desconocido,"['Sexually Frank', 'Unplugged', 'Hurry Up & Wait']",['Reparto'],Desconocido,--
43,Riley J. Ewing,Desconocido,"['Hurry Up & Wait', 'American Aliens', 'Unplugged', 'Split Blood']","['Producción', 'Guion', 'Reparto']",Desconocido,--
44,Alec Irion,Desconocido,"['Unplugged', 'The Deuce (Las crónicas de Times Square)']",['Reparto'],Desconocido,--
45,Sydnee Savannah Williams,Desconocido,"['Unplugged', 'Roman Ruin', 'Respectfully']",['Reparto'],Desconocido,--
46,Angelina Karo,Desconocido,"['Nix', 'Dolly', 'Dhar Mann', 'Righteous Blood']",['Reparto'],Desconocido,--
47,Shannon Mitchell,Desconocido,"['Turnover', 'Nightshade', 'Little Caesar', 'Calvari']",['Reparto'],Desconocido,--
48,Steven P. Nemphos,Desconocido,"['Under the Burning Sun', 'Athena', 'Ted Bundy: American Boogeyman', ""A Grunt's Life""]","['Reparto', 'Casting']",Desconocido,--
49,Cameron Hamilton,Desconocido,"['Cleanse Night', 'A War on Friendly Grounds', 'Dolly', 'Finding Mr. Divine']",['Reparto'],Desconocido,--
50,Lynn Allinger,Desconocido,"['Never Too Late', 'Los Angelesin kuningas', 'Trailer Park Queen', 'The Reception']","['Reparto', 'Especialistas']",4 premios y 2 nominaciones,--
51,Michael Condron,Desconocido,"['Coronation Street', 'Juego de tronos', 'Soft Border Patrol', 'High-Rise']",['Reparto'],1 premio y 1 nominación,--
52,Mary-Frances Doherty,Desconocido,"['2p', 'Hardy Hands', 'The Eternal Not', 'Coyote']",['Reparto'],Desconocido,--
53,James Fitzsimons,Desconocido,['Coyote'],['Reparto'],Desconocido,--
54,Kai Johnson,Desconocido,"['Harry Nathan: Rooftops', 'Yonsei', 'Mack Chat', 'Walk the Moon: Work This Body']",['Reparto'],Desconocido,--
55,Nerida Bronwen,Desconocido,"['600 Bottles of Wine', 'Corn', 'Hovid Povid', 'Toxic']","['Reparto', 'Guion', 'Producción']",Desconocido,--
56,Patrick Hambrick,Desconocido,"['Chasing the Green', 'True Believers', 'The Shadow Diaries', 'Corn']","['Reparto', 'Composición']",Desconocido,--
57,Em Siobhan McCourt,Desconocido,"[""Jupiter's Legacy"", ""Kim's Convenience"", 'Los misterios de Murdoch', 'Bunker Burger']","['Reparto', 'Producción', 'Guion']",1 premio,--
58,Corben Kushneryk,Desconocido,"['Condolences', 'Home Again']",['Reparto'],Desconocido,--
59,Bernadette Janssen,Desconocido,"['The Secret History of: The Wild West', 'Home Again', 'Supposition', 'Paranormal Witness']","['Reparto', 'Producción', 'Dirección de la segunda unidad o asistencia a dirección']",Desconocido,--
60,Rae Farrer,Desconocido,"['Burn Your Maps', 'Young Drunk Punk', 'Fargo', 'Realization']","['Reparto', 'Producción', 'Dirección de la segunda unidad o asistencia a dirección']",1 premio,--
61,Frederik Carlsen,Desconocido,"['Kakerlak', 'Your Flesh Your Curse', 'En frygtelig kvinde', 'Hjortehuset']","['Reparto', 'Producción', 'Guion']",Desconocido,--
62,Miriam Majcherek,Desconocido,"['Kakerlak', 'Smagsløs', 'Fars Drenge']",['Reparto'],Desconocido,--
63,Mie Gren,Desconocido,"['Månebrand', ""We'll always have Paris"", 'Ukrudt', 'Simon G.H']","['Reparto', 'Guion', 'Edición']",3 premios,--
64,Claus Flygare,1945,"['Después de la boda', 'Det sjunkne kloster', 'El reino', 'Dicte (Serie de TV)']","['Reparto', 'Guion', 'Banda sonora']",1 premio,--
65,Katrine Bogh,Desconocido,"['Mommy, Why Is Santa Crying?', 'Kakerlak', 'Konfirmanden']",['Reparto'],Desconocido,--
66,Lasse Voss,Desconocido,"['Heartless', 'The Neolith', 'Lisa', 'Min fars krig']",['Reparto'],Desconocido,--
67,Siff Andersson,1993,"['Victim of Love', 'Gudsforladt', 'Insekt', '60 Seconds to Die']","['Reparto', 'Guion', 'Producción']",4 premios y 2 nominaciones,--
68,Daniel B. Dikov,Desconocido,"['60 Seconds to Di3', 'Brain in a Jar', 'The Sommerdahl Murders', 'Min fars krig']","['Reparto', 'Dirección', 'Guion']",Desconocido,--
69,Hanne Løvendahl,1954,"['El reino', 'Halalabad Blues', 'Fukssvansen', 'Jul i kommunen']",['Reparto'],Desconocido,--
70,Simon Carl Köber,Desconocido,['A Glimpse Into Trauma'],['Reparto'],Desconocido,--
71,Jennifer Toman,Desconocido,"[""True Nature's Child"", 'On Parole', 'A Glimpse Into Trauma']",['Reparto'],Desconocido,--
72,Mia Maria Müller,Desconocido,['A Glimpse Into Trauma'],['Reparto'],Desconocido,--
73,Regina Felber,Desconocido,['A Glimpse Into Trauma'],['Reparto'],Desconocido,--
74,Joachim Zerbst,Desconocido,"['A Glimpse Into Trauma', 'Panorama Apotheke Commercial']",['Reparto'],Desconocido,--
75,Moritz Modrakowski,Desconocido,['A Glimpse Into Trauma'],['Reparto'],Desconocido,--
76,Lene Schwarz,Desconocido,['A Glimpse Into Trauma'],['Reparto'],Desconocido,--
77,Markus Faust,Desconocido,['A Glimpse Into Trauma'],['Reparto'],Desconocido,--
78,Jens Gringmuth,Desconocido,['A Glimpse Into Trauma'],['Reparto'],Desconocido,--
79,Maxi Thümer,Desconocido,['A Glimpse Into Trauma'],['Reparto'],Desconocido,--
80,Karen Summerton,Desconocido,"['Todo sobre mi desmadre', 'Partners in Crime', 'The Improviser', 'The Karen & Jackie Show']","['Reparto', 'Guion', 'Dirección']",1 premio,--
81,Tamika Pettway,Desconocido,"['Good Grief', 'Exposure', 'Blood Descendants']",['Reparto'],1 premio,--
82,Alec Wirth,Desconocido,"['Superman Roommate Intervention', 'Good Grief', 'Deeply Unfriendly', 'Impractical Jokers: Inside Jokes']","['Reparto', 'Equipos adicionales', 'Guion']",1 premio,--
83,Kyran Rodriguez Dogmoch,Desconocido,"['Room 4D', 'Inner Calling']",['Reparto'],Desconocido,--
84,Åsmund Brede Eike,1970,"['Den Dagen', 'Øyevitne', 'El último rey', 'Kodenavn Hunter']","['Reparto', 'Guion', 'Guion y continuidad']",4 premios,--
85,Tuisku Pekkarinen,Desconocido,['Inner Calling'],['Reparto'],Desconocido,--
86,Maximiliano Luciuk,Desconocido,"['True Obsession', ""That's the Plan"", 'Hombre muerto no sabe vivir', 'Cuckoo Loco']","['Reparto', 'Guion', 'Dirección de la segunda unidad o asistencia a dirección']",2 premios y 2 nominaciones,--
87,Karl Adrian Ringdal,Desconocido,"['White Plague', 'Brave', 'Inner Calling', 'The Neighbor']",['Reparto'],Desconocido,--
88,Theo Germaine,1992,"['The Politician', 'Spark', 'Steam', 'They/Them']","['Reparto', 'Guion']",1 nominación,--
89,Eric Dorsa,Desconocido,"['Boysugar', ""What's Your Hell?""]","['Reparto', 'Maquillaje']",Desconocido,--
90,Alex Christopher,Desconocido,['Boysugar'],['Reparto'],Desconocido,--
91,Dane Valerio,Desconocido,"['Bleed American', 'Athens of the Prairie', ""Into the Devil's Reach"", 'Filling the House']","['Reparto', 'Producción']",1 premio,--
92,Nathaniel Pusey,Desconocido,"['Flawless', 'Boysugar']",['Reparto'],Desconocido,--
93,Taylor Cobb,Desconocido,['Wayward'],['Reparto'],Desconocido,--
94,Zachary Conklin,Desconocido,"['Wayward', 'Dandelion']","['Reparto', 'Cámara y electricidad']",Desconocido,--
