titulo,puntuacion
Az ember tragédiája,No existe puntuacion
Los pájaros se van con la muerte,No existe puntuacion
Lives No Longer Ours,No existe puntuacion
The Wicker Tree,20%
Spy,100%
The Rum Diary,51%
Bubbles,No existe puntuacion
Seven Fallen Objects,Valoración: 11%
El borde del tiempo,No existe puntuacion
Real Steel,60%
Satin,No existe puntuacion
Moving Target,33%
A Bird of the Air,30%
Generation P,75%
The Grasslands,No existe puntuacion
Silent Alarm,No existe puntuacion
Act Your Age,No existe puntuacion
Margaret,75%
Platinum Illusions,"Valoración: 7,1/10"
The Pack,19%
Extremely Loud & Incredibly Close,Valoración: 45%
The Tree of Life,85%
Atlas Shrugged: Part I,12%
Abhishapt,No existe puntuacion
Gente mala del norte,"Valoración: 8,8/10"
Something Borrowed,Valoración: 15%
Double Tap,No existe puntuacion
California Indian,No existe puntuacion
Drive,Valoración: 93%
Wilde Salomé,80%
Red Dog,84%
Spoon,No existe puntuacion
The King Hector Lavoe,No existe puntuacion
Take Me Home Tonight,28%
Shanghai Hotel,No existe puntuacion
Où va la nuit,"Valoración: 6,4/10"
Loot,Valoración: 83%
Mama I Want to Sing,65%
Sanctum,30%
Blur,No existe puntuacion
From Prada to Nada,24%
The Key Man,20%
Black Butterflies,69%
Periphery,No existe puntuacion
Source Code,92%
Hugo,Valoración: 93%
Funkytown,Valoración: 46%
Hanna,72%
The Unforgiven,Valoración: 96%
Straw Dogs,42%
If You Only Knew,No existe puntuacion
The Iron Lady,52%
Colombian Interviews,No existe puntuacion
The Magic Skin,No existe puntuacion
The Murderer: Hamilton Palace,No existe puntuacion
"Une rencontre, une histoire",No existe puntuacion
JAI SHREE VEER BABA DEO,No existe puntuacion
Pax,No existe puntuacion
Qing gui tao ran ting,No existe puntuacion
Chon-cheol-sal-in,No existe puntuacion
Corazones en llamas,No existe puntuacion
Life Outside,Valoración: 81%
"Tôi Nay, 8 Gio!",No existe puntuacion
Session,Valoración: 86%
Neugierde,No existe puntuacion
Xing ying bu li,No existe puntuacion
The Descendants,Valoración: 87%
Somewhere Tonight,50%
The Eagle,39%
Manipulation,No existe puntuacion
You and I,42%
Rest im Glas,No existe puntuacion
Agawan Base,No existe puntuacion
Bhaucha Dhakka,No existe puntuacion
Destiny of Three,No existe puntuacion
Dreams Awake,60%
Hum Dono Rangeen,No existe puntuacion
The Ascension,No existe puntuacion
Water for Elephants,Valoración: 60%
Footloose,68%
Nobody Fucks Nico,No existe puntuacion
Crescent City,No existe puntuacion
