,Puntuacion_IMDB,Dirección,Guionistas,Argumento,Duración,Nombre de la película
0,"6,9",['Declan Lowney'],DESCONOCIDO,"When famous DJ Alan Partridge's radio station is taken over by a new media conglomerate, it sets in motion a chain of events which see Alan having to work with the police to defuse a potentially violent siege.",1h 30min,Alan Partridge: Alpha Papa
1,"5,9",['Michael Adante'],['Michael Adante'],"A young by-the-book detective gets partnered with a seasoned, renegade undercover cop to solve a brutal gangland murder.",1h 30min,Without Warrant
2,"3,7",['Roger Christian'],"['Peter Atkins', 'Anthony Hickox']","Una expedición multinacional descubre una ciudad perdida debajo de una pirámide, donde deben evitar que los Dioses despertados del antiguo Egipto inicien el Apocalipsis.",1h 25min,Prisioneros del sol
3,"7,1",['Zack Snyder'],DESCONOCIDO,Un niño alienígena es evacuado de su mundo moribundo y enviado a la Tierra para vivir entre los humanos. Su paz se ve amenazada cuando otros supervivientes de su planeta natal invaden la Tierra.,2h 23min,El hombre de acero
4,"5,6",['Robert Schwentke'],DESCONOCIDO,Un policía recientemente asesinado se une a un equipo de policías no muertos que trabajan para el R.I.P.D. y trata de encontrar al hombre que lo asesinó.,1h 36min,R.I.P.D. Departamento de policía mortal
5,"7,0",['Marc Forster'],DESCONOCIDO,"Gerry Lane, antiguo empleado de las Naciones Unidas, recorre el mundo en una carrera contrarreloj para detener una pandemia zombi que está derribando ejércitos y gobiernos y amenaza con destruir a la humanidad.",1h 56min,Guerra mundial Z
6,"5,1",['Leone Marucci'],['Leone Marucci'],Religious conspiracy collides with urban crime in a story told from multiple perspectives.,1h 36min,The Power of Few
7,"6,6",['Chris Wedge'],DESCONOCIDO,Una adolescente se encuentra transportada a las profundidades de un bosque donde tiene lugar una batalla entre las fuerzas del bien y las fuerzas del mal. Se une a un grupo de personajes curiosos para salvar su mundo y el nuestro.,1h 42min,Epic: El mundo secreto
8,"6,4",['Ric Roman Waugh'],"['Justin Haythe', 'Ric Roman Waugh']","Un padre va de incógnito para la DEA con el fin de liberar a su hijo, que fue encarcelado después de que le tendieran una trampa en un negocio de drogas.",1h 52min,El mensajero
9,"6,3",['David Jetre'],['David Jetre'],In 1862 a Dutch widow travels to the Old West to discover the fate of her husband and learn the horrible secret of the town in which he died.,1h 30min,Shroud
10,"2,2",['Tara Cardinal'],DESCONOCIDO,"Durante mil años, los Reapers protegieron a la humanidad de los demonios que acechan en la oscuridad. Ahora, al comienzo de una nueva era, los Reapers son traicionados y masacrados. Sólo queda una Reaper: Red, y ella quiere vengarse.",1h 39min,Legend of the Red Reaper
11,--,['Shaunak Shirole'],['Shaunak Sirrole'],Ranbhoomi is the film based on college politics in Marathwada.,--,Ranbhoomi
12,--,['Khyler Vick'],['Khyler Vick'],,--,blockheaDs the Movie
13,"4,4",['Ghaz Abu Bakar'],"['Ghaz Abu Bakar', 'Helmi Jamil', 'Fadzil Zahari']","When news of Tuan Gan's death spreads, it shocks all the drug dealers in Malaysia, including Tuan Kamil. Tuan Kamil is one of the biggest drug dealers in Melaka and he oversees seven other drug dealers, including Mat Lobe, who is the youngest among them. His friends are fellow drug dealers Yusof and Solihin. Their carefree lives are overturned by Tuan Gan's death, whi... Leer todo",1h 23min,Tokan
