,name,link
0,Tamás Ravasz,"('Tamás Ravasz', 'https://www.imdb.com/name/nm3200225/?ref_=tt_cl_t_1')"
1,János Derzsi,"('János Derzsi', 'https://www.imdb.com/name/nm0220729/?ref_=tt_cl_t_2')"
2,Andrea Nagy,"('Andrea Nagy', 'https://www.imdb.com/name/nm0619430/?ref_=tt_cl_t_3')"
3,Lukács Bicskey,"('Lukács Bicskey', 'https://www.imdb.com/name/nm0081090/?ref_=tt_cl_t_4')"
4,István Znamenák,"('István Znamenák', 'https://www.imdb.com/name/nm0957482/?ref_=tt_cl_t_5')"
5,Barnabás Tóth,"('Barnabás Tóth', 'https://www.imdb.com/name/nm0879436/?ref_=tt_cl_t_1')"
6,Bezerédi Zoltán,"('Bezerédi Zoltán', 'https://www.imdb.com/name/nm0080077/?ref_=tt_cl_t_2')"
7,Levente Molnár,"('Levente Molnár', 'https://www.imdb.com/name/nm2457497/?ref_=tt_cl_t_3')"
8,Linda Lisztes,"('Linda Lisztes', 'https://www.imdb.com/name/nm2510515/?ref_=tt_cl_t_4')"
9,Béla Spindler,"('Béla Spindler', 'https://www.imdb.com/name/nm0818854/?ref_=tt_cl_t_5')"
10,Angéla Eke,"('Angéla Eke', 'https://www.imdb.com/name/nm2892259/?ref_=tt_cl_t_6')"
11,Gerda Pikali,"('Gerda Pikali', 'https://www.imdb.com/name/nm0961550/?ref_=tt_cl_t_7')"
12,Betta Lipcsei,"('Betta Lipcsei', 'https://www.imdb.com/name/nm2025408/?ref_=tt_cl_t_8')"
13,Douceline Derreal,"('Douceline Derreal', 'https://www.imdb.com/name/nm2526706/?ref_=tt_cl_t_9')"
14,Olivier-Jacques Bernard,"('Olivier-Jacques Bernard', 'https://www.imdb.com/name/nm3150470/?ref_=tt_cl_t_10')"
15,Saif Ali Khan,"('Saif Ali Khan', 'https://www.imdb.com/name/nm0451307/?ref_=tt_cl_t_1')"
16,Atul Agnihotri,"('Atul Agnihotri', 'https://www.imdb.com/name/nm0013158/?ref_=tt_cl_t_2')"
17,Pooja Bhatt,"('Pooja Bhatt', 'https://www.imdb.com/name/nm0080324/?ref_=tt_cl_t_3')"
18,Sheeba Agarwal,"('Sheeba Agarwal', 'https://www.imdb.com/name/nm0790554/?ref_=tt_cl_t_4')"
19,Vikas Anand,"('Vikas Anand', 'https://www.imdb.com/name/nm0025630/?ref_=tt_cl_t_5')"
20,Tabassum Govil,"('Tabassum Govil', 'https://www.imdb.com/name/nm0045141/?ref_=tt_cl_t_6')"
21,Dinesh Hingoo,"('Dinesh Hingoo', 'https://www.imdb.com/name/nm0455454/?ref_=tt_cl_t_7')"
22,Saeed Jaffrey,"('Saeed Jaffrey', 'https://www.imdb.com/name/nm0006762/?ref_=tt_cl_t_8')"
23,Shashi Kiran,"('Shashi Kiran', 'https://www.imdb.com/name/nm0456094/?ref_=tt_cl_t_9')"
24,Alok Nath,"('Alok Nath', 'https://www.imdb.com/name/nm0622186/?ref_=tt_cl_t_10')"
25,Ken Ward,"('Ken Ward', 'https://www.imdb.com/name/nm0911662/?ref_=tt_cl_t_1')"
26,Darlene Conte,"('Darlene Conte', 'https://www.imdb.com/name/nm0444891/?ref_=tt_cl_t_2')"
