,Puntuacion_IMDB,Dirección,Guionistas,Argumento,Duración,Nombre de la película
0,"5,9",['Jake Hull'],['Jake Hull'],A dark comedy about a reclusive college student who aspires to become one of America's greatest serial killers.,1h 11min,Grapes: The Story of an Aspiring Serial Killer
1,"5,9",['Milos Smídmajer'],DESCONOCIDO,"In this comedy fantasy, a royal wedding in the works. But a stubborn princess is up against an equally hard-headed prince: will there be a wedding, or a war?",1h 35min,Peklo s princeznou
2,"4,9",['Marie Polednáková'],['Marie Polednáková'],"High school professor Helena is one of the favorite teachers. While her professional life is going great, her personal life is taking unpredictable turns - and her extended family provides plenty of opportunities.",1h 56min,Líbás jako buh
3,"6,6",['Michael Monks'],"['Robert Lawson Gordon', 'Will Hurst']","In this heartfelt, indie romantic comedy, Joe returns home hoping to figure out what to do with his life after getting fired and finding out his wife is cheating on him with his rival coworker. But instead of finding peace and quiet at home, Joe ends up in a rivalry with his infuriating brother, Brody, after they bump into their mutual crush from high school.",1h 28min,Siblings
4,"3,7",['David Dhawan'],['Yunus Sajawal'],A man and a woman have to pretend to be a couple in order to salvage a CEO's marriage.,2h 6min,Do Knot Disturb
5,"4,1",['Tomasz Szafranski'],DESCONOCIDO,"A comedy about a psychic who pretends to believe that magic exists, a gigolo who pretends to believe the psychic, an illusionist who pretends to be somebody else and a desperate woman who believes she will find true happiness in love... when she's dead. Lenka is a psychic who besides telling fortunes is great at depriving her clients of them, with the help of an extra... Leer todo",1h 55min,Od pelni do pelni
6,"6,9",['Graham Elwood'],DESCONOCIDO,"Stand-up comedian Graham Elwood's harrowing, psychedelic journey through war zones to entertain the troops in Afghanistan.",1h 30min,Laffghanistan: Comedy Down Range
7,"5,6","['Til Schweiger', 'Torsten Künstler']","['Anika Decker', 'Til Schweiger']","Ludo Decker and Anna Gotzlowski have been living together for two years. Everyday routine has set in, with Ludo neglecting his household responsibilities much to Anna's dislike, while he is in turn annoyed by her constant complaining. When Ludo runs into his former lover Marie in the disco, and Anna's old boyfriend Ralf comes to stay in their flat for a few days, the ... Leer todo",2h 4min,Sobreviviendo al amor
8,"3,5",['Zhong Zheng'],"['Zhong Zheng', 'Heiko van der Scherm']",An American businessman travels to Beijing in search of a gullible Chinese investor.,1h 30min,Qi chuan xu xu
9,"3,2","['Jirí Chlumský', 'Pavel Göbl']","['Radan Dolejs', 'Jan Rokusek']","A young boy named Honza is a bad student, but becomes a promising golfer and experiences the sweet life in the spotlight. But he almost loses not only his girl but also himself in the process.",1h 35min,"Veni, vidi, vici"
10,"5,7",['Ryan Denmark'],"['Ryan Denmark', 'William Shakespeare', 'Jason Witter']","When Juliet, of noble Capulet birth, falls madly in love with Romeo, a zombie, the streets of fair Verona explode in an ancient feud. As the star crossed lovers struggle to overcome the prejudice toward their unholy union, Juliet's best friend Mercutio fights to win her heart back from Romeo's rotting grasp. As this timeless tragedy unfolds into a fresh new comedy, Me... Leer todo",1h 24min,Romeo & Juliet vs. The Living Dead
11,"6,3","['Jeremy Childs', 'Karen Garcia']",['Jeremy Childs'],,--,Blood Rogues
