,name,link
0,Alessandro Preziosi,"('Alessandro Preziosi', 'https://www.imdb.com/name/nm0696725/?ref_=tt_cl_t_1')"
1,Lando Buzzanca,"('Lando Buzzanca', 'https://www.imdb.com/name/nm0125627/?ref_=tt_cl_t_2')"
2,Cristiana Capotondi,"('Cristiana Capotondi', 'https://www.imdb.com/name/nm0135404/?ref_=tt_cl_t_3')"
3,Guido Caprino,"('Guido Caprino', 'https://www.imdb.com/name/nm1926453/?ref_=tt_cl_t_4')"
4,Assumpta Serna,"('Assumpta Serna', 'https://www.imdb.com/name/nm0785264/?ref_=tt_cl_t_5')"
5,Sebastiano Lo Monaco,"('Sebastiano Lo Monaco', 'https://www.imdb.com/name/nm0516241/?ref_=tt_cl_t_6')"
6,Giselda Volodi,"('Giselda Volodi', 'https://www.imdb.com/name/nm0901667/?ref_=tt_cl_t_7')"
7,Paolo Calabresi,"('Paolo Calabresi', 'https://www.imdb.com/name/nm0129227/?ref_=tt_cl_t_8')"
8,Biagio Pelligra,"('Biagio Pelligra', 'https://www.imdb.com/name/nm0671195/?ref_=tt_cl_t_9')"
9,Giovanna Bozzolo,"('Giovanna Bozzolo', 'https://www.imdb.com/name/nm0102563/?ref_=tt_cl_t_10')"
10,Ignazio Oliva,"('Ignazio Oliva', 'https://www.imdb.com/name/nm0646510/?ref_=tt_cl_t_1')"
11,Rade Serbedzija,"('Rade Serbedzija', 'https://www.imdb.com/name/nm0784884/?ref_=tt_cl_t_2')"
12,Paolo Villaggio,"('Paolo Villaggio', 'https://www.imdb.com/name/nm0897715/?ref_=tt_cl_t_3')"
13,Cristina Moglia,"('Cristina Moglia', 'https://www.imdb.com/name/nm0595771/?ref_=tt_cl_t_4')"
14,Emir Kusturica,"('Emir Kusturica', 'https://www.imdb.com/name/nm0001437/?ref_=tt_cl_t_5')"
15,Lucija Serbedzija,"('Lucija Serbedzija', 'https://www.imdb.com/name/nm0784883/?ref_=tt_cl_t_6')"
16,Andrea Bruschi,"('Andrea Bruschi', 'https://www.imdb.com/name/nm0116671/?ref_=tt_cl_t_7')"
17,Dejan Acimovic,"('Dejan Acimovic', 'https://www.imdb.com/name/nm0009900/?ref_=tt_cl_t_8')"
18,Mate Parlov,"('Mate Parlov', 'https://www.imdb.com/name/nm0663083/?ref_=tt_cl_t_9')"
19,Franko Blagonic,"('Franko Blagonic', 'https://www.imdb.com/name/nm0086070/?ref_=tt_cl_t_10')"
20,Hayden Christensen,"('Hayden Christensen', 'https://www.imdb.com/name/nm0159789/?ref_=tt_cl_t_1')"
21,Jessica Alba,"('Jessica Alba', 'https://www.imdb.com/name/nm0004695/?ref_=tt_cl_t_2')"
22,Terrence Howard,"('Terrence Howard', 'https://www.imdb.com/name/nm0005024/?ref_=tt_cl_t_3')"
23,Lena Olin,"('Lena Olin', 'https://www.imdb.com/name/nm0000565/?ref_=tt_cl_t_4')"
24,Christopher McDonald,"('Christopher McDonald', 'https://www.imdb.com/name/nm0001520/?ref_=tt_cl_t_5')"
25,Sam Robards,"('Sam Robards', 'https://www.imdb.com/name/nm0730168/?ref_=tt_cl_t_6')"
26,Arliss Howard,"('Arliss Howard', 'https://www.imdb.com/name/nm0397124/?ref_=tt_cl_t_7')"
27,Fisher Stevens,"('Fisher Stevens', 'https://www.imdb.com/name/nm0001770/?ref_=tt_cl_t_8')"
28,Georgina Chapman,"('Georgina Chapman', 'https://www.imdb.com/name/nm1312338/?ref_=tt_cl_t_9')"
29,David Harbour,"('David Harbour', 'https://www.imdb.com/name/nm1092086/?ref_=tt_cl_t_10')"
30,Jimi Mistry,"('Jimi Mistry', 'https://www.imdb.com/name/nm0592993/?ref_=tt_cl_t_1')"
31,Kristin Kreuk,"('Kristin Kreuk', 'https://www.imdb.com/name/nm0471036/?ref_=tt_cl_t_2')"
32,Neve Campbell,"('Neve Campbell', 'https://www.imdb.com/name/nm0000117/?ref_=tt_cl_t_3')"
33,John Light,"('John Light', 'https://www.imdb.com/name/nm0509936/?ref_=tt_cl_t_4')"
34,Irrfan Khan,"('Irrfan Khan', 'https://www.imdb.com/name/nm0451234/?ref_=tt_cl_t_5')"
35,Madhur Jaffrey,"('Madhur Jaffrey', 'https://www.imdb.com/name/nm0415528/?ref_=tt_cl_t_6')"
36,Arya Babbar,"('Arya Babbar', 'https://www.imdb.com/name/nm1191646/?ref_=tt_cl_t_7')"
37,Lushin Dubey,"('Lushin Dubey', 'https://www.imdb.com/name/nm1876057/?ref_=tt_cl_t_8')"
38,Chenier Hundal,"('Chenier Hundal', 'https://www.imdb.com/name/nm1698850/?ref_=tt_cl_t_9')"
39,Jesse Moss,"('Jesse Moss', 'https://www.imdb.com/name/nm1536605/?ref_=tt_cl_t_10')"
40,James Y. Jones,"('James Y. Jones', 'https://www.imdb.com/name/nm1183035/?ref_=tt_cl_t_1')"
41,Heather Miller,"('Heather Miller', 'https://www.imdb.com/name/nm1792530/?ref_=tt_cl_t_2')"
42,Rich Komenich,"('Rich Komenich', 'https://www.imdb.com/name/nm0464620/?ref_=tt_cl_t_3')"
43,Gary Sugarman,"('Gary Sugarman', 'https://www.imdb.com/name/nm1182556/?ref_=tt_cl_t_4')"
44,Sean Vernaglia,"('Sean Vernaglia', 'https://www.imdb.com/name/nm0894490/?ref_=tt_cl_t_5')"
45,Bernard Washington,"('Bernard Washington', 'https://www.imdb.com/name/nm1183219/?ref_=tt_cl_t_6')"
46,Joseph Severeno,"('Joseph Severeno', 'https://www.imdb.com/name/nm1182423/?ref_=tt_cl_t_7')"
