,name,link
0,Ian Hart,"('Ian Hart', 'https://www.imdb.com/name/nm0001324/?ref_=tt_cl_t_1')"
1,Claudia Wells,"('Claudia Wells', 'https://www.imdb.com/name/nm0920148/?ref_=tt_cl_t_2')"
2,Lina Broydo,"('Lina Broydo', 'https://www.imdb.com/name/nm0115304/?ref_=tt_cl_t_3')"
3,Ian Davidson,"('Ian Davidson', 'https://www.imdb.com/name/nm0203349/?ref_=tt_cl_t_4')"
4,Jens Hussie,"('Jens Hussie', 'https://www.imdb.com/name/nm0404052/?ref_=tt_cl_t_6')"
5,Martin Kachuck,"('Martin Kachuck', 'https://www.imdb.com/name/nm0434185/?ref_=tt_cl_t_7')"
6,Bert Kinyon,"('Bert Kinyon', 'https://www.imdb.com/name/nm0455948/?ref_=tt_cl_t_8')"
7,Darren McGavin,"('Darren McGavin', 'https://www.imdb.com/name/nm0569000/?ref_=tt_cl_t_9')"
8,Daniel Osuna,"('Daniel Osuna', 'https://www.imdb.com/name/nm0652596/?ref_=tt_cl_t_10')"
9,Corin Nemec,"('Corin Nemec', 'https://www.imdb.com/name/nm0005269/?ref_=tt_cl_t_1')"
10,Bruce Weitz,"('Bruce Weitz', 'https://www.imdb.com/name/nm0919361/?ref_=tt_cl_t_2')"
11,Nancy Allen,"('Nancy Allen', 'https://www.imdb.com/name/nm0000262/?ref_=tt_cl_t_3')"
12,John de Lancie,"('John de Lancie', 'https://www.imdb.com/name/nm0209496/?ref_=tt_cl_t_4')"
13,Gail Strickland,"('Gail Strickland', 'https://www.imdb.com/name/nm0834373/?ref_=tt_cl_t_5')"
14,Meredith Salenger,"('Meredith Salenger', 'https://www.imdb.com/name/nm0001694/?ref_=tt_cl_t_6')"
15,Jesse Bob Harper,"('Jesse Bob Harper', 'https://www.imdb.com/name/nm0363887/?ref_=tt_cl_t_7')"
16,Jennifer Blanc-Biehn,"('Jennifer Blanc-Biehn', 'https://www.imdb.com/name/nm0004760/?ref_=tt_cl_t_8')"
17,Rollin Herold,"('Rollin Herold', 'https://www.imdb.com/name/nm0380217/?ref_=tt_cl_t_9')"
18,Rif Hutton,"('Rif Hutton', 'https://www.imdb.com/name/nm0404663/?ref_=tt_cl_t_10')"
19,Martina Gedeck,"('Martina Gedeck', 'https://www.imdb.com/name/nm0311476/?ref_=tt_cl_t_1')"
20,Pascal Greggory,"('Pascal Greggory', 'https://www.imdb.com/name/nm0339621/?ref_=tt_cl_t_2')"
21,Malik Zidi,"('Malik Zidi', 'https://www.imdb.com/name/nm0956026/?ref_=tt_cl_t_3')"
22,Aline Annessy,"('Aline Annessy', 'https://www.imdb.com/name/nm3157888/?ref_=tt_cl_t_4')"
23,Brigitte Annessy,"('Brigitte Annessy', 'https://www.imdb.com/name/nm0030357/?ref_=tt_cl_t_5')"
24,Luc Annessy,"('Luc Annessy', 'https://www.imdb.com/name/nm10134802/?ref_=tt_cl_t_6')"
25,Marine Annessy,"('Marine Annessy', 'https://www.imdb.com/name/nm3157999/?ref_=tt_cl_t_7')"
26,Jacques Breuer,"('Jacques Breuer', 'https://www.imdb.com/name/nm0108027/?ref_=tt_cl_t_8')"
27,Sascha Caparros,"('Sascha Caparros', 'https://www.imdb.com/name/nm3158277/?ref_=tt_cl_t_9')"
28,Michael Court,"('Michael Court', 'https://www.imdb.com/name/nm8665835/?ref_=tt_cl_t_10')"
29,Jason Statham,"('Jason Statham', 'https://www.imdb.com/name/nm0005458/?ref_=tt_cl_t_1')"
30,Saffron Burrows,"('Saffron Burrows', 'https://www.imdb.com/name/nm0004787/?ref_=tt_cl_t_2')"
