,id,time_sec
0,tt0205380,6
1,tt0312958,6
2,tt0346631,6
3,tt0365929,6
4,tt0373340,7
5,tt0375568,7
6,tt0409459,12
7,tt0417741,6
8,tt0421237,8
9,tt0433362,7
10,tt0435716,7
11,tt0436339,7
12,tt0438894,6
13,tt0438488,7
14,tt0447160,6
15,tt0450336,7
16,tt0448011,7
17,tt0450405,15
18,tt0457355,6
19,tt0457400,9
20,tt0458525,7
21,tt0465580,7
22,tt0471041,6
23,tt0472033,6
24,tt0480451,5
25,tt0484474,7
26,tt0492890,7
27,tt0499549,8
28,tt0765010,7
29,tt0796366,7
30,tt0806203,6
31,tt0806027,7
32,tt0804539,6
33,tt0808151,9
34,tt0810821,7
35,tt0810089,7
36,tt0825231,6
37,tt0834001,7
38,tt0838232,6
39,tt0841103,7
40,tt0851515,7
41,tt0860837,6
42,tt0860906,8
43,tt0862467,8
44,tt0872253,6
45,tt0887769,8
46,tt0891592,8
47,tt0892082,7
48,tt0892392,6
49,tt0892782,8
50,tt0913354,7
51,tt0963178,8
52,tt0965375,7
53,tt0970452,8
54,tt0972759,7
55,tt0975699,6
56,tt0977658,6
57,tt0986263,6
58,tt0990359,6
59,tt0988045,7
60,tt0997038,6
61,tt1003056,7
62,tt1003034,7
63,tt1009019,6
64,tt1010055,6
65,tt1013752,7
66,tt1020543,6
67,tt1020885,6
68,tt1034032,7
69,tt1037154,6
70,tt1042916,8
71,tt1043844,8
72,tt1046173,8
73,tt1054122,8
74,tt1053857,7
75,tt1055369,8
76,tt1059316,5
77,tt1069264,6
78,tt1071804,6
79,tt1075417,7
80,tt1075419,7
81,tt1078882,6
82,tt1079372,7
83,tt1081964,7
84,tt1082601,8
85,tt1082813,7
86,tt1084972,7
87,tt1085382,7
88,tt1090646,7
89,tt1091229,9
90,tt1097013,8
91,tt1098327,7
92,tt1103256,7
93,tt1105709,8
94,tt1107395,6
95,tt1109478,7
96,tt1111422,8
97,tt11114954,6
98,tt1111918,10
99,tt1112782,7
100,tt1114740,10
101,tt1121931,9
102,tt1124039,9
103,tt1125300,7
104,tt1130993,9
105,tt1130983,8
106,tt1133995,9
107,tt1135089,9
108,tt1136608,9
109,tt1144804,12
110,tt1144884,7
111,tt1144825,8
112,tt1144797,7
113,tt1147687,8
114,tt1149361,8
115,tt1152401,8
116,tt1152836,8
117,tt1153040,17
118,tt1153535,7
119,tt1153706,10
120,tt1156188,6
121,tt1156398,10
122,tt1156512,7
123,tt1156479,6
124,tt11591516,6
125,tt1159634,6
126,tt1160368,7
127,tt1161064,7
128,tt1161449,7
129,tt1161450,6
130,tt1161861,7
131,tt1167599,7
132,tt1167660,8
133,tt1171701,7
134,tt1172230,7
135,tt1173946,6
136,tt1173941,6
137,tt1176252,7
138,tt1176416,7
139,tt1176911,7
140,tt1182609,7
141,tt1182921,8
142,tt1183276,6
143,tt1185442,7
144,tt1186371,7
145,tt1186367,8
146,tt1188695,6
147,tt1188729,8
148,tt1190080,7
149,tt1190536,7
150,tt1190910,7
151,tt1191971,8
152,tt1194624,7
153,tt1198153,7
154,tt1197624,6
155,tt1198189,7
156,tt1198396,8
157,tt11992674,5
158,tt1199472,7
159,tt1201557,8
160,tt1201649,7
161,tt1202222,63
162,tt1205071,7
163,tt1206086,7
164,tt1206881,6
165,tt1208729,6
166,tt1210042,6
167,tt1210801,7
168,tt1212974,10
169,tt1216487,9
170,tt12182436,5
171,tt1220209,8
172,tt12218210,7
173,tt1223922,7
174,tt1227762,9
175,tt1227790,7
176,tt1230207,7
177,tt1230194,7
178,tt1232823,7
179,tt1232831,7
180,tt1235827,8
181,tt1237958,7
182,tt1239444,63
183,tt1242457,10
184,tt1242422,9
185,tt1242527,8
186,tt1242782,7
187,tt1243972,8
188,tt1244666,9
189,tt1245732,8
190,tt1245736,7
191,tt1247640,8
192,tt1248971,7
193,tt1249431,7
194,tt1251368,9
195,tt1252596,9
196,tt1255951,8
197,tt1258134,8
198,tt1258137,8
199,tt1260686,7
200,tt1264070,7
201,tt1265294,7
202,tt1265300,8
203,tt1266116,6
204,tt1268809,8
205,tt1269734,9
206,tt1270084,8
207,tt1274295,7
208,tt1274293,9
209,tt1277402,7
210,tt1278180,8
211,tt1278333,8
212,tt1279329,8
213,tt1282083,8
214,tt1283543,6
215,tt12845724,5
216,tt12846592,5
217,tt1284656,18
218,tt12846814,5
219,tt1286147,8
220,tt1286784,7
221,tt1288403,8
222,tt1288506,6
223,tt1288500,7
224,tt1289414,8
225,tt1289406,8
226,tt1289418,7
227,tt1290472,8
228,tt1290400,7
229,tt1291563,7
230,tt1294145,6
231,tt1295905,7
232,tt1296163,6
233,tt1296880,6
234,tt1296869,7
235,tt1298716,6
236,tt1300169,5
237,tt1300851,7
238,tt1301303,7
239,tt1302066,7
240,tt1303236,5
241,tt1303898,5
242,tt1307002,6
243,tt1307058,7
244,tt1307989,7
