,Puntuacion_IMDB,Dirección,Guionistas,Argumento,Duración,Nombre de la película
0,"5,7",['Danny Boyle'],['John Hodge'],"Physics lecturer Steven Chesterman finally realizes his long cherished dream of perfecting a teleportation device and rushes home to tell his wife, Alice. But she has news of her own - she's a male alien disguised as a human female. Then Elizabeth arrives, another alien who is to escort Alice back to the planet Nulark.",30min,Alien Love Triangle
1,"7,9",['Bart Johnson'],['Bart Johnson'],,18min,The Run
2,"6,6",['Will Hartman'],"['Will Hartman', 'John Urban']",A young man is afflicted by a very supernatural malady after cheating on his true love.,27min,The Frequency of Claire
3,"7,4",['Maurice Chauvet'],['Maurice Chauvet'],A guy tries to weasel out of his late fees at the local video store only to discover the video store's database has access to intimate details of his past - and his future.,9min,Three-Fifty
4,--,"['Owen Hornstein', 'Charlie LaVoy']",DESCONOCIDO,Chris awakes from his ten year cryo-sleep to find that Switzerland has taken over America. Will Chris liberate the country or be doomed to forever eat Swiss cheese?,12min,The Sleepy and the Swiss
5,--,['Megan Jacoby'],['Adam Dachis'],,4min,The Accident
6,--,['Chiva Rodriguez'],DESCONOCIDO,,--,"Belanova: One, Two, Three, GO!"
7,--,['Adam Dachis'],DESCONOCIDO,,5min,Children of Industry
8,--,['Matias Penachino'],DESCONOCIDO,,--,Moderatto: Lycantrhopy
9,"10,0",['Cody Clarke'],['Cody Clarke'],"A mockumentary short about cartoonist Cody Clarke, creator of IM Comic.",10min,I Am Comic
10,--,['Martina Seminara'],['Martina Seminara'],A group of young film making students gather to make a short film that they have developed for a team project. During the shooting the tension is unbearable and the ego battle is about to explode.,9min,Reves
11,--,"['Jorge G. Satí', 'Julio Mora']",['Julio Mora'],"Isacio Perales has no family, no friends, no girlfriend. However, he has something that gives meaning to his life: his fishing rod.",18min,El romance de Isacio Perales
12,--,['James Lingwood'],['James Lingwood'],,--,The Fame Game
13,--,['Diego Osorio'],DESCONOCIDO,,--,Ethan Hembley is missing
14,--,['Benja de la Rosa'],['Benja de la Rosa'],,3min,Estoy hasta el coño
15,--,['David de Cromo'],['David de Cromo'],,1min,Enología
16,--,"['Juan Francisco Pérez Villalba', 'Edwin Herrera Ruiz']",DESCONOCIDO,"Two thieves who end up in jail. The leader blames his partner for the crimes, so he will seek for revenge.",22min,Traición Entre Rejas
17,--,['Juan Francisco Pérez Villalba'],['Juan Francisco Pérez Villalba'],"Santiago has not been with any woman for a long time. Mario, his best friend, gets him dates with different women, but every one will go wrong.",8min,Que Veranito
18,--,['Juan Francisco Pérez Villalba'],['Juan Francisco Pérez Villalba'],A casting for the commercial of a new soda for women that will go wrong.,--,El Casting
19,--,['David M. Night Maire'],['David M. Night Maire'],"Max brings his best friend Eli to a college frat party to help him get over recently being dumped. Eli has no interest in meeting other women, quickly devolving into an inebriated misogynistic mess, leaving a trailer of apologies for Max to clear up. NYU: Tisch School of the Arts final class project for beginners Sight and Sound: Studio.",15min,Peel the Label
20,--,['Jan Chramosta'],DESCONOCIDO,,--,Talia Tour
21,--,['Stefano Piantoni'],['Stefano Piantoni'],,24min,Edgar in love
22,"4,6","['David Abramson', 'Michelle Goetsch']","['David Abramson', 'Adam Bertocci', 'Michelle Goetsch']","When a group of retirement village residents and a children's choir are forced together by an adopt a grandparent program, they ensure everyone gets what they deserve for Christmas.",--,Wreck the Halls
23,--,['Asif Anis Khan'],['Asif Anis Khan'],,--,Abla Nara
24,--,['Christopher Severn'],"['Andrew Lenig', 'Christopher Severn']",The fight with the empire is over. The Rebellion has won. The Jedi have been having a hard time finding work and have been relegated to regular office jobs.,--,Water Cooler Jedi
25,--,['Steven Maguire'],['Steven Maguire'],,9min,Turn Around
26,--,['Victor J. Pancerev'],DESCONOCIDO,,--,Tourette's Restaurant
27,--,['Kevin Martin'],DESCONOCIDO,,10min,A Little Bit of Change
28,--,['Matt Cascella'],['Matt Cascella'],,--,This End Up
29,--,['Jeremiah Budin'],['Jeremiah Budin'],,--,The Skidmore Ping Pong Club
30,--,['Chris Tenzis'],['Chris Tenzis'],,9min,Tis the Season
