,id,time_sec
0,tt0119231,3
1,tt0227671,3
2,tt0275236,80
3,tt0293564,4
4,tt0294654,3
5,tt0300007,2
6,tt0329354,3
7,tt0348062,3
8,tt0357545,3
9,tt0361724,3
10,tt0365880,4
11,tt0371407,3
12,tt0373263,3
13,tt0381704,3
14,tt0382036,3
15,tt0382932,3
16,tt0385683,3
17,tt0388182,4
18,tt0389790,3
19,tt0393329,4
20,tt0393956,3
21,tt0396555,4
22,tt0398404,3
23,tt0403057,3
24,tt0408336,60
25,tt0408839,4
26,tt0413099,4
27,tt0415141,8
28,tt0413267,4
29,tt0415965,3
30,tt0416966,2
31,tt0418586,4
32,tt0419656,3
33,tt0419704,4
34,tt0419083,3
35,tt0419984,4
36,tt0419843,4
37,tt0421135,2
38,tt0422774,3
39,tt0422981,2
40,tt0422783,3
41,tt0423294,3
42,tt0425112,3
43,tt0424823,4
44,tt0424539,2
45,tt0423977,3
46,tt0425546,4
47,tt0425308,4
48,tt0425413,3
49,tt0425522,3
50,tt0427327,3
51,tt0428579,4
52,tt0427998,4
53,tt0431308,4
54,tt0432264,3
55,tt0436288,3
56,tt0436825,2
57,tt0437473,3
58,tt0438365,4
59,tt0437954,4
60,tt0439115,3
61,tt0439876,6
62,tt0446009,4
63,tt0443529,4
64,tt0445336,10
65,tt0444672,4
66,tt0446027,4
67,tt0446801,3
68,tt0446060,3
69,tt0445934,4
70,tt0446752,4
71,tt0448106,3
72,tt0450238,3
73,tt0450412,3
74,tt0447857,4
75,tt0447907,4
76,tt0449080,4
77,tt0448150,4
78,tt0451039,3
79,tt0449573,3
80,tt0451223,4
81,tt0451106,4
82,tt0451082,3
83,tt0452625,4
84,tt0453451,4
85,tt0455805,3
86,tt0452644,3
87,tt0452595,3
88,tt0452586,3
89,tt0453556,4
90,tt0455782,3
91,tt0453517,3
92,tt0455326,3
93,tt0454962,3
94,tt0454517,2
95,tt0457385,3
96,tt0457419,3
97,tt0457505,3
98,tt0459652,2
99,tt0459468,2
100,tt0460811,2
101,tt0460745,2
102,tt0461012,2
103,tt0462244,3
104,tt0461770,60
105,tt0462229,4
106,tt0462538,3
107,tt0462601,3
108,tt0462295,3
109,tt0462409,3
110,tt0462474,3
111,tt0464131,3
112,tt0463873,4
113,tt0465375,3
114,tt0465461,3
115,tt0463934,3
116,tt0465616,3
117,tt0466100,3
118,tt0466456,3
119,tt0466713,3
120,tt0467110,3
121,tt0467406,3
122,tt0466943,3
123,tt0466867,3
124,tt0466766,3
125,tt0466839,2
126,tt0468644,3
127,tt0471725,3
128,tt0469184,3
129,tt0469429,3
130,tt0469694,3
131,tt0473153,3
132,tt0469236,3
133,tt0472477,2
134,tt0470737,3
135,tt0472062,3
136,tt0472205,4
137,tt0473310,3
138,tt0475283,3
139,tt0473308,3
140,tt0473015,4
141,tt0473403,3
142,tt0475286,4
143,tt0475289,3
144,tt0475567,2
145,tt0475431,3
146,tt0476705,3
147,tt0475984,3
148,tt0476995,2
149,tt0476819,2
150,tt0477078,3
151,tt0477051,3
152,tt0478311,3
153,tt0479289,3
154,tt0478265,3
155,tt0478365,3
156,tt0479221,3
157,tt0479008,3
158,tt0479500,3
159,tt0479181,2
160,tt0478394,4
161,tt0478763,3
162,tt0479074,2
163,tt0479519,3
164,tt0481320,10
165,tt0480242,2
166,tt0480268,3
167,tt0479978,3
168,tt0481497,3
169,tt0481141,4
170,tt0481583,5
171,tt0482600,4
172,tt0482201,3
173,tt0483093,3
174,tt0482901,4
175,tt0483098,3
176,tt0482358,3
177,tt0482961,3
178,tt0483763,4
179,tt0483776,4
180,tt0483759,3
181,tt0483756,4
182,tt0483796,3
183,tt0484111,4
184,tt0484207,3
185,tt0485272,4
186,tt0485185,5
187,tt0485129,4
188,tt0485131,3
189,tt0486665,5
190,tt0486640,3
191,tt0486583,4
192,tt0486620,3
193,tt0486946,3
194,tt0486497,3
195,tt0486209,3
196,tt0487505,3
197,tt0487144,3
198,tt0487203,3
199,tt0489235,3
200,tt0489213,2
201,tt0488565,2
202,tt0489286,3
203,tt0489237,3
204,tt0489212,3
205,tt0489225,3
206,tt0488535,3
207,tt0488023,3
208,tt0488798,3
209,tt0491109,3
210,tt0489486,3
211,tt0491168,3
212,tt0490086,3
213,tt0490579,3
214,tt0490084,3
215,tt0490016,3
216,tt0491176,2
217,tt0490701,3
218,tt0491211,3
219,tt0493224,2
220,tt0493407,3
221,tt0493445,2
222,tt0493160,3
223,tt0494222,3
224,tt0492486,3
225,tt0494295,2
226,tt0493388,2
227,tt0492956,3
228,tt0493417,3
229,tt0495025,3
230,tt0493421,3
231,tt0496304,3
232,tt0496328,4
233,tt0496373,3
234,tt0497411,3
235,tt0497972,3
236,tt0498368,3
237,tt0498350,3
238,tt0498525,3
239,tt0498793,2
240,tt0499435,3
241,tt0499570,4
242,tt0499554,3
243,tt0499261,2
244,tt0756729,4
245,tt0758766,3
246,tt0757361,4
247,tt0758754,3
248,tt0756724,3
249,tt0758753,3
250,tt0758798,3
251,tt0758786,3
252,tt0757858,2
253,tt0760332,3
254,tt0762104,3
255,tt0762107,3
256,tt0760173,2
257,tt0762114,3
258,tt0762142,3
259,tt0762093,3
260,tt0763847,3
261,tt0764639,3
262,tt0765130,2
263,tt0765430,3
264,tt0768177,10
265,tt0770772,3
266,tt0772157,4
267,tt0772178,4
268,tt0775480,3
269,tt0775073,2
270,tt0775529,3
271,tt0775536,3
272,tt0780565,3
273,tt0780622,3
274,tt0782684,2
275,tt0780485,3
276,tt0780486,3
277,tt0780608,3
278,tt0780621,3
279,tt0780552,2
280,tt0780568,3
281,tt0783475,3
282,tt0783511,2
283,tt0783601,3
284,tt0783234,3
285,tt0784962,3
286,tt0784972,3
287,tt0785077,3
288,tt0785004,3
289,tt0784618,3
290,tt0787500,3
291,tt0787495,5
292,tt0787475,7
293,tt0790804,4
294,tt0790709,3
295,tt0790676,3
296,tt0790618,3
297,tt0790612,3
298,tt0790657,3
299,tt0790623,3
300,tt0791309,4
301,tt0791304,4
302,tt0790751,3
303,tt0791244,3
304,tt0791225,3
305,tt0791106,3
306,tt0793413,3
307,tt0792992,3
308,tt0792975,3
309,tt0794302,2
310,tt0795361,3
311,tt0795368,4
312,tt0795505,3
313,tt0795439,4
314,tt0796335,4
315,tt0796314,3
316,tt0795434,3
317,tt0797067,3
318,tt0797093,3
319,tt0798435,3
320,tt0799997,3
321,tt0800003,3
322,tt0800205,3
323,tt0800044,3
324,tt0799949,4
325,tt0800956,3
326,tt0802982,3
327,tt0806130,3
328,tt0806088,4
329,tt0804439,3
330,tt0804540,3
331,tt0804452,4
332,tt0804502,4
333,tt0805564,4
334,tt0804519,4
335,tt0806940,3
336,tt0807758,5
