,Puntuacion_IMDB,Dirección,Guionistas,Argumento,Duración,Nombre de la película
0,--,DESCONOCIDO,"['Ken Furer', 'Oren Kaplan']","Aaron breaks into his girlfriend Jen's apartment to search for clues of her infidelity. But when his partner in crime Brad jumbles her completed Rubik's Cube, the duo must figure out how to solve it before Jen returns and Aaron loses her for good. A comedic thriller about trying to solve life's most difficult puzzle... women.",--,Wrong Turns
1,8.7,['Peter Kocyla'],['Peter Kocyla'],Celestial light floods through vast chapel windows. Nuns gather for prayer. But a beautiful young alter boy causes their thoughts to wander from things holy. Can they withstand the temptation?,--,Versuchung
2,9.1,['Peter Beals'],"['Peter Beals', 'Andrew Wright']",,--,The Break
3,9.1,['Peter Beals'],"['Peter Beals', 'Andrew Wright']",,--,The Break
4,9.1,['Peter Beals'],"['Peter Beals', 'Andrew Wright']",,--,The Break
5,9.1,['Peter Beals'],"['Peter Beals', 'Andrew Wright']",,--,The Break
6,9.1,['Peter Beals'],"['Peter Beals', 'Andrew Wright']",,--,The Break
7,9.1,['Peter Beals'],"['Peter Beals', 'Andrew Wright']",,--,The Break
8,9.1,['Peter Beals'],"['Peter Beals', 'Andrew Wright']",,--,The Break
9,9.1,['Peter Beals'],"['Peter Beals', 'Andrew Wright']",,--,The Break
10,--,DESCONOCIDO,DESCONOCIDO,DESCONOCIDO,--,Error nombre para la pelicula con id: tt0806148
11,7.3,['Jamie Travis'],['Jamie Travis'],"Timothy Higgins, the saddest boy in the world, prepares to hang himself at his ninth birthday party.",--,The Saddest Boy in the World
12,--,DESCONOCIDO,DESCONOCIDO,DESCONOCIDO,--,The Saddest Boy in the World
13,--,['Horacio Gómez Vera'],['Rodrigo Martínez'],,--,Cerramos a las dos
14,6.4,['Phillip Van'],['Phillip Van'],An obese 11-year-old attempts to give a love letter to his elementary school crush and winds up at dinner with her intensely suburban family and her new flame.,--,Dunny
15,--,['Charlie Bleakley'],['Charlie Bleakley'],"Seb has arrived at a hospital like no other. A Nun, a Gimp, a Drag Queen and a Swedish Tourist (missing an arm) accompany him through the unfamiliar 'A.P.A.G.' process while the bewildered Seb hopes to find his lost girlfriend.",--,A&E (Accident & Eternity)
16,8.0,['Steve Hammal'],"['Peter Devonald', 'Kevin Scrantz']","Ingmar lives a regimented life. Up at 7.19am each morning, he showers, dresses and prepares a very civilised breakfast. But today will be different. When his toast emerges blackened and inedible from his toaster, it precipitates a series of events that threaten to wreck his perfectly synchronised daily routine... A sharp little existential comedy of errors.",--,Toast
17,8.2,['Kevin Abrams'],['Alex Simon'],"""AUTEUR"" is a satirical comedy/character study that follows an ambitious video pirate from delusions of grandeur to a well-deserved fall from grace. ERIC PELHAM, our protagonist/anti-hero, thinks he's a real filmmaker as he callously films major motion pictures, then ""pirates"" them into VHS and DVD copies to be sold on the black market internationally. Although he cla... Read all",--,Auteur
18,9.2,['Joe Lewis'],"['Joe Lewis', 'Joseph Daniel Lewis', 'Michael Pomranz']",A short mockumentary about the illegitimate son of a famed cartoonist.,--,Billy Schulz
19,5.5,['Anna R. Costa'],['Anna R. Costa'],,--,Con lengua
20,4.5,['Darren Brandl'],"['Andrea Ball', 'Darren Brandl']","Sam is invited over to Kali's for dinner, and what seems like a dream date suddenly turns sour when he is forced to eat her disgusting cooking.",--,Homecooked
21,8.3,['Lilah Vandenburgh'],['Lilah Vandenburgh'],"BITCH (Keira Leverton) is a pop-culture vigilante, who administers beat-downs to many deserving folk. Be it your pretentious taste in music, your fugly clothes, your insipid pseudo-intellectual rantings, or your poseur attitude, she will find you and she will make you pay. Love is for losers, and PDA couples make BITCH want to puke razor blades. That is until she mee... Read all",--,Bitch
22,5.8,['Michelle Opitz'],DESCONOCIDO,"Shelly edits sitcom laugh tracks for a living, but while at work she daydreams of sharing her life's frustrations on a comedy stage. There she explains to a strange audience that she is the sole caretaker for her mother who is deteriorating from Alzheimer's disease. Shelly is not funny, but the audience laughs anyway. Shelly is struggling to decide whether it is time ... Read all",--,"But Seriously, Folks"
23,8.9,['Randy Nargi'],DESCONOCIDO,"In this comic look at Hollywood's blockbuster mentality, legendary director Steven Spielberg is overcome with doubts about his latest epic. Out of desperation, he turns to an otherworldly source of inspiration -- in his shower. Will he get his big idea, or a whole lot more than he bargained for?",--,Showering with Spielberg
24,6.6,['Carlos Agulló'],"['Carlos Agulló', 'Raúl de Tomás']","Rodrigo and Puri are getting ready in different rooms. Puri is trying on her wedding dress and Rodrigo is getting advice from an ""A-Team"" character on how best to impress her...",--,El regalo
