,Puntuacion_IMDB,Dirección,Guionistas,Argumento,Duración,Nombre de la película
0,"7,2",['Toshiya Shinohara'],DESCONOCIDO,"Un demonio poderoso ha sido encerrado por 200 años. Pero cuando el hijo del demonio se despierta, el destino del mundo está en peligro.",1h 40min,InuYasha: La película - La batalla a través del tiempo
1,--,['Benni P. Thomas'],['Sandar K. Thomas'],"An efficient police officer goes in search of a criminal who murdered a cop. She seeks the help of her husband who is an advocate, unaware that he is the murderer.",--,Fort Kochi
2,--,DESCONOCIDO,DESCONOCIDO,Desconocido,--,Error nombre para la pelicula con id: tt0322991
3,"5,4",['K. Madhu'],['S.N. Swamy'],A police officer (Suresh Gopi) tries a different strategy to help a man facing death sentence.,--,Nariman
4,"7,0",['Marilou Diaz-Abaya'],"['Marilou Diaz-Abaya', 'Ricky Lee', 'Jun Lana']","A Muslim doctor returns to his homeland where the Philippine military is at war against the MILF While he endeavors to lead his family and other civilians to safety, he struggles to reconcile his professional and religious principles.",2h 10min,Bagong buwan
5,"7,3",['Scott Shaw'],DESCONOCIDO,UNDERCOVER X is a psycho-thriller. It tells the story of Detective Truck Baker (Scott Shaw) who inadvertently discover an Asian crime ring when he is seduced by a female member of the family.,1h 14min,Undercover X
6,"2,8",['Kaladharan'],"['Rajan Kiriyath', 'G.C. Karakkal']","Sukanya enters into politics after she wins over the confidence of a shrewd politician, Narendra Babuji. Though she is shattered, she has certain definite plans and decisions too.",--,Nagaravadhu
7,"5,1",['Ravichandran'],DESCONOCIDO,"Vasanth, son of an MP, falls in love with Heena. But Heena seems to be the main suspect for a bomb attack on his father. Vasanth secretly helps her return to Kolkata and soon follows to meet her.",2h 52min,Majunu
8,"6,1",['Akiyoshi Kimata'],"['Tôkô Kon', 'Kôji Takada']","It is the early twentieth century in Japan and a thug and brute called Asakichi takes a loose married woman and takes off. He meets Sada who is nothing more than a local yakuza thug. The two decide to create a bright future for themselves, but instead become involved in an ongoing yakuza war and join the mayhem and violence.",1h 58min,Akumyô
9,"3,7",['Detdrich McClure'],['Detdrich McClure'],,1h 17min,Out Kold
10,--,"['Jerry O. Tirazona', 'Jacky Woo']",DESCONOCIDO,,--,Total Aikido
11,"5,9",['Augusto Salvador'],"['Cesar Montano', 'Sigfreid Barros-Sanchez', 'Edgar Ilao']","Remo Doce (Christopher de Leon), a sly bomber, is on the loose and Col. Titus Varona (Cesar Montano), a bomb squad leader, is at wit's end.",1h 48min,Alas-dose
12,"7,0",['Joyce Bernal'],DESCONOCIDO,"Pepe is a man living a simple life. After his brother died, his father forbade him to continue boxing. Desperate to pay off his father's medical debts, the temptation for easy money was impossible to resist.",1h 57min,Buhay kamao
13,"7,3",['Augusto Salvador'],DESCONOCIDO,"Jimmy Pizaro's goal is to kill drug lord Johnny Morales to avenge the death of his daughter and cousin. Jimmy devises several plans to execute his goal, but when the last one fails, he takes his enemy's daughter hostage.",1h 40min,Hostage
14,--,['Eugene Asis'],['Eugene Asis'],,1h 35min,Onsehan
15,--,['Benny Wong'],['Bing Cheuk'],,1h 28min,Yee ng chuen suet
